date,open,high,low,close,volume
2024-01-02,138.55,139.45,136.48,138.17,23711221
2024-01-03,137.25,139.63,137.08,138.92,24212150
2024-01-04,138.42,139.16,136.35,136.39,27137740
2024-01-05,136.745,137.1558,135.15,135.73,22513850
2024-01-08,136.29,139.01,136.26,138.84,21403980
2024-01-09,138.5,141.485,138.15,140.95,24759600
2024-01-10,141,143,140.91,142.28,21320199
2024-01-11,143.49,145.22,140.635,142.08,24008721
2024-01-12,142.67,143.195,141.82,142.65,18785510
2024-01-16,142,144.35,141.45,142.49,22670471
2024-01-17,141.345,141.84,138.9,141.47,20968650
2024-01-18,142.05,144.21,141.99,143.48,25746420
2024-01-19,144.74,146.45,144.38,146.38,34271871
2024-01-22,147.1,148.39,145.84,145.99,32200369
2024-01-23,145.89,147.182,145.5,147.04,21636131
2024-01-24,148.54,149.855,148.1,148.7,25233449
2024-01-25,150.065,153.05,149.54,151.87,29149070
2024-01-26,151.1,152.535,151.01,152.185,26115490
2024-01-29,152.06,153.78,151.43,153.51,27784260
2024-01-30,152.8,153.62,151.185,151.46,36331832
2024-01-31,143.62,144,139.87,140.1,71910039
2024-02-01,142.12,143.06,140.79,141.16,40466551
2024-02-02,139.26,142.62,136.5,142.38,62499566
2024-02-05,142.82,145.47,142.78,143.68,38505406
2024-02-06,144.65,145.36,143.19,144.1,29128199
2024-02-07,144.76,145.615,143.925,145.54,25208859
2024-02-08,145.83,146.33,145.105,145.91,22563760
2024-02-09,146.68,149.44,146.18,149,26829500
2024-02-12,148.42,149.335,147.37,147.53,21564090
2024-02-13,144.92,146.67,143.69,145.14,27837730
2024-02-14,146.08,146.52,144.094,145.94,22704170
2024-02-15,143.14,143.52,140.46,142.77,37590699
2024-02-16,142.99,143.19,140.14,140.52,31468930
2024-02-20,139.655,142.08,139.49,141.12,24935711
2024-02-21,141.45,142.69,140.675,142.55,23315689
2024-02-22,144.93,145,142.8,144.09,27191891
2024-02-23,143.67,144.68,143.43,143.96,19493750
2024-02-26,142.14,142.44,137.39,137.57,53641801
2024-02-27,138.02,139.25,137.09,138.88,33099191
2024-02-28,137.9,138.01,135.41,136.38,37328559
2024-02-29,137.28,138.86,136.4,138.46,42132953
2024-03-01,138.43,138.87,136.92,137.14,31151116
