date,open,high,low,close,volume
2024-01-02,156.93,161.64,156.79,159.97,9622100
2024-01-03,160.64,161.44,159.8,160.97,8232000
2024-01-04,161.59,161.98,160.42,160.63,6766600
2024-01-05,160.5,161.34,159.47,161.13,5602500
2024-01-08,161.1,161.66,159.61,161.53,6569800
2024-01-09,161.63,163.28,160.6,161.63,6357000
2024-01-10,161.82,162.62,161.2,161.87,4945100
2024-01-11,162.07,162.2,160.78,161.15,4946000
2024-01-12,161.84,162.47,161.69,162.39,4496500
2024-01-16,161.57,162.25,160.18,160.52,6923200
2024-01-17,160.25,161.3,159.87,160.43,5072100
2024-01-18,160,161.37,159.69,161.21,5368500
2024-01-19,161.15,161.92,160.28,161.68,7055800
2024-01-22,162,163.58,161.34,162.47,6824200
2024-01-23,159.66,160.51,156.91,159.81,9149800
2024-01-24,159.75,160.6,158.16,158.96,7247900
2024-01-25,159,159.62,158.47,159.56,5478900
2024-01-26,160.43,160.74,159.36,159.5,5591900
2024-01-29,159.01,160.07,158.96,159.36,6483200
2024-01-30,159.35,159.76,158.13,158.77,7200500
2024-01-31,160.4,160.62,158.67,158.9,8256800
2024-02-01,158.16,158.49,157.05,158.36,8012000
2024-02-02,157.97,158.31,155.94,156.61,8295500
2024-02-05,156.61,156.89,155.34,155.8,9121600
2024-02-06,155.83,158.73,155.6,158.06,9229900
2024-02-07,157.8,159.37,157.69,157.98,8690300
2024-02-08,157.34,157.34,155.31,156.4,9754960
2024-02-09,156.27,157.2,155.67,156.76,6529202
2024-02-12,156.58,158.41,156.35,157.85,6701508
2024-02-13,157.64,158.45,155.75,156.47,8621022
2024-02-14,156.35,156.46,154.84,155.74,9098805
2024-02-15,155.98,158.475,155.89,157.92,7462529
2024-02-16,156.6,157.255,155.67,156.55,8540961
2024-02-20,156.56,158.61,156.44,157.86,9501742
2024-02-21,158.02,158.69,157.1312,158.68,7473300
2024-02-22,158.98,160.74,157.77,160.45,8065010
2024-02-23,160.88,162.25,160.16,161.84,6725963
2024-02-26,161.8,162.01,160.57,160.79,5465417
2024-02-27,160.34,161.04,159.64,160.98,5078650
2024-02-28,161,161.61,160.29,161.55,6071076
2024-02-29,162,162.19,160.94,161.38,9849270
2024-03-01,161.83,162.57,161.09,162.12,5670135
