date,open,high,low,close,adjusted_close,volume
2010-01-04,31.39,31.63,31.13,31.3,20.1214,3815561
2010-01-05,31.2101,31.22,30.7601,30.96,19.9029,4186031
2010-01-06,30.8499,31.0,30.7601,30.8499,19.8321,3243779
2010-01-07,30.78,30.82,30.5,30.81,19.8064,3095172
2010-01-08,30.64,30.8499,30.4001,30.8,19.8001,3733918
2010-01-11,30.88,31.05,30.67,30.82,19.8129,4781579
2010-01-12,30.56,30.65,30.22,30.45,19.575,2871073
2010-01-13,30.47,30.78,30.05,30.69,19.7293,3418949
2010-01-14,30.5901,31.24,30.5,31.15,20.025,6163782
2010-01-15,31.22,31.3599,30.33,30.43,19.5622,4626681
2010-01-19,30.3599,30.83,30.35,30.8,19.8001,3563642
2010-01-20,30.5299,30.67,30.1899,30.63,19.6908,4589075
2010-01-21,31.0,31.11,30.18,30.52,19.62,6081440
2010-01-22,30.35,30.35,29.09,29.17,18.7522,4263061
2010-01-25,29.4199,29.65,29.2299,29.45,18.9322,3608518
2010-01-26,29.37,29.5,28.98,29.2901,18.8294,2696882
2010-01-27,29.2,29.2901,28.73,29.17,18.7522,4362179
2010-01-28,29.13,29.37,28.49,28.69,18.4436,4937177
2010-01-29,28.9299,29.17,27.92,28.03,18.0193,5923046
2010-02-01,28.1601,29.32,28.13,29.13,18.7265,5585429
2010-02-02,29.22,29.5901,29.09,29.5,18.9643,5884741
2010-02-03,29.39,29.8899,29.36,29.54,18.99,6085634
2010-02-04,29.3,29.45,28.94,29.07,18.6879,6632392
2010-02-05,28.9099,29.26,28.18,29.17,18.7522,9546662
2010-02-08,29.21,29.68,29.13,29.2,18.7715,6924154
2010-02-09,29.53,29.7199,29.18,29.41,18.9065,5150651
2010-02-10,29.4601,29.49,28.88,29.2499,18.8036,3255523
2010-02-11,29.2499,29.6101,28.77,29.36,18.8743,6982451
2010-02-12,30.65,30.7401,29.5699,29.98,19.2729,11457868
2010-02-16,30.24,30.34,29.97,30.2501,19.4465,6559556
2010-02-17,30.3599,30.7401,30.13,30.63,19.6908,4891183
2010-02-18,30.5701,31.0,30.4401,30.98,19.9157,3313959
2010-02-19,30.84,31.27,30.62,31.2,20.0572,4186171
2010-02-22,31.29,31.29,30.8499,31.15,20.025,4038123
2010-02-23,31.09,31.16,30.5299,30.8499,19.8321,4366373
2010-02-24,30.97,31.24,30.86,31.2301,20.0765,3945855
2010-02-25,30.84,31.13,30.2299,31.09,19.9865,4778504
2010-02-26,31.1699,31.52,30.98,31.46,20.2243,4678127
2010-03-01,31.43,32.13,31.43,32.09,20.6293,4723562
2010-03-02,31.9999,32.54,31.8499,32.3601,20.8029,6018250
2010-03-03,32.42,32.54,32.3,32.44,20.8543,6419616
2010-03-04,32.46,32.46,31.84,32.26,20.7386,6100173
2010-03-05,32.8299,33.25,32.63,33.16,21.3172,7695291
2010-03-08,33.11,33.1499,32.82,33.0001,21.2144,7017820
2010-03-09,32.93,33.33,32.8701,33.27,21.3879,7083386
2010-03-10,33.2,33.75,33.09,33.6601,21.6386,4696721
2010-03-11,33.38,33.6,33.25,33.58,21.5872,3942360
2010-03-12,33.6199,33.7699,33.33,33.42,21.4843,4015755
2010-03-15,33.3199,33.5,33.0401,33.31,21.4136,3619282
2010-03-16,33.39,33.58,33.22,33.42,21.4843,3285999
2010-03-17,33.44,33.6399,33.3199,33.38,21.4586,3926003
2010-03-18,33.2999,33.58,33.16,33.46,21.51,4494710
2010-03-19,33.42,33.6601,33.1299,33.42,21.4843,5882504
2010-03-22,33.26,33.8301,33.09,33.72,21.6772,3946694
2010-03-23,33.78,34.21,33.6601,34.1099,21.9279,5195807
2010-03-24,33.9801,34.1099,33.86,33.9,21.7929,3791516
2010-03-25,34.1,34.7499,34.07,34.55,22.2108,6941350
2010-03-26,34.65,34.7,34.1099,34.31,22.0565,4705808
2010-03-29,34.31,34.7,34.2799,34.4,22.1143,5377687
2010-03-30,34.46,34.7,34.4499,34.6199,22.2557,5980364
2010-03-31,34.55,34.5799,34.29,34.39,22.1079,5293387
2010-04-01,34.54,34.87,34.25,34.55,22.2108,3105098
2010-04-05,34.59,34.84,34.54,34.82,22.3843,3731961
2010-04-06,34.6401,34.69,34.42,34.56,22.2172,3499054
2010-04-07,34.4701,34.55,34.1299,34.29,22.0436,3269503
2010-04-08,34.1,34.1501,33.55,33.99,21.8507,4199872
2010-04-09,34.04,34.23,33.87,34.23,22.0051,3908668
2010-04-12,34.21,34.33,34.04,34.21,21.9922,4134585
2010-04-13,34.1501,34.23,33.88,33.9,21.7929,3616486
2010-04-14,33.9399,34.5999,33.9399,34.41,22.1207,11638210
2010-04-15,34.4499,35.91,34.22,35.63,22.905,12788624
2010-04-16,35.54,35.8999,35.0699,35.27,22.6736,8066180
2010-04-19,35.34,35.44,34.65,35.16,22.6029,4006388
2010-04-20,35.38,36.47,35.38,36.29,23.3293,6989860
2010-04-21,36.18,36.3899,35.7901,36.1301,23.2265,3142424
2010-04-22,35.8,36.48,35.27,36.44,23.4257,4662050
2010-04-23,36.3899,36.68,36.1,36.64,23.5544,3653673
