date,open,high,low,close,adjusted_close,volume
2012-12-10,37.0,37.0,34.91,35.0,22.1313,749378
2012-12-11,35.05,35.69,34.95,35.32,22.3336,1472086
2012-12-12,35.25,35.25,33.09,33.36,21.0943,2530442
2012-12-13,33.5,34.24,32.61,33.8,21.3725,4253303
2012-12-14,33.9,34.08,32.65,33.0,20.8667,4006673
2012-12-17,33.5,37.07,32.51,33.4,21.1196,5516963
2012-12-18,33.4,34.68,32.95,34.43,21.7709,3740536
2012-12-19,34.8,34.82,33.73,34.25,21.6571,1480328
2012-12-20,34.5,34.5,33.85,34.32,21.7013,1010326
2012-12-21,34.29,35.35,34.2,35.35,22.3526,1276538
2012-12-24,35.6,35.6,34.6,35.25,22.2894,286712
2012-12-26,35.27,35.51,34.85,34.9,22.0681,559872
2012-12-27,35.37,35.37,33.2,34.97,22.1123,915775
2012-12-28,34.67,34.96,34.36,34.52,21.8278,1085137
2012-12-31,34.04,35.05,34.0,34.16,21.6001,5740951
2013-01-02,34.92,35.4,34.1,35.12,22.2072,13767990
2013-01-03,35.0,35.0,34.16,34.83,22.0238,16739211
2013-01-04,34.62,34.89,34.25,34.3908,21.7461,21372641
2013-01-07,34.15,35.45,34.15,34.46,21.7898,17897119
2013-01-08,34.29,34.64,33.36,33.71,21.3156,17863400
2013-01-09,33.61,33.95,33.61,33.9,21.4357,18800670
2013-01-10,33.66,34.0,33.33,34.0,21.499,15660780
2013-01-11,33.59,33.9,33.35,33.85,21.6589,11191450
2013-01-14,34.01,34.25,33.8,34.09,21.8125,11584900
2013-01-15,33.71,34.72,33.71,34.6,22.1388,13042600
2013-01-16,34.47,35.54,34.45,35.54,22.7403,16512680
2013-01-17,35.75,36.7,35.75,36.42,23.3034,14426260
2013-01-18,36.43,37.32,36.04,37.32,23.8792,17844119
2013-01-22,36.98,37.25,35.93,36.42,23.3034,15809670
2013-01-23,36.91,37.84,36.5,37.8,24.1863,10981870
2013-01-24,37.79,38.52,37.23,37.46,23.9688,11327540
2013-01-25,37.52,37.84,36.64,37.6,24.0584,8935318
2013-01-28,37.65,37.87,36.71,36.89,23.6041,7140026
2013-01-29,36.71,37.46,36.25,37.31,23.8728,8839042
2013-01-30,36.81,37.525,36.81,36.93,23.6297,10842450
2013-01-31,36.84,36.93,36.27,36.69,23.4761,10720870
2013-02-01,36.84,37.2,36.52,37.18,23.7896,9528042
2013-02-04,36.64,37.3,36.55,37.28,23.8536,6347915
2013-02-05,37.42,37.73,37.18,37.2,23.8024,7284674
2013-02-06,36.96,37.28,36.86,37.14,23.764,5738899
2013-02-07,37.57,37.57,35.8,36.42,23.3034,9874217
2013-02-08,36.37,36.42,35.825,36.25,23.1946,13859010
2013-02-11,36.13,36.18,35.75,35.85,22.9386,6032057
2013-02-12,35.77,35.9,35.2,35.42,22.6635,7473991
