date,open,high,low,close,adjusted_close,volume
2010-01-04,54.1901,54.56,53.92,54.46,19.0524,10829095
2010-01-05,54.47,54.47,53.7499,54.02,18.8985,10562109
2010-01-06,53.94,54.39,53.8499,54.3199,19.0034,11401417
2010-01-07,54.3099,54.7799,54.07,54.7699,19.1608,12857232
2010-01-08,54.7599,55.2499,54.6801,55.05,19.2588,12148604
2010-01-11,55.2999,55.48,55.07,55.3299,19.3568,10947270
2010-01-12,55.2001,55.55,55.03,55.1701,19.3008,10939350
2010-01-13,54.8599,55.54,54.8499,55.2899,19.4836,10538975
2010-01-14,55.2201,55.6201,55.0,55.3499,19.5048,8982493
2010-01-15,55.3599,55.57,55.1601,55.49,19.5542,16132555
2010-01-19,55.55,56.5,55.51,56.2001,19.8044,16663610
2010-01-20,56.2301,56.7899,55.61,56.2401,19.8185,14080659
2010-01-21,56.2101,56.5,55.0,55.56,19.5788,17317216
2010-01-22,55.3299,55.6601,54.4,54.51,19.2088,14599208
2010-01-25,54.7599,55.51,54.53,54.7001,19.2758,10109421
2010-01-26,54.57,54.6701,54.2599,54.48,19.1982,13814506
2010-01-27,54.1,54.1401,53.1501,53.9,18.9938,24107753
2010-01-28,54.1,54.45,53.6401,53.95,19.0115,13856398
2010-01-29,54.08,54.08,52.89,52.94,18.6556,19832013
2010-02-01,53.11,53.6901,53.08,53.3399,18.7965,18361192
2010-02-02,53.2899,54.6,53.2001,54.44,19.1841,17214256
2010-02-03,54.3699,54.7799,54.1,54.6501,19.2582,14158816
2010-02-04,54.7501,54.7501,53.7899,53.8199,18.9656,19169446
2010-02-05,53.6301,54.1301,53.2999,53.97,19.0185,22546061
2010-02-08,53.8499,53.95,53.3099,53.3499,18.8,14861192
2010-02-09,53.6401,53.98,53.3399,53.3499,18.8,23229471
2010-02-10,53.2599,53.49,52.6701,53.2599,18.7683,15479366
2010-02-11,53.2699,53.7101,52.93,53.54,18.867,13413297
2010-02-12,53.2001,54.0,53.11,53.93,19.0044,17566069
2010-02-16,54.2401,54.6801,53.7699,54.59,19.237,15742184
2010-02-17,54.7899,54.98,54.57,54.7501,19.2934,13285744
2010-02-18,54.6901,55.0,54.6701,54.97,19.3709,11171113
2010-02-19,54.8799,54.89,54.08,54.3799,19.163,20116924
2010-02-22,54.49,54.52,53.96,54.4,19.17,11966236
2010-02-23,54.2301,54.47,53.7499,53.97,19.0185,13961234
2010-02-24,54.1901,54.54,53.91,54.3299,19.1454,14141309
2010-02-25,53.97,54.1901,53.61,54.1201,19.0714,12305752
2010-02-26,54.1801,54.53,53.8499,54.2799,19.1277,14675281
2010-03-01,54.3699,54.6501,54.1401,54.2899,19.1313,9501667
2010-03-02,54.2201,54.7001,54.1301,54.58,19.2335,10419341
2010-03-03,54.6,54.8399,53.92,54.08,19.0573,13975823
2010-03-04,54.49,54.5,53.91,54.08,19.0573,13258858
2010-03-05,54.1401,54.39,54.1201,54.3199,19.1418,15291788
2010-03-08,54.3699,54.55,54.1201,54.42,19.1771,8986453
2010-03-09,54.1901,54.96,54.1301,54.7999,19.311,12287828
2010-03-10,54.8099,55.55,54.7201,55.03,19.3921,17001042
2010-03-11,55.04,55.55,54.8499,55.54,19.5718,11900584
2010-03-12,55.04,55.05,53.7201,54.52,19.2123,33828679
2010-03-15,54.41,54.7999,54.1201,54.7999,19.311,15406419
2010-03-16,54.8399,54.99,54.47,54.6801,19.2687,12421426
2010-03-17,54.8399,54.8799,54.2999,54.5,19.2053,15366194
2010-03-18,54.44,54.54,53.61,53.7699,18.948,32043351
2010-03-19,53.46,53.9,53.1901,53.46,18.8388,34032097
2010-03-22,53.4,54.2301,53.2999,53.8699,18.9833,15663610
2010-03-23,54.11,54.39,53.8199,54.3399,19.1489,9704460
2010-03-24,54.2501,54.3299,53.7599,53.8699,18.9833,13205711
2010-03-25,54.2799,54.3099,53.5,53.52,18.8599,17738224
2010-03-26,53.7001,53.7799,52.44,52.9,18.6414,25017716
2010-03-29,53.08,53.1501,52.7301,53.1201,18.719,22003752
2010-03-30,53.03,53.2599,52.49,52.51,18.504,27988954
2010-03-31,52.56,52.99,52.2101,52.6801,18.564,15870363
2010-04-01,52.7999,52.97,52.58,52.96,18.6626,12903501
2010-04-05,52.99,53.2501,52.7001,52.93,18.652,11130471
2010-04-06,52.8699,53.1201,52.58,52.8399,18.6203,15102334
2010-04-07,52.7001,52.93,52.3799,52.5,18.5005,20577115
2010-04-08,52.59,52.6901,52.2001,52.2799,18.4229,15111296
2010-04-09,52.3499,52.8499,52.2799,52.7301,18.5816,11637557
2010-04-12,53.0,53.0,52.39,52.6701,18.5604,13458108
