date,open,high,low,close,adjusted_close,volume
2010-01-04,71.8101,72.1998,71.7498,71.9496,7.9944,4813200
2010-01-05,71.4798,71.9604,71.19,71.7102,7.9678,3807000
2010-01-06,71.8497,72.1296,71.37,71.3997,7.9333,3156300
2010-01-07,71.4996,71.4996,70.8003,70.9803,7.8867,3327300
2010-01-08,71.0496,71.19,70.5798,70.8399,7.8711,2155500
2010-01-11,71.2098,71.2098,70.0497,70.6203,7.8467,4601700
2010-01-12,70.5699,71.0604,70.5699,70.8201,7.8689,3437100
2010-01-13,70.7499,71.5698,70.7499,71.1999,7.9111,3774600
2010-01-14,70.9497,71.5401,69.8598,71.1,7.9,2411100
2010-01-15,71.2503,71.2998,70.6302,70.9704,7.8856,2200500
2010-01-19,70.7202,72.2304,70.7202,72.1098,8.0122,4024800
2010-01-20,71.8803,72.9999,71.8299,72.8496,8.0944,3285900
2010-01-21,72.9702,73.5804,72.5004,72.7101,8.0789,3337200
2010-01-22,72.4401,73.2303,71.4996,71.6499,7.9611,4785300
2010-01-25,72.1701,72.54,71.2602,71.6904,7.9656,3288600
2010-01-26,71.6499,72.6804,71.1999,71.28,7.92,3593700
2010-01-27,71.0604,71.9604,70.74,71.82,7.98,3576600
2010-01-28,72.0504,72.3798,70.9803,70.9803,7.8867,3815100
2010-01-29,71.2503,72.0,70.9902,71.5401,7.9489,5022900
2010-02-01,71.91,71.91,70.7796,70.9803,7.8867,6229800
2010-02-02,70.8201,70.8696,69.8499,70.2603,7.8067,11293200
2010-02-03,69.9102,70.7301,69.7203,70.2999,7.8111,3345300
2010-02-04,70.9704,71.1297,69.5196,69.5304,7.7256,3778200
2010-02-05,69.6501,69.9903,69.0003,69.8103,7.7567,4407300
2010-02-08,70.1298,70.38,69.3801,69.66,7.74,2940300
2010-02-09,69.9102,70.5996,69.6096,70.3998,7.8222,3878100
2010-02-10,70.0803,71.1,70.0803,71.0001,7.8889,2416500
2010-02-11,71.1198,71.9703,70.7904,71.6499,7.9611,3204900
2010-02-12,71.2197,72.5796,71.0802,72.54,8.06,4926600
2010-02-16,72.72,73.4004,72.3897,73.26,8.14,6503400
2010-02-17,72.9999,73.4904,72.1098,72.3501,8.0389,6722100
2010-02-18,72.0,72.2799,71.8398,72.0,8.0,7453800
2010-02-19,71.7804,72.0702,71.7804,72.0297,8.0033,6094800
2010-02-22,72.2097,72.9198,72.2097,72.6903,8.0767,6145200
2010-02-23,72.0099,72.8001,71.9604,72.6696,8.0744,4234500
2010-02-24,72.8703,74.1096,72.8703,74.0997,8.2333,5005800
2010-02-25,73.9899,74.5299,73.89,73.9998,8.2222,6125400
2010-02-26,74.5002,74.7999,73.9701,73.98,8.22,17273700
2010-03-01,74.4804,74.9997,74.16,74.9997,8.3333,4489200
2010-03-02,74.9997,75.15,74.8296,75.0303,8.3367,3536100
2010-03-03,75.1797,75.2301,74.43,74.5803,8.2867,3418200
2010-03-04,74.2401,74.79,74.1798,74.7504,8.3056,3615300
2010-03-05,74.8197,75.0096,74.2599,74.9898,8.3322,4761000
2010-03-08,75.4002,76.8303,75.0699,76.5999,8.5111,4983300
2010-03-09,76.2498,76.3002,75.2697,75.5901,8.3989,4230900
2010-03-10,75.78,75.8304,74.7603,74.9898,8.3322,3584700
2010-03-11,74.7702,75.3498,74.61,74.9997,8.3333,2961900
2010-03-12,75.2499,75.4803,74.8503,75.0501,8.3389,1279800
2010-03-15,74.6802,75.0501,74.0403,74.8701,8.3189,2055600
2010-03-16,74.9898,75.1302,74.0403,75.1302,8.3478,1961100
2010-03-17,75.5199,76.1796,74.9997,75.7503,8.4167,3734100
2010-03-18,76.0203,76.0203,75.2103,75.2301,8.3589,2679300
2010-03-19,75.0096,75.3903,74.3904,74.4597,8.2733,6384600
2010-03-22,74.4804,75.1698,74.2104,75.1599,8.3511,1788300
2010-03-23,75.0996,75.2598,74.7099,75.2598,8.3622,2383200
2010-03-24,75.3003,75.7701,74.9997,75.4596,8.3844,2268900
2010-03-25,75.5604,75.5604,75.15,75.2598,8.3622,1787400
2010-03-26,75.51,75.5703,74.6199,75.2904,8.3656,2070000
2010-03-29,75.3003,75.8403,75.3003,75.4803,8.3867,1495800
2010-03-30,75.5001,75.6504,75.0996,75.15,8.35,1951200
2010-03-31,75.2796,76.6503,75.2499,76.2498,8.4722,4628700
2010-04-01,76.3497,76.8897,75.4803,75.6198,8.4022,3114900
2010-04-05,75.4902,75.6,74.6901,74.8602,8.3178,3354300
2010-04-06,74.8404,74.8404,73.9998,74.5398,8.2822,4757400
2010-04-07,74.3103,74.8899,74.3103,74.6802,8.2978,2944800
2010-04-08,74.7999,75.4002,74.1402,74.6802,8.2978,1615500
