date,open,high,low,close,adjusted_close,volume
2010-01-04,31.48,31.84,31.33,31.47,21.8137,3472493
2010-01-05,31.55,31.77,31.4,31.64,21.9315,3458662
2010-01-06,31.6,31.89,31.43,31.56,21.8761,3745800
2010-01-07,31.55,31.7,31.05,31.23,21.6474,7232087
2010-01-08,31.12,31.19,30.52,30.84,21.377,6264659
2010-01-11,30.97,31.32,30.6,30.86,21.3909,5019589
2010-01-12,30.68,30.86,30.32,30.53,21.1621,4278714
2010-01-13,30.64,30.83,30.38,30.66,21.2523,3336541
2010-01-14,30.58,30.97,30.5,30.74,21.3077,3233987
2010-01-15,30.77,30.97,30.3,30.54,21.1691,3693664
2010-01-19,30.5,30.88,30.43,30.54,21.1691,4335988
2010-01-20,31.03,31.19,30.65,30.9,21.4186,7735384
2010-01-21,30.94,30.98,30.41,30.44,21.0998,8686065
2010-01-22,30.33,30.9,30.07,30.47,21.1206,6270742
2010-01-25,30.71,30.71,29.7,29.77,20.6353,6367640
2010-01-26,29.65,29.77,29.53,29.63,20.5383,5009270
2010-01-27,29.61,29.89,29.52,29.75,20.6215,5128484
2010-01-28,29.79,30.19,29.75,29.95,20.7601,7379298
2010-01-29,30.12,30.31,29.654,29.97,20.774,6580390
2010-02-01,30.07,30.18,29.65,30.16,20.9057,5922135
2010-02-02,30.42,31.8,30.37,31.63,21.9246,10066240
2010-02-03,31.55,31.76,30.91,31.18,21.6127,5960510
2010-02-04,30.9,30.97,30.03,30.06,20.8364,6939845
2010-02-05,30.3,30.83,30.08,30.61,21.2176,7466494
2010-02-08,30.61,30.74,29.85,29.89,20.7185,6611180
2010-02-09,30.16,30.28,29.57,29.91,20.7324,8241209
2010-02-10,29.96,30.11,29.75,29.99,20.7878,4799292
2010-02-11,29.88,30.37,29.5,30.03,20.8156,5744528
2010-02-12,29.68,29.93,29.46,29.77,20.6353,5090854
2010-02-16,29.89,30.0,29.25,29.48,20.5378,7384205
2010-02-17,29.62,29.89,29.56,29.88,20.8165,4611835
2010-02-18,29.72,30.04,29.685,29.97,20.8792,3679573
2010-02-19,29.86,30.05,29.58,29.95,20.8652,3897498
2010-02-22,29.83,30.05,29.65,29.81,20.7677,3619733
2010-02-23,29.81,29.825,29.46,29.62,20.6353,5819204
2010-02-24,29.62,29.86,29.43,29.57,20.6005,4607433
2010-02-25,29.2,29.47,29.08,29.47,20.5308,4701437
2010-02-26,29.5,29.57,29.15,29.36,20.4542,3487444
2010-03-01,29.49,29.75,29.44,29.66,20.6632,2732622
2010-03-02,29.73,30.25,29.66,29.85,20.7956,4422199
2010-03-03,29.99,30.06,29.66,29.78,20.7468,3891522
2010-03-04,29.84,30.01,29.67,30.0,20.9001,3503986
2010-03-05,30.0,30.7,29.96,30.62,21.332,5047811
2010-03-08,30.67,30.8,30.34,30.57,21.2972,2770254
2010-03-09,30.47,30.68,30.39,30.51,21.2554,4476597
2010-03-10,30.56,30.63,30.06,30.24,21.0673,4428785
2010-03-11,30.07,30.17,29.33,29.44,20.5099,8555672
2010-03-12,29.74,29.76,28.56,28.66,19.9665,7700351
2010-03-15,28.78,28.83,28.45,28.61,19.9317,4943865
2010-03-16,28.99,28.99,28.31,28.59,19.9178,4822338
2010-03-17,28.6,29.1,28.54,29.1,20.2731,5398310
2010-03-18,29.18,29.25,28.81,29.24,20.3706,5884155
2010-03-19,29.24,29.4,28.63,29.09,20.2661,6960756
2010-03-22,28.88,29.33,28.76,29.33,20.4333,4084700
