date,open,high,low,close,adjusted_close,volume
2010-01-04,43.54,43.54,42.7,42.83,26.7007,3930120
2010-01-05,42.65,42.91,42.37,42.6,26.5572,3252415
2010-01-06,42.8,42.89,42.0501,42.5,26.4949,3111406
2010-01-07,42.13,42.5,42.09,42.48,26.4825,2513317
2010-01-08,42.42,42.46,42.04,42.42,26.445,2310462
2010-01-11,42.42,42.61,42.13,42.61,26.5635,2446230
2010-01-12,42.36,42.6399,41.99,42.31,26.3764,2571293
2010-01-13,42.23,42.73,42.06,42.62,26.5697,2546007
2010-01-14,42.29,42.78,42.25,42.5,26.4949,2402721
2010-01-15,42.72,42.92,41.85,42.27,26.3515,3384880
2010-01-19,42.17,42.93,42.0001,42.91,26.7505,2931786
2010-01-20,42.4401,42.7,41.63,42.34,26.3952,4057232
2010-01-21,42.45,42.89,42.02,42.1499,26.2767,4356106
2010-01-22,42.1499,42.35,41.1,41.17,25.6657,4463513
2010-01-25,41.53,41.5599,41.06,41.27,25.7281,2400670
2010-01-26,41.08,41.27,40.9699,41.06,25.5972,2786905
2010-01-27,40.76,41.22,40.73,41.0199,25.5722,4096983
2010-01-28,40.76,41.18,40.39,40.68,25.3603,4972760
2010-01-29,40.67,41.18,40.65,40.79,25.4289,4173866
2010-02-01,41.03,41.16,40.71,41.0699,25.6034,3638649
2010-02-02,41.42,41.42,40.68,41.18,25.672,4142999
2010-02-03,40.86,41.0199,40.51,40.8,25.4351,3141704
2010-02-04,40.56,40.89,40.3801,40.3801,25.1733,4410778
2010-02-05,40.32,40.5,39.72,40.2801,25.111,4745530
2010-02-08,40.25,40.57,40.02,40.4,25.1857,3460738
2010-02-09,40.84,41.09,40.45,40.7,25.3728,3358000
2010-02-10,40.58,40.8,40.3,40.68,25.3603,2091774
2010-02-11,40.56,41.11,40.2,40.9,25.4975,2630407
2010-02-12,40.29,40.72,40.29,40.59,25.3042,3429871
2010-02-16,40.89,41.35,40.66,41.3,25.7468,2762075
2010-02-17,41.35,41.5,41.25,41.4601,25.8466,2425842
2010-02-18,41.72,41.75,41.11,41.19,25.6782,4233891
2010-02-19,41.26,41.75,40.98,41.5599,25.9089,4293802
2010-02-22,41.57,41.93,41.44,41.6,25.9339,3410963
2010-02-23,41.6,41.76,41.0199,41.2,25.6845,3778519
2010-02-24,41.2,42.24,41.17,42.24,26.3328,4643134
2010-02-25,41.82,41.9001,41.01,41.71,26.0024,4149605
2010-02-26,41.81,41.93,41.33,41.6099,25.94,3740248
2010-03-01,41.68,42.0001,41.58,41.97,26.1645,3315971
2010-03-02,41.91,42.0999,41.78,41.85,26.0897,3260274
2010-03-03,42.0001,42.29,41.9001,41.91,26.1271,3735692
2010-03-04,42.02,42.19,41.55,41.71,26.0024,5117413
2010-03-05,42.0001,43.25,41.89,43.1799,26.9188,5564812
2010-03-08,43.17,43.24,42.86,43.15,26.9001,3948799
2010-03-09,43.15,44.08,43.1,43.6699,27.2243,5927926
2010-03-10,43.38,43.92,43.24,43.88,27.5714,5221404
2010-03-11,43.8199,43.96,43.56,43.93,27.6028,4325466
2010-03-12,43.85,43.94,43.66,43.81,27.5274,3051267
2010-03-15,44.18,44.35,43.87,44.24,27.7976,3343990
2010-03-16,44.45,44.45,43.95,44.25,27.8039,2639860
2010-03-17,44.2599,44.91,44.25,44.69,28.0803,3099219
2010-03-18,44.58,44.87,44.49,44.72,28.0992,1961130
2010-03-19,45.03,45.22,44.1,44.6001,28.0238,4858291
2010-03-22,44.54,44.89,44.14,44.83,28.1683,4801796
2010-03-23,44.99,45.0,44.57,44.91,28.2185,3250364
2010-03-24,44.69,44.89,44.29,44.34,27.8604,4508390
2010-03-25,44.46,44.46,43.94,43.98,27.6342,4693363
2010-03-26,44.02,44.44,44.02,44.24,27.7976,2178793
2010-03-29,44.3599,44.66,44.18,44.54,27.9861,3528280
2010-03-30,44.39,44.7001,44.27,44.59,28.0175,2358300
2010-03-31,44.5,44.62,44.27,44.47,27.9421,3141248
2010-04-01,44.66,44.66,43.9,44.18,27.7599,3068352
2010-04-05,44.38,44.69,44.12,44.39,27.8918,3700383
2010-04-06,44.3599,44.43,44.1,44.29,27.829,4426040
2010-04-07,44.25,44.3,43.78,43.93,27.6028,3085095
2010-04-08,43.96,44.02,43.64,43.88,27.5714,2925522
2010-04-09,44.01,44.2599,43.73,44.2599,27.8101,2444408
2010-04-12,44.3,44.3,44.03,44.2101,27.7788,2219114
2010-04-13,44.18,44.29,43.87,43.95,27.6154,3100358
2010-04-14,43.86,44.19,43.74,44.18,27.7599,3641839
