date,open,high,low,close,adjusted_close,volume
2010-01-04,28.03,28.27,27.69,27.76,16.347,1299300
2010-01-05,27.77,27.84,27.41,27.65,16.2822,1422200
2010-01-06,27.61,27.89,27.35,27.46,16.1703,1880300
2010-01-07,27.47,27.47,27.05,27.2,16.0172,936900
2010-01-08,27.22,27.22,26.83,27.01,15.9053,954100
2010-01-11,27.05,27.28,27.05,27.23,16.0349,997900
2010-01-12,27.15,27.46,27.09,27.2,16.0172,1021900
2010-01-13,27.2,27.49,27.14,27.38,16.1232,1240900
2010-01-14,27.26,27.5,27.25,27.48,16.1821,763100
2010-01-15,27.41,27.48,26.92,27.34,16.0996,1776100
2010-01-19,27.37,27.74,27.27,27.69,16.3057,1273000
2010-01-20,27.5,27.54,27.03,27.17,15.9995,1638600
2010-01-21,27.21,27.4,26.22,26.52,15.6168,4065200
2010-01-22,26.58,26.58,25.75,25.78,15.181,2570000
2010-01-25,26.01,26.07,25.76,25.91,15.2576,1582000
2010-01-26,25.86,26.08,25.73,25.98,15.2988,1525100
2010-01-27,25.95,26.05,25.6,25.99,15.3047,1943700
2010-01-28,25.88,26.03,25.5,25.73,15.1516,1887900
2010-01-29,25.86,25.93,25.51,25.55,15.0456,1583000
2010-02-01,25.59,25.75,25.32,25.49,15.0102,1714600
2010-02-02,25.48,25.78,25.25,25.77,15.1751,1981000
2010-02-03,25.31,25.65,25.29,25.61,15.0809,2162500
2010-02-04,25.45,25.46,24.98,24.98,14.7099,1652900
2010-02-05,25.0,25.03,24.45,24.86,14.6393,2836400
2010-02-08,24.99,24.99,24.42,24.42,14.3802,1857800
2010-02-09,24.62,24.99,24.51,24.63,14.5038,1916200
2010-02-10,24.66,24.66,24.29,24.41,14.3743,2090500
2010-02-11,24.41,24.71,24.14,24.63,14.5038,2604900
2010-02-12,24.46,24.63,24.25,24.56,14.4626,1986800
2010-02-16,24.76,25.15,24.71,25.09,14.7747,1454800
2010-02-17,25.22,25.4,25.06,25.4,14.9572,1957500
2010-02-18,25.47,26.25,25.47,25.64,15.0986,3138500
2010-02-19,25.62,26.06,25.35,25.65,15.1045,2066000
2010-02-22,25.8,25.82,25.36,25.41,14.9631,1396900
2010-02-23,25.42,25.47,25.17,25.29,14.8925,1402600
2010-02-24,25.34,25.45,24.89,25.14,14.8041,1640200
2010-02-25,24.91,25.07,24.66,25.07,14.7629,1876100
2010-02-26,25.12,25.12,24.65,24.71,14.5509,2139100
2010-03-01,24.82,25.14,24.82,25.04,14.7452,1375600
2010-03-02,25.17,25.36,25.13,25.33,14.916,1253100
2010-03-03,25.34,25.53,25.28,25.43,14.9749,1580800
2010-03-04,25.42,25.6,25.3,25.59,15.0691,1604000
2010-03-05,25.74,25.94,25.6,25.94,15.2752,2016800
2010-03-08,25.44,25.53,25.31,25.5,15.2424,1957300
2010-03-09,25.44,25.61,25.37,25.57,15.2842,1365600
2010-03-10,25.58,25.78,25.45,25.57,15.2842,1601300
2010-03-11,25.56,25.76,25.36,25.76,15.3978,1269000
2010-03-12,25.82,25.89,25.5,25.51,15.2483,1175200
2010-03-15,25.52,25.6,25.35,25.49,15.2364,1699600
2010-03-16,25.45,25.58,25.4,25.5,15.2424,1448400
2010-03-17,25.5,25.7,25.43,25.67,15.344,1014500
2010-03-18,25.69,26.0,25.67,26.0,15.5412,1627400
2010-03-19,26.04,26.2,25.83,26.04,15.5651,2912200
2010-03-22,25.95,25.97,25.65,25.82,15.4336,1865900
2010-03-23,25.79,25.9,25.73,25.88,15.4695,936900
2010-03-24,25.76,25.89,25.49,25.5,15.2424,1336700
2010-03-25,25.57,25.68,25.28,25.29,15.1168,1730700
2010-03-26,25.45,25.74,25.32,25.63,15.3201,2368600
2010-03-29,25.74,25.99,25.61,25.93,15.4994,1529400
2010-03-30,25.99,26.18,25.88,26.09,15.595,1218900
2010-03-31,26.11,26.14,25.86,26.08,15.589,1887300
2010-04-01,26.2,26.45,26.19,26.45,15.8102,1258600
2010-04-05,26.55,26.55,26.35,26.48,15.8281,1780900
2010-04-06,26.39,26.65,26.32,26.65,15.9298,1051800
2010-04-07,26.64,26.72,26.4,26.46,15.8162,1399600
2010-04-08,26.42,26.43,26.19,26.27,15.7026,1206700
2010-04-09,26.26,26.51,26.18,26.51,15.8461,959100
2010-04-12,26.51,26.78,26.51,26.73,15.9776,950200
2010-04-13,26.71,26.74,26.47,26.59,15.8939,1104100
2010-04-14,26.56,26.66,26.41,26.65,15.9298,1239500
2010-04-15,26.55,26.65,26.28,26.65,15.9298,1390400
2010-04-16,26.61,26.75,26.31,26.35,15.7504,1733700
2010-04-19,26.27,26.4,26.15,26.3,15.7205,1375400
2010-04-20,26.45,26.7,26.37,26.7,15.9596,1297100
2010-04-21,26.75,26.92,26.66,26.91,16.0852,1418100
2010-04-22,26.9,26.9,26.45,26.64,15.9238,1930600
2010-04-23,26.62,26.82,26.45,26.82,16.0314,1265200
2010-04-26,26.86,26.86,26.63,26.68,15.9477,964200
2010-04-27,26.52,26.57,26.13,26.16,15.6369,1515600
2010-04-28,26.23,26.56,26.02,26.47,15.8222,1627400
2010-04-29,26.55,26.85,26.34,26.36,15.7564,2314800
2010-04-30,26.04,26.29,25.11,25.96,15.5173,4132500
2010-05-03,25.93,26.04,25.62,25.77,15.4037,2290300
2010-05-04,25.63,25.67,25.35,25.64,15.326,2510900
2010-05-05,25.19,25.81,25.17,25.49,15.2364,2421400
2010-05-06,25.36,25.48,23.09,24.66,14.7403,4297900
2010-05-07,24.72,24.78,23.8,24.2,14.4653,3802200
2010-05-10,25.01,25.21,24.69,25.2,15.063,2377600
2010-05-11,25.01,25.5,25.01,25.24,15.0869,2102300
2010-05-12,25.19,25.54,25.05,25.5,15.2424,1696200
2010-05-13,25.5,25.62,25.2,25.27,15.1049,1553300
2010-05-14,25.15,25.3,24.82,25.09,14.9973,1869000
2010-05-17,25.19,25.26,24.78,25.16,15.0391,1363700
2010-05-18,25.31,25.65,24.98,25.03,14.9614,1696200
2010-05-19,24.94,25.04,24.42,24.7,14.7642,1799500
2010-05-20,24.33,24.63,24.0,24.14,14.4294,3218600
