date,open,high,low,close,adjusted_close,volume
2010-01-04,46.5,47.7,46.5,47.57,16.7393,4723964
2010-01-05,47.49,49.08,47.06,48.95,17.2249,7930464
2010-01-06,49.83,49.83,48.72,49.38,17.3762,5851500
2010-01-07,49.41,50.0,49.0,49.91,17.5627,5535674
2010-01-08,49.66,49.66,48.75,49.41,17.3868,4393252
2010-01-11,49.87,50.78,49.71,50.71,17.8442,5699322
2010-01-12,51.39,51.72,50.27,50.45,17.7527,7697408
2010-01-13,50.62,51.12,50.4301,51.0,17.9463,5104220
2010-01-14,51.16,51.79,50.68,51.67,18.182,4533692
2010-01-15,51.55,51.73,50.67,51.11,17.985,5949778
2010-01-19,51.24,52.16,50.94,52.1,18.3333,6527586
2010-01-20,51.78,51.78,50.75,51.15,17.9991,5305450
2010-01-21,51.49,51.54,50.1,50.47,17.7598,8124224
2010-01-22,50.29,50.62,49.0,49.1,17.2777,8375830
2010-01-25,50.01,50.74,50.01,50.18,17.6577,9891966
2010-01-26,49.98,51.0,49.64,49.72,17.4959,9834520
2010-01-27,49.74,50.16,49.07,49.81,17.5275,8353368
2010-01-28,50.35,50.48,48.81,49.19,17.3094,8419072
2010-01-29,49.56,49.85,48.2,48.43,17.0419,8466196
2010-02-01,48.59,49.47,48.59,49.18,17.3058,6887392
2010-02-02,49.35,49.83,48.71,49.7,17.4888,10029284
2010-02-03,50.51,51.9,50.51,50.94,17.9252,11918250
2010-02-04,50.45,50.7,48.23,48.3,16.9962,10892430
2010-02-05,48.41,48.81,45.95,47.65,16.7674,17984420
2010-02-08,47.71,47.78,45.87,45.95,16.1692,13133292
2010-02-09,46.7,47.65,45.78,47.06,16.5598,11154856
2010-02-10,47.14,47.73,46.31,47.11,16.5774,6684118
2010-02-11,46.86,47.63,46.11,47.36,16.765,6632062
2010-02-12,47.0,47.21,45.87,47.14,16.6872,10385586
2010-02-16,47.52,48.38,47.15,48.25,17.0801,6281520
2010-02-17,48.72,49.13,48.33,48.74,17.2536,5900736
2010-02-18,48.25,49.06,48.05,48.85,17.2925,4833404
2010-02-19,48.68,49.3,48.11,49.04,17.3597,7212172
2010-02-22,49.28,49.38,48.8,49.12,17.3881,5541970
2010-02-23,49.19,49.364,47.79,48.13,17.0376,5783224
2010-02-24,48.24,49.25,48.24,49.07,17.3704,4585352
2010-02-25,48.39,49.26,47.95,49.19,17.4128,5502802
2010-02-26,49.15,49.54,48.8301,49.45,17.5049,4703392
2010-03-01,49.66,50.04,49.53,50.02,17.7067,5342060
2010-03-02,50.18,50.35,49.73,49.94,17.6783,4766734
2010-03-03,50.03,50.56,49.99,50.17,17.7598,5124702
2010-03-04,50.32,50.72,50.25,50.57,17.9014,5098182
2010-03-05,51.0,51.62,50.411,51.51,18.2341,5177256
2010-03-08,51.61,52.0,51.49,51.7,18.3014,4408374
2010-03-09,51.53,51.68,50.9232,51.25,18.1421,4445482
2010-03-10,51.46,52.5,51.085,52.47,18.5739,7183474
2010-03-11,52.28,52.64,51.91,52.63,18.6306,5080406
2010-03-12,52.89,53.01,52.25,52.69,18.6518,3764438
2010-03-15,52.51,52.97,52.25,52.77,18.6801,5003124
2010-03-16,52.98,53.75,52.75,53.7,19.0094,4767104
2010-03-17,54.08,55.0,53.85,54.64,19.3421,5413404
2010-03-18,54.73,54.83,54.4,54.82,19.4058,4801698
2010-03-19,55.09,55.2,54.06,54.1,19.1509,7447300
2010-03-22,53.5,53.86,53.06,53.86,19.066,4292924
2010-03-23,53.19,53.53,52.61,53.5,18.9386,7604542
2010-03-24,53.41,53.88,53.19,53.65,18.9917,4708264
2010-03-25,54.01,54.3,53.12,53.21,18.8359,5431198
2010-03-26,53.34,54.06,53.21,53.47,18.9279,4811772
2010-03-29,53.71,54.01,53.48,53.65,18.9917,4707092
2010-03-30,53.72,53.95,53.374,53.79,19.0412,5451794
2010-03-31,53.46,54.32,53.46,54.29,19.2182,6306834
2010-04-01,54.73,55.17,54.43,54.74,19.3775,4532132
2010-04-05,55.08,55.52,54.9,55.52,19.6536,4161542
2010-04-06,55.22,56.12,55.12,55.96,19.8094,4903030
2010-04-07,55.8,55.8,54.85,55.28,19.5687,5456862
2010-04-08,55.01,55.655,54.86,55.4,19.6111,5574476
2010-04-09,55.54,55.76,55.05,55.76,19.7386,3726954
2010-04-12,55.92,55.95,55.43,55.56,19.6678,4526196
2010-04-13,55.46,55.63,54.838,55.47,19.6359,4858478
2010-04-14,55.9,56.56,55.59,56.56,20.0218,4614542
2010-04-15,56.03,56.28,55.2297,55.47,19.6359,6474778
2010-04-16,55.19,55.41,53.74,54.42,19.2642,9726312
2010-04-19,53.87,54.66,53.66,54.59,19.3244,5282688
2010-04-20,54.88,55.4,54.73,55.32,19.5828,4359290
2010-04-21,55.49,55.75,54.14,54.75,19.381,4785718
2010-04-22,54.36,54.65,53.5,54.6,19.3279,4898174
2010-04-23,54.64,55.6,54.32,55.47,19.6359,5140248
2010-04-26,55.39,55.62,54.67,54.73,19.374,4925296
2010-04-27,54.25,54.38,52.21,52.41,18.5527,8470424
2010-04-28,54.13,54.24,48.73,49.63,17.5686,29953560
2010-04-29,50.82,52.57,50.5,52.33,18.5244,19296654
2010-04-30,52.05,52.36,50.93,50.96,18.0394,8957426
2010-05-03,51.4,51.74,50.84,51.43,18.2058,6408502
2010-05-04,50.31,50.5,48.06,48.82,17.2819,19391608
2010-05-05,48.06,49.35,47.25,48.14,17.0412,13016954
2010-05-06,47.86,49.02,42.49,46.28,16.3827,20330800
2010-05-07,46.26,46.5,43.4,44.27,15.6712,22672960
2010-05-10,47.52,50.4,44.51,49.75,17.6111,27616380
2010-05-11,48.68,50.25,48.36,48.94,17.3243,10551538
2010-05-12,49.06,50.1899,48.75,50.04,17.7137,8820944
2010-05-13,50.1,50.1,48.41,48.42,17.1403,5581902
2010-05-14,47.86,47.91,45.0,45.9,16.2482,17390750
2010-05-17,45.41,46.26,44.63,45.97,16.3729,10639588
