date,open,high,low,close,adjusted_close,volume
2010-01-04,30.53,30.54,29.41,29.89,19.5065,7750900
2010-01-05,29.98,30.36,29.15,29.33,19.141,8920500
2010-01-06,29.35,29.4,28.76,29.14,19.017,7163500
2010-01-07,29.0,29.1,28.27,28.58,18.6515,9235500
2010-01-08,28.63,30.2,28.61,29.34,19.1475,12702600
2010-01-11,29.83,30.27,29.04,29.63,19.3368,10730700
2010-01-12,29.59,30.15,28.27,28.46,18.5732,9036300
2010-01-13,28.99,29.25,28.35,29.06,18.9648,6138000
2010-01-14,28.72,28.89,28.37,28.6,18.6646,6143300
2010-01-15,28.56,28.65,28.04,28.06,18.3122,5545200
2010-01-19,28.05,29.57,27.29,28.25,18.4362,18187900
2010-01-20,28.06,29.1,27.78,27.96,18.2469,6911400
2010-01-21,28.01,28.78,27.42,27.55,17.9793,8018300
2010-01-22,27.69,27.75,26.35,26.5,17.2941,5902700
2010-01-25,26.74,27.0,25.5,26.09,17.0265,6672200
2010-01-26,25.7,25.94,24.08,24.4,15.9236,8585600
2010-01-27,24.48,25.19,23.04,24.91,16.2565,16431200
2010-01-28,25.85,26.02,24.05,24.16,15.767,7113600
2010-01-29,24.53,24.74,24.08,24.23,15.8127,5708200
2010-02-01,24.38,24.5,23.44,23.96,15.6365,4632200
2010-02-02,23.99,24.4,23.67,23.97,15.643,5869300
2010-02-03,23.89,24.45,23.71,23.79,15.5255,4817500
2010-02-04,23.53,23.74,22.56,22.59,14.7424,5951800
2010-02-05,22.5,22.62,21.54,22.41,14.6249,7498300
2010-02-08,22.41,22.8,21.8,22.16,14.4618,4293600
2010-02-09,22.38,23.8,22.15,23.14,15.1013,9705500
2010-02-10,23.21,27.64,22.95,26.92,17.5682,31633400
2010-02-11,26.5,28.65,26.02,26.3,17.1636,31152700
2010-02-12,25.82,27.12,25.38,26.82,17.5029,13396300
2010-02-16,27.43,27.89,27.05,27.43,17.901,6887900
2010-02-17,27.53,27.84,26.66,26.9,17.5552,5361600
2010-02-18,26.41,27.52,26.25,26.71,17.4312,6481400
2010-02-19,26.54,26.83,26.34,26.53,17.3137,4671500
2010-02-22,26.89,29.3,26.57,28.43,18.5536,24154700
2010-02-23,28.22,28.77,26.58,26.76,17.4638,13607000
2010-02-24,27.16,28.46,26.86,27.99,18.2665,12118400
2010-02-25,27.44,28.55,27.0,27.51,17.9532,12376000
2010-02-26,25.67,25.94,24.71,24.77,16.1651,27126500
2010-03-01,27.96,27.98,25.78,25.78,16.8242,29658700
2010-03-02,25.93,25.94,24.5,25.03,16.3348,18185800
2010-03-03,25.11,25.45,24.54,24.88,16.2369,10424000
2010-03-04,25.09,27.29,24.99,26.71,17.4312,25802100
2010-03-05,26.94,28.62,26.74,28.08,18.3252,19516700
2010-03-08,29.43,30.25,28.65,29.1,18.9909,27312500
2010-03-09,28.39,34.8,28.08,32.77,21.386,57916300
2010-03-10,33.9,37.34,33.2,36.24,23.6505,70650900
2010-03-11,37.61,38.45,35.02,35.11,22.9131,46473300
2010-03-12,36.1,36.45,33.83,34.23,22.3388,21011100
2010-03-15,34.51,36.37,33.3,34.32,22.3975,43645300
2010-03-16,34.79,35.98,33.34,33.61,21.9342,35336600
2010-03-17,34.48,34.68,33.82,34.41,22.4562,18017700
2010-03-18,34.84,35.38,34.1,34.64,22.6063,14330100
2010-03-19,34.8,35.02,33.85,34.8,22.7108,11326800
2010-03-22,33.82,34.18,33.1,33.39,21.7906,14772300
2010-03-23,33.65,33.8,32.25,33.28,21.7188,13088000
2010-03-24,33.01,34.33,32.94,33.17,21.647,13741900
2010-03-25,33.71,35.67,33.34,34.51,22.5215,29454700
2010-03-26,34.83,35.6,33.86,34.21,22.3257,13033500
2010-03-29,34.65,35.0,33.86,34.45,22.4823,10840700
2010-03-30,34.86,35.15,34.08,34.19,22.3127,8607400
2010-03-31,33.95,34.72,33.6,34.14,22.28,8121500
2010-04-01,34.25,34.49,33.81,34.11,22.2605,6250200
2010-04-05,34.43,35.45,33.9,35.06,22.8804,16281300
2010-04-06,35.49,36.38,35.2,35.91,23.4352,19971000
2010-04-07,36.52,39.9,35.92,39.69,25.902,34528800
2010-04-08,39.92,40.8,37.52,37.59,24.5315,33895100
2010-04-09,38.16,39.3,37.75,38.14,24.8905,22286200
2010-04-12,39.13,42.0,38.67,41.22,26.9005,45905900
2010-04-13,41.31,41.74,39.9,40.15,26.2022,22117600
2010-04-14,40.39,40.97,39.5,39.74,25.9346,15230000
2010-04-15,39.98,41.19,39.5,39.98,26.0913,16973000
2010-04-16,40.06,41.95,39.02,39.15,25.5496,30408100
2010-04-19,38.74,39.87,38.33,39.09,25.5104,14823200
2010-04-20,39.62,42.12,39.36,41.63,27.1681,27569900
2010-04-21,41.77,42.9,40.5,40.9,26.6917,24102000
2010-04-22,40.74,43.5,40.2,43.25,28.2253,29674800
2010-04-23,43.73,45.0,43.35,44.38,28.9627,19754400
2010-04-26,44.82,45.9,44.2,44.51,29.0476,17042500
2010-04-27,42.18,42.7,37.03,37.37,24.388,33538900
2010-04-28,38.56,40.47,38.22,39.51,25.7845,24288400
2010-04-29,40.5,40.88,39.9,40.23,26.2544,10597400
2010-04-30,40.45,40.73,38.22,38.9,25.3864,11897600
2010-05-03,39.53,40.16,39.09,39.54,25.8041,7782300
2010-05-04,38.7,39.2,37.85,38.25,24.9623,7419400
2010-05-05,37.0,38.2,36.09,37.7,24.6033,9423600
2010-05-06,37.78,38.62,33.37,36.75,23.9833,13260300
2010-05-07,38.07,40.0,35.0,38.7,25.2559,26375800
2010-05-10,41.27,41.84,40.36,40.98,26.7439,10195800
2010-05-11,40.61,43.99,40.03,42.89,27.9904,18430500
2010-05-12,43.82,44.36,41.3,41.4,27.018,16040500
2010-05-13,41.55,42.64,40.51,40.65,26.5285,9449400
2010-05-14,39.97,40.18,39.17,39.72,25.9216,7303700
2010-05-17,39.62,39.96,37.39,39.0,25.4517,7616500
2010-05-18,39.45,39.98,37.5,37.78,24.6555,8138100
2010-05-19,37.23,38.94,36.4,37.33,24.3619,9364300
2010-05-20,36.3,36.96,34.6,34.81,22.7173,10850000
2010-05-21,34.25,36.58,33.63,35.96,23.4678,10097900
2010-05-24,36.25,36.65,34.5,34.53,22.5346,7661300
2010-05-25,33.03,34.57,32.11,34.49,22.5084,9238900
2010-05-26,35.12,35.63,33.9,34.05,22.2213,8827300
2010-05-27,35.01,36.46,34.59,36.46,23.7941,8021400
2010-05-28,36.99,37.0,34.99,35.38,23.0893,6277400
2010-06-01,34.74,35.9,34.18,34.25,22.3518,6572300
2010-06-02,34.31,35.68,34.05,35.06,22.8804,5437900
2010-06-03,35.19,35.66,34.55,35.2,22.9718,4324400
2010-06-04,34.45,35.3,34.3,34.75,22.6781,3907900
2010-06-07,34.76,35.45,33.8,34.08,22.2409,3743700
2010-06-08,34.07,34.64,33.51,34.31,22.391,4704900
2010-06-09,34.5,35.74,34.0,34.22,22.3322,5794200
2010-06-10,34.74,35.39,34.3,35.3,23.0371,3564100
2010-06-11,34.76,35.17,34.41,35.08,22.8935,2531800
2010-06-14,35.22,38.55,35.22,37.09,24.2052,11267500
2010-06-15,37.27,38.23,37.01,37.88,24.7208,5867800
