date,open,high,low,close,adjusted_close,volume
2010-01-04,29.7,30.21,29.61,30.16,22.6545,1228188
2010-01-05,30.06,31.08,30.0,31.06,23.3305,1377581
2010-01-06,30.92,31.06,30.61,30.97,23.2629,1326886
2010-01-07,30.83,31.41,30.68,31.35,23.5483,1022471
2010-01-08,31.29,31.4,31.02,31.37,23.5633,592362
2010-01-11,31.5,31.82,31.29,31.59,23.7286,660055
2010-01-12,31.42,31.87,31.21,31.3,23.5108,770461
2010-01-13,31.45,31.8,31.21,31.59,23.7286,555475
2010-01-14,31.49,31.51,30.97,31.26,23.4807,1025576
2010-01-15,31.13,31.18,30.38,30.53,22.9324,1367282
2010-01-19,30.5,31.07,30.34,30.83,23.1577,2084774
2010-01-20,30.6,30.73,29.95,30.3,22.7596,1283447
2010-01-21,30.23,31.47,29.59,31.3,23.5108,4078876
2010-01-22,31.32,32.65,31.12,31.83,23.9089,4528832
2010-01-25,32.24,32.34,31.92,32.12,24.1267,2152872
2010-01-26,31.95,32.48,31.445,31.49,23.6535,1441451
2010-01-27,31.41,31.98,31.12,31.85,23.9239,1240108
2010-01-28,32.08,32.08,31.48,31.58,23.7211,1085286
2010-01-29,31.75,32.03,31.4,31.43,23.6084,991233
2010-02-01,31.62,32.2,31.28,31.67,23.7887,1996240
2010-02-02,31.66,32.12,31.56,32.11,24.1192,674333
2010-02-03,31.94,32.05,31.29,31.66,23.7812,1158291
2010-02-04,31.78,32.81,31.541,31.73,23.8338,3295349
2010-02-05,31.53,31.62,30.18,30.92,23.2253,2015462
2010-02-08,31.06,31.24,30.16,30.16,22.6545,1155688
2010-02-09,30.46,30.79,30.19,30.37,22.8122,1180980
2010-02-10,30.32,30.35,29.92,30.13,22.6319,1844297
2010-02-11,29.85,30.13,29.54,29.76,22.354,2199680
2010-02-12,29.5,29.87,29.08,29.86,22.4291,1781932
2010-02-16,30.28,30.82,30.05,30.81,23.1427,1078919
2010-02-17,30.88,31.07,30.59,30.71,23.0676,1281410
2010-02-18,30.55,30.91,30.47,30.65,23.1355,1496004
2010-02-19,30.7,31.14,30.425,30.91,23.3318,1596208
2010-02-22,30.94,31.11,30.64,30.81,23.2563,1438469
2010-02-23,30.76,30.89,30.01,30.43,22.9695,2293646
2010-02-24,30.54,30.97,30.47,30.95,23.362,1001234
2010-02-25,30.63,30.7,30.33,30.56,23.0676,2325548
2010-02-26,30.6,30.65,30.15,30.52,23.0374,1248981
2010-03-01,30.52,30.85,30.355,30.65,23.1355,1434325
2010-03-02,30.74,30.87,30.49,30.73,23.1959,1047978
2010-03-03,30.8,30.99,30.68,30.77,23.2261,900458
2010-03-04,30.87,31.24,30.76,30.97,23.3771,1982557
2010-03-05,31.12,31.69,31.1,31.68,23.913,1361814
2010-03-08,31.65,32.24,31.64,32.22,24.3206,1491233
2010-03-09,32.05,32.42,32.05,32.34,24.4112,1308920
2010-03-10,32.42,32.69,32.29,32.61,24.615,1632056
2010-03-11,32.5,33.02,32.3,32.98,24.8943,1286309
2010-03-12,33.08,33.269,32.74,32.9,24.8339,1094267
2010-03-15,32.82,33.0,32.49,32.62,24.6225,1701067
2010-03-16,32.72,33.21,32.68,33.14,25.0151,1287216
2010-03-17,33.24,33.76,33.15,33.5,25.2868,828740
2010-03-18,33.4,33.45,33.06,33.3,25.1358,1046760
2010-03-19,33.36,33.53,33.03,33.2,25.0603,1239938
2010-03-22,33.0,33.35,32.81,33.35,25.1736,911830
2010-03-23,33.29,33.48,32.92,33.17,25.0377,1029176
2010-03-24,33.12,33.541,33.01,33.48,25.2717,878329
2010-03-25,33.56,34.14,33.49,33.67,25.4151,1433678
2010-03-26,33.79,34.15,33.64,33.97,25.6416,1416863
2010-03-29,34.02,34.41,33.99,34.37,25.9435,901915
2010-03-30,34.44,34.6,34.21,34.34,25.9208,877569
2010-03-31,34.32,34.46,34.07,34.38,25.951,1091828
2010-04-01,34.6,35.01,34.45,34.89,26.336,990999
2010-04-05,34.87,35.63,34.87,35.63,26.8946,1001554
2010-04-06,35.41,35.66,35.16,35.47,26.7738,912190
2010-04-07,35.48,35.55,34.74,34.9,26.3436,1011940
2010-04-08,34.86,34.86,34.54,34.76,26.2379,1298830
2010-04-09,34.78,34.78,34.38,34.63,26.1397,967448
2010-04-12,34.72,34.98,34.59,34.96,26.3888,770086
2010-04-13,35.0,35.19,34.7,35.02,26.4341,744446
2010-04-14,35.09,35.79,35.04,35.79,27.0154,744765
2010-04-15,35.62,35.8399,35.38,35.69,26.9399,616943
2010-04-16,35.5,35.61,34.34,34.44,25.9963,1445130
2010-04-19,34.25,34.96,34.16,34.89,26.336,1178359
2010-04-20,35.09,35.32,34.83,35.0,26.419,834039
2010-04-21,35.0,35.07,34.61,34.94,26.3737,1246333
2010-04-22,34.66,34.97,34.45,34.92,26.3586,937963
2010-04-23,34.91,35.0,34.73,34.89,26.336,1349464
2010-04-26,34.81,35.115,34.76,34.94,26.3737,1824488
2010-04-27,34.7,34.93,33.7,33.79,25.5057,1314063
2010-04-28,34.05,34.46,33.47,33.69,25.4302,1939359
2010-04-29,35.45,36.5,34.18,36.36,27.4456,2707235
2010-04-30,36.3,37.07,36.1075,36.43,27.4984,1765114
2010-05-03,36.71,37.02,36.46,36.57,27.6041,1532284
2010-05-04,36.21,36.27,35.31,35.6,26.8719,1164405
2010-05-05,35.2,37.04,35.12,36.45,27.5135,2343072
2010-05-06,36.23,36.94,33.25,35.27,26.6228,2939306
2010-05-07,35.12,35.75,34.14,34.65,26.1548,2696682
2010-05-10,36.16,37.1,36.0,36.54,27.5815,1822937
2010-05-11,36.03,36.9,35.84,36.26,27.3701,1183885
2010-05-12,36.46,37.22,36.37,37.18,28.0646,1224713
2010-05-13,37.15,37.55,36.87,37.02,27.9438,1404952
2010-05-14,36.68,36.81,35.52,35.87,27.0757,2186817
2010-05-17,35.97,36.39,35.28,36.24,27.355,1461816
2010-05-18,35.41,36.2,35.05,35.29,26.6379,2072399
2010-05-19,35.14,35.66,34.6201,35.42,26.7361,1688907
2010-05-20,34.49,35.09,33.8,33.83,25.6518,2756459
2010-05-21,33.35,34.42,33.12,34.3,26.0081,2691855
2010-05-24,34.04,34.19,33.52,33.54,25.4319,1711035
2010-05-25,32.68,34.4599,32.47,34.37,26.0612,2278065
2010-05-26,34.52,34.87,34.09,34.19,25.9247,2503549
2010-05-27,34.73,35.35,34.73,35.3,26.7664,1951123
2010-05-28,35.2,35.2,34.5,34.7,26.3114,2387358
2010-06-01,34.13,35.1897,34.04,34.62,26.2508,2022948
2010-06-02,34.87,35.72,34.59,35.72,27.0849,1538427
2010-06-03,35.73,36.22,35.46,35.78,27.1304,1416402
2010-06-04,35.1,35.24,34.2,34.31,26.0157,1649204
2010-06-07,34.46,34.54,33.74,33.77,25.6063,1425170
2010-06-08,33.84,34.19,33.15,34.12,25.8717,1918024
