date,open,high,low,close,adjusted_close,volume
2010-01-04,30.36,30.51,30.09,30.41,21.9491,2631000
2010-01-05,30.48,30.97,30.14,30.91,22.31,5342100
2010-01-06,30.9,30.98,30.69,30.92,22.3172,3399500
2010-01-07,30.85,31.16,30.61,31.08,22.4327,3694900
2010-01-08,30.89,31.29,30.79,31.21,22.5265,2806800
2010-01-11,31.34,31.44,31.04,31.21,22.5265,2168200
2010-01-12,31.44,31.73,31.1,31.18,22.5049,5354300
2010-01-13,31.19,31.68,31.19,31.46,22.707,3517200
2010-01-14,31.35,31.73,31.05,31.64,22.8369,3368900
2010-01-15,31.56,31.56,30.68,30.91,22.31,4696600
2010-01-19,30.8,31.43,30.6,31.39,22.6565,3008800
2010-01-20,31.23,31.23,30.69,31.22,22.5338,3577200
2010-01-21,31.16,31.43,30.43,30.83,22.2523,4900800
2010-01-22,30.83,31.04,29.92,29.98,21.6388,7059000
2010-01-25,30.33,30.63,29.93,30.35,21.9058,4136900
2010-01-26,30.28,31.07,30.1,30.28,21.8553,4427200
2010-01-27,30.22,30.54,29.75,30.28,21.8553,5202500
2010-01-28,30.52,30.52,29.69,29.95,21.6171,2919000
2010-01-29,30.13,30.38,29.86,29.93,21.6027,2893600
2010-02-01,30.11,30.26,29.73,29.95,21.6171,2324400
2010-02-02,29.85,30.55,29.85,30.52,22.0285,2854600
2010-02-03,30.36,30.36,29.61,29.83,21.5305,4372700
2010-02-04,29.63,29.81,28.69,28.69,20.7077,6428100
2010-02-05,28.69,29.01,28.13,28.91,20.8665,5576600
2010-02-08,28.84,28.85,28.32,28.36,20.4695,2845000
2010-02-09,28.64,28.79,28.23,28.73,20.7366,2813600
2010-02-10,28.73,28.82,28.31,28.6,20.6427,3970200
2010-02-11,28.56,29.84,28.24,29.41,21.2274,5967700
2010-02-12,29.24,29.59,29.06,29.53,21.314,5884500
2010-02-16,30.02,30.56,29.85,30.52,22.0285,5622600
2010-02-17,30.7,30.75,30.47,30.69,22.1512,4745500
2010-02-18,30.56,31.3,30.56,31.25,22.5554,4801300
2010-02-19,31.07,31.28,30.87,31.22,22.5338,4879900
2010-02-22,31.22,31.48,31.02,31.41,22.6709,3692400
2010-02-23,31.29,31.62,31.06,31.18,22.5049,5503500
2010-02-24,31.18,31.3,31.0,31.28,22.5771,4225600
2010-02-25,30.83,31.31,30.65,31.3,22.5915,4250500
2010-02-26,31.21,31.4,30.95,31.25,22.5554,3983700
2010-03-01,31.25,31.69,31.24,31.57,22.7864,4535000
2010-03-02,31.66,32.18,31.62,32.02,23.1112,5472100
2010-03-03,32.07,32.3,31.93,31.99,23.0895,4420400
2010-03-04,32.07,32.09,31.82,31.94,23.0534,5962100
2010-03-05,32.14,32.25,31.84,32.14,23.1978,4967600
2010-03-08,32.11,32.24,31.96,31.99,23.0895,4463800
2010-03-09,31.82,31.96,31.73,31.87,23.0029,4049600
2010-03-10,31.65,31.75,31.34,31.6,22.9521,4295300
2010-03-11,31.5,31.83,31.36,31.78,23.0828,3010600
2010-03-12,31.96,32.01,31.36,31.47,22.8577,4125800
2010-03-15,31.35,31.42,30.67,30.93,22.4654,7307800
2010-03-16,30.96,31.03,30.7,31.02,22.5308,4792600
2010-03-17,31.18,31.55,31.01,31.27,22.7124,5769500
2010-03-18,31.28,31.43,30.99,31.38,22.7923,4156200
2010-03-19,31.26,31.49,31.07,31.26,22.7051,5370200
2010-03-22,31.02,31.24,30.91,31.08,22.5744,5241400
2010-03-23,31.07,31.44,30.96,31.44,22.8359,2925000
2010-03-24,31.28,31.48,31.09,31.33,22.756,3228100
2010-03-25,31.52,31.97,31.32,31.56,22.923,5614700
2010-03-26,31.67,32.48,31.66,32.2,23.3879,6639500
2010-03-29,32.38,32.46,32.16,32.26,23.4315,3419500
2010-03-30,32.22,32.25,31.94,32.06,23.2862,2404300
2010-03-31,31.95,32.35,31.86,32.31,23.4678,3573000
2010-04-01,32.44,32.66,32.29,32.49,23.5985,2893500
2010-04-05,32.77,32.77,32.42,32.63,23.7002,2285500
2010-04-06,32.58,32.74,32.37,32.62,23.6929,3026200
2010-04-07,32.52,33.12,32.43,32.77,23.8019,3948400
2010-04-08,32.76,33.13,32.53,33.1,24.0416,4685400
2010-04-09,33.16,33.33,32.8,32.97,23.9472,3045600
2010-04-12,33.15,33.18,32.9,33.04,23.998,2390500
2010-04-13,32.92,33.26,32.92,33.06,24.0125,4307600
2010-04-14,33.26,34.48,33.2,34.33,24.935,8755800
2010-04-15,34.33,34.44,33.97,34.3,24.9132,4530600
2010-04-16,34.16,34.53,33.49,33.85,24.5863,8637200
2010-04-19,33.62,34.31,33.11,34.19,24.8333,7697200
2010-04-20,34.5,35.51,34.21,35.43,25.7339,10241700
2010-04-21,35.39,35.46,34.56,34.89,25.3417,5969900
2010-04-22,34.61,35.19,34.37,35.17,25.5451,4905900
2010-04-23,34.97,35.25,34.8,35.19,25.5596,4811300
2010-04-26,35.19,35.29,34.74,34.8,25.2763,4783800
2010-04-27,34.54,34.54,33.19,33.27,24.165,7799800
2010-04-28,33.57,34.19,33.5,33.77,24.5282,6624900
2010-04-29,33.95,34.28,32.67,33.27,24.165,11904400
2010-04-30,33.15,33.45,32.58,32.67,23.7293,5986100
2010-05-03,32.96,33.41,32.86,33.04,23.998,3824600
2010-05-04,32.68,32.69,31.91,32.08,23.3007,8419200
2010-05-05,31.61,32.95,31.61,32.69,23.7438,13110300
2010-05-06,32.54,33.04,31.01,32.06,23.2862,9836500
2010-05-07,31.9,32.66,31.53,31.8,23.0973,8952900
2010-05-10,33.36,33.36,32.5,33.32,24.2014,6275300
2010-05-11,32.87,33.25,32.66,32.75,23.7874,6094600
2010-05-12,32.92,33.2,32.87,33.11,24.0488,5169100
2010-05-13,33.08,33.08,32.54,32.56,23.6494,4349000
2010-05-14,32.25,32.38,31.62,31.87,23.1482,4684000
2010-05-17,31.86,32.1,31.38,31.99,23.2353,4593200
2010-05-18,32.18,32.34,31.28,31.38,22.7923,4254900
2010-05-19,31.07,31.65,30.9,31.38,22.7923,5459800
2010-05-20,30.8,31.0,30.02,30.07,21.8408,7285600
2010-05-21,29.51,30.6,29.47,30.54,22.1822,5876300
2010-05-24,30.62,30.62,29.81,29.84,21.6737,4502000
2010-05-25,29.24,30.04,28.83,30.04,21.819,4782100
2010-05-26,30.27,30.27,29.46,29.53,21.5923,3848500
2010-05-27,30.02,30.79,29.96,30.77,22.499,4012800
2010-05-28,30.68,31.02,30.4,30.63,22.3966,4499300
2010-06-01,30.34,30.57,29.66,29.66,21.6874,4388100
2010-06-02,29.78,30.23,29.6,30.22,22.0969,5564800
2010-06-03,30.38,30.48,29.96,30.17,22.0603,3403500
2010-06-04,29.62,29.77,28.86,28.94,21.1609,5398600
2010-06-07,29.07,29.39,28.66,28.67,20.9635,4490700
2010-06-08,28.79,29.26,28.41,29.25,21.3876,4775900
2010-06-09,29.31,29.49,28.76,28.85,21.0951,3904000
2010-06-10,29.19,29.85,29.03,29.8,21.7898,4426600
2010-06-11,29.59,29.99,29.23,29.98,21.9214,2747800
2010-06-14,30.21,30.55,29.93,29.95,21.8994,3425100
2010-06-15,30.13,30.72,29.92,30.67,22.4259,3133100
2010-06-16,30.49,30.51,30.12,30.22,22.0969,4537900
2010-06-17,30.33,30.37,29.87,30.06,21.9799,5162100
2010-06-18,30.17,30.61,30.04,30.54,22.3308,4636400
2010-06-21,30.84,30.93,30.11,30.27,22.1334,3675100
2010-06-22,30.26,31.04,30.2,30.55,22.3382,6784500
2010-06-23,30.53,30.67,30.17,30.45,22.265,6765400
2010-06-24,30.25,30.35,29.5,29.57,21.6216,5300000
2010-06-25,29.79,30.85,29.43,30.83,22.5429,9614800
2010-06-28,30.82,30.94,29.93,30.0,21.936,4831700
2010-06-29,29.65,29.7,28.83,29.01,21.2121,6005600
2010-06-30,29.11,29.28,28.68,28.73,21.0074,5248400
2010-07-01,28.87,28.87,27.97,28.39,20.7588,6115400
2010-07-02,28.63,28.84,28.01,28.28,20.6783,3330100
2010-07-06,28.61,28.8,27.69,27.93,20.4224,4988300
2010-07-07,27.92,28.89,27.82,28.81,21.0659,5268100
2010-07-08,28.89,29.29,28.86,29.21,21.3583,3354300
2010-07-09,29.35,29.48,29.14,29.44,21.5265,2773600
2010-07-12,29.33,29.33,28.96,29.11,21.2852,3656200
2010-07-13,29.31,29.55,29.18,29.32,21.4388,4162900
2010-07-14,29.14,29.38,28.78,29.0,21.2048,5845300
2010-07-15,29.01,29.01,28.48,28.88,21.117,4955500
2010-07-16,28.58,28.71,27.75,27.83,20.3493,7322100
2010-07-19,27.93,28.06,27.52,27.9,20.4005,3760300
2010-07-20,27.44,28.31,27.25,28.27,20.671,3907900
2010-07-21,28.47,28.54,27.4,27.43,20.0568,4480800
2010-07-22,27.39,28.07,27.28,28.06,20.5175,5828700
2010-07-23,28.05,28.52,27.78,28.28,20.6783,5192300
2010-07-26,28.18,28.45,27.93,28.33,20.7149,3919300
2010-07-27,28.6,28.79,28.38,28.61,20.9196,5739400
2010-07-28,28.55,28.61,28.22,28.25,20.6564,4150800
2010-07-29,28.4,28.83,27.87,28.25,20.6564,5635300
2010-07-30,27.94,28.45,27.76,28.24,20.6491,3922900
2010-08-02,28.66,28.9,28.54,28.83,21.0805,4613200
2010-08-03,28.8,28.92,28.49,28.55,20.8758,5120500
2010-08-04,28.63,28.83,28.43,28.61,20.9196,8532600
2010-08-05,29.33,29.61,28.58,29.41,21.5046,9532400
2010-08-06,29.19,29.55,28.62,28.98,21.1902,6047600
2010-08-09,29.16,29.64,29.08,29.63,21.6654,5274100
