date,open,high,low,close,adjusted_close,volume
2010-01-04,38.4501,39.2,38.4501,38.6001,15.6454,876825
2010-01-05,38.6501,38.7401,38.3801,38.43,15.5764,714150
2010-01-06,38.5001,38.64,38.3499,38.4701,15.5927,725625
2010-01-07,38.2001,38.6702,38.1801,38.57,15.6331,799650
2010-01-08,38.5601,39.3501,38.2202,39.3201,15.9372,991575
2010-01-11,39.3501,39.5901,38.9799,39.5501,16.0304,446850
2010-01-12,39.2499,39.33,38.6901,38.7401,15.7021,675225
2010-01-13,38.7201,38.8899,38.43,38.8502,15.7467,569250
2010-01-14,38.64,39.3101,38.6001,38.8601,15.7507,428400
2010-01-15,38.88,39.09,38.2901,38.4399,15.5804,320850
2010-01-19,38.5299,39.27,38.4902,38.6801,15.6777,718650
2010-01-20,38.4002,38.5601,38.1,38.3201,15.5318,631125
2010-01-21,38.2401,38.7999,37.98,38.2001,15.4832,827550
2010-01-22,38.3,38.3601,37.31,37.3701,15.1468,677700
2010-01-25,37.58,37.6001,36.9401,37.13,15.0495,1804275
2010-01-26,37.1901,37.2,36.0999,36.66,14.859,2155725
2010-01-27,36.5601,36.7401,35.8101,36.2001,14.6726,1091250
2010-01-28,36.21,36.57,35.9001,36.4599,14.7779,1163250
2010-01-29,36.68,37.4301,36.4401,36.4401,14.7699,1729350
2010-02-01,36.63,36.9999,36.5801,36.7601,14.8996,869625
2010-02-02,36.7001,37.4601,36.59,37.29,15.1143,981000
2010-02-03,37.11,37.5902,36.9201,37.2,15.0778,715275
2010-02-04,36.8501,36.9,36.1601,36.1601,14.6563,1068975
2010-02-05,36.14,36.36,35.64,36.2901,14.709,1216575
2010-02-08,36.2001,36.68,36.0099,36.2799,14.7049,1080225
2010-02-09,36.59,36.8901,36.4301,36.77,14.9036,972900
2010-02-10,36.5801,37.1402,36.5601,36.7001,14.8752,891000
2010-02-11,36.72,37.3301,36.63,37.2501,15.0982,737550
2010-02-12,36.99,37.6601,36.6501,37.65,15.2602,970200
2010-02-16,37.8701,38.0799,37.7702,38.03,15.4143,794925
2010-02-17,38.0799,38.34,37.7001,37.9601,15.3859,674550
2010-02-18,38.0601,38.4002,37.92,38.37,15.5521,411525
2010-02-19,38.25,38.8701,38.25,38.82,15.7345,743850
2010-02-22,38.8899,39.0,38.7201,38.8701,15.7548,627075
2010-02-23,38.6901,38.9201,38.07,38.1501,15.463,578250
2010-02-24,38.3301,38.3601,38.0501,38.2001,15.4832,770175
2010-02-25,37.5501,38.88,37.4601,38.7999,15.7264,1327275
2010-02-26,38.9201,39.1301,38.6501,39.0401,15.8237,1030275
2010-03-01,39.0699,39.8501,39.0302,39.5501,16.0304,618750
2010-03-02,39.51,40.0001,39.45,39.78,16.1236,652725
2010-03-03,39.96,40.4001,39.7502,40.14,16.2695,699750
2010-03-04,40.14,40.2101,39.69,39.8799,16.1641,783900
2010-03-05,39.9401,40.0301,39.74,39.9501,16.1925,989325
2010-03-08,39.83,40.0001,39.56,39.7301,16.1034,596925
2010-03-09,39.72,39.9501,39.6602,39.78,16.1236,617400
2010-03-10,39.6401,40.0901,39.56,39.9501,16.1925,1279575
2010-03-11,39.6602,40.05,39.4901,40.0401,16.229,1041975
2010-03-12,40.1102,40.19,39.72,40.14,16.2695,820350
2010-03-15,40.1102,40.28,39.6,39.9401,16.2127,594000
2010-03-16,39.96,40.05,39.5702,39.7899,16.1518,1462725
2010-03-17,39.7701,40.14,39.6801,39.7101,16.1194,1151775
2010-03-18,39.6999,39.8001,39.29,39.63,16.0869,1152000
2010-03-19,39.5199,39.6602,39.2,39.5199,16.0422,1333350
2010-03-22,39.24,40.0599,39.24,39.8001,16.1559,1642500
2010-03-23,39.9302,40.2701,39.69,40.1801,16.3102,1379925
2010-03-24,40.0901,40.32,40.0001,40.0202,16.2452,1820475
2010-03-25,40.14,40.3101,39.6701,39.6701,16.1031,1717875
2010-03-26,39.6701,40.1499,39.65,39.92,16.2046,1452375
2010-03-29,39.9699,40.6502,39.9699,40.6502,16.501,865575
2010-03-30,40.6601,41.5899,40.6301,41.4999,16.8459,1746450
2010-03-31,41.49,41.8401,41.1902,41.4602,16.8298,1576350
2010-04-01,41.7,42.3,41.6402,41.8701,16.9962,1021500
2010-04-05,41.8599,42.2301,41.7801,42.0101,17.053,602100
2010-04-06,41.85,42.3201,41.7801,42.24,17.1463,586575
2010-04-07,42.2901,42.44,41.8301,42.1001,17.0895,753525
2010-04-08,42.06,42.3602,41.72,42.3602,17.1951,671175
2010-04-09,42.3999,42.5001,42.1601,42.44,17.2275,632475
2010-04-12,42.6,42.6,42.2702,42.48,17.2438,433800
2010-04-13,42.3801,42.5901,42.24,42.4502,17.2316,609525
2010-04-14,42.62,42.6699,42.35,42.5601,17.2763,844875
2010-04-15,42.5402,42.5402,42.1101,42.1401,17.1058,1119150
2010-04-16,42.0399,42.3701,41.7101,41.79,16.9637,1143450
2010-04-19,41.8001,41.9301,41.3801,41.5701,16.8744,916875
2010-04-20,41.81,42.0902,41.63,41.6799,16.919,1121175
2010-04-21,42.8102,42.9701,41.7699,42.9201,17.4224,3826800
2010-04-22,42.7001,43.23,42.57,43.1301,17.5076,1308825
2010-04-23,43.02,43.7102,42.8499,43.5302,17.67,925200
2010-04-26,43.5501,43.7102,43.1901,43.25,17.5563,1014075
2010-04-27,43.95,44.0001,43.0299,43.14,17.5117,1768275
2010-04-28,44.3799,44.3799,43.43,43.5801,17.6903,1141200
2010-04-29,43.7201,44.19,43.7201,44.0702,17.8892,864000
2010-04-30,43.9802,44.1,43.25,43.25,17.5563,1000575
2010-05-03,43.59,44.0702,43.56,44.04,17.877,782100
2010-05-04,43.6401,43.7,42.66,43.0001,17.4548,1195650
2010-05-05,42.71,42.89,41.8901,41.9801,17.0408,1184400
2010-05-06,41.7801,42.1802,38.0001,40.71,16.5253,2087325
2010-05-07,40.64,41.52,40.0401,40.2201,16.3264,2695275
2010-05-10,41.13,42.6,40.82,42.5799,17.2843,1596150
2010-05-11,42.15,42.9002,42.0902,42.6501,17.3128,1398375
2010-05-12,42.7701,43.5,42.5501,43.47,17.6456,920700
2010-05-13,43.3601,43.6901,43.2099,43.3601,17.601,710100
2010-05-14,43.11,43.1801,42.35,43.0802,17.4874,1911825
2010-05-17,43.25,43.4402,42.5001,43.1199,17.5035,2117700
2010-05-18,43.5302,43.56,42.42,42.5201,17.26,949275
2010-05-19,42.2501,42.4101,41.04,41.49,16.8419,1306800
2010-05-20,40.4901,41.34,40.35,40.7402,16.5375,2263950
2010-05-21,40.0901,40.95,40.0901,40.5801,16.4726,2118600
2010-05-24,40.5602,41.0499,40.4702,40.5099,16.4441,1035000
2010-05-25,39.7301,40.5099,38.9402,40.4301,16.4116,1707300
2010-05-26,40.53,41.04,39.9401,40.0701,16.2655,1507275
2010-05-27,40.7601,41.4201,40.4801,41.4201,16.8135,1038600
2010-05-28,41.2802,41.3199,40.44,40.5999,16.4806,1020825
2010-06-01,40.4801,41.25,40.2101,40.2101,16.3223,848475
2010-06-02,40.3401,41.5502,40.3401,41.5301,16.8582,1145475
2010-06-03,41.3501,42.03,41.31,41.9201,17.0164,1135125
2010-06-04,41.2001,41.36,40.08,40.17,16.3061,2042325
2010-06-07,40.3001,40.3001,39.4601,39.5199,16.0422,1293975
2010-06-08,39.51,39.9101,39.1001,39.74,16.1315,1315800
2010-06-09,39.8799,40.8401,39.7502,39.92,16.2046,979875
2010-06-10,40.6301,41.0301,40.5201,40.9301,16.6146,806850
2010-06-11,40.5,41.5301,40.4199,41.4,16.8054,862425
2010-06-14,41.61,42.0399,41.5601,41.7,16.9517,1291950
2010-06-15,42.08,42.33,41.9,42.3099,17.1997,1993050
2010-06-16,41.9601,42.75,41.9601,42.3999,17.2363,1440450
2010-06-17,42.7202,42.7901,42.0002,42.3701,17.2241,689850
2010-06-18,42.3999,42.69,42.26,42.48,17.2688,1394775
2010-06-21,42.87,43.1901,42.21,42.3999,17.2363,442350
2010-06-22,42.3999,42.84,41.8001,41.8001,16.9924,888975
2010-06-23,41.7699,42.0201,41.2401,41.7302,16.964,577575
2010-06-24,41.4401,41.6201,41.0102,41.07,16.6956,742275
2010-06-25,41.2601,41.58,40.86,41.2901,16.7851,1225575
2010-06-28,41.1701,41.6901,40.9202,41.4401,16.8461,753525
2010-06-29,41.0,41.0301,40.2002,40.4901,16.4599,1467900
2010-06-30,40.46,40.7799,40.0301,40.1499,16.3216,1562175
2010-07-01,40.1499,40.3401,39.69,40.1,16.3013,2210400
