date,open,high,low,close,adjusted_close,volume
2014-06-06,55.25,60.0,55.0,55.0,13.75,29020344
2014-06-09,56.25,57.0,55.0,55.2,13.8,2867344
2014-06-10,55.25,60.0,55.25,60.0,15.0,3946844
2014-06-11,60.0,63.5,58.6603,63.5,15.875,2646208
2014-06-12,63.65,67.83,63.07,66.0,16.5,2952216
2014-06-13,68.47,72.0,67.0,69.58,17.395,4265288
2014-06-16,71.22,71.5,67.6349,71.5,17.875,1668456
2014-06-17,71.89,72.6299,69.0,69.71,17.4275,1118868
2014-06-18,70.07,71.0,67.88,68.96,17.24,835088
2014-06-19,68.03,68.81,64.51,65.67,16.4175,2612080
2014-06-20,65.05,68.5,64.5,65.15,16.2875,1176908
2014-06-23,65.02,67.49,65.02,65.71,16.4275,466072
2014-06-24,66.35,66.75,63.87,64.28,16.07,771116
2014-06-25,63.81,65.358,62.0,64.49,16.1225,744696
2014-06-26,64.81,64.81,62.5,63.81,15.9525,388456
2014-06-27,63.91,63.91,62.25,62.55,15.6375,978960
2014-06-30,62.07,65.2,62.07,62.39,15.5975,927872
2014-07-01,66.97,76.8299,66.1,76.0,19.0,6640900
2014-07-02,78.74,80.53,73.2,75.35,18.8375,4506136
2014-07-03,76.44,77.627,74.1,76.41,19.1025,975536
2014-07-07,75.16,77.29,72.03,72.17,18.0425,1266792
2014-07-08,71.93,72.05,63.14,69.43,17.3575,4714796
2014-07-09,69.3,72.9,66.01,71.9,17.975,1489720
2014-07-10,67.52,70.14,67.1237,67.74,16.935,1187380
2014-07-11,68.8,70.5,68.35,69.63,17.4075,766924
2014-07-14,71.4,72.0,68.53,68.95,17.2375,523848
2014-07-15,69.45,70.5597,66.0,66.69,16.6725,904372
2014-07-16,67.07,68.0,63.61,64.53,16.1325,990720
2014-07-17,63.89,65.62,63.11,63.76,15.94,520884
2014-07-18,64.03,64.9,63.3503,64.0,16.0,495036
2014-07-21,64.13,64.73,63.01,63.23,15.8075,574808
2014-07-22,63.76,66.96,63.46,65.51,16.3775,943544
2014-07-23,65.89,66.68,64.4,64.82,16.205,591664
2014-07-24,65.11,66.16,63.77,64.25,16.0625,730580
2014-07-25,64.15,64.78,62.51,63.64,15.91,462256
2014-07-28,64.52,64.544,63.03,63.41,15.8525,286384
2014-07-29,63.59,64.05,63.1501,63.85,15.9625,425552
2014-07-30,64.48,67.9,63.97,67.79,16.9475,2432360
2014-07-31,66.34,67.0,65.11,66.12,16.53,1030856
2014-08-01,65.82,67.5,65.25,65.61,16.4025,774708
2014-08-04,65.99,69.5,65.68,69.23,17.3075,1022356
2014-08-05,68.83,73.0,68.02,72.09,18.0225,1609764
2014-08-06,71.38,72.5,69.5301,70.82,17.705,902536
2014-08-07,71.77,72.66,71.184,72.22,18.055,1669060
2014-08-08,79.25,79.88,71.5,72.03,18.0075,5708544
2014-08-11,72.69,73.4,67.31,69.86,17.465,2962088
2014-08-12,69.48,71.686,69.48,71.11,17.7775,891924
2014-08-13,71.14,71.97,69.338,69.84,17.46,1094000
2014-08-14,69.73,71.7,68.8,70.81,17.7025,1066516
2014-08-15,71.42,71.42,69.38,69.82,17.455,566304
2014-08-18,70.85,71.37,69.25,70.51,17.6275,703540
2014-08-19,70.74,75.18,70.165,75.0,18.75,1912512
2014-08-20,74.33,77.269,72.9007,76.4,19.1,1584384
2014-08-21,75.88,78.39,75.33,77.35,19.3375,1741092
2014-08-22,76.49,76.96,75.25,75.62,18.905,710496
2014-08-25,76.05,77.44,74.81,75.58,18.895,709588
2014-08-26,75.44,76.77,74.6651,76.17,19.0425,650848
2014-08-27,75.99,83.47,75.97,83.16,20.79,2896812
2014-08-28,82.96,83.89,81.57,83.45,20.8625,1373316
2014-08-29,84.89,85.789,82.74,83.85,20.9625,1322084
2014-09-02,85.14,86.68,84.23,86.1,21.525,1318744
2014-09-03,87.16,87.56,84.91,85.61,21.4025,1341420
2014-09-04,85.41,89.3,85.19,87.49,21.8725,1290816
2014-09-05,87.42,91.33,86.13,91.12,22.78,940076
2014-09-08,91.15,93.94,85.69,87.66,21.915,2961720
2014-09-09,88.0,88.882,83.78,84.28,21.07,1359672
2014-09-10,84.99,88.84,83.14,88.75,22.1875,1323100
2014-09-11,88.1,90.89,87.64,88.75,22.1875,720256
2014-09-12,88.89,89.41,85.0,86.27,21.5675,780368
2014-09-15,87.32,88.25,82.54,82.83,20.7075,1640060
2014-09-16,82.27,85.34,80.8001,84.0,21.0,1073824
2014-09-17,84.79,85.94,83.22,83.51,20.8775,803212
2014-09-18,84.5,86.44,84.0301,86.13,21.5325,942108
2014-09-19,86.94,87.65,84.9,87.65,21.9125,2088940
2014-09-22,86.89,88.65,83.56,83.84,20.96,1817968
2014-09-23,83.44,86.31,83.06,84.47,21.1175,1179228
2014-09-24,83.2,87.9,83.2,87.11,21.7775,1121624
2014-09-25,86.71,88.44,83.82,84.3,21.075,1317828
2014-09-26,84.35,85.915,84.34,85.13,21.2825,1158376
2014-09-29,84.46,93.75,84.0,93.31,23.3275,3051288
2014-09-30,93.56,94.84,86.61,88.33,22.0825,4405384
2014-10-01,88.04,88.5299,83.1201,84.06,21.015,2411000
2014-10-02,84.45,85.0499,79.62,84.23,21.0575,1917416
2014-10-03,85.78,87.11,83.47,85.73,21.4325,1378988
2014-10-06,85.98,86.5799,82.81,84.68,21.17,1445824
2014-10-07,83.13,84.48,82.215,82.81,20.7025,1800780
2014-10-08,84.33,88.92,83.04,88.44,22.11,2371468
2014-10-09,88.44,90.25,84.6546,85.82,21.455,2084496
2014-10-10,84.63,86.71,77.77,78.13,19.5325,5477288
2014-10-13,78.58,79.62,73.305,73.69,18.4225,2416736
2014-10-14,74.0,75.38,70.3,73.52,18.38,2784744
2014-10-15,73.0,75.72,71.0,75.05,18.7625,2417384
2014-10-16,74.49,76.22,73.4,74.57,18.6425,2346828
2014-10-17,75.93,77.49,75.87,76.72,19.18,2592380
2014-10-20,77.42,79.25,75.42,76.39,19.0975,1171944
2014-10-21,78.31,78.38,76.81,77.51,19.3775,1393228
2014-10-22,78.0,78.15,71.68,72.18,18.045,1995284
2014-10-23,73.27,75.39,72.26,73.84,18.46,2027996
2014-10-24,73.8,74.99,72.75,74.93,18.7325,1118276
2014-10-27,74.7,74.7,73.1,73.36,18.34,821396
2014-10-28,73.54,74.306,72.56,73.84,18.46,1730504
2014-10-29,73.85,75.6,72.23,73.03,18.2575,1273980
2014-10-30,73.3,75.0,73.09,73.89,18.4725,1300332
2014-10-31,74.84,82.932,74.6,81.25,20.3125,2590484
2014-11-03,84.75,86.0,81.36,85.69,21.4225,2004568
2014-11-04,85.69,87.21,82.56,86.39,21.5975,2314012
2014-11-05,89.28,89.89,82.77,84.12,21.03,3042832
2014-11-06,85.42,87.3,83.2,87.25,21.8125,2888060
2014-11-07,78.85,81.05,76.5,77.83,19.4575,6603156
2014-11-10,78.025,80.34,76.61,76.79,19.1975,3004100
2014-11-11,74.54,79.38,74.0,78.74,19.685,5947364
2014-11-12,78.74,79.38,76.5,77.24,19.31,2283472
2014-11-13,77.0,78.75,76.23,76.97,19.2425,1510756
2014-11-14,76.97,77.74,76.51,77.69,19.4225,1297208
2014-11-17,76.64,77.15,75.82,76.7,19.175,1487076
2014-11-18,76.7,77.45,76.3101,76.8,19.2,1265220
2014-11-19,76.2,77.31,76.2,77.0,19.25,1524984
2014-11-20,76.37,76.37,74.67,75.18,18.795,2403820
2014-11-21,75.5,76.25,74.05,74.15,18.5375,1689144
2014-11-24,74.25,74.6899,72.66,72.94,18.235,1702164
2014-11-25,73.33,74.805,73.0,73.74,18.435,1687864
2014-11-26,74.9,77.899,74.45,76.15,19.0375,2111948
2014-11-28,76.68,76.925,75.56,75.87,18.9675,827328
2014-12-01,74.0,75.35,71.35,71.58,17.895,2934976
2014-12-02,71.47,72.5,67.58,69.42,17.355,4218812
2014-12-03,69.42,72.96,69.21,72.63,18.1575,4330808
2014-12-04,72.7,74.0,71.66,73.53,18.3825,1343572
2014-12-05,73.25,74.5,67.7001,68.24,17.06,7412144
2014-12-08,67.61,67.61,59.16,64.82,16.205,11889636
2014-12-09,63.6,66.35,63.42,66.19,16.5475,3008732
2014-12-10,65.98,66.3,64.84,65.17,16.2925,2528416
2014-12-11,65.5,68.16,65.5,67.9,16.975,2797912
2014-12-12,66.64,68.7081,66.0,67.95,16.9875,2546284
2014-12-15,67.18,67.89,66.94,67.39,16.8475,1993004
2014-12-16,67.03,68.86,66.56,68.34,17.085,2403752
2014-12-17,68.15,69.4,66.83,67.28,16.82,2426212
2014-12-18,67.86,68.3,66.0,66.77,16.6925,4479136
2014-12-19,67.3,68.92,66.3,66.53,16.6325,2518340
2014-12-22,66.1,66.39,63.61,65.27,16.3175,2950756
2014-12-23,65.34,65.8999,63.45,64.7,16.175,2158128
2014-12-24,64.91,65.29,64.41,65.0,16.25,1097528
2014-12-26,65.81,65.81,63.89,65.25,16.3125,1543488
2014-12-29,65.22,65.64,61.22,61.57,15.3925,3068788
2014-12-30,61.09,62.5,60.29,60.64,15.16,2419136
