date,open,high,low,close,adjusted_close,volume
2010-01-04,47.01,47.01,45.91,45.94,10.2229,4914196
2010-01-05,45.87,46.1,44.84,44.98,10.0093,5410684
2010-01-06,45.04,45.53,44.89,45.15,10.0471,3328728
2010-01-07,44.99,45.24,44.7,44.85,9.9804,2755088
2010-01-08,44.65,45.18,44.5,45.18,10.0538,2693208
2010-01-11,45.44,45.54,44.6,45.29,10.0783,3270220
2010-01-12,44.77,44.94,43.72,44.3,9.858,7644456
2010-01-13,44.38,45.1,44.05,45.0,10.0138,2399980
2010-01-14,44.98,45.5,44.84,45.29,10.0783,3967272
2010-01-15,45.02,45.11,43.68,43.84,9.7556,4331880
2010-01-19,43.83,44.11,43.44,44.08,9.809,4141784
2010-01-20,43.81,44.27,43.34,44.1,9.8135,4732412
2010-01-21,44.57,45.48,42.43,42.5,9.4574,13570496
2010-01-22,42.22,42.5,40.51,40.54,9.0213,7877280
2010-01-25,40.98,41.14,40.3,40.85,9.0903,5145232
2010-01-26,40.5,41.59,40.26,41.2,9.1682,7875980
2010-01-27,41.0,41.25,40.02,40.79,9.0769,7253916
2010-01-28,40.82,41.06,39.62,40.02,8.9056,4336456
2010-01-29,40.4,40.6862,39.77,39.84,8.8655,7494144
2010-02-01,40.17,40.71,40.02,40.57,9.028,4449736
2010-02-02,40.73,40.75,40.06,40.57,9.028,3732392
2010-02-03,40.45,40.95,40.29,40.43,8.9968,1995204
2010-02-04,40.02,40.02,38.51,38.52,8.5718,4395400
2010-02-05,38.5,38.9,37.78,38.86,8.6474,6208248
2010-02-08,38.78,39.69,38.53,38.96,8.6697,4539736
2010-02-09,39.45,39.91,38.98,39.62,8.8166,3491556
2010-02-10,39.5,39.72,38.77,39.55,8.801,3143100
2010-02-11,39.53,40.07,38.79,40.06,8.9145,4257000
2010-02-12,39.7,40.05,39.06,39.88,8.8744,2802056
2010-02-16,40.36,41.37,40.01,41.3,9.1904,4645428
2010-02-17,41.49,41.89,41.18,41.69,9.2772,3105468
2010-02-18,41.59,42.09,41.45,41.96,9.3373,4290100
2010-02-19,43.09,43.62,42.31,42.79,9.522,6918712
2010-02-22,42.9,42.9,41.69,41.76,9.2928,4624676
2010-02-23,41.74,42.085,41.1,41.23,9.1748,3259212
2010-02-24,41.32,41.72,41.06,41.63,9.2638,3620816
2010-02-25,40.82,41.56,40.31,41.47,9.2282,3851156
2010-02-26,41.34,41.74,41.01,41.65,9.2683,2764784
2010-03-01,42.02,42.57,42.02,42.5,9.4574,2726768
2010-03-02,42.65,42.96,42.23,42.44,9.4441,4357404
2010-03-03,42.5,43.7,42.46,43.55,9.6911,5834472
2010-03-04,43.51,43.58,42.93,43.25,9.6243,3872316
2010-03-05,43.44,44.02,43.44,43.91,9.7712,5960092
2010-03-08,43.97,44.14,43.705,43.76,9.7378,4808172
2010-03-09,43.69,44.48,43.51,44.29,9.8558,4003788
2010-03-10,44.39,45.21,44.38,45.14,10.0449,4857336
2010-03-11,44.89,45.08,44.19,44.33,9.8647,14304336
2010-03-12,44.39,44.45,43.99,44.15,9.8246,8944160
2010-03-15,43.99,44.38,43.8,43.89,9.7701,4333980
2010-03-16,43.93,44.38,43.93,44.38,9.8792,4962176
2010-03-17,44.42,44.9,44.36,44.57,9.9215,8758256
2010-03-18,44.36,44.4,43.9,44.26,9.8525,3578232
2010-03-19,44.31,44.56,43.43,43.49,9.6811,8304776
2010-03-22,43.1,43.16,42.88,42.96,9.5631,10833064
2010-03-23,43.07,43.08,42.06,42.25,9.4051,18251116
2010-03-24,42.12,42.25,41.83,41.98,9.3449,9072496
2010-03-25,42.31,42.88,41.89,41.95,9.3383,10554856
2010-03-26,42.03,42.13,41.01,41.46,9.2292,9486224
2010-03-29,41.64,42.48,41.57,42.42,9.4429,5376564
2010-03-30,42.4,42.59,41.94,42.22,9.3984,8122656
2010-03-31,42.03,42.43,41.96,42.19,9.3917,5780936
2010-04-01,42.47,42.77,42.09,42.39,9.4362,3831064
2010-04-05,42.52,43.08,42.52,42.97,9.5653,4310960
2010-04-06,42.61,43.03,42.3,42.97,9.5653,4018836
2010-04-07,43.09,43.09,42.58,42.79,9.5253,4832792
2010-04-08,42.7,42.87,42.32,42.8,9.5275,2897496
2010-04-09,42.83,43.33,42.465,43.3,9.6388,3835468
2010-04-12,43.3,43.67,43.21,43.48,9.6789,5190168
2010-04-13,43.51,43.62,43.19,43.53,9.69,5367408
2010-04-14,43.64,44.77,43.52,44.7,9.9504,7508304
2010-04-15,44.48,44.87,44.29,44.43,9.8903,3926036
2010-04-16,44.23,44.59,43.7,43.82,9.7545,4605524
2010-04-19,43.81,44.02,43.0,44.02,9.7991,4807228
2010-04-20,46.12,47.5,45.6,47.44,10.5604,15498108
2010-04-21,47.2,47.83,46.4,46.74,10.4045,9685216
2010-04-22,46.07,46.75,45.48,46.73,10.4023,5233780
2010-04-23,46.8,47.43,46.55,46.97,10.4557,3555068
2010-04-26,47.0,47.58,46.86,47.39,10.5492,4885736
2010-04-27,46.98,47.19,45.76,45.91,10.2198,4812308
2010-04-28,46.33,46.63,45.66,46.36,10.32,6140292
2010-04-29,46.81,47.0,46.47,46.73,10.4023,3374144
2010-04-30,46.65,47.0,46.05,46.21,10.2866,5386508
2010-05-03,46.485,47.11,46.38,47.11,10.4869,4160924
2010-05-04,46.53,46.53,44.39,44.77,9.966,5590036
2010-05-05,44.11,44.32,42.52,44.11,9.8191,9677628
2010-05-06,43.77,44.68,40.99,43.36,9.6521,12148836
2010-05-07,43.36,43.54,41.6,42.47,9.454,7498364
2010-05-10,44.51,45.45,44.06,45.25,10.0729,8464920
2010-05-11,44.72,45.87,44.33,44.99,10.015,6441132
2010-05-12,45.26,45.54,44.987,45.44,10.1152,5591256
2010-05-13,45.38,45.82,44.96,45.02,10.0217,4611952
2010-05-14,44.7,44.91,43.45,44.0,9.7946,4634616
2010-05-17,44.05,44.98,43.88,44.81,9.9749,5316152
2010-05-18,45.24,45.52,43.99,44.16,9.8302,5468820
2010-05-19,43.87,44.1,42.42,42.99,9.5698,5825960
2010-05-20,41.85,42.29,40.9682,41.19,9.1691,5854456
2010-05-21,40.49,42.414,40.16,41.92,9.3316,7115012
2010-05-24,41.78,42.32,41.53,41.57,9.2537,6536916
2010-05-25,40.31,41.59,39.79,41.54,9.247,5131860
2010-05-26,41.83,42.29,41.0,41.22,9.1758,4343020
2010-05-27,42.13,43.03,41.92,42.99,9.5698,3741544
2010-05-28,42.81,42.97,42.23,42.4,9.4384,5110720
2010-06-01,42.04,42.33,40.99,41.05,9.1379,4263568
2010-06-02,41.17,41.96,40.51,41.95,9.3383,7159548
2010-06-03,42.04,42.47,41.84,42.25,9.4051,4343784
2010-06-04,41.42,41.85,40.51,40.79,9.08,7754336
2010-06-07,40.86,40.95,39.73,39.8,8.8597,5938088
2010-06-08,39.82,40.12,38.4,39.16,8.7172,9196564
2010-06-09,39.46,40.37,39.23,39.39,8.7684,6186940
2010-06-10,39.8,40.65,39.79,40.65,9.0489,3668424
2010-06-11,40.0,41.02,40.0,41.01,9.129,4029712
2010-06-14,41.4,41.83,41.0,41.06,9.1435,4747788
2010-06-15,41.49,43.02,41.35,43.0,9.5756,6117360
2010-06-16,42.66,42.966,42.43,42.66,9.4998,2646232
2010-06-17,42.92,42.99,42.12,42.67,9.5021,2310544
2010-06-18,42.75,43.05,42.36,42.64,9.4954,3221856
2010-06-21,43.24,43.58,42.25,42.57,9.4798,3497080
2010-06-22,42.59,42.92,41.79,41.86,9.3217,3164832
2010-06-23,41.93,42.14,41.0,41.73,9.2927,3238532
2010-06-24,41.42,41.88,40.85,40.94,9.1168,3367600
2010-06-25,41.25,41.65,40.34,41.41,9.2215,5016312
2010-06-28,41.41,41.83,41.17,41.48,9.2371,3079460
2010-06-29,40.72,40.91,39.7,40.04,8.9164,3911188
2010-06-30,39.91,40.4,39.08,39.28,8.7472,4283952
2010-07-01,39.09,39.91,38.36,39.53,8.8028,6506336
2010-07-02,39.7,40.0,38.66,38.96,8.6759,6094808
2010-07-06,39.81,39.81,38.44,38.88,8.6581,6034784
2010-07-07,39.06,40.37,38.82,40.28,8.9698,5750808
2010-07-08,40.83,41.25,40.04,40.74,9.0723,5744020
2010-07-09,40.74,40.86,40.36,40.64,9.05,2432624
2010-07-12,40.36,40.79,40.02,40.55,9.03,2349696
2010-07-13,41.01,42.15,40.88,41.98,9.3484,3653736
2010-07-14,42.08,42.75,41.92,42.34,9.4286,4549608
2010-07-15,42.29,42.71,41.87,42.6,9.4865,2842772
2010-07-16,42.31,42.31,40.97,41.15,9.1636,4296836
2010-07-19,41.32,41.73,40.89,41.6,9.2638,3743740
2010-07-20,40.85,42.5,40.75,42.46,9.4553,4723784
2010-07-21,44.11,44.58,42.33,42.5,9.4642,10271264
2010-07-22,43.1,43.95,42.97,43.91,9.7782,5754500
2010-07-23,43.88,45.28,43.88,45.1,10.0432,6878608
2010-07-26,45.06,45.88,44.66,45.84,10.208,5497540
2010-07-27,46.15,46.32,45.0,45.05,10.0321,4598612
2010-07-28,44.9,45.26,44.605,44.88,9.9942,3732816
2010-07-29,45.12,45.3,44.23,44.78,9.9719,4625040
2010-07-30,44.23,45.05,43.7,44.8,9.9764,4784080
2010-08-02,45.57,46.0,45.29,45.71,10.179,4705924
2010-08-03,45.61,45.83,44.95,45.23,10.0721,5484936
2010-08-04,45.34,45.9,45.19,45.65,10.1657,4824684
2010-08-05,45.17,45.47,44.91,45.24,10.0744,4905968
2010-08-06,44.65,45.28,44.35,45.0,10.0209,3365464
2010-08-09,45.18,45.73,45.03,45.71,10.179,3800608
2010-08-10,45.03,45.29,44.48,44.99,10.0187,3260984
2010-08-11,44.22,44.22,42.58,42.63,9.4932,5476808
2010-08-12,41.68,41.98,41.48,41.64,9.2727,6530408
2010-08-13,41.58,41.59,40.81,40.83,9.0923,5726516
2010-08-16,40.53,41.39,40.33,41.3,9.197,4206784
2010-08-17,41.64,42.75,41.51,42.33,9.4264,5765404
2010-08-18,42.23,42.68,41.81,42.34,9.4286,4171264
2010-08-19,42.09,42.32,41.36,41.48,9.2371,5185908
2010-08-20,41.22,41.72,40.81,41.66,9.2772,4555132
2010-08-23,41.59,41.9202,40.75,40.76,9.0767,3619500
2010-08-24,40.12,40.66,39.61,40.37,8.9899,5094716
2010-08-25,39.97,40.68,39.72,40.55,9.03,3956544
2010-08-26,40.77,41.39,40.67,41.04,9.1391,8126444
2010-08-27,41.37,41.97,40.46,41.93,9.3373,5566592
2010-08-30,41.7,42.16,41.2,41.23,9.1814,5668900
2010-08-31,41.07,41.47,40.44,40.72,9.0678,7248540
2010-09-01,41.4,43.96,41.4,43.9,9.776,8468072
2010-09-02,43.81,44.68,43.73,44.66,9.9452,5970980
2010-09-03,45.15,45.93,45.15,45.81,10.2013,7793260
2010-09-07,45.8,46.88,45.67,46.22,10.2926,8647740
2010-09-08,46.59,47.23,46.04,46.89,10.4418,6229796
2010-09-09,47.5,47.5,45.87,46.26,10.3015,6179112
2010-09-10,46.13,46.36,45.8002,45.89,10.2191,6062684
2010-09-13,46.36,47.47,46.23,47.4,10.5589,3921816
2010-09-14,47.29,47.71,46.78,47.43,10.5656,3363736
2010-09-15,47.38,47.48,46.9002,47.34,10.5455,3511384
2010-09-16,47.16,47.41,46.8,46.89,10.4453,3235832
2010-09-17,47.3,47.6,46.88,47.35,10.5477,4718948
2010-09-20,47.47,48.35,47.26,48.26,10.7505,2766572
2010-09-21,48.26,48.36,47.42,47.73,10.6324,3591876
2010-09-22,47.56,48.0,46.66,46.74,10.4119,3789620
2010-09-23,46.3,47.52,46.04,46.84,10.4341,3827908
2010-09-24,47.47,48.72,47.3402,48.72,10.8529,3254532
2010-09-27,48.54,48.9,48.0,48.46,10.795,3528116
2010-09-28,48.55,49.02,47.53,48.92,10.8975,3222572
2010-09-29,48.64,49.33,48.36,49.18,10.9554,4192532
2010-09-30,49.54,49.98,48.87,48.98,10.9108,5259160
2010-10-01,49.5,49.66,48.63,49.06,10.9287,3112744
2010-10-04,48.83,48.95,47.84,48.25,10.7482,2893880
2010-10-05,48.95,50.31,48.92,50.15,11.1715,4475320
2010-10-06,50.08,50.31,49.1,49.44,11.0133,4195232
2010-10-07,49.66,49.67,48.9,49.42,11.0089,3820528
2010-10-08,49.51,49.56,49.03,49.25,10.971,4189536
2010-10-11,49.21,49.49,49.02,49.32,10.9866,3158524
2010-10-12,49.24,49.56,48.6,49.28,10.9777,2557964
2010-10-13,49.56,50.23,49.09,49.87,11.1091,5444840
2010-10-14,49.79,49.88,49.02,49.44,11.0133,4193248
2010-10-15,49.98,50.15,49.37,50.15,11.1715,4540388
2010-10-18,50.15,50.44,49.75,49.89,11.1136,5039840
2010-10-19,49.03,49.55,48.31,48.77,10.8641,8052404
2010-10-20,48.38,48.77,47.37,48.67,10.8418,10616084
2010-10-21,49.0,49.42,48.26,49.4,11.0044,6665796
2010-10-22,49.29,49.48,48.82,49.12,10.942,4581524
2010-10-25,49.54,50.38,49.43,50.04,11.147,3259772
2010-10-26,49.68,50.09,49.24,49.88,11.1113,5432324
2010-10-27,49.37,49.78,48.85,49.47,11.02,4228556
2010-10-28,49.72,49.84,48.96,49.39,11.0022,1946844
2010-10-29,49.18,50.2,48.87,50.13,11.167,3996072
2010-11-01,50.28,50.55,49.65,49.98,11.1336,2752460
2010-11-02,50.6,51.48,50.36,51.12,11.3875,4529964
2010-11-03,51.04,51.5,50.76,51.5,11.4722,3104304
2010-11-04,52.2,53.04,51.84,52.95,11.7952,6519276
2010-11-05,52.87,53.01,52.55,52.88,11.7796,2920928
2010-11-08,52.14,52.65,52.1202,52.48,11.6905,2274036
2010-11-09,52.68,52.69,51.81,52.17,11.6214,2330932
2010-11-10,52.15,52.52,51.65,52.52,11.6994,2940608
2010-11-11,51.355,51.65,50.72,51.25,11.4165,4944768
2010-11-12,50.75,51.37,50.2,50.57,11.265,2309284
2010-11-15,50.8,50.97,50.3,50.34,11.2138,2765652
2010-11-16,49.82,49.98,48.53,48.97,10.9086,5611824
2010-11-17,49.0,49.34,48.68,49.07,10.9309,3933096
2010-11-18,49.75,50.93,49.67,50.44,11.2361,2794008
2010-11-19,50.35,51.25,50.17,51.24,11.4143,4045300
2010-11-22,51.01,51.22,50.41,51.07,11.3764,2983020
2010-11-23,50.28,50.52,49.53,49.67,11.0645,3532804
