date,open,high,low,close,adjusted_close,volume
2010-01-04,27.8201,28.0665,27.6507,27.72,25.4957,1390000
2010-01-05,27.9818,28.0896,27.7893,27.9356,25.694,1090000
2010-01-06,27.9279,28.2975,27.8971,28.1897,25.9278,1050000
2010-01-07,27.7123,27.8971,27.3196,27.4043,25.2054,2060000
2010-01-08,26.9038,26.9731,26.6266,26.7498,24.6034,3030000
2010-01-11,26.488,26.5727,25.9875,26.18,24.0793,3060000
2010-01-12,26.3725,26.5958,26.0953,26.2185,24.1147,2540000
2010-01-13,27.1117,27.1271,26.6651,26.95,24.7875,2990000
2010-01-14,26.9654,26.9885,26.5573,26.7652,24.6176,1230000
2010-01-15,26.5188,26.5804,26.0414,26.1723,24.0722,1860000
2010-01-19,25.872,26.2416,25.7719,26.1877,24.0864,2000000
2010-01-20,26.3802,26.6112,26.103,26.5496,24.4193,2980000
2010-01-21,26.9577,27.0501,26.3648,26.5265,24.398,2970000
2010-01-22,26.719,26.7498,25.1944,25.3715,23.3357,4550000
2010-01-25,25.9028,26.0568,25.6179,25.8258,23.7535,2260000
2010-01-26,26.0414,26.2493,25.8797,25.8874,23.8102,2390000
2010-01-27,25.6564,26.103,25.5948,26.0337,23.9448,1980000
2010-01-28,26.4495,26.4803,25.2329,25.5255,23.4773,2450000
2010-01-29,25.8489,25.9105,24.7786,24.9865,22.9816,2700000
2010-02-01,25.256,25.5948,25.2329,25.5563,23.5057,1040000
2010-02-02,25.9336,26.1954,25.6487,25.9952,23.9093,2740000
2010-02-03,25.9952,26.3263,25.8181,26.103,24.0085,1730000
2010-02-04,25.8489,25.8643,24.794,24.8094,22.8187,2290000
2010-02-05,24.6169,24.948,24.0779,24.8556,22.8612,3220000
2010-02-08,24.4937,24.8094,24.2781,24.4552,22.4929,1990000
2010-02-09,25.1713,25.6102,24.717,25.1636,23.1445,1840000
2010-02-10,25.102,25.2945,24.7324,25.179,23.1586,1040000
2010-02-11,24.7324,25.5024,24.5399,25.2637,23.2365,2490000
2010-02-12,24.717,25.333,24.6708,25.1482,23.1303,1400000
2010-02-16,25.0635,25.7642,24.9326,25.7103,23.6473,1230000
2010-02-17,25.718,25.7411,25.2791,25.3869,23.3499,952440
2010-02-18,25.41,25.7719,25.2252,25.6641,23.6048,1410000
2010-02-19,25.2637,25.6102,25.1713,25.4331,23.3923,1580000
2010-02-22,25.7257,25.7719,25.5717,25.6025,23.5482,893600
2010-02-23,25.4485,25.4485,24.6015,24.6554,22.6771,3070000
2010-02-24,24.6477,24.9634,24.5707,24.794,22.8045,1190000
2010-02-25,24.255,24.6323,23.8392,24.5553,22.585,1800000
2010-02-26,24.4321,24.7093,24.1472,24.6554,22.6771,1540000
2010-03-01,24.7324,25.2483,24.7324,25.2252,23.2011,1700000
2010-03-02,25.795,26.6959,25.7873,26.3263,24.2139,4360000
2010-03-03,26.6651,26.8576,26.4957,26.642,24.5042,3190000
2010-03-04,26.5265,26.642,26.103,26.3879,24.2705,1850000
2010-03-05,26.796,27.0424,26.6343,27.0347,24.8654,1600000
2010-03-08,27.2657,27.5583,27.181,27.4736,25.2691,2530000
2010-03-09,27.0732,27.412,27.0347,27.2272,25.0425,1590000
2010-03-10,27.258,27.72,27.2118,27.5814,25.3683,1590000
2010-03-11,27.3812,27.5737,27.181,27.5737,25.3612,705880
2010-03-12,27.5506,27.6276,27.335,27.5429,25.3329,1500000
2010-03-15,27.1194,27.1194,26.5573,26.7806,24.6317,1510000
2010-03-16,26.9577,27.3889,26.8576,27.3427,25.1487,1110000
2010-03-17,27.6045,27.797,27.4736,27.5968,25.3824,1330000
2010-03-18,27.4428,27.4967,27.0347,27.2195,25.0354,1330000
2010-03-19,27.1964,27.2041,26.6651,26.8884,24.7309,798860
2010-03-22,26.4957,27.6276,26.4726,27.5891,25.3754,1910000
2010-03-23,27.9818,28.3822,27.874,28.3052,26.034,2330000
2010-03-24,27.9356,28.1512,27.6815,27.8509,25.6161,1220000
2010-03-25,28.2282,28.5285,28.0588,28.0896,25.8357,1340000
2010-03-26,28.3591,28.5516,28.0973,28.2359,26.1825,1520000
2010-03-29,28.3206,28.5208,28.2744,28.4361,26.3681,583500
2010-03-30,28.0973,28.2513,27.8124,28.1127,26.0683,1620000
2010-03-31,28.2975,28.6902,28.1358,28.3052,26.2468,1760000
2010-04-01,28.8134,28.8673,28.2975,28.5054,26.4324,1330000
2010-04-05,28.6286,28.8596,28.4592,28.7749,26.6823,546590
2010-04-06,28.5978,28.7749,28.49,28.6671,26.5823,941790
2010-04-07,28.5593,28.8673,28.413,28.6979,26.6109,714050
2010-04-08,28.0049,28.3976,27.7816,28.3668,26.3039,955640
2010-04-09,28.5824,28.7903,28.5285,28.7595,26.668,1140000
2010-04-12,29.0213,29.0598,28.6286,28.6748,26.5895,1080000
2010-04-13,28.4361,28.8519,28.2513,28.7826,26.6894,1670000
2010-04-14,28.2898,28.3514,27.7277,28.0203,25.9826,3480000
2010-04-15,28.028,28.2205,27.8817,27.9356,25.904,1200000
2010-04-16,27.6738,27.8817,27.3504,27.6661,25.6541,1830000
2010-04-19,27.5121,27.7893,27.4505,27.7739,25.7541,2140000
2010-04-20,28.2975,28.8519,28.2821,28.6517,26.5681,2450000
2010-04-21,28.7903,28.8365,28.1897,28.4053,26.3396,1940000
2010-04-22,27.7431,28.5593,27.6199,28.5439,26.4681,1940000
2010-04-23,28.182,28.5439,28.1743,28.4977,26.4253,1290000
2010-04-26,28.5593,28.7364,28.3976,28.4361,26.3681,958200
2010-04-27,27.9279,28.1127,26.8345,26.8961,24.9401,3090000
2010-04-28,26.8884,26.9731,26.1492,26.4033,24.4832,2880000
2010-04-29,26.5573,26.7113,26.3956,26.642,24.7045,2060000
2010-04-30,26.7421,26.7421,26.0645,26.1184,24.219,1820000
2010-05-03,26.1569,26.7652,26.1338,26.6112,24.676,976220
2010-05-04,25.8335,25.8797,25.4639,25.7796,23.9048,2000000
2010-05-05,24.7247,25.4562,24.7016,24.9788,23.1623,2870000
2010-05-06,24.7016,25.2406,22.5379,24.332,22.5625,4530000
2010-05-07,24.4013,24.4937,23.1693,23.6775,21.9556,3390000
2010-05-10,25.3715,25.3869,24.8402,25.256,23.4193,2150000
2010-05-11,24.4937,25.2098,24.4552,24.6554,22.8624,1550000
2010-05-12,25.1482,25.6564,25.0866,25.41,23.5621,1330000
2010-05-13,24.7632,25.0789,24.4167,24.4783,22.6982,1330000
2010-05-14,24.2242,24.2319,23.4542,23.9239,22.1841,2050000
2010-05-17,24.0317,24.3166,23.4696,24.101,22.3483,2200000
2010-05-18,23.9932,24.1857,22.7766,22.8074,21.1488,3940000
2010-05-19,23.023,23.1924,22.5533,23.0461,21.3701,3150000
2010-05-20,22.1144,23.1924,21.8757,22.4455,20.8132,3530000
2010-05-21,22.2068,23.2001,22.0682,23.1077,21.4272,4110000
2010-05-24,22.6842,22.9306,22.3993,22.407,20.7775,2870000
2010-05-25,21.406,22.2453,21.329,22.1837,20.5704,3040000
2010-05-26,22.3223,22.8767,21.9373,22.022,20.4205,3630000
2010-05-27,22.7843,23.1616,22.6226,23.1308,21.4487,2860000
2010-05-28,23.0769,23.0923,22.4455,22.5995,20.956,2100000
2010-06-01,22.5918,23.3079,22.4532,22.4686,20.8346,1740000
2010-06-02,22.9075,23.4311,22.6996,23.4157,21.7128,1560000
2010-06-03,23.8623,23.9085,23.5004,23.7853,22.0556,1960000
2010-06-04,23.3695,23.5158,22.2145,22.3608,20.7347,3920000
2010-06-07,22.484,22.5841,21.6447,21.7063,20.1278,1730000
2010-06-08,21.9142,22.2453,21.5831,22.2453,20.6276,3110000
2010-06-09,22.561,22.9229,22.0913,22.176,20.5633,1560000
2010-06-10,23.4234,23.5235,22.9537,23.331,21.6343,2040000
2010-06-11,23.4465,23.7468,23.2694,23.5389,21.8271,1430000
2010-06-14,24.4321,24.5091,24.0009,24.0317,22.284,2200000
2010-06-15,24.5399,24.7709,24.409,24.7324,22.9338,2420000
2010-06-16,24.332,24.6631,24.2319,24.4475,22.6696,1910000
2010-06-17,24.7401,24.8094,24.2165,24.794,22.9909,2480000
2010-06-18,24.6862,24.9249,24.5938,24.717,22.9195,1070000
2010-06-21,25.0866,25.1174,24.4167,24.563,22.7767,844750
2010-06-22,24.6092,24.7786,23.8315,23.9239,22.1841,2300000
2010-06-23,24.255,24.4475,23.7699,24.0702,22.3197,2200000
2010-06-24,23.8623,23.9239,23.4234,23.5697,21.8556,1180000
2010-06-25,23.5928,23.7853,23.254,23.7006,21.977,1420000
2010-06-28,23.4311,23.6929,23.2078,23.4388,21.7343,1880000
2010-06-29,22.6534,22.6611,21.9835,22.1914,20.5776,2140000
2010-06-30,22.3608,22.5995,21.9296,21.9681,20.3705,1580000
2010-07-01,22.2838,22.4378,21.7756,22.3454,20.7204,2890000
2010-07-02,22.7843,22.8844,22.176,22.4532,20.8203,2060000
2010-07-06,23.3695,23.5081,22.6765,22.9306,21.263,3050000
2010-07-07,22.9922,23.6698,22.9537,23.6544,21.9342,2200000
2010-07-08,23.9085,24.0394,23.5466,24.0317,22.284,2390000
2010-07-09,23.793,24.2396,23.6852,24.2396,22.4768,2030000
2010-07-12,23.7468,24.2935,23.716,24.2242,22.4625,2600000
2010-07-13,24.5707,25.1097,24.5707,25.0019,23.1837,1650000
2010-07-14,25.7719,25.949,25.3407,25.5409,23.6835,7100000
2010-07-15,25.4562,25.5178,24.9249,25.2637,23.4264,3720000
2010-07-16,24.9711,25.0096,24.6477,24.7247,22.9266,3290000
2010-07-19,24.8479,25.1097,24.6092,25.0789,23.2551,2580000
