date,open,high,low,close,adjusted_close,volume
2010-01-04,29.5,29.82,29.37,29.52,19.4379,442700
2010-01-05,29.58,29.63,29.07,29.21,19.2338,527700
2010-01-06,29.23,29.34,29.08,29.22,19.2403,272600
2010-01-07,29.12,29.29,28.82,28.94,19.056,286500
2010-01-08,28.64,28.85,28.02,28.46,18.7399,524800
2010-01-11,28.4,28.64,28.36,28.63,18.8519,249000
2010-01-12,28.56,28.74,28.46,28.62,18.8453,315000
2010-01-13,28.73,28.89,28.44,28.87,19.0099,268600
2010-01-14,28.71,29.02,28.71,28.89,19.0231,302300
2010-01-15,28.79,28.9,28.26,28.66,18.8716,346300
2010-01-19,28.75,29.14,28.71,29.1,19.1613,242200
2010-01-20,28.9,29.0,28.58,28.85,18.9967,238400
2010-01-21,28.95,29.14,28.22,28.55,18.7992,449700
2010-01-22,28.46,28.69,28.1,28.13,18.5226,346300
2010-01-25,28.36,28.62,28.08,28.43,18.7202,331200
2010-01-26,28.45,28.55,28.1,28.27,18.6148,226700
2010-01-27,28.2,28.26,27.76,28.04,18.4634,242300
2010-01-28,28.15,28.22,27.88,28.02,18.4502,260400
2010-01-29,28.0,28.24,27.6,27.62,18.1868,453900
2010-02-01,27.8,27.83,27.43,27.6,18.1736,665400
2010-02-02,27.6,27.8,27.39,27.67,18.2197,723100
2010-02-03,27.23,27.71,27.18,27.61,18.1802,525000
2010-02-04,27.52,27.68,27.31,27.36,18.0156,491700
2010-02-05,27.43,27.54,26.78,27.26,17.9498,383500
2010-02-08,27.26,27.26,26.7,26.7,17.581,447600
2010-02-09,26.91,26.91,26.46,26.76,17.6205,769400
2010-02-10,26.71,26.8,26.4,26.52,17.4625,326600
2010-02-11,26.55,26.96,26.33,26.95,17.7456,239500
2010-02-12,26.81,27.0,26.53,26.99,17.772,375700
2010-02-16,27.1,27.26,27.02,27.22,17.9234,440800
2010-02-17,27.27,27.4,27.18,27.4,18.0419,382200
2010-02-18,27.33,27.61,27.19,27.38,18.0288,458900
2010-02-19,27.39,27.82,27.29,27.78,18.2922,406200
2010-02-22,27.9,28.19,27.82,28.0,18.437,373400
2010-02-23,27.73,27.73,27.33,27.48,18.3137,441800
2010-02-24,27.59,27.77,27.2,27.42,18.2737,399900
2010-02-25,27.15,27.46,27.04,27.33,18.2138,326600
2010-02-26,27.46,27.55,27.06,27.46,18.3004,487800
2010-03-01,27.57,28.07,27.48,27.93,18.6136,443900
2010-03-02,28.02,28.06,27.81,28.05,18.6936,281700
2010-03-03,28.03,28.31,28.02,28.3,18.8602,376600
2010-03-04,28.36,28.47,28.16,28.25,18.8269,321400
2010-03-05,28.42,28.68,28.29,28.6,19.0601,327100
2010-03-08,28.55,28.71,28.39,28.61,19.0668,224000
2010-03-09,28.51,28.63,28.27,28.45,18.9602,381800
2010-03-10,28.5,28.64,28.24,28.64,19.0868,388500
2010-03-11,28.62,28.77,28.47,28.72,19.1401,223900
2010-03-12,28.86,28.97,28.58,28.8,19.1934,373200
2010-03-15,28.7,28.9,28.55,28.8,19.1934,188000
2010-03-16,28.81,28.97,28.71,28.91,19.2667,169300
2010-03-17,28.91,29.17,28.91,29.07,19.3734,210600
2010-03-18,28.99,29.24,28.96,29.02,19.34,135600
2010-03-19,28.95,29.19,28.69,28.95,19.2934,425200
2010-03-22,28.85,29.04,28.72,28.95,19.2934,225500
2010-03-23,28.94,29.05,28.77,28.99,19.3201,240600
2010-03-24,28.93,29.09,28.81,28.83,19.2134,297300
2010-03-25,29.06,29.06,28.37,28.38,18.9135,244100
2010-03-26,28.35,28.49,28.17,28.31,18.8669,223900
2010-03-29,28.33,28.62,28.26,28.62,19.0735,400900
2010-03-30,28.56,29.06,28.56,28.87,19.2401,461500
2010-03-31,28.9,28.97,28.57,28.57,19.0401,367100
2010-04-01,28.79,28.98,28.71,28.95,19.2934,209000
2010-04-05,28.95,29.39,28.94,29.39,19.5866,200700
2010-04-06,29.37,29.68,29.32,29.64,19.7532,357600
2010-04-07,29.5,29.66,29.29,29.54,19.6866,414500
2010-04-08,29.39,29.39,29.09,29.13,19.4134,210800
2010-04-09,29.05,29.34,28.87,29.33,19.5466,303500
2010-04-12,29.27,29.4,29.1,29.22,19.4733,233600
2010-04-13,29.13,29.18,28.89,29.04,19.3534,368200
2010-04-14,29.03,29.04,28.8,29.01,19.3334,233200
2010-04-15,28.92,29.36,28.87,29.17,19.44,342700
2010-04-16,29.12,29.3,28.96,29.22,19.4733,290700
2010-04-19,29.19,29.2,28.87,29.18,19.4467,313400
2010-04-20,29.25,29.39,29.1,29.39,19.5866,383300
2010-04-21,29.44,29.56,29.29,29.4,19.5933,319300
2010-04-22,29.28,29.55,29.22,29.53,19.6799,122000
2010-04-23,29.53,29.99,29.47,29.98,19.9798,253500
2010-04-26,29.98,30.15,29.85,29.91,19.9332,258200
2010-04-27,29.92,30.03,29.44,29.46,19.6333,291300
2010-04-28,29.58,29.82,29.43,29.76,19.8332,273100
2010-04-29,29.94,30.0,29.7,29.79,19.8532,409800
2010-04-30,29.78,30.08,29.55,29.58,19.7133,268000
2010-05-03,29.61,29.92,29.5,29.84,19.8865,291100
2010-05-04,29.59,29.69,29.0,29.29,19.52,373200
2010-05-05,29.15,29.42,28.63,28.79,19.1868,507700
2010-05-06,28.55,29.0,26.25,27.77,18.507,865800
2010-05-07,27.7,27.86,26.94,27.33,18.2138,654900
2010-05-10,28.14,28.14,27.71,28.13,18.7469,514400
2010-05-11,27.9,28.84,27.71,28.55,19.0268,311500
2010-05-12,28.55,28.97,28.32,28.86,19.2334,231000
2010-05-13,28.76,28.99,28.62,28.76,19.1668,209900
2010-05-14,28.54,28.67,28.03,28.11,18.7336,254100
2010-05-17,28.01,28.69,27.89,28.48,18.9802,500600
2010-05-18,28.77,28.98,28.43,28.48,18.9802,632300
2010-05-19,28.35,28.77,28.06,28.37,18.9069,487500
2010-05-20,28.01,28.06,27.16,27.17,18.1071,672100
2010-05-21,26.83,26.92,26.5,26.8,18.0835,487400
2010-05-24,26.66,27.23,26.59,26.75,18.0498,563200
2010-05-25,26.28,26.51,25.86,26.41,17.8204,537600
2010-05-26,26.54,26.94,26.5,26.55,17.9148,544200
2010-05-27,26.94,27.16,26.81,27.13,18.3062,394900
2010-05-28,27.11,27.48,27.04,27.12,18.2994,251200
2010-06-01,26.95,27.31,26.41,26.46,17.8541,315300
2010-06-02,26.61,27.13,26.5,27.1,18.2859,364100
2010-06-03,27.33,27.52,27.08,27.41,18.4951,260300
2010-06-04,27.08,27.22,26.43,26.5,17.8811,307600
2010-06-07,27.16,27.29,26.7,26.72,18.0295,456500
2010-06-08,26.84,27.21,26.64,27.2,18.3534,561300
2010-06-09,27.42,27.42,26.87,26.93,18.1712,492400
2010-06-10,27.4,27.94,27.26,27.9,18.8258,621500
2010-06-11,27.84,28.0,27.61,27.88,18.8123,202500
2010-06-14,28.03,28.15,27.79,27.86,18.7988,319100
2010-06-15,28.07,28.2,27.95,28.14,18.9877,429700
2010-06-16,27.97,28.5,27.76,28.38,19.1496,175000
