date,open,high,low,close,adjusted_close,volume
2010-01-04,73.84,74.0889,72.0089,72.1778,50.4698,1483383
2010-01-05,72.1956,72.3733,70.8978,71.6356,50.0907,1340977
2010-01-06,71.4133,72.2933,70.6489,70.96,49.6183,1358955
2010-01-07,70.6133,71.8756,70.08,71.1022,49.7178,1755729
2010-01-08,70.7022,71.0756,69.28,70.5689,49.3448,1199875
2010-01-11,71.3511,72.6667,70.9422,71.5378,50.0223,1304399
2010-01-12,71.0133,71.6533,69.4756,69.8578,48.8476,1088863
2010-01-13,70.2933,71.6267,69.9022,71.4844,49.985,1135147
2010-01-14,71.1556,71.8133,70.72,71.0578,49.6867,898738
2010-01-15,70.7467,71.2622,70.2756,70.6044,49.3697,1079199
2010-01-19,70.2933,72.0622,70.2933,71.9022,50.2772,1034208
2010-01-20,70.9156,70.9156,69.2622,70.2933,49.1522,1318290
2010-01-21,70.4267,70.7111,68.4533,68.7111,48.0458,1579262
2010-01-22,69.2,69.2,66.9067,67.0578,46.8897,1830906
2010-01-25,68.0444,68.2222,66.1956,68.0711,47.5983,1972268
2010-01-26,67.5822,68.9778,67.0667,68.3822,47.8158,1689739
2010-01-27,68.2489,69.0222,67.0844,68.7556,48.0769,1333100
2010-01-28,69.2711,69.2711,67.9378,68.4178,47.8407,1123289
2010-01-29,68.6756,69.9822,67.7956,68.0978,47.6169,1461811
2010-02-01,68.5511,69.68,68.3644,69.3778,48.512,1067692
2010-02-02,69.4933,71.0222,68.6578,70.7378,49.4629,1294709
2010-02-03,70.2222,70.3733,68.7378,69.1822,48.3752,1271021
2010-02-04,66.0178,67.8578,64.8,65.8933,46.0755,3741948
2010-02-05,65.84,67.36,65.5378,67.1911,46.9829,2272202
2010-02-08,67.3067,67.4667,65.5022,65.5733,45.8517,1381593
2010-02-09,66.2578,66.2756,64.4978,65.3511,45.6963,1335331
2010-02-10,65.1289,65.9467,63.7778,65.0756,45.5037,931336
2010-02-11,64.9689,66.0089,64.3556,65.9556,46.119,766929
2010-02-12,65.3778,67.4044,65.0222,67.1022,46.9208,1258415
2010-02-16,67.6889,69.1822,67.4489,69.0578,48.2882,1082678
2010-02-17,69.28,69.7156,68.7822,69.3689,48.5057,977732
2010-02-18,68.96,70.8178,68.6933,70.5778,49.3511,1071645
2010-02-19,69.9289,70.6578,69.2889,70.0622,48.9906,1263676
2010-02-22,70.2311,71.4489,69.9911,71.1111,49.724,969098
2010-02-23,70.6756,71.5022,70.3644,71.0578,49.6867,1145167
2010-02-24,71.3511,71.8044,70.8,71.7956,50.2026,920597
2010-02-25,70.8533,72.2489,70.3644,72.1689,50.4636,594028
2010-02-26,72.6222,73.1911,71.92,72.3733,50.6066,1116902
2010-03-01,72.3556,72.7467,71.8667,72.2311,50.5071,910388
2010-03-02,72.64,72.7733,71.8667,72.2489,50.5196,685895
2010-03-03,72.1067,72.3378,71.28,71.4933,49.9913,715361
2010-03-04,71.5822,72.0,71.2356,71.8667,50.2523,642905
2010-03-05,72.2578,74.1867,71.9111,73.9556,51.7129,1003676
2010-03-08,73.8756,75.2089,73.7333,75.0044,52.4464,787839
2010-03-09,74.5067,76.1422,74.3467,75.1556,52.552,1249511
2010-03-10,75.3778,75.7956,74.7644,75.5378,52.8193,784156
2010-03-11,75.3422,76.1156,74.7822,76.0178,53.1549,827769
2010-03-12,76.24,76.9244,75.7778,76.6578,53.6025,1523649
2010-03-15,76.6311,77.1022,75.5644,76.5333,53.5154,857210
2010-03-16,76.9956,78.4089,76.5689,78.2578,54.7212,946578
2010-03-17,78.4089,79.8222,78.2578,79.5644,55.6349,977003
2010-03-18,78.8533,79.5467,78.3733,78.72,55.0445,1180278
2010-03-19,78.6578,79.04,77.7778,78.1956,54.6777,1318362
2010-03-22,77.7511,78.5067,77.4489,78.2667,54.7275,946342
2010-03-23,78.2667,78.2667,77.0044,77.8667,54.4478,729543
2010-03-24,77.7067,79.3956,77.5111,78.3378,54.7772,912816
2010-03-25,78.4978,79.8222,78.48,78.5511,54.9264,919137
2010-03-26,78.88,79.04,77.5378,78.0267,54.5596,1355271
2010-03-29,77.3511,77.5111,76.56,77.2089,54.6125,958707
2010-03-30,77.2889,77.6622,76.9778,77.3244,54.6942,702273
2010-03-31,77.0044,77.5733,76.6311,76.7556,54.2918,1009012
2010-04-01,76.9511,77.2356,75.6267,76.2133,53.9083,1097079
2010-04-05,76.5511,79.1733,76.3822,79.0933,55.9454,1099534
2010-04-06,78.7911,82.3022,78.4804,82.1511,58.1083,2057698
2010-04-07,82.0178,82.3822,80.4267,80.8889,57.2155,1325249
2010-04-08,80.4711,81.1911,80.2667,81.0578,57.3349,920006
2010-04-09,81.1556,83.1435,81.0844,82.56,58.3975,1007178
2010-04-12,82.6933,82.6933,81.1733,81.2267,57.4544,639271
2010-04-13,81.3067,83.3956,81.1556,83.1467,58.8125,850748
2010-04-14,83.4667,83.4667,82.4267,83.3778,58.976,782433
2010-04-15,83.1822,83.3333,81.7778,82.0267,58.0203,893940
2010-04-16,81.9378,82.3467,80.2489,80.8711,57.2029,1507816
2010-04-19,79.76,82.1422,79.76,81.6622,57.7625,1280880
2010-04-20,82.2667,83.6356,81.2978,83.6178,59.1457,1395296
2010-04-21,83.5289,86.2844,83.2267,85.2,60.2649,1873826
2010-04-22,84.6133,88.1689,84.24,88.0444,62.2769,1357649
2010-04-23,88.0444,90.3022,87.6089,90.0178,63.6727,1723312
2010-04-26,89.7067,90.4711,89.0044,89.3156,63.176,1226565
2010-04-27,88.8,90.2578,87.6533,87.6978,62.0316,1603763
2010-04-28,88.4089,89.1156,87.6444,88.1511,62.3523,1057106
2010-04-29,89.4311,95.6267,89.1911,94.8,67.0553,2588332
