date,open,high,low,close,adjusted_close,volume
2010-01-04,22.41,22.86,22.41,22.65,16.3546,2176053
2010-01-05,22.67,22.91,22.585,22.88,16.5207,1843513
2010-01-06,22.89,23.15,22.83,23.0,16.6073,2089315
2010-01-07,23.12,23.15,22.9,23.05,16.6435,1353143
2010-01-08,23.1,23.18,22.82,23.0,16.6073,1359024
2010-01-11,23.0,23.77,22.94,23.23,16.7734,2313460
2010-01-12,23.25,23.25,23.0,23.12,16.694,1117469
2010-01-13,23.08,23.32,23.0,23.22,16.7662,703581
2010-01-14,23.12,23.15,22.88,22.98,16.5929,1173619
2010-01-15,23.06,23.06,22.425,22.6,16.3185,996670
2010-01-19,22.69,22.81,22.5,22.5,16.2463,779435
2010-01-20,22.59,22.6,22.21,22.45,16.2102,1438753
2010-01-21,22.47,22.62,22.09,22.11,15.9647,1280342
2010-01-22,22.17,22.18,21.64,22.06,15.9286,1491353
2010-01-25,22.23,22.37,21.96,22.15,15.9936,1004711
2010-01-26,21.85,22.18,21.39,22.02,15.8997,659944
2010-01-27,22.0,22.2,21.75,22.02,15.8997,1078029
2010-01-28,22.02,22.1,21.6,21.66,15.6398,1195191
2010-01-29,21.67,22.02,21.567,21.8,15.7409,1422992
2010-02-01,21.89,22.18,21.83,22.14,15.9864,878289
2010-02-02,22.22,22.405,22.03,22.1,15.9575,816119
2010-02-03,22.1,22.36,21.77,22.36,16.1452,933247
2010-02-04,22.11,22.3,21.75,21.75,15.7048,1156320
2010-02-05,21.84,21.92,21.34,21.68,15.6542,836188
2010-02-08,21.67,21.88,21.5301,21.61,15.6037,668916
2010-02-09,21.7,21.9,21.37,21.4,15.4521,811267
2010-02-10,21.38,21.605,21.2,21.57,15.5748,681835
2010-02-11,21.6,21.93,21.4,21.82,15.7553,1096905
2010-02-12,21.74,22.16,21.55,22.16,16.0008,906528
2010-02-16,22.19,22.2,21.99,22.12,16.1247,759877
2010-02-17,22.21,22.41,22.085,22.21,16.1904,1092637
2010-02-18,22.26,22.53,22.16,22.51,16.409,751723
2010-02-19,22.55,22.99,22.45,22.88,16.6788,1019398
2010-02-22,22.98,23.0,22.65,22.69,16.5403,431249
2010-02-23,22.71,22.77,22.32,22.45,16.3653,916080
2010-02-24,22.48,22.56,22.12,22.26,16.2268,639474
2010-02-25,22.13,22.34,21.8419,22.31,16.2632,1211648
2010-02-26,22.28,22.36,22.09,22.26,16.2268,1079780
2010-03-01,22.39,22.39,20.72,21.08,15.3666,5563442
2010-03-02,21.075,21.075,20.39,20.75,15.1261,4386187
2010-03-03,20.75,21.07,20.75,20.92,15.25,3049246
2010-03-04,20.91,21.34,20.91,21.25,15.4905,1550883
2010-03-05,21.25,21.46,21.12,21.41,15.6072,929200
2010-03-08,21.47,21.47,21.17,21.35,15.5634,877771
2010-03-09,21.37,21.37,21.0,21.22,15.4687,935932
2010-03-10,21.2,21.2,20.99,21.07,15.3593,840790
2010-03-11,20.99,21.09,20.95,21.02,15.3229,1320126
2010-03-12,21.14,21.14,20.89,20.96,15.2791,1969969
2010-03-15,21.03,21.31,20.98,21.1,15.3812,1568764
2010-03-16,21.19,21.25,20.9199,21.07,15.3593,1044364
2010-03-17,21.17,21.33,20.98,21.27,15.5051,905869
2010-03-18,21.21,21.5,21.18,21.4,15.5999,732595
2010-03-19,21.23,21.4,20.95,21.25,15.4905,1321485
2010-03-22,21.14,21.19,20.89,21.11,15.3885,841678
2010-03-23,21.19,21.67,20.96,21.61,15.753,1645639
2010-03-24,21.59,21.78,21.5,21.7,15.8186,1263768
2010-03-25,21.74,21.81,21.36,21.51,15.6801,1274251
2010-03-26,21.6,21.61,21.12,21.25,15.4905,1035800
