date,open,high,low,close,adjusted_close,volume
2010-01-04,47.42,47.53,47.15,47.41,13.1968,2606094
2010-01-05,46.87,46.93,46.3,46.45,12.9296,2666406
2010-01-06,45.825,46.09,45.57,46.08,12.8266,3020766
2010-01-07,46.5,46.65,46.24,46.58,12.9658,4454526
2010-01-08,46.54,46.83,46.35,46.78,13.0214,2675444
2010-01-11,47.46,47.83,47.38,47.62,13.2553,4583976
2010-01-12,47.25,47.47,47.14,47.4,13.194,3153200
2010-01-13,48.3,48.56,47.99,48.51,13.503,4652964
2010-01-14,49.27,49.48,49.14,49.39,13.7479,5256056
2010-01-15,49.09,49.13,48.58,48.85,13.5976,1552936
2010-01-19,49.59,50.51,49.58,50.4,14.0291,5795912
2010-01-20,50.19,50.25,49.55,50.19,13.9706,4256236
2010-01-21,50.63,50.7,49.53,49.53,13.7869,6323380
2010-01-22,49.33,50.19,48.82,48.84,13.5948,2438452
2010-01-25,49.27,49.61,49.12,49.46,13.7674,2686222
2010-01-26,49.53,50.18,49.46,50.07,13.9372,3648186
2010-01-27,49.35,49.87,49.18,49.64,13.8175,2561078
2010-01-28,47.61,47.94,46.5,46.96,13.0715,12997072
2010-01-29,46.81,47.07,46.47,46.49,12.9407,2157912
2010-02-01,46.62,46.84,46.45,46.84,13.0381,3013838
2010-02-02,46.68,47.09,46.61,46.87,13.0465,4070596
2010-02-03,45.37,45.5,44.91,44.98,12.9945,3386978
2010-02-04,44.46,44.57,43.83,43.83,12.6623,3696938
2010-02-05,43.08,43.19,42.21,43.05,12.4369,4933522
2010-02-08,43.27,43.66,43.13,43.13,12.46,2669998
2010-02-09,44.27,44.57,43.67,44.11,12.7431,5511750
2010-02-10,44.02,44.25,43.85,43.98,12.7056,3230458
2010-02-11,44.34,44.52,43.85,44.42,12.8327,2424904
2010-02-12,43.78,43.94,43.54,43.94,12.694,2435442
2010-02-16,43.56,43.99,43.365,43.93,12.6911,2120688
2010-02-17,43.97,44.08,43.85,43.93,12.6911,1293236
2010-02-18,43.69,43.95,43.52,43.91,12.6854,1651118
2010-02-19,43.49,43.76,43.34,43.65,12.6103,1801202
2010-02-22,43.87,43.87,43.35,43.55,12.5814,1354758
2010-02-23,43.79,43.83,43.35,43.43,12.5467,2120086
2010-02-24,43.42,43.8,43.4,43.5,12.5669,1630718
2010-02-25,43.14,43.15,42.7,43.14,12.4629,2276568
2010-02-26,43.86,44.15,43.58,44.12,12.746,9691738
2010-03-01,43.95,44.12,43.76,43.99,12.7085,4171964
2010-03-02,44.29,44.49,44.04,44.36,12.8154,1840156
2010-03-03,44.42,44.91,44.34,44.67,12.9049,1887464
2010-03-04,45.08,45.08,44.68,44.81,12.9454,1946440
2010-03-05,44.87,45.5,44.83,45.46,13.1332,1942732
2010-03-08,44.78,44.88,44.38,44.73,12.9223,3704614
2010-03-09,44.2,44.47,44.17,44.41,12.8298,2018164
2010-03-10,44.03,44.41,44.02,44.38,12.8211,2657258
2010-03-11,43.99,44.28,43.86,43.99,12.7085,3445544
2010-03-12,44.35,44.48,44.08,44.35,12.8125,3740402
2010-03-15,44.07,44.34,43.93,44.31,12.8009,2974470
2010-03-16,44.22,44.47,44.16,44.39,12.824,2572644
2010-03-17,44.63,44.77,44.4,44.71,12.9165,1593938
2010-03-18,44.72,44.83,44.38,44.74,12.9251,1956974
2010-03-19,44.51,44.56,44.0,44.11,12.7431,1856922
2010-03-22,44.62,45.05,44.55,44.93,12.98,2447668
2010-03-23,44.87,45.15,44.72,45.15,13.0436,1945458
2010-03-24,44.68,44.78,44.43,44.52,12.8616,2105146
2010-03-25,45.04,45.08,44.58,44.58,12.8789,1762024
2010-03-26,44.53,44.72,44.41,44.61,12.8876,1306464
2010-03-29,44.74,44.92,44.54,44.9,12.9714,1235438
2010-03-30,44.71,44.79,44.3,44.5,12.8558,2231750
2010-03-31,44.47,44.87,44.44,44.72,12.9194,2035342
2010-04-01,44.89,45.11,44.76,44.95,12.9858,1410884
2010-04-05,44.94,45.03,44.87,44.87,12.9627,833956
2010-04-06,44.45,44.7681,44.38,44.63,12.8934,1840652
2010-04-07,44.7,45.03,44.69,44.87,12.9627,2546164
2010-04-08,44.66,44.85,44.54,44.65,12.8991,2163966
2010-04-09,44.94,45.19,44.909,45.13,13.0378,2997024
2010-04-12,45.18,45.34,45.07,45.29,13.084,1403870
2010-04-13,45.45,45.45,45.11,45.28,13.0812,1975466
2010-04-14,45.3,45.32,45.04,45.29,13.084,1648424
2010-04-15,45.07,45.59,45.07,45.58,13.1678,1449392
2010-04-16,45.27,45.44,45.13,45.33,13.0956,4513610
2010-04-19,44.89,45.26,44.84,45.23,13.0667,1790062
2010-04-20,45.67,45.85,45.59,45.73,13.2112,1981780
2010-04-21,45.55,45.58,45.22,45.4,13.1158,2552698
2010-04-22,44.95,44.97,44.62,44.88,12.9656,3813856
2010-04-23,44.57,45.16,44.5,45.13,13.0378,1654506
2010-04-26,45.09,45.21,44.87,44.91,12.9743,1495850
2010-04-27,43.92,44.15,43.49,43.58,12.59,4086158
2010-04-28,43.48,43.83,43.0,43.68,12.6189,4230264
2010-04-29,44.4,44.53,44.03,44.34,12.8096,4952086
2010-04-30,44.63,44.67,43.98,44.23,12.7778,3646296
2010-05-03,44.06,44.31,43.97,44.09,12.7374,2469530
2010-05-04,44.15,44.24,43.91,44.02,12.7171,3123944
2010-05-05,43.1,43.48,43.03,43.17,12.4716,3942126
2010-05-06,42.72,42.94,40.3,41.68,12.0411,6252350
2010-05-07,41.48,41.79,40.44,41.23,11.9111,7692280
2010-05-10,42.54,42.88,42.14,42.55,12.2925,3929808
2010-05-11,41.95,43.01,41.9,42.56,12.2954,2649188
2010-05-12,42.64,43.45,42.59,43.39,12.5351,3457860
2010-05-13,43.02,43.33,42.97,43.15,12.4658,5335472
2010-05-14,42.58,42.64,41.78,42.05,12.148,7262458
2010-05-17,42.05,42.61,41.82,42.55,12.2925,6102216
2010-05-18,42.16,42.42,41.82,41.95,12.1191,6550266
2010-05-19,41.77,42.44,41.74,42.22,12.1971,7497256
2010-05-20,41.33,41.65,40.74,41.01,11.8476,7954226
2010-05-21,40.61,41.68,40.56,41.57,12.0094,4623448
2010-05-24,41.42,41.96,41.25,41.4,11.9602,3492356
2010-05-25,40.74,41.4,40.41,41.34,11.9429,7474536
2010-05-26,40.73,41.24,40.71,40.91,11.8187,7523164
2010-05-27,41.24,41.86,41.17,41.85,12.0902,3798380
2010-05-28,42.3,42.49,41.97,42.25,12.2058,5205114
2010-06-01,42.32,43.01,42.2,42.31,12.2231,5004698
2010-06-02,43.0,43.59,42.62,43.59,12.5929,6413520
2010-06-03,43.8,43.83,43.27,43.52,12.5727,4262842
2010-06-04,43.16,43.22,42.37,42.47,12.2694,4275266
2010-06-07,42.55,43.01,42.13,42.13,12.1711,4113150
2010-06-08,42.06,42.45,41.93,42.37,12.2405,3552048
2010-06-09,42.65,43.18,42.53,42.63,12.3156,3231564
2010-06-10,43.61,44.25,43.57,44.17,12.7605,6962456
2010-06-11,43.92,45.08,43.89,45.02,13.006,6935134
2010-06-14,45.2,45.39,45.01,45.03,13.0089,4122206
2010-06-15,45.58,45.96,45.505,45.96,13.2776,3472296
2010-06-16,45.59,45.91,45.55,45.78,13.2256,2692154
2010-06-17,45.62,45.84,45.45,45.79,13.2285,2697856
2010-06-18,45.46,45.79,45.35,45.49,13.1418,2431064
2010-06-21,45.36,45.5,44.78,44.87,12.9627,3657326
2010-06-22,45.02,45.63,44.91,44.91,12.9743,3438008
2010-06-23,44.96,45.11,44.49,44.9,12.9714,2372406
2010-06-24,44.95,45.41,44.87,45.07,13.0205,2546344
2010-06-25,44.61,44.97,44.39,44.89,12.9685,2877188
2010-06-28,44.53,45.02,44.52,44.72,12.9194,2547568
2010-06-29,44.87,49.8,44.17,48.74,14.0807,15935888
2010-06-30,47.57,48.05,47.07,47.13,13.6156,12838304
2010-07-01,47.74,47.88,46.7484,47.55,13.7369,8166588
2010-07-02,46.75,47.21,46.71,47.05,13.5925,3770082
2010-07-06,47.45,47.97,47.38,47.77,13.8005,3750588
2010-07-07,47.47,48.38,47.36,48.33,13.9623,3855332
