date,open,high,low,close,adjusted_close,volume
2010-01-04,58.9981,58.9981,57.6479,58.298,24.0584,6228913
2010-01-05,58.318,58.318,57.7179,57.8979,23.8934,3255674
2010-01-06,58.008,58.3985,57.7379,58.098,23.9759,2840426
2010-01-07,58.018,59.2081,57.9279,59.0381,24.3639,3410867
2010-01-08,59.1081,59.4081,58.8481,59.1781,24.4217,2808991
2010-01-11,59.2381,59.2381,58.7381,58.8381,24.2813,2954572
2010-01-12,58.7381,60.1682,58.598,59.7682,24.6652,5124312
2010-01-13,59.9082,60.5683,59.7632,60.3783,24.9169,4308724
2010-01-14,60.7983,61.8885,60.5083,61.7185,25.47,6181359
2010-01-15,61.5484,61.8485,60.7283,61.5784,25.4122,4473640
2010-01-19,60.1682,61.6385,60.1282,61.4484,25.3586,5793825
2010-01-20,61.3484,61.8485,60.0882,60.8083,25.0944,4745385
2010-01-21,60.9184,60.9184,59.3581,59.6082,24.5991,4298376
2010-01-22,59.3881,59.8082,58.668,58.7481,24.2442,4047571
2010-01-25,58.9781,59.9407,58.7781,58.9681,24.335,3475470
2010-01-26,58.7581,59.3281,58.608,59.0681,24.3763,3004645
2010-01-27,59.1381,59.3681,57.988,58.9181,24.3143,4471802
2010-01-28,57.6879,58.7281,56.5278,58.208,24.0213,6495833
2010-01-29,58.238,58.518,57.5279,57.5979,23.7695,3316546
2010-02-01,57.5679,57.8779,56.9878,57.8679,23.881,3595248
2010-02-02,57.8179,58.538,57.6179,58.478,24.1327,2939088
2010-02-03,58.258,58.388,57.3979,57.4979,23.7283,3661238
2010-02-04,57.2178,57.3479,56.3477,56.3477,23.2536,5934032
2010-02-05,56.2777,56.8878,56.0577,56.5978,23.3568,4556793
2010-02-08,56.6278,56.8578,56.3277,56.3677,23.2619,2855550
2010-02-09,56.7178,57.1778,56.0977,56.3877,23.2701,3199750
2010-02-10,56.4577,56.7078,55.9077,56.1377,23.1669,3416141
2010-02-11,56.1877,56.2677,55.7876,56.0177,23.1174,4701037
2010-02-12,55.8977,56.0077,55.2976,55.9277,23.0803,3902576
2010-02-16,56.1477,56.9978,56.0177,56.9478,23.5013,3408304
2010-02-17,57.1478,57.9179,57.0878,57.6579,23.7943,4499223
2010-02-18,57.4679,57.8279,57.1828,57.3879,23.6829,2919522
2010-02-19,57.3879,57.6579,56.9078,57.5479,23.7489,3906708
2010-02-22,57.7079,57.8979,57.0878,57.7479,23.8314,4219585
2010-02-23,57.6679,57.7379,56.9178,56.9678,23.5095,3866080
2010-02-24,57.2579,57.7079,56.9578,57.6079,23.7737,2691049
2010-02-25,57.3379,57.4279,56.6778,57.0978,23.5632,4423942
2010-02-26,57.1278,57.3579,56.6178,56.9378,23.4971,4344720
2010-03-01,57.1178,57.5679,56.9278,57.2779,23.6375,5059823
2010-03-02,57.3879,58.688,57.3879,58.458,24.1245,3968111
2010-03-03,59.2581,59.3781,58.408,59.0081,24.3515,4016743
2010-03-04,59.1181,59.3581,58.668,59.0481,24.368,3746763
2010-03-05,59.1581,59.6132,58.9081,59.4882,24.5496,3726106
2010-03-08,59.3381,59.3981,58.9181,59.1381,24.5247,2234928
2010-03-09,59.0681,59.2381,58.8681,58.9881,24.4625,2256707
2010-03-10,59.1581,59.1881,58.388,58.488,24.2551,3292471
2010-03-11,58.298,58.408,57.4179,58.168,24.1224,3650422
2010-03-12,58.428,58.598,57.6179,57.8179,23.9772,3717413
2010-03-15,57.7779,58.438,57.7679,58.378,24.2095,3116646
2010-03-16,58.338,58.338,57.8379,58.058,24.0767,2571097
2010-03-17,58.058,58.608,57.9079,58.348,24.197,2468582
2010-03-18,58.408,59.0581,58.308,58.9781,24.4583,2390307
2010-03-19,58.9581,59.3281,58.7581,59.2581,24.5745,4322295
2010-03-22,59.2181,60.2483,58.9881,59.6782,24.7487,4401824
2010-03-23,59.6782,59.8082,58.9881,59.3781,24.6242,3544993
2010-03-24,59.3681,59.3981,58.8081,58.9081,24.4293,2569890
2010-03-25,59.1181,59.2456,58.508,58.7281,24.3546,3270256
2010-03-26,58.7381,58.7881,58.053,58.438,24.2344,3151600
2010-03-29,58.618,58.8881,58.498,58.7181,24.3505,2407188
2010-03-30,58.8581,59.0081,58.538,58.678,24.3339,2179786
2010-03-31,58.408,58.548,58.128,58.208,24.139,2961770
2010-04-01,58.328,58.7881,57.9204,58.238,24.1514,3271600
2010-04-05,58.228,58.608,57.8979,58.268,24.1638,2919371
2010-04-06,58.068,58.488,58.008,58.208,24.139,2199500
2010-04-07,57.998,58.088,57.7379,57.9779,24.0436,4295121
2010-04-08,57.9579,58.008,57.6379,57.7079,23.9316,2191993
2010-04-09,57.8179,58.258,57.6679,57.998,24.0519,3582179
2010-04-12,57.9279,58.308,57.6179,58.158,24.1182,3911030
2010-04-13,57.9179,59.1081,57.6779,59.0681,24.4957,6701546
2010-04-14,59.3981,59.4682,58.458,59.2881,24.5869,6629559
2010-04-15,58.9081,59.7582,58.9081,59.5182,24.6823,4694657
2010-04-16,59.2181,59.6682,58.708,59.1081,24.5122,3999860
2010-04-19,58.8981,59.4281,58.7281,59.3381,24.6076,3408889
2010-04-20,59.3681,59.9582,59.2981,59.9282,24.8523,3818858
2010-04-21,59.7782,59.7782,58.428,58.9581,24.45,6894793
2010-04-22,49.9068,52.0871,48.0566,51.137,21.2066,50199473
2010-04-23,51.257,51.5671,49.2368,49.3268,20.4559,25884660
2010-04-26,49.4368,49.4368,47.5065,47.5965,19.7384,20933301
2010-04-27,47.7165,47.7365,47.1665,47.4915,19.6948,14650670
2010-04-28,47.6065,48.4866,47.3865,47.8966,19.8628,13462390
2010-04-29,48.1966,48.9467,48.1466,48.2266,19.9997,7897403
2010-04-30,48.6367,48.8767,47.2265,47.2265,19.5849,8300305
2010-05-03,47.6265,47.7866,47.2265,47.5065,19.701,6620686
2010-05-04,45.1762,46.3063,44.8461,45.0862,18.6973,17083141
2010-05-05,45.3562,45.6663,45.0062,45.6563,18.9337,13286010
2010-05-06,45.6563,47.1865,45.2162,46.0063,19.0789,18512359
2010-05-07,45.8163,45.8463,44.5961,45.1262,18.7139,14129910
2010-05-10,46.8364,47.3865,45.9163,46.2963,19.1992,5885976
2010-05-11,45.7663,46.2063,45.3562,45.5062,18.8715,7475343
2010-05-12,45.5863,45.5863,44.8061,44.8862,18.6144,10370270
2010-05-13,44.7261,45.0462,44.106,44.1661,18.3157,7468457
2010-05-14,44.096,44.126,43.1659,43.536,18.0545,6813057
2010-05-17,43.2059,43.3459,42.0958,42.4558,17.6065,10754630
2010-05-18,42.8559,43.836,42.5458,43.3959,17.9964,12674090
2010-05-19,43.3859,43.506,42.4058,42.6058,17.6687,11218810
2010-05-20,42.2458,42.2508,41.4457,41.5557,17.2332,11818390
2010-05-21,41.0756,41.2157,40.5656,40.6756,16.8682,16197550
2010-05-24,40.6356,42.3258,40.4856,41.8257,17.3452,11133810
2010-05-25,41.6157,41.8657,40.7856,41.7757,17.3245,8914214
2010-05-26,42.2658,42.3958,41.4357,41.5057,17.2125,6957178
2010-05-27,42.0058,42.1258,41.4157,42.0758,17.4489,4926678
2010-05-28,42.1558,42.9359,42.1258,42.2358,17.5153,6073258
2010-06-01,41.7757,42.1458,41.4357,41.5457,17.2291,6860840
2010-06-02,41.3757,41.8257,41.2157,41.8157,17.3411,5259867
2010-06-03,41.8457,42.5358,41.7357,42.1958,17.4987,5047288
2010-06-04,42.0758,42.0758,41.2257,41.3757,17.1586,5463387
2010-06-07,42.0358,42.4958,41.2557,41.2857,17.1212,5422213
2010-06-08,41.2157,41.2157,40.5556,40.9856,17.117,6406436
2010-06-09,41.0656,41.2056,40.3455,40.4755,16.904,7042642
2010-06-10,41.0556,41.1756,40.7456,41.0856,17.1588,5098496
2010-06-11,40.8156,41.5357,40.6856,41.4157,17.2966,4131980
2010-06-14,41.6557,42.3058,41.4657,41.4657,17.3175,4476092
2010-06-15,41.6857,42.3958,41.6857,42.3658,17.6934,6321513
2010-06-16,42.1258,42.6959,41.9257,42.5458,17.7686,6286201
2010-06-17,42.7459,42.7559,42.2158,42.5858,17.7853,5105196
2010-06-18,42.4958,42.8259,41.9908,42.0158,17.5473,7654016
2010-06-21,42.7259,43.0059,42.0458,42.3658,17.6934,4111559
2010-06-22,42.3958,42.6058,41.6457,41.6657,17.4011,4832760
2010-06-23,41.7657,41.9357,41.2657,41.3257,17.259,5026637
2010-06-24,41.1756,41.5257,41.0356,41.1356,17.1797,5980686
2010-06-25,41.0456,42.1758,40.8656,41.7957,17.4554,7847472
2010-06-28,41.7957,42.5958,41.5457,42.1958,17.6224,4041609
2010-06-29,41.8657,42.0558,40.8456,41.2157,17.2131,5871507
2010-06-30,41.1056,41.1056,40.5156,40.6456,16.975,4982719
2010-07-01,40.5356,41.2757,40.2555,41.1456,17.1839,6081748
2010-07-02,41.1256,41.9658,41.0256,41.6557,17.3969,4347454
2010-07-06,42.0058,42.1658,41.5057,41.7957,17.4554,4157572
2010-07-07,41.7357,42.8959,41.5257,42.7959,17.8731,4075388
2010-07-08,43.0159,43.426,42.5458,43.3959,18.1237,5328461
2010-07-09,43.506,44.3761,43.446,43.916,18.3409,4984843
2010-07-12,43.856,43.976,43.566,43.716,18.2573,3584141
2010-07-13,43.996,44.3711,43.476,43.756,18.274,6062518
2010-07-14,43.576,43.576,42.9359,43.2559,18.0652,5657606
2010-07-15,43.0559,43.1159,41.9558,42.6158,17.7979,10186630
2010-07-16,42.4458,42.9109,42.1758,42.4558,17.731,7394078
2010-07-19,42.6058,42.7363,42.3533,42.6158,17.7979,3226543
2010-07-20,42.4058,42.7559,42.1958,42.7159,17.8396,4453172
