date,open,high,low,close,adjusted_close,volume
2010-01-04,106.18,108.32,105.9,108.0,22.0422,3746547
2010-01-05,107.62,109.01,107.4,108.84,22.2136,3276447
2010-01-06,108.57,109.64,108.32,108.92,22.23,2470626
2010-01-07,108.82,109.39,107.62,107.94,22.03,3049203
2010-01-08,107.69,108.07,105.8,108.05,22.0524,3692214
2010-01-11,108.15,111.45,108.15,110.41,22.5341,3252894
2010-01-12,109.89,111.77,108.73,110.9,22.6341,5897712
2010-01-13,110.88,112.26,110.61,111.62,22.781,3539571
2010-01-14,111.24,111.58,109.8,111.05,22.6647,1731705
2010-01-15,111.05,111.05,108.05,108.31,22.1055,3330051
2010-01-19,108.15,110.91,107.9,110.74,22.6014,3392979
2010-01-20,110.15,110.43,107.72,108.95,22.2361,2156328
2010-01-21,108.99,109.37,104.65,104.72,21.3728,3979593
2010-01-22,105.02,105.16,100.75,101.26,20.6666,4684365
2010-01-25,102.2,103.67,101.87,103.5,21.1238,3771237
2010-01-26,102.54,103.45,100.3,100.47,20.5054,3578664
2010-01-27,100.3,104.21,100.3,103.88,21.2013,5362017
2010-01-28,105.0,106.73,98.74,100.33,20.4768,6084099
2010-01-29,100.64,101.93,98.08,99.03,20.2115,5793264
2010-02-01,99.59,101.59,99.03,101.45,20.7054,3536112
2010-02-02,101.31,102.88,100.68,101.79,20.7748,3033990
2010-02-03,101.42,102.23,100.71,101.83,20.7829,2858466
2010-02-04,103.41,103.41,98.19,98.28,20.0584,5029251
2010-02-05,98.43,99.1,94.43,98.0,20.0013,6282657
2010-02-08,97.95,98.55,96.23,96.3,19.6543,3812913
2010-02-09,97.8,98.42,96.22,97.22,19.8421,4401471
2010-02-10,96.7,98.22,96.66,97.3,19.8584,2889708
2010-02-11,97.13,98.38,96.4,97.99,19.9992,2362710
2010-02-12,97.36,98.02,95.82,97.86,19.9727,3818124
2010-02-16,98.64,100.0,98.54,99.98,20.4054,3912432
2010-02-17,100.02,101.12,99.78,100.9,20.5931,3474666
2010-02-18,100.97,101.54,100.27,101.41,20.6972,3449628
2010-02-19,101.61,102.29,100.77,101.61,20.738,4464333
2010-02-22,102.23,102.36,100.85,101.36,20.687,2446101
2010-02-23,100.78,101.33,99.61,100.03,20.4156,3590574
2010-02-24,100.42,101.689,99.83,101.65,20.7462,3674397
2010-02-25,100.5,100.5,98.75,100.17,20.4441,4352103
