date,open,high,low,close,adjusted_close,volume
2010-01-04,64.25,65.21,64.11,64.65,46.2224,820700
2010-01-05,64.94,67.15,64.94,66.88,47.8168,1852700
2010-01-06,67.89,69.36,67.25,69.05,49.3683,3211500
2010-01-07,68.89,71.25,68.3,70.93,50.7124,3962900
2010-01-08,70.65,71.38,70.65,71.29,50.9698,1828300
2010-01-11,71.68,72.75,70.02,70.28,50.2477,1934400
2010-01-12,69.46,69.59,67.71,68.61,49.0537,1513800
2010-01-13,68.45,68.82,66.95,68.13,48.7105,1388400
2010-01-14,67.69,68.95,66.17,68.07,48.6676,1036600
2010-01-15,71.0,74.04,69.21,69.85,49.9402,3176000
2010-01-19,70.03,70.19,67.89,69.0,49.3325,1797400
2010-01-20,68.04,68.64,67.06,67.75,48.4388,1362000
2010-01-21,67.73,67.97,63.82,64.08,45.8149,2629700
2010-01-22,64.14,64.88,62.81,62.88,44.9569,1294900
2010-01-25,63.28,63.88,62.55,62.67,44.8068,1864900
2010-01-26,62.63,62.99,62.0,62.02,44.3421,1152700
2010-01-27,63.32,63.5,60.83,61.49,43.9631,2353900
2010-01-28,61.99,62.08,59.64,60.07,42.9479,2081600
2010-01-29,60.48,61.19,58.54,58.79,42.0327,2487800
2010-02-01,59.24,60.75,58.88,59.67,42.6619,1432100
2010-02-02,60.02,61.43,59.95,61.39,43.8916,1179400
2010-02-03,61.51,61.54,59.85,60.5,43.2553,1577800
2010-02-04,57.5,59.28,57.5,58.55,41.8611,2898900
2010-02-05,58.37,59.05,57.33,58.75,42.0041,2077300
2010-02-08,58.57,58.95,56.87,56.9,40.6814,1635200
2010-02-09,57.28,58.27,57.25,57.86,41.3678,1023100
2010-02-10,57.91,58.22,57.15,58.06,41.5108,996200
2010-02-11,57.68,58.88,57.37,58.76,42.1638,1161900
2010-02-12,58.29,58.71,57.33,58.66,42.092,1235800
2010-02-16,59.28,60.13,58.66,59.7,42.8383,1281700
2010-02-17,60.03,61.26,59.97,61.24,43.9433,1537100
2010-02-18,60.84,61.41,60.34,61.21,43.9218,749900
2010-02-19,61.32,61.67,60.69,61.31,43.9936,1101500
2010-02-22,61.68,61.87,60.94,61.5,44.1299,1030700
2010-02-23,61.42,61.68,59.99,60.13,43.1468,1180400
2010-02-24,60.08,60.16,58.63,60.05,43.0894,1922700
2010-02-25,59.62,60.48,59.08,60.4,43.3406,1607900
2010-02-26,60.02,60.66,59.58,59.59,42.7594,952700
2010-03-01,59.7,60.39,59.7,60.26,43.2401,519600
2010-03-02,60.48,61.81,60.4,61.41,44.0653,945200
2010-03-03,61.54,62.08,61.12,61.57,44.1801,686100
2010-03-04,61.42,62.15,60.34,60.89,43.6922,685200
2010-03-05,61.5,63.45,61.34,63.27,45.4,1378500
2010-03-08,63.5,63.85,62.08,62.2,44.6322,1132000
2010-03-09,62.1,62.81,62.1,62.37,44.7542,493800
2010-03-10,62.24,62.6,61.08,61.85,44.381,657600
2010-03-11,61.43,61.5,60.51,60.94,43.7281,867200
2010-03-12,62.49,62.59,60.59,60.84,43.6563,1092800
2010-03-15,60.46,60.73,59.88,60.48,43.398,585900
2010-03-16,60.67,60.67,59.6,60.01,43.0607,852600
2010-03-17,60.02,61.81,60.02,61.68,44.2591,1544300
2010-03-18,61.64,62.48,61.46,61.99,44.4815,1792000
2010-03-19,62.01,62.07,61.09,62.01,44.4958,1488700
2010-03-22,61.86,63.21,61.2,63.16,45.321,1096900
2010-03-23,63.28,66.02,63.13,65.34,46.8853,2440900
2010-03-24,65.07,65.07,63.95,64.38,46.1965,967900
2010-03-25,64.69,64.83,63.68,63.76,45.7516,880000
2010-03-26,63.84,64.06,63.34,63.84,45.809,805400
2010-03-29,63.99,64.06,63.18,63.53,45.5865,1181500
2010-03-30,63.88,63.95,62.58,63.25,45.3856,1070200
2010-03-31,62.82,63.01,61.25,61.63,44.2232,1810200
2010-04-01,61.92,62.74,61.72,61.85,44.381,1043500
2010-04-05,62.29,62.55,60.91,61.0,43.7711,1193600
2010-04-06,60.83,61.39,60.1,60.18,43.1827,1462100
2010-04-07,60.06,60.14,59.6,59.78,42.8957,2211100
2010-04-08,59.62,59.62,58.95,59.22,42.4939,1620500
2010-04-09,59.76,60.48,59.26,60.35,43.3047,1716000
2010-04-12,60.64,61.69,60.36,61.63,44.2232,1568900
2010-04-13,61.3,61.52,59.79,59.81,42.9172,1339900
2010-04-14,59.95,60.68,59.75,60.67,43.5343,1092300
2010-04-15,60.53,61.09,60.13,60.41,43.3478,1206000
2010-04-16,59.97,60.77,59.75,59.94,43.0105,1100000
2010-04-19,59.93,59.93,58.75,59.74,42.867,805300
2010-04-20,59.83,60.25,59.52,59.73,42.8598,1150300
2010-04-21,60.0,60.0,58.27,58.46,41.9485,1900900
2010-04-22,58.09,58.45,57.79,58.44,41.9342,890900
2010-04-23,58.16,58.78,57.8,58.73,42.1423,1045800
2010-04-26,58.83,59.7,57.92,58.05,41.6543,1319000
2010-04-27,58.0,58.0,56.2,56.33,40.4201,1446300
2010-04-28,56.4,57.69,56.4,57.28,41.1018,1547800
2010-04-29,56.72,57.75,53.39,53.5,38.3894,3774100
2010-04-30,53.57,54.73,52.47,52.95,37.9948,3507200
2010-05-03,53.45,53.85,52.95,53.62,38.4755,1360200
2010-05-04,53.03,53.49,51.96,52.32,37.5427,1550800
2010-05-05,51.84,52.08,50.49,51.25,36.7749,1610800
2010-05-06,51.06,52.01,48.11,50.76,36.4233,3016400
2010-05-07,50.64,51.55,50.08,51.48,36.9399,2582000
2010-05-10,53.88,53.88,51.43,51.9,37.2413,1966200
2010-05-11,51.92,51.99,50.86,51.24,36.7677,1122200
2010-05-12,51.4,54.93,51.21,54.75,39.2864,2520000
2010-05-13,55.0,55.0,51.56,51.73,37.1193,2575100
2010-05-14,51.5,52.07,50.06,50.73,36.4018,1437100
2010-05-17,50.93,51.88,49.47,50.49,36.3802,1359100
2010-05-18,51.12,52.63,50.95,51.02,36.7621,1476600
2010-05-19,50.6,50.68,49.2,50.01,36.0343,1582600
2010-05-20,49.16,49.16,47.85,48.07,34.6365,1594300
2010-05-21,47.3,48.55,47.16,47.84,34.4707,1853300
2010-05-24,48.02,48.49,47.39,47.52,34.2402,1602200
2010-05-25,46.49,47.58,45.36,47.19,34.0024,2392500
2010-05-26,47.74,48.63,47.13,47.96,34.5572,1984800
2010-05-27,49.06,49.68,48.61,49.39,35.5876,1341000
2010-05-28,49.17,49.4,48.6,48.76,35.1336,998200
2010-06-01,48.31,49.14,48.14,48.14,34.6869,1015400
2010-06-02,48.66,49.22,48.0,49.15,35.4146,907200
2010-06-03,49.08,49.53,48.33,49.09,35.3714,660500
2010-06-04,48.49,49.93,48.36,48.6,35.0183,1600200
2010-06-07,49.01,49.03,47.42,47.45,34.1897,1092700
2010-06-08,47.25,47.9,47.07,47.76,34.4131,1089200
2010-06-09,49.28,51.9,49.28,50.25,36.2072,3148700
2010-06-10,51.25,52.48,50.84,50.94,36.7044,1531300
2010-06-11,50.46,52.41,50.39,52.23,37.6339,1215200
2010-06-14,52.32,52.88,51.96,52.26,37.6555,1041800
2010-06-15,52.55,54.45,52.27,54.37,39.1759,1490500
2010-06-16,53.84,54.19,52.99,53.33,38.4265,1076500
2010-06-17,53.21,53.72,53.04,53.61,38.6283,716500
2010-06-18,53.59,53.82,53.08,53.24,38.3617,834600
