date,open,high,low,close,adjusted_close,volume
2010-01-04,3.93,3.93,3.75,3.77,3.77,494347
2010-01-05,3.77,3.79,3.566,3.59,3.59,284626
2010-01-06,3.57,3.61,3.57,3.6,3.6,270990
2010-01-07,3.61,3.62,3.56,3.57,3.57,351339
2010-01-08,3.56,3.63,3.5,3.54,3.54,391398
2010-01-11,3.58,3.6,3.54,3.59,3.59,686711
2010-01-12,3.58,4.07,3.58,3.75,3.75,567273
2010-01-13,3.78,3.95,3.7,3.73,3.73,397209
2010-01-14,3.75,3.83,3.64,3.68,3.68,385890
2010-01-15,3.68,3.8,3.53,3.6,3.6,349655
2010-01-19,3.79,3.89,3.64,3.89,3.89,392806
2010-01-20,3.85,3.87,3.62,3.64,3.64,71922
2010-01-21,3.66,3.72,3.5,3.5,3.5,201265
2010-01-22,3.5,3.5,3.32,3.36,3.36,527336
2010-01-25,3.41,3.42,3.32,3.38,3.38,222330
2010-01-26,3.38,3.45,3.34,3.39,3.39,243764
2010-01-27,3.42,3.43,3.32,3.39,3.39,150484
2010-01-28,3.41,3.47,3.34,3.35,3.35,280426
2010-01-29,3.38,3.41,3.31,3.35,3.35,1074006
2010-02-01,3.37,3.4,3.29,3.34,3.34,313519
2010-02-02,3.35,3.42,3.31,3.33,3.33,434699
2010-02-03,3.35,3.38,3.18,3.19,3.19,386291
2010-02-04,3.17,3.19,2.97,3.0,3.0,499752
2010-02-05,3.0,3.04,2.86,3.03,3.03,398687
2010-02-08,3.02,3.02,2.95,2.96,2.96,353630
2010-02-09,3.01,3.05,2.88,2.9,2.9,152783
2010-02-10,2.87,2.99,2.81,2.97,2.97,173996
2010-02-11,2.95,3.0,2.9,3.0,3.0,120044
2010-02-12,2.96,3.02,2.92,2.99,2.99,81656
2010-02-16,3.01,3.01,2.9,3.0,3.0,373736
2010-02-17,3.01,3.05,2.98,3.02,3.02,289831
2010-02-18,3.01,3.01,2.94,3.0,3.0,281572
2010-02-19,3.0,3.05,2.97,3.01,3.01,610066
2010-02-22,3.01,3.14,2.96,3.11,3.11,640142
2010-02-23,3.11,3.16,2.95,2.97,2.97,555461
2010-02-24,2.98,2.98,2.91,2.97,2.97,136218
2010-02-25,2.92,3.03,2.92,3.0,3.0,409428
2010-02-26,2.99,3.0125,2.96,3.0,3.0,411506
2010-03-01,3.01,3.08,3.0,3.03,3.03,245666
2010-03-02,3.04,3.06,3.02,3.04,3.04,148084
2010-03-03,3.05,3.09,3.02,3.04,3.04,204725
2010-03-04,3.05,3.08,3.0,3.04,3.04,90403
2010-03-05,3.06,3.11,3.01,3.11,3.11,200637
2010-03-08,3.11,3.15,3.06,3.11,3.11,77999
2010-03-09,3.1,3.16,3.07,3.12,3.12,51616
2010-03-10,3.13,3.25,3.08,3.18,3.18,117133
2010-03-11,3.15,3.19,3.1,3.19,3.19,88154
2010-03-12,3.16,3.17,3.09,3.14,3.14,155627
2010-03-15,3.14,3.15,3.03,3.1,3.1,120697
2010-03-16,3.11,3.14,3.03,3.11,3.11,743493
2010-03-17,3.11,3.17,3.08,3.1,3.1,245945
2010-03-18,3.09,3.29,3.05,3.27,3.27,524337
2010-03-19,3.29,3.3,3.05,3.16,3.16,639762
2010-03-22,3.13,3.32,3.07,3.28,3.28,134536
2010-03-23,3.29,3.31,3.16,3.29,3.29,105833
2010-03-24,3.28,3.29,3.1,3.14,3.14,109109
2010-03-25,3.16,3.26,3.05,3.05,3.05,130518
2010-03-26,3.07,3.11,3.03,3.07,3.07,222109
2010-03-29,3.07,3.15,3.07,3.11,3.11,106921
2010-03-30,3.12,3.2,3.12,3.14,3.14,157074
2010-03-31,3.11,3.1501,3.11,3.15,3.15,270177
2010-04-01,3.18,3.18,3.12,3.16,3.16,164477
2010-04-05,3.17,3.4,3.15,3.39,3.39,278456
2010-04-06,3.39,3.42,3.32,3.41,3.41,246097
2010-04-07,3.39,3.49,3.37,3.48,3.48,339122
2010-04-08,3.49,3.55,3.45,3.5,3.5,239008
2010-04-09,3.49,3.55,3.42,3.49,3.49,173704
2010-04-12,3.5,3.5,3.37,3.42,3.42,194794
2010-04-13,3.42,3.61,3.42,3.56,3.56,297200
2010-04-14,3.6,3.69,3.52,3.65,3.65,371006
2010-04-15,3.63,3.7575,3.62,3.71,3.71,238236
2010-04-16,3.71,3.7705,3.54,3.64,3.64,741260
2010-04-19,3.59,3.7,3.59,3.63,3.63,322250
2010-04-20,3.65,3.75,3.55,3.72,3.72,139646
2010-04-21,3.74,3.94,3.74,3.94,3.94,311744
2010-04-22,3.86,4.19,3.83,4.08,4.08,782885
2010-04-23,4.04,4.065,3.72,4.0,4.0,720469
2010-04-26,4.03,4.3,3.88,4.02,4.02,317709
2010-04-27,4.0,4.09,3.8,3.81,3.81,248313
2010-04-28,3.84,3.95,3.76,3.86,3.86,171031
2010-04-29,3.91,4.15,3.85,4.09,4.09,173079
2010-04-30,4.08,4.08,3.8,3.84,3.84,229100
2010-05-03,3.85,4.05,3.81,4.01,4.01,170944
2010-05-04,3.93,3.93,3.671,3.83,3.83,218907
2010-05-05,3.76,3.86,3.7,3.74,3.74,219747
2010-05-06,3.7,4.0,3.55,3.62,3.62,273770
2010-05-07,3.65,3.78,3.38,3.44,3.44,276230
2010-05-10,3.64,3.76,3.54,3.76,3.76,206813
2010-05-11,3.6,3.99,3.6,3.87,3.87,115823
2010-05-12,3.87,4.13,3.85,4.1,4.1,175252
2010-05-13,4.07,4.1,3.85,3.9,3.9,80167
2010-05-14,3.83,3.83,3.66,3.74,3.74,80897
2010-05-17,3.79,3.84,3.555,3.81,3.81,110746
2010-05-18,3.9,3.99,3.55,3.6,3.6,120192
2010-05-19,3.6,3.78,3.45,3.49,3.49,180150
2010-05-20,3.37,3.56,3.23,3.26,3.26,193062
2010-05-21,3.2,3.55,3.13,3.37,3.37,156763
2010-05-24,3.36,3.54,3.3,3.33,3.33,74376
2010-05-25,3.17,3.32,3.12,3.31,3.31,133307
2010-05-26,3.35,3.68,3.29,3.32,3.32,116108
2010-05-27,3.45,3.6,3.33,3.6,3.6,145160
2010-05-28,3.52,3.61,3.33,3.37,3.37,165957
2010-06-01,3.33,3.42,3.15,3.155,3.155,128045
2010-06-02,3.17,3.4,3.14,3.39,3.39,89758
2010-06-03,3.4,3.47,3.32,3.4,3.4,115857
2010-06-04,3.32,3.32,3.05,3.12,3.12,423456
2010-06-07,3.14,3.27,2.91,2.96,2.96,270541
2010-06-08,2.99,3.26,2.76,2.88,2.88,210632
2010-06-09,2.91,3.18,2.79,2.84,2.84,233518
2010-06-10,2.92,3.09,2.9,3.05,3.05,114787
2010-06-11,2.98,3.27,2.95,3.24,3.24,96339
2010-06-14,3.29,3.36,3.1,3.13,3.13,66823
2010-06-15,3.18,3.22,3.03,3.17,3.17,146380
2010-06-16,3.12,3.13,3.04,3.06,3.06,116436
2010-06-17,3.09,3.09,2.945,3.0,3.0,89043
2010-06-18,3.02,3.21,2.95,2.97,2.97,333044
2010-06-21,3.04,3.21,2.94,2.97,2.97,122393
2010-06-22,2.99,3.135,2.89,2.89,2.89,120205
2010-06-23,2.91,2.979,2.81,2.86,2.86,228415
2010-06-24,2.83,2.93,2.69,2.7,2.7,210059
2010-06-25,2.73,2.99,2.7,2.97,2.97,1633302
2010-06-28,2.95,3.04,2.84,2.89,2.89,51617
2010-06-29,2.81,2.86,2.55,2.57,2.57,853056
2010-06-30,2.57,2.61,2.39,2.4,2.4,1019518
2010-07-01,2.4,2.48,2.25,2.44,2.44,371734
2010-07-02,2.46,2.51,2.38,2.44,2.44,64317
2010-07-06,2.48,2.5799,2.35,2.35,2.35,101465
2010-07-07,2.38,2.56,2.36,2.56,2.56,296204
2010-07-08,2.58,2.58,2.46,2.5,2.5,221626
2010-07-09,2.49,2.65,2.45,2.64,2.64,118649
2010-07-12,2.63,2.63,2.46,2.47,2.47,63270
2010-07-13,2.54,2.73,2.54,2.69,2.69,144834
2010-07-14,2.68,2.7,2.56,2.63,2.63,80816
2010-07-15,2.63,2.65,2.48,2.58,2.58,54425
2010-07-16,2.53,2.53,2.39,2.4,2.4,168589
2010-07-19,2.42,2.45,2.27,2.32,2.32,71799
2010-07-20,2.26,2.44,2.26,2.4,2.4,120872
2010-07-21,2.41,2.42,2.24,2.25,2.25,87115
2010-07-22,2.31,2.51,2.2101,2.47,2.47,203031
2010-07-23,2.43,2.6,2.35,2.59,2.59,157052
2010-07-26,2.6,2.63,2.5,2.54,2.54,158755
2010-07-27,2.58,2.61,2.37,2.41,2.41,126646
2010-07-28,2.4,2.44,2.22,2.25,2.25,622588
2010-07-29,2.28,2.29,2.2,2.24,2.24,195797
2010-07-30,2.21,2.28,2.12,2.14,2.14,229820
2010-08-02,2.22,2.32,2.16,2.17,2.17,284718
2010-08-03,2.17,2.23,2.17,2.2,2.2,116366
2010-08-04,2.22,2.33,2.21,2.33,2.33,121284
2010-08-05,2.29,2.3,2.2251,2.23,2.23,52486
2010-08-06,2.19,2.31,2.15,2.19,2.19,59304
2010-08-09,2.24,2.27,2.18,2.25,2.25,56144
2010-08-10,2.2,2.2501,2.14,2.14,2.14,72606
2010-08-11,2.09,2.22,2.005,2.05,2.05,248520
2010-08-12,2.03,2.08,1.9,2.02,2.02,213392
2010-08-13,2.0,2.23,1.98,2.07,2.07,157360
2010-08-16,2.05,2.23,2.05,2.21,2.21,143233
2010-08-17,2.26,2.42,2.17,2.36,2.36,273047
2010-08-18,2.35,2.37,2.18,2.19,2.19,46087
2010-08-19,2.17,2.18,2.0099,2.03,2.03,162635
2010-08-20,2.02,2.2,2.02,2.2,2.2,140510
2010-08-23,2.2,2.2,2.04,2.08,2.08,126562
2010-08-24,2.03,2.07,1.96,1.99,1.99,273330
2010-08-25,1.99,2.18,1.99,2.17,2.17,158475
2010-08-26,2.2,2.2,2.01,2.05,2.05,65985
2010-08-27,2.1,2.15,2.0,2.14,2.14,92010
