date,open,high,low,close,adjusted_close,volume
2010-01-04,25.41,25.7,25.3,25.63,16.2082,14376100
2010-01-05,25.51,25.55,25.01,25.23,15.9553,16973600
2010-01-06,25.17,25.29,25.07,25.22,15.949,15528900
2010-01-07,25.18,25.41,25.1,25.24,15.9616,15761700
2010-01-08,25.3,25.34,24.72,24.82,15.696,18730800
2010-01-11,24.94,25.11,24.86,25.08,15.8604,14106100
2010-01-12,25.01,25.2,24.71,24.81,15.6897,11940500
2010-01-13,24.79,25.08,24.7,24.99,15.8035,14428100
2010-01-14,25.02,25.11,24.88,25.05,15.8414,11354600
2010-01-15,25.05,25.18,24.9,25.07,15.8541,13449500
2010-01-19,25.11,26.0,25.07,25.65,16.2209,19370400
2010-01-20,25.45,25.88,25.19,25.46,16.1007,16368400
2010-01-21,25.42,25.64,24.89,24.95,15.7782,16776800
2010-01-22,24.98,25.05,24.5,24.6,15.5569,15945500
2010-01-25,24.74,24.81,24.3,24.33,15.3861,11292200
2010-01-26,24.27,24.37,23.5,24.3,15.3672,13539300
2010-01-27,24.28,24.41,24.08,24.3,15.3672,12404200
2010-01-28,24.63,24.82,24.1,24.1,15.2407,18705200
2010-01-29,24.14,24.62,23.96,24.36,15.4051,20525500
2010-02-01,24.77,24.77,24.23,24.38,15.4177,15287600
2010-02-02,24.37,24.8,24.14,24.78,15.6707,9867000
2010-02-03,24.67,24.72,24.32,24.5,15.4936,8116200
2010-02-04,24.31,24.51,23.9,23.99,15.1711,16693900
2010-02-05,23.94,24.08,23.49,23.97,15.1585,15208300
2010-02-08,23.91,24.3,23.76,23.96,15.1521,12496000
2010-02-09,24.1,24.41,23.9,24.25,15.3355,9906600
2010-02-10,24.27,24.27,23.76,23.92,15.1268,10597500
2010-02-11,23.85,23.98,23.57,23.89,15.1079,11005400
2010-02-12,23.76,24.0,23.55,23.91,15.1205,9663100
2010-02-16,24.03,24.28,23.86,24.21,15.3102,10274500
2010-02-17,24.33,24.64,24.29,24.51,15.5,9011200
2010-02-18,24.51,24.88,24.42,24.84,15.7086,11287500
2010-02-19,24.78,25.01,24.66,24.95,15.7782,10744300
2010-02-22,24.95,24.98,24.44,24.68,15.6075,8655000
2010-02-23,24.6,24.8,24.37,24.44,15.4557,8651000
2010-02-24,24.54,24.74,24.38,24.71,15.6264,8538400
2010-02-25,24.52,24.55,24.2,24.48,15.481,10154800
2010-02-26,24.48,24.62,24.45,24.51,15.5,7107200
2010-03-01,24.59,24.63,24.3,24.39,15.4241,10867500
2010-03-02,24.59,24.78,24.45,24.72,15.6328,10434600
2010-03-03,24.74,24.78,24.25,24.33,15.3861,14351900
2010-03-04,24.38,24.49,24.34,24.47,15.4747,14242300
2010-03-05,24.93,25.33,24.77,25.28,15.9869,19878200
2010-03-08,25.23,25.35,25.15,25.31,16.0059,12382000
2010-03-09,25.15,25.27,25.01,25.2,15.9363,11099800
2010-03-10,25.09,25.67,25.08,25.65,16.2209,16804200
2010-03-11,25.6,26.01,25.47,25.96,16.4169,15854200
2010-03-12,25.88,25.97,25.78,25.89,16.3727,11789900
2010-03-15,25.75,25.95,25.67,25.95,16.4106,9240300
2010-03-16,25.89,26.02,25.74,25.99,16.4359,8604800
2010-03-17,25.97,26.07,25.78,25.98,16.4296,14715000
2010-03-18,25.91,26.12,25.85,26.07,16.4865,9515200
2010-03-19,26.01,26.25,25.86,26.01,16.4485,14936700
2010-03-22,25.93,26.6,25.9,26.48,16.7458,15305100
2010-03-23,26.51,26.81,26.33,26.79,16.9418,11539200
2010-03-24,26.7,26.78,26.63,26.69,16.8786,16057600
2010-03-25,26.87,26.93,26.7,26.78,16.9355,13528300
2010-03-26,26.81,26.86,26.66,26.69,16.8786,12398200
2010-03-29,26.78,27.07,26.7,27.0,17.0746,12627600
2010-03-30,26.76,26.93,26.52,26.76,17.1258,15433900
2010-03-31,26.65,26.81,26.29,26.7,17.0874,12553700
2010-04-01,26.77,27.01,26.77,26.95,17.2474,11471400
2010-04-05,26.94,26.95,26.56,26.77,17.1322,12281000
2010-04-06,26.72,26.77,26.33,26.38,16.8826,10694700
2010-04-07,26.34,26.69,26.27,26.55,16.9914,10212200
2010-04-08,26.54,26.54,26.16,26.17,16.7482,13065700
2010-04-09,26.2,26.36,26.1,26.25,16.7994,11263700
2010-04-12,26.25,26.4,26.15,26.29,16.825,10925000
2010-04-13,26.24,26.3,25.97,25.98,16.6266,12611800
2010-04-14,25.91,25.96,25.59,25.7,16.4474,13460800
2010-04-15,25.64,25.64,25.3,25.34,16.217,18520400
2010-04-16,25.27,25.56,25.2,25.48,16.3066,16415400
2010-04-19,25.22,25.82,24.97,25.81,16.5178,23618200
2010-04-20,25.86,25.9,25.34,25.43,16.2746,13355900
2010-04-21,25.41,25.43,24.97,25.1,16.0634,15927600
2010-04-22,25.01,25.05,24.28,24.44,15.6411,21751600
2010-04-23,24.47,24.84,24.12,24.74,15.8331,13667400
2010-04-26,24.8,24.84,24.48,24.5,15.6795,10639000
2010-04-27,24.45,24.57,24.13,24.21,15.4939,13627700
2010-04-28,24.3,24.59,24.07,24.34,15.5771,14144200
2010-04-29,25.28,25.93,25.0,25.37,16.2362,20658400
2010-04-30,25.42,25.58,25.18,25.31,16.1978,14368200
2010-05-03,25.31,25.4,25.1,25.13,16.0826,10414100
2010-05-04,25.1,25.7,25.02,25.27,16.1722,16761100
2010-05-05,25.1,25.37,24.92,25.06,16.0378,14107900
2010-05-06,24.94,25.03,22.8,24.28,15.5387,19603200
2010-05-07,24.28,24.96,24.07,24.34,15.5771,23348600
2010-05-10,24.34,24.75,23.93,24.14,15.4491,25474800
2010-05-11,24.03,24.71,24.02,24.37,15.5963,15508300
2010-05-12,24.46,24.5,24.19,24.44,15.6411,10136600
2010-05-13,24.4,24.44,23.97,24.0,15.3595,13392800
2010-05-14,24.0,24.0,23.38,23.56,15.0779,14148800
2010-05-17,23.75,24.0,23.36,23.7,15.1675,13588000
2010-05-18,23.9,23.92,23.5,23.55,15.0715,9613700
2010-05-19,23.46,23.85,23.31,23.71,15.1739,16424000
2010-05-20,23.4,23.71,23.05,23.09,14.7771,18724700
2010-05-21,22.9,23.05,22.5,22.96,14.6939,17799800
2010-05-24,22.93,23.18,22.74,22.99,14.7131,13271000
2010-05-25,22.6,22.89,22.24,22.86,14.6299,13904100
2010-05-26,23.03,23.07,22.64,22.72,14.5403,14181800
2010-05-27,23.07,23.35,23.01,23.34,14.9371,10743000
2010-05-28,23.38,23.45,23.11,23.21,14.8539,9876100
2010-06-01,23.11,23.47,22.9,23.02,14.7323,10663800
2010-06-02,23.06,23.24,22.86,23.0,14.7195,17113700
2010-06-03,23.18,23.18,22.73,22.88,14.6427,21818300
2010-06-04,22.71,22.85,22.31,22.44,14.3611,26551500
2010-06-07,23.85,24.36,23.53,23.86,15.2699,42053800
2010-06-08,23.93,24.35,23.74,24.3,15.5515,35451700
2010-06-09,24.34,24.4,24.09,24.14,15.4491,21197900
2010-06-10,24.34,24.68,24.25,24.64,15.7691,16660300
2010-06-11,25.54,25.76,24.95,25.08,16.0506,19790100
2010-06-14,25.08,25.5,25.06,25.29,16.185,16878900
2010-06-15,25.39,25.67,25.23,25.63,16.4026,12513000
2010-06-16,25.3,25.88,25.3,25.88,16.5626,15463200
2010-06-17,25.72,25.91,25.65,25.86,16.5498,16802500
2010-06-18,25.8,25.87,25.46,25.78,16.4986,16430100
2010-06-21,25.89,25.95,25.3,25.44,16.281,11063500
2010-06-22,25.41,25.78,25.38,25.44,16.281,10918100
2010-06-23,25.43,25.49,25.14,25.24,16.153,12683400
2010-06-24,25.12,25.49,25.01,25.35,16.2234,14840000
2010-06-25,25.45,25.83,25.23,25.57,16.3642,26249200
2010-06-28,25.64,25.68,25.3,25.57,16.3642,12950800
2010-06-29,25.4,25.61,25.14,25.29,16.185,22258500
2010-06-30,24.98,25.22,24.73,24.94,16.1656,18910400
2010-07-01,24.84,24.94,24.22,24.76,16.0489,19140500
2010-07-02,24.87,25.04,24.5,24.69,16.0036,9900000
2010-07-06,24.93,25.4,24.76,25.24,16.3601,16934800
2010-07-07,25.24,25.88,25.13,25.8,16.723,17386500
2010-07-08,25.95,25.95,25.39,25.58,16.5804,16704100
2010-07-09,25.57,25.65,25.29,25.6,16.5934,11509100
2010-07-12,25.6,25.6,25.11,25.26,16.373,12715600
2010-07-13,25.36,25.6,25.2,25.31,16.4054,14046200
2010-07-14,25.22,25.26,24.9,25.09,16.2628,14552200
2010-07-15,25.1,25.53,25.03,25.5,16.5286,14703100
2010-07-16,25.44,25.47,25.1,25.17,16.3147,13136300
2010-07-19,25.27,25.27,24.78,24.84,16.1008,11804800
2010-07-20,24.65,25.09,24.46,25.02,16.2175,10655500
2010-07-21,24.92,25.11,24.59,24.75,16.0424,9830000
2010-07-22,24.96,25.22,24.75,24.93,16.1591,10385300
2010-07-23,24.94,24.95,24.26,24.65,15.9776,13043700
2010-07-26,24.57,25.03,24.57,24.97,16.185,8817400
2010-07-27,25.09,25.35,24.84,25.32,16.4119,14152600
2010-07-28,25.25,25.36,25.02,25.12,16.2823,8072400
2010-07-29,25.37,25.5,24.85,25.08,16.2563,9463800
2010-07-30,24.98,25.13,24.78,24.92,16.1526,11435700
2010-08-02,25.33,25.61,25.29,25.53,16.548,9770900
2010-08-03,25.65,25.85,25.58,25.68,16.6452,6842900
2010-08-04,25.7,26.13,25.61,26.03,16.8721,10233700
2010-08-05,25.83,26.38,25.8,26.38,17.099,12264600
2010-08-06,26.29,26.45,26.05,26.37,17.0925,8774900
2010-08-09,26.37,26.54,26.3,26.51,17.1832,6825300
2010-08-10,26.32,26.78,26.3,26.66,17.2805,7009500
2010-08-11,26.32,26.5,26.15,26.25,17.0147,8808100
2010-08-12,26.01,26.39,26.0,26.33,17.0666,7350500
2010-08-13,26.24,26.46,26.1,26.32,17.0601,5760100
2010-08-16,26.24,26.34,26.04,26.28,17.0342,10377700
2010-08-17,26.4,26.79,26.26,26.59,17.2351,12325700
2010-08-18,26.53,26.57,26.23,26.28,17.0342,12235800
2010-08-19,26.2,26.29,25.81,26.06,16.8916,8218000
2010-08-20,26.31,26.54,26.08,26.44,17.1379,18140100
2010-08-23,26.48,26.76,26.38,26.48,17.1638,12146600
2010-08-24,26.26,26.37,25.95,26.02,16.8656,11625900
2010-08-25,25.9,26.15,25.74,26.08,16.9045,16809000
2010-08-26,26.11,26.18,25.75,25.85,16.7554,7931300
2010-08-27,25.97,26.27,25.66,26.12,16.9304,6402300
2010-08-30,26.04,26.18,25.84,25.85,16.7554,7939800
2010-08-31,26.11,26.34,25.97,26.08,16.9045,13407900
2010-09-01,26.24,26.55,26.11,26.41,17.1184,9320700
2010-09-02,26.35,26.49,26.26,26.43,17.1314,6857700
2010-09-03,26.46,26.62,26.38,26.58,17.2286,6645900
2010-09-07,26.45,26.76,26.37,26.61,17.2481,10039200
2010-09-08,26.67,26.97,26.64,26.75,17.3388,8851400
2010-09-09,26.91,26.99,26.7,26.87,17.4166,6105100
2010-09-10,26.9,27.1,26.72,27.05,17.5333,8500700
2010-09-13,27.14,27.2,26.93,27.16,17.6046,8986500
2010-09-14,27.15,27.2,26.78,26.96,17.4749,10983700
2010-09-15,26.92,27.08,26.8,27.01,17.5073,8570200
2010-09-16,27.01,27.15,26.85,26.95,17.4684,8016800
2010-09-17,27.02,27.44,27.0,27.31,17.7018,14912300
2010-09-20,27.42,27.87,27.41,27.81,18.0259,11922000
2010-09-21,27.87,28.0,27.71,27.79,18.0129,37450000
2010-09-22,27.66,27.9,27.57,27.82,18.0324,33146500
2010-09-23,27.62,28.0,27.54,27.68,17.9416,31214800
2010-09-24,27.75,27.93,27.57,27.62,17.9027,12524400
2010-09-27,27.65,27.77,27.59,27.6,17.8898,9206500
2010-09-28,27.68,27.99,27.6,27.93,18.1037,9893900
2010-09-29,27.57,27.71,27.21,27.37,17.9463,10193600
2010-09-30,27.44,27.53,27.03,27.11,17.7758,11184700
2010-10-01,27.11,27.32,26.95,27.28,17.8873,8900900
2010-10-04,26.95,27.14,26.69,26.73,17.5266,9480200
2010-10-05,26.89,27.2,26.89,27.14,17.7955,10965500
2010-10-06,27.1,27.28,27.09,27.19,17.8283,8154200
2010-10-07,27.34,27.4,27.22,27.3,17.9004,5764500
2010-10-08,27.3,27.38,27.1,27.16,17.8086,6549200
2010-10-11,27.14,27.56,27.14,27.36,17.9397,5796400
2010-10-12,27.28,27.48,27.1,27.23,17.8545,7958100
2010-10-13,27.28,27.42,27.23,27.34,17.9266,8904700
2010-10-14,27.41,27.65,27.35,27.51,18.0381,8218100
2010-10-15,27.62,27.72,27.18,27.2,17.8348,19509900
2010-10-18,27.29,27.33,26.95,27.33,17.9201,9713400
2010-10-19,27.03,27.14,26.62,26.84,17.5988,10937500
2010-10-20,26.82,27.13,26.8,26.89,17.6316,7246000
2010-10-21,27.0,27.17,26.91,27.11,17.7758,7702100
2010-10-22,27.1,27.15,26.93,26.96,17.6775,4840700
2010-10-25,27.01,27.23,26.99,27.16,17.8086,8223200
2010-10-26,27.01,27.08,26.69,26.86,17.6119,9419900
2010-10-27,26.72,26.99,26.7,26.87,17.6184,10060800
2010-10-28,26.97,27.03,26.73,26.99,17.6971,8278400
2010-10-29,26.97,27.02,26.71,26.9,17.6381,7974500
2010-11-01,27.06,27.32,26.92,27.07,17.7496,8920500
2010-11-02,27.11,27.24,26.79,26.9,17.6381,9398100
2010-11-03,26.89,26.95,26.44,26.65,17.4742,13109300
2010-11-04,26.83,26.89,26.56,26.83,17.5922,10087900
2010-11-05,26.88,26.9,26.52,26.69,17.5004,9215800
2010-11-08,26.54,26.63,26.29,26.47,17.3562,7168800
2010-11-09,26.49,26.49,26.17,26.25,17.2119,8123500
2010-11-10,26.19,26.41,26.12,26.31,17.2513,10309800
2010-11-11,26.23,26.31,26.14,26.27,17.225,6124200
2010-11-12,26.2,26.35,26.0,26.02,17.0611,10708700
2010-11-15,25.97,26.67,25.93,26.32,17.2578,14207000
2010-11-16,26.15,26.24,25.85,26.04,17.0742,9874800
2010-11-17,26.17,26.22,25.8,25.96,17.0218,8289900
2010-11-18,26.14,26.39,26.11,26.32,17.2578,8428500
2010-11-19,26.0,26.12,25.85,25.95,17.0152,15588700
2010-11-22,25.87,26.0,25.7,25.9,16.9824,9397000
2010-11-23,25.69,25.7,25.43,25.56,16.7595,9131100
2010-11-24,25.74,25.83,25.57,25.65,16.8185,6082600
2010-11-26,25.55,25.65,25.55,25.55,16.7529,2151000
2010-11-29,25.42,25.49,25.1,25.42,16.6677,8334700
2010-11-30,25.12,25.4,25.1,25.24,16.5497,11282100
2010-12-01,25.67,25.67,25.42,25.56,16.7595,8769900
2010-12-02,25.63,25.87,25.52,25.84,16.9431,8097300
2010-12-03,25.73,25.93,25.61,25.91,16.989,8939000
2010-12-06,25.84,25.99,25.8,25.89,16.9759,14891200
2010-12-07,25.97,26.01,25.75,25.83,16.9365,8403600
2010-12-08,25.89,25.93,25.67,25.9,16.9824,6926100
2010-12-09,25.95,25.97,25.75,25.9,16.9824,5406100
2010-12-10,25.95,26.1,25.91,26.04,17.0742,7854900
2010-12-13,26.04,26.4,26.0,26.26,17.2185,9690600
2010-12-14,26.27,26.55,26.25,26.55,17.4086,9158900
2010-12-15,26.58,26.88,26.51,26.65,17.4742,9669200
2010-12-16,26.65,26.8,26.6,26.72,17.5201,6503800
2010-12-17,26.67,26.72,26.43,26.49,17.3693,11898000
2010-12-20,26.52,26.61,26.49,26.51,17.3824,7340100
2010-12-21,26.6,26.68,26.28,26.36,17.284,14976000
2010-12-22,26.4,26.51,26.28,26.34,17.2709,9677000
2010-12-23,26.34,26.5,26.27,26.32,17.2578,6983000
2010-12-27,26.27,26.61,26.22,26.5,17.3758,6275300
2010-12-28,26.63,26.68,26.47,26.59,17.4348,8532200
2010-12-29,26.62,26.73,26.55,26.55,17.4086,5491400
2010-12-30,26.51,26.6,26.42,26.45,17.3431,4736900
2010-12-31,26.48,26.63,26.4,26.48,17.3627,6224000
2011-01-03,26.65,26.72,26.56,26.58,17.4283,12585200
2011-01-04,26.67,26.68,26.45,26.5,17.3758,14221300
2011-01-05,26.22,26.27,25.88,26.06,17.3028,14248200
2011-01-06,26.01,26.15,25.78,25.84,17.1567,12172800
2011-01-07,25.91,25.96,25.71,25.8,17.1302,11285500
2011-01-10,25.7,25.82,25.66,25.74,17.0903,10536000
2011-01-11,25.75,25.76,25.45,25.61,17.004,10954400
2011-01-12,25.7,25.95,25.63,25.95,17.2298,10465100
2011-01-13,25.89,25.95,25.78,25.9,17.1966,7744300
2011-01-14,25.85,25.92,25.73,25.84,17.1567,6583400
2011-01-18,25.89,25.89,25.66,25.76,17.1036,8633500
2011-01-19,25.7,25.85,25.56,25.61,17.004,6901100
