date,open,high,low,close,adjusted_close,volume
2010-01-04,18.05,18.09,17.86,18.01,7.6589,1437536
2010-01-05,17.95,17.99,17.7,17.88,7.6037,1701848
2010-01-06,17.83,17.91,17.63,17.72,7.5356,2378784
2010-01-07,17.74,17.81,17.6,17.73,7.5399,2138994
2010-01-08,17.71,17.71,17.56,17.64,7.5016,1130474
2010-01-11,17.75,17.77,17.66,17.71,7.5314,1507968
2010-01-12,17.67,17.78,17.64,17.73,7.5399,1689668
2010-01-13,17.73,17.86,17.65,17.84,7.5867,3457106
2010-01-14,17.76,17.92,17.74,17.91,7.6164,1750578
2010-01-15,17.89,17.9,17.74,17.77,7.5569,1550400
2010-01-19,17.71,17.86,17.71,17.86,7.5952,1637532
2010-01-20,17.72,17.82,17.66,17.8,7.5696,1729686
2010-01-21,17.8,17.99,17.71,17.93,7.6249,2211992
2010-01-22,17.96,18.1,17.81,17.89,7.6079,1976726
2010-01-25,18.03,18.03,17.81,17.89,7.6079,1282740
2010-01-26,17.91,18.005,17.81,17.82,7.5781,1137438
2010-01-27,17.85,17.95,17.63,17.81,7.5739,2099584
2010-01-28,17.88,17.88,17.4925,17.62,7.4931,2054700
2010-01-29,17.63,17.7,17.5967,17.6,7.4846,1377696
2010-02-01,17.6,17.69,17.56,17.61,7.522,1482524
2010-02-02,17.59,17.754,17.58,17.75,7.5818,885340
2010-02-03,17.71,17.88,17.65,17.84,7.6203,1400050
2010-02-04,17.79,18.01,17.65,17.85,7.6245,1782712
2010-02-05,17.82,17.95,17.66,17.76,7.5861,2187866
2010-02-08,17.76,17.97,17.61,17.76,7.5861,1777984
2010-02-09,17.87,17.92,17.7,17.75,7.5818,1578514
2010-02-10,17.69,17.73,17.58,17.69,7.5562,1378272
2010-02-11,17.68,17.755,17.58,17.69,7.5562,1651742
2010-02-12,17.58,17.72,17.57,17.7,7.5605,1315540
2010-02-16,17.55,17.55,16.49,16.56,7.0735,5131428
2010-02-17,16.54,16.65,16.32,16.54,7.065,4062022
2010-02-18,16.5,16.58,16.43,16.5,7.0479,2687582
2010-02-19,16.65,16.8,16.4,16.72,7.1419,5148988
2010-02-22,16.75,16.78,16.66,16.75,7.1547,2836238
2010-02-23,16.73,16.95,16.67,16.82,7.1846,1874444
2010-02-24,16.82,16.97,16.76,16.95,7.2401,1292950
2010-02-25,16.82,16.97,16.79,16.89,7.2145,1240688
2010-02-26,16.88,16.94,16.64,16.78,7.1675,2304670
2010-03-01,16.8,17.01,16.74,16.84,7.1931,1356834
2010-03-02,16.83,16.92,16.73,16.92,7.2273,753212
2010-03-03,16.94,17.11,16.87,17.08,7.2956,1467170
2010-03-04,17.13,17.23,16.95,17.18,7.3383,1503888
2010-03-05,17.23,17.39,17.14,17.36,7.4152,2119768
