date,open,high,low,close,adjusted_close,volume
2010-01-04,8.86,9.13,8.78,9.01,9.01,14332580
2010-01-05,8.99,9.1,8.94,9.04,9.04,8594185
2010-01-06,9.07,9.28,8.99,9.16,9.16,12922950
2010-01-07,9.2,9.24,9.04,9.09,9.09,15366760
2010-01-08,8.94,9.13,8.93,9.0,9.0,18895301
2010-01-11,9.08,9.16,9.0,9.07,9.07,8951488
2010-01-12,9.04,9.28,8.98,9.14,9.14,14009530
2010-01-13,9.17,9.19,8.99,9.15,9.15,10789520
2010-01-14,9.12,9.52,9.09,9.51,9.51,20174449
2010-01-15,9.5,9.5,9.24,9.43,9.43,16701330
2010-01-19,9.45,9.62,9.41,9.62,9.62,14560130
2010-01-20,9.61,9.79,9.4,9.48,9.48,33230281
2010-01-21,9.36,9.44,9.04,9.2,9.2,31725061
2010-01-22,9.16,9.24,9.0,9.0,9.0,22410010
2010-01-25,9.08,9.2,8.98,9.01,9.01,12609980
2010-01-26,8.99,9.15,8.93,9.03,9.03,10785800
2010-01-27,9.02,9.08,8.86,8.93,8.93,18179680
2010-01-28,8.93,8.99,8.66,8.72,8.72,16115940
2010-01-29,8.74,8.82,8.62,8.63,8.63,12241360
2010-02-01,8.48,8.83,8.24,8.42,8.42,68346930
2010-02-02,8.45,8.48,8.25,8.4,8.4,37334832
2010-02-03,8.35,8.4,8.26,8.36,8.36,12622280
2010-02-04,8.31,8.4,8.16,8.18,8.18,21675801
2010-02-05,8.16,8.21,8.06,8.21,8.21,17423410
2010-02-08,8.17,8.25,8.07,8.15,8.15,15515660
2010-02-09,8.22,8.25,8.08,8.23,8.23,19329189
2010-02-10,8.23,8.42,8.1,8.29,8.29,23735029
2010-02-11,7.77,7.78,7.39,7.47,7.47,154096094
2010-02-12,7.34,7.43,7.25,7.39,7.39,58085512
2010-02-16,7.41,7.43,7.19,7.41,7.41,36872488
2010-02-17,7.48,7.82,7.47,7.75,7.75,38508020
2010-02-18,7.67,7.92,7.66,7.79,7.79,17745461
2010-02-19,7.65,7.73,7.61,7.69,7.69,12421180
2010-02-22,7.74,7.93,7.69,7.87,7.87,22636199
2010-02-23,7.83,7.85,7.72,7.75,7.75,18015891
2010-02-24,7.78,7.85,7.75,7.8,7.8,17359449
2010-02-25,7.69,7.75,7.64,7.73,7.73,21517260
2010-02-26,7.71,7.86,7.7,7.74,7.74,18903340
2010-03-01,7.78,7.84,7.72,7.77,7.77,19325830
2010-03-02,7.64,7.83,7.64,7.82,7.82,20927000
2010-03-03,7.85,8.0281,7.79,7.9,7.9,19317631
2010-03-04,7.89,8.03,7.81,7.92,7.92,33014738
2010-03-05,7.98,7.98,7.85,7.89,7.89,26906430
2010-03-08,7.92,7.95,7.82,7.9,7.9,20604020
2010-03-09,7.84,7.92,7.7,7.74,7.74,24442609
2010-03-10,7.7,7.76,7.64,7.65,7.65,16195670
2010-03-11,7.8,7.86,7.68,7.86,7.86,15701210
2010-03-12,7.89,7.96,7.76,7.78,7.78,14577140
2010-03-15,6.41,6.98,6.31,6.8,6.8,244627500
2010-03-16,6.92,7.18,6.84,7.09,7.09,134726406
2010-03-17,7.17,7.19,6.89,6.95,6.95,62407879
2010-03-18,7.01,7.09,6.8,7.07,7.07,79551484
2010-03-19,7.2,7.24,7.04,7.13,7.13,41529246
2010-03-22,7.17,7.17,6.94,6.95,6.95,32793031
2010-03-23,6.97,7.08,6.81,7.02,7.02,53541000
2010-03-24,6.96,7.08,6.94,7.04,7.04,17268561
2010-03-25,7.1,7.12,6.7,6.96,6.96,86613953
2010-03-26,6.95,7.03,6.91,7.01,7.01,24877689
2010-03-29,7.04,7.2,6.97,7.19,7.19,35298992
2010-03-30,7.07,7.27,7.01,7.25,7.25,50870840
2010-03-31,7.22,7.26,7.16,7.22,7.22,22734881
2010-04-01,7.29,7.32,7.15,7.23,7.23,27779740
2010-04-05,7.24,7.24,7.15,7.21,7.21,14938610
2010-04-06,7.15,7.22,7.09,7.14,7.14,26673689
2010-04-07,7.11,7.16,7.05,7.15,7.15,20169740
2010-04-08,7.09,7.13,6.97,6.98,6.98,32164039
2010-04-09,6.99,7.02,6.89,6.97,6.97,39585473
2010-04-12,6.98,7.06,6.94,6.94,6.94,19881820
2010-04-13,6.95,6.98,6.84,6.9,6.9,58391738
2010-04-14,6.92,7.22,6.92,7.16,7.16,44924070
2010-04-15,7.12,7.2,7.09,7.14,7.14,23632000
2010-04-16,7.52,7.54,7.23,7.34,7.34,91255609
2010-04-19,7.33,7.44,7.24,7.35,7.35,33690648
2010-04-20,7.43,7.45,7.295,7.33,7.33,19816289
2010-04-21,7.31,7.35,7.16,7.23,7.23,25477359
2010-04-22,7.21,7.29,7.11,7.21,7.21,22780510
2010-04-23,7.29,7.33,7.12,7.21,7.21,17123430
2010-04-26,7.23,7.29,7.02,7.06,7.06,37314621
2010-04-27,6.88,7.24,6.76,7.1,7.1,62899879
2010-04-28,7.11,7.13,6.94,6.99,6.99,26427750
2010-04-29,6.99,7.07,6.945,6.96,6.96,19625961
2010-04-30,6.98,7.05,6.87,6.88,6.88,12100300
2010-05-03,6.9,6.92,6.8307,6.86,6.86,13524830
2010-05-04,6.82,6.84,6.63,6.68,6.68,22088971
2010-05-05,6.68,6.8,6.52,6.76,6.76,29376090
2010-05-06,6.81,6.88,6.38,6.59,6.59,39519020
2010-05-07,6.61,6.61,6.3,6.38,6.38,26148289
2010-05-10,6.56,6.69,6.51,6.6,6.6,17790920
2010-05-11,6.59,6.61,6.5,6.58,6.58,15554900
2010-05-12,6.61,6.86,6.56,6.81,6.81,33154781
2010-05-13,6.9,6.95,6.84,6.85,6.85,14950660
2010-05-14,6.82,6.93,6.78,6.83,6.83,26768211
2010-05-17,6.82,6.83,6.54,6.81,6.81,27548699
2010-05-18,6.91,6.91,6.65,6.69,6.69,18348400
2010-05-19,6.68,6.73,6.57,6.7,6.7,18865090
2010-05-20,6.58,6.58,6.33,6.34,6.34,20074930
2010-05-21,6.3,6.41,6.15,6.24,6.24,29047090
2010-05-24,6.21,6.39,6.16,6.25,6.25,16730311
2010-05-25,6.14,6.14,5.913,6.1,6.1,32870371
2010-05-26,6.1,6.17,6.04,6.04,6.04,21360789
2010-05-27,6.14,6.2,6.01,6.2,6.2,16721381
2010-05-28,6.2,6.2,6.04,6.05,6.05,14095130
2010-06-01,6.0,6.1,5.97,5.97,5.97,16858100
2010-06-02,6.0,6.14,5.96,6.11,6.11,18485141
2010-06-03,6.15,6.15,5.96,6.03,6.03,20417600
2010-06-04,5.95,5.98,5.73,5.74,5.74,43520754
2010-06-07,5.78,5.78,5.57,5.59,5.59,27472080
2010-06-08,5.57,5.5895,5.41,5.52,5.52,27117301
2010-06-09,5.54,5.6,5.43,5.44,5.44,17307609
2010-06-10,5.49,5.65,5.49,5.57,5.57,16848570
2010-06-11,5.52,5.79,5.5,5.77,5.77,33210730
2010-06-14,5.83,5.91,5.78,5.82,5.82,23418090
2010-06-15,5.89,6.12,5.865,6.11,6.11,23260689
2010-06-16,6.06,6.12,6.01,6.1,6.1,22903721
2010-06-17,6.08,6.17,5.98,6.11,6.11,13266370
2010-06-18,6.135,6.36,6.02,6.33,6.33,38084953
