date,open,high,low,close,adjusted_close,volume
2010-01-04,67.59,68.33,66.53,67.1,40.1869,1511417
2010-01-05,67.24,68.2,66.45,68.12,40.7978,2173686
2010-01-06,68.23,68.94,68.03,68.44,40.9894,1814857
2010-01-07,68.26,69.39,67.71,68.74,41.1691,1329036
2010-01-08,68.26,68.64,67.09,67.85,40.636,1021832
2010-01-11,68.14,68.72,67.69,68.17,40.8277,974354
2010-01-12,67.71,68.091,66.715,67.49,40.4204,1391659
2010-01-13,67.61,68.74,67.3,68.6,41.0852,1384149
2010-01-14,68.43,68.78,67.8,68.31,40.9115,967058
2010-01-15,68.19,68.45,67.61,68.09,40.7798,1421860
2010-01-19,68.26,69.62,67.84,69.53,41.6422,1721607
2010-01-20,69.02,69.19,68.33,69.07,41.3667,1591263
2010-01-21,68.88,69.3,65.58,65.84,39.4322,2598465
2010-01-22,65.52,66.52,63.94,64.28,38.4979,2289305
2010-01-25,65.25,65.57,63.59,65.1,38.989,1560639
2010-01-26,64.78,65.94,64.23,64.72,38.7615,1436897
2010-01-27,64.26,65.44,63.35,65.07,38.9711,2375578
2010-01-28,65.75,65.93,64.69,65.39,39.1627,1440367
2010-01-29,65.81,66.25,64.23,64.87,38.8513,1783594
2010-02-01,65.71,66.88,65.04,66.87,40.0491,1640341
2010-02-02,67.71,68.01,66.56,67.8,40.6061,2092054
2010-02-03,67.59,67.6,66.2,66.5,39.8275,1869303
2010-02-04,65.97,66.12,63.38,63.44,37.9949,2384506
2010-02-05,63.64,64.96,62.39,64.53,38.6477,1997359
2010-02-08,64.65,65.1375,62.74,62.9,37.6714,1455611
2010-02-09,63.65,63.81,62.22,62.81,37.6175,1713741
2010-02-10,62.72,63.28,61.5,62.49,37.4259,1567644
2010-02-11,62.4,63.034,61.82,62.72,37.5636,1196952
2010-02-12,62.08,63.47,61.78,63.4,37.9709,1355576
2010-02-16,64.0,65.15,63.61,65.03,38.9471,1698279
2010-02-17,65.23,65.68,64.92,65.39,39.1627,1083428
2010-02-18,65.11,66.62,64.7,66.35,39.7377,1184273
2010-02-19,65.91,66.77,65.38,66.57,39.8694,1294383
2010-02-22,66.54,67.49,66.54,67.03,40.1449,1311135
2010-02-23,66.7,67.0,65.68,65.95,39.4981,1525802
2010-02-24,65.92,66.73,65.72,66.71,39.9533,1597939
2010-02-25,65.93,67.49,65.62,67.42,40.3785,1380098
2010-02-26,67.42,68.75,67.25,67.93,40.684,1842147
2010-03-01,68.24,68.74,67.84,68.28,40.8936,1261393
2010-03-02,68.72,68.94,68.41,68.62,41.0972,1173427
2010-03-03,68.78,69.0,68.315,68.67,41.1272,905003
2010-03-04,68.72,69.31,68.5,69.17,41.4266,1056750
2010-03-05,69.66,71.26,69.34,71.14,42.6065,1322580
2010-03-08,71.07,72.76,71.07,72.58,43.4689,1341358
2010-03-09,72.23,73.76,71.92,72.49,43.415,1590086
2010-03-10,72.76,73.7,72.26,73.46,43.9959,1209598
2010-03-11,73.03,73.76,72.75,73.72,44.1517,1139440
2010-03-12,73.91,74.57,73.55,74.0,44.3193,1259391
2010-03-15,73.86,74.33,72.94,74.06,44.3553,1157573
2010-03-16,74.15,75.93,74.04,75.69,45.3315,1194623
2010-03-17,76.07,77.35,75.86,77.14,46.1999,1353197
2010-03-18,77.01,77.73,76.64,76.74,45.9604,1433817
2010-03-19,76.89,77.6,75.88,75.89,45.4513,1895989
2010-03-22,75.04,76.52,75.04,76.26,45.6729,1347966
2010-03-23,76.26,76.47,75.33,76.03,45.5351,1053255
2010-03-24,75.91,76.96,75.81,76.15,45.607,1045957
2010-03-25,76.76,78.22,76.62,76.73,45.9544,1353628
2010-03-26,77.2,77.2,75.69,76.19,45.631,1192264
2010-03-29,75.63,76.25,75.43,76.25,45.9686,901458
2010-03-30,76.13,76.78,75.93,76.24,45.9625,791112
2010-03-31,75.69,76.18,75.1801,75.44,45.4802,998802
2010-04-01,75.85,75.95,74.87,75.47,45.4983,867208
2010-04-05,75.76,77.79,75.52,77.79,46.897,971468
2010-04-06,77.47,79.61,76.98,79.41,47.8736,1308945
2010-04-07,79.37,79.52,77.0,77.24,46.5654,1241975
2010-04-08,76.86,77.14,76.56,76.95,46.3906,1122302
2010-04-09,77.13,78.43,76.95,78.35,47.2346,1022245
2010-04-12,78.34,78.46,77.26,77.45,46.692,1231606
2010-04-13,77.38,80.28,77.22,79.97,48.2112,1152052
2010-04-14,80.68,80.71,79.59,80.13,48.3077,952367
2010-04-15,79.84,80.24,77.95,78.04,47.0477,1230098
