date,open,high,low,close,adjusted_close,volume
2010-01-04,3.36,3.41,3.34,3.4,26.639,40679353
2010-01-05,3.42,3.55,3.41,3.53,27.6576,66861706
2010-01-06,3.56,3.68,3.51,3.64,28.5195,67433881
2010-01-07,3.69,3.7,3.61,3.65,28.5978,67245175
2010-01-08,3.65,3.67,3.51,3.59,28.1277,62409775
2010-01-11,3.66,3.67,3.6,3.63,28.4411,47557650
2010-01-12,3.59,3.61,3.48,3.52,27.5793,47011803
2010-01-13,3.54,3.59,3.5,3.5,27.4226,41035100
2010-01-14,3.56,3.56,3.5,3.51,27.5009,27484728
2010-01-15,3.49,3.5,3.4,3.42,26.7958,54048981
2010-01-19,3.34,3.56,3.3,3.54,27.736,80789300
2010-01-20,3.51,3.6,3.45,3.46,27.1092,47944931
2010-01-21,3.45,3.46,3.2,3.27,25.6205,95968050
2010-01-22,3.275,3.39,3.22,3.25,25.4638,65474138
2010-01-25,3.31,3.33,3.21,3.23,25.3071,49752441
2010-01-26,3.22,3.27,3.15,3.15,24.6803,45890269
2010-01-27,3.17,3.23,3.14,3.2,25.072,55891375
2010-01-28,3.25,3.29,3.2,3.24,25.3854,51350509
2010-01-29,3.27,3.34,3.27,3.32,26.0122,67959450
2010-02-01,3.36,3.37,3.31,3.34,26.1689,23577689
2010-02-02,3.35,3.41,3.32,3.41,26.7174,33423950
2010-02-03,3.39,3.46,3.37,3.37,26.404,27200588
2010-02-04,3.34,3.35,3.17,3.18,24.9153,45029900
2010-02-05,3.21,3.24,3.15,3.22,25.2287,46750169
2010-02-08,3.23,3.24,3.15,3.15,24.6803,25620320
2010-02-09,3.19,3.23,3.11,3.18,24.9153,49883788
2010-02-10,3.18,3.2,3.14,3.2,25.072,25499670
2010-02-11,3.19,3.22,3.17,3.21,25.1504,23685270
2010-02-12,3.17,3.21,3.15,3.18,24.9153,18926941
2010-02-16,3.22,3.33,3.21,3.31,25.9339,33228541
2010-02-17,3.38,3.45,3.36,3.41,26.7174,57569038
2010-02-18,3.4,3.47,3.39,3.43,26.8741,28868750
2010-02-19,3.4,3.44,3.39,3.42,26.7958,27822278
2010-02-22,3.44,3.48,3.41,3.46,27.1092,23360670
2010-02-23,3.44,3.48,3.35,3.35,26.2473,28291709
2010-02-24,3.37,3.45,3.37,3.45,27.0308,29262188
2010-02-25,3.39,3.4,3.36,3.39,26.5607,25996898
2010-02-26,3.39,3.45,3.38,3.4,26.639,17855759
2010-03-01,3.42,3.44,3.3443,3.39,26.5607,15568689
2010-03-02,3.41,3.44,3.39,3.4,26.639,16428070
2010-03-03,3.41,3.43,3.39,3.4,26.639,16364980
2010-03-04,3.41,3.48,3.39,3.43,26.8741,31935609
2010-03-05,3.47,3.5,3.45,3.5,27.4226,31907963
2010-03-08,3.54,3.6,3.54,3.56,27.8927,45986459
2010-03-09,3.55,3.86,3.54,3.82,29.9298,110631100
2010-03-10,3.96,4.07,3.92,3.96,31.0267,121205100
2010-03-11,3.98,4.18,3.95,4.18,32.7504,120037400
2010-03-12,4.205,4.22,3.94,3.97,31.105,127976000
2010-03-15,3.88,3.94,3.83,3.89,30.4782,63595750
2010-03-16,3.95,4.0676,3.92,4.05,31.7318,54320538
2010-03-17,4.1,4.17,3.99,4.05,31.7318,68063575
2010-03-18,4.09,4.09,4.0,4.02,31.4968,35021594
2010-03-19,4.03,4.05,3.9,3.9,30.5566,55803025
2010-03-22,3.89,4.1026,3.88,4.04,31.6535,50007928
2010-03-23,4.09,4.15,4.0737,4.13,32.3586,44335413
2010-03-24,4.1,4.19,4.1,4.15,32.5153,46673766
2010-03-25,4.24,4.38,4.23,4.27,33.4555,97149425
2010-03-26,4.34,4.37,4.26,4.31,33.7689,58727000
2010-03-29,4.38,4.41,4.11,4.18,32.7504,88626831
2010-03-30,4.13,4.18,4.05,4.09,32.0452,62439119
2010-03-31,4.08,4.11,4.01,4.05,31.7318,55035881
2010-04-01,4.11,4.18,4.02,4.18,32.7504,30209100
2010-04-05,4.27,4.28,4.23,4.26,33.3772,34453331
2010-04-06,4.27,4.3,4.25,4.29,33.6122,31812188
2010-04-07,4.31,4.4,4.3,4.36,34.1607,62152800
2010-04-08,4.35,4.49,4.31,4.47,35.0225,55935625
2010-04-09,4.54,4.57,4.52,4.55,35.6493,66446006
2010-04-12,4.625,4.64,4.58,4.64,36.3545,43484959
2010-04-13,4.62,4.6833,4.59,4.62,36.1978,59676175
2010-04-14,4.72,4.94,4.7,4.93,38.6266,103954500
2010-04-15,4.99,5.07,4.74,4.81,37.6864,153653700
2010-04-16,4.82,4.83,4.41,4.56,35.7277,186415900
2010-04-19,4.645,4.93,4.64,4.88,38.2349,186006690
2010-04-20,5.02,5.06,4.92,4.97,38.94,102738500
2010-04-21,5.03,5.04,4.82,4.93,38.6266,98969569
2010-04-22,4.85,4.89,4.77,4.87,38.1565,80864675
2010-04-23,4.87,4.95,4.83,4.86,38.0782,76164056
2010-04-26,4.785,4.8,4.6,4.61,36.1194,124478500
2010-04-27,4.55,4.57,4.33,4.34,34.004,133979400
2010-04-28,4.42,4.555,4.4,4.45,34.8658,110487000
2010-04-29,4.53,4.6288,4.4962,4.56,35.7277,71647081
2010-04-30,4.55,4.55,4.37,4.37,34.239,80341775
2010-05-03,4.46,4.48,4.38,4.41,34.5524,44946247
2010-05-04,4.34,4.36,4.23,4.26,33.3772,97352369
2010-05-05,4.16,4.25,4.04,4.18,32.7504,100162300
2010-05-06,4.2,4.27,3.9,4.04,31.6535,170724600
2010-05-07,4.08,4.13,3.92,4.0,31.3401,122458700
2010-05-10,4.33,4.35,4.16,4.22,33.0638,109813200
2010-05-11,4.13,4.24,4.11,4.17,32.672,75475019
2010-05-12,4.23,4.23,4.1355,4.18,32.7504,65669613
2010-05-13,4.15,4.16,4.08,4.09,32.0452,50911013
2010-05-14,4.03,4.04,3.91,3.98,31.1834,87280113
2010-05-17,4.0,4.01,3.76,3.86,30.2432,94521744
2010-05-18,3.95,3.96,3.71,3.73,29.2246,88928000
2010-05-19,3.73,3.85,3.71,3.81,29.8514,92045300
2010-05-20,3.75,3.77,3.61,3.63,28.4411,116429500
2010-05-21,3.54,3.81,3.53,3.75,29.3813,133515800
2010-05-24,3.86,3.945,3.77,3.78,29.6164,84496819
2010-05-25,3.64,3.8,3.56,3.78,29.6164,102076410
2010-05-26,3.97,4.03,3.86,3.86,30.2432,124767300
2010-05-27,4.03,4.07,3.98,4.02,31.4968,75460888
2010-05-28,4.02,4.04,3.95,3.96,31.0267,63286594
2010-06-01,3.9,3.96,3.84,3.85,30.1648,56634669
2010-06-02,3.89,3.93,3.85,3.92,30.7133,56166331
2010-06-03,3.96,4.03,3.93,3.96,31.0267,71405631
2010-06-04,3.85,3.9155,3.77,3.79,29.6947,106756490
2010-06-07,3.81,3.82,3.62,3.64,28.5195,86203875
2010-06-08,3.69,3.75,3.65,3.72,29.1463,83022769
2010-06-09,3.78,3.89,3.76,3.87,30.3215,114856500
2010-06-10,3.95,3.96,3.87,3.9,30.5566,70989131
2010-06-11,3.86,3.92,3.85,3.88,30.3999,43859378
2010-06-14,3.92,3.93,3.88,3.88,30.3999,38228772
2010-06-15,3.93,3.99,3.89,3.99,31.2617,42247500
2010-06-16,3.96,4.0,3.93,3.99,31.2617,40783450
