date,open,high,low,close,adjusted_close,volume
2010-01-04,23.2482,23.2882,22.9982,23.1082,11.5086,3120325
2010-01-05,23.1182,23.5482,22.9482,23.2082,11.5584,4293437
2010-01-06,23.2382,23.3482,23.0482,23.1282,11.5186,3306329
2010-01-07,23.1782,23.2682,23.0082,23.1982,11.5534,2711980
2010-01-08,23.1682,23.1682,22.9682,23.0182,11.4638,2226937
2010-01-11,23.0882,23.4282,23.0582,23.4082,11.658,3797724
2010-01-12,23.3682,23.6582,23.3182,23.6582,11.7825,3947860
2010-01-13,23.6582,23.8581,23.6382,23.8081,11.8572,2790701
2010-01-14,23.8481,23.8481,23.4882,23.6282,11.7676,2981993
2010-01-15,23.6082,23.6582,23.1182,23.2582,11.5833,4209056
2010-01-19,23.2782,23.5282,23.2432,23.5282,11.7178,3740568
2010-01-20,23.4682,23.5972,23.2382,23.5282,11.7178,5047888
2010-01-21,23.5582,23.9481,23.2982,23.3682,11.6381,4281466
2010-01-22,23.3082,23.5182,23.1382,23.1382,11.5235,3487924
2010-01-25,23.2482,23.3982,23.0982,23.1482,11.5285,2552693
2010-01-26,23.0982,23.2382,22.9482,23.0782,11.4937,3282842
2010-01-27,22.7882,22.9782,22.6682,22.9482,11.5288,4161889
2010-01-28,23.0282,23.1282,22.8682,22.8782,11.4936,3192714
2010-01-29,23.0082,23.1382,22.6782,22.7382,11.4233,3675466
2010-02-01,22.8482,22.9382,22.7082,22.9382,11.5238,3102119
2010-02-02,22.9382,23.0982,22.8032,23.0882,11.5991,4020825
2010-02-03,23.0582,23.1382,22.8182,22.9482,11.5288,2918977
2010-02-04,22.8482,22.9182,22.2883,22.2883,11.1973,8129044
2010-02-05,22.2583,22.8782,22.1883,22.8282,11.4685,8699698
2010-02-08,22.8682,22.9782,22.6482,22.6682,11.3882,3877511
2010-02-09,22.8582,23.1182,22.7632,22.9482,11.5288,3176997
2010-02-10,22.9482,23.1782,22.7382,23.0882,11.5991,3754440
2010-02-11,23.0082,23.3282,22.8482,23.2882,11.6996,3858876
2010-02-12,23.0882,23.4382,22.8682,23.3982,11.7549,4746065
2010-02-16,23.6282,23.9481,23.4082,23.9181,12.0161,5190065
2010-02-17,23.9881,24.1281,23.7581,24.0281,12.0713,4035577
2010-02-18,23.9281,24.3131,23.9281,24.2581,12.1869,3570127
2010-02-19,24.3581,24.6981,24.0981,24.6381,12.3778,5524389
2010-02-22,24.6081,24.7481,24.3981,24.5981,12.3577,4713136
2010-02-23,24.5881,24.5981,24.2381,24.3681,12.2421,3727595
2010-02-24,24.4381,24.6281,24.3081,24.5281,12.3225,3138262
2010-02-25,24.3581,24.5481,24.1681,24.5081,12.3125,3616103
2010-02-26,24.5081,24.6081,24.3631,24.4581,12.2874,3584329
2010-03-01,24.5481,24.8381,24.5481,24.6881,12.4029,4745820
2010-03-02,24.8381,24.9481,24.7981,24.8981,12.5084,4159349
2010-03-03,24.8881,24.998,24.8081,24.8881,12.5034,3302250
2010-03-04,25.008,25.068,24.6481,24.8981,12.5084,4979293
2010-03-05,24.9781,25.288,24.8481,25.288,12.7043,4621325
2010-03-08,25.308,25.338,25.048,25.238,12.6792,3502014
2010-03-09,25.208,25.363,25.168,25.238,12.6792,2214878
2010-03-10,25.248,25.298,25.078,25.218,12.6691,2648167
2010-03-11,25.368,25.378,25.058,25.368,12.7445,2226633
2010-03-12,25.418,25.483,25.148,25.368,12.7445,2569542
2010-03-15,25.338,25.498,25.298,25.498,12.8098,3166290
2010-03-16,25.318,25.648,25.318,25.598,12.86,3419090
2010-03-17,25.658,25.818,25.588,25.758,12.9404,3306162
2010-03-18,25.818,25.958,25.688,25.858,12.9906,4461243
2010-03-19,25.888,26.038,25.658,25.838,12.9806,4716130
2010-03-22,25.538,26.248,25.538,26.118,13.1212,5033895
2010-03-23,26.128,26.3179,26.018,26.2779,13.2016,4077592
2010-03-24,26.208,26.218,25.988,26.098,13.1112,5720807
2010-03-25,25.798,25.898,24.8381,24.9381,12.5285,9860485
2010-03-26,24.8481,24.9381,24.2281,24.6381,12.3778,9361341
2010-03-29,24.6881,25.088,24.6181,25.028,12.5737,5070651
2010-03-30,25.088,25.158,24.8981,24.9581,12.5385,4735385
2010-03-31,24.8481,25.228,24.7881,25.068,12.5938,5072551
2010-04-01,25.188,25.288,25.078,25.228,12.6742,3571831
2010-04-05,25.338,25.378,25.108,25.218,12.6691,3878323
