date,open,high,low,close,adjusted_close,volume
2010-01-04,32.24,32.66,31.9,32.53,22.2083,3824304
2010-01-05,32.42,32.6,32.15,32.24,22.0103,3023674
2010-01-06,32.38,32.38,31.58,31.71,21.6485,3856661
2010-01-07,31.7,32.05,31.42,31.7,21.6416,4737868
2010-01-08,31.71,31.86,31.48,31.6,21.5734,3845217
2010-01-11,31.6,32.32,31.6,32.02,21.8601,7568227
2010-01-12,32.06,32.06,31.67,31.83,21.7304,3763870
2010-01-13,31.95,32.14,31.91,32.01,21.8533,4807062
2010-01-14,32.11,32.67,31.89,32.62,22.2697,5296296
2010-01-15,32.62,32.62,32.21,32.34,22.0786,2658149
2010-01-19,32.45,33.16,32.44,33.08,22.5838,2339412
2010-01-20,33.0,33.28,32.52,32.82,22.4063,3379868
2010-01-21,32.74,32.8,31.61,32.03,21.8669,4779801
2010-01-22,31.72,32.31,31.72,31.97,21.826,6572503
2010-01-25,32.28,32.58,32.13,32.21,21.9898,4386650
2010-01-26,32.2,32.59,31.92,32.39,22.1127,3512717
2010-01-27,32.41,32.41,31.3,31.31,21.3754,7320118
2010-01-28,33.0,33.52,32.5,32.91,22.4677,10175690
2010-01-29,33.71,33.8,33.03,33.07,22.5769,5745498
2010-02-01,33.18,33.66,32.79,33.66,22.9797,4383348
2010-02-02,33.77,34.42,33.67,34.25,23.3825,5154721
2010-02-03,34.17,34.19,33.5,33.71,23.0139,3034365
2010-02-04,33.69,33.69,32.55,32.6,22.2561,5343589
2010-02-05,32.28,32.49,31.89,32.47,22.1673,4211321
2010-02-08,32.37,32.64,32.205,32.26,22.024,2807353
2010-02-09,32.49,32.93,32.36,32.64,22.2834,2386448
2010-02-10,32.54,32.59,32.02,32.16,21.9557,2786415
2010-02-11,33.08,33.36,32.55,33.25,22.6998,4564007
2010-02-12,33.06,33.455,32.7,33.38,22.7886,3679277
2010-02-16,33.61,33.67,33.189,33.54,22.8978,3826655
2010-02-17,33.69,33.8,33.21,33.75,23.0412,3148272
2010-02-18,33.74,33.9699,33.645,33.77,23.0548,2594734
2010-02-19,33.65,33.87,33.4,33.83,23.0958,3120021
2010-02-22,33.95,33.95,33.42,33.67,22.9866,2610079
2010-02-23,33.53,33.62,32.92,32.99,22.5223,3072872
2010-02-24,33.21,33.43,33.0,33.26,22.7067,3648239
2010-02-25,33.03,33.68,32.77,33.61,22.9456,4928036
2010-02-26,33.69,34.2,33.65,33.97,23.1914,4734392
2010-03-01,34.05,35.075,33.97,35.07,23.9424,5588931
2010-03-02,35.15,35.72,35.15,35.55,24.27,5199745
2010-03-03,35.58,35.69,35.0,35.16,24.0038,4602556
2010-03-04,35.23,35.45,35.04,35.24,24.0584,2885997
2010-03-05,35.39,35.64,35.3,35.5,24.2359,3364907
2010-03-08,35.54,35.61,35.24,35.3,24.0994,2136538
2010-03-09,35.41,35.41,35.0725,35.2,24.0311,2150664
2010-03-10,35.16,35.26,34.85,35.02,23.9082,3478877
2010-03-11,35.01,35.11,34.65,34.99,23.8877,4465933
2010-03-12,35.14,35.28,34.75,34.91,23.8331,2339256
2010-03-15,34.76,35.46,34.76,35.43,24.1881,2743560
2010-03-16,35.43,35.55,35.255,35.32,24.113,2983094
2010-03-17,35.5,35.61,35.32,35.49,24.2291,2664233
2010-03-18,35.77,36.0,35.32,35.55,24.27,4137789
2010-03-19,35.95,36.0,35.575,35.85,24.4749,5030695
2010-03-22,35.55,36.35,35.53,36.19,24.707,2730358
2010-03-23,36.3,36.33,35.96,36.26,24.7548,2451551
2010-03-24,36.2,36.34,35.77,35.79,24.4339,2840339
2010-03-25,36.13,36.24,35.75,35.75,24.4066,2735922
2010-03-26,35.8,36.0,35.29,35.42,24.1813,2577320
2010-03-29,35.55,36.16,35.48,36.07,24.6251,1988850
2010-03-30,36.02,36.55,35.95,36.45,25.0058,2668578
2010-03-31,36.42,36.45,35.95,36.03,24.7177,3133486
2010-04-01,36.13,36.29,35.97,36.28,24.8892,2865506
2010-04-05,36.48,36.59,36.265,36.33,24.9235,1981349
2010-04-06,36.24,36.31,35.82,36.1,24.7657,2252393
2010-04-07,35.97,35.99,35.49,35.68,24.4776,2388605
2010-04-08,35.57,36.03,35.51,35.92,24.6422,2840790
2010-04-09,35.98,36.47,35.93,36.45,25.0058,2240639
2010-04-12,36.58,36.58,35.77,35.96,24.6696,2856472
2010-04-13,35.81,35.94,35.63,35.93,24.6491,2813935
2010-04-14,35.87,35.87,35.42,35.57,24.4021,2354030
2010-04-15,35.59,35.93,35.48,35.68,24.4776,2044523
2010-04-16,35.13,35.42,34.78,35.07,24.0591,4344580
2010-04-19,35.01,35.21,34.86,35.14,24.1071,2742630
2010-04-20,35.34,35.97,35.34,35.87,24.6079,2371448
2010-04-21,35.9,35.94,35.465,35.57,24.4021,2812655
2010-04-22,35.43,36.04,35.305,35.94,24.6559,3653176
2010-04-23,35.99,36.29,35.7,36.2,24.8343,2325845
2010-04-26,36.19,36.66,36.07,36.25,24.8686,2856261
2010-04-27,36.05,36.54,35.63,35.7,24.4913,3382406
2010-04-28,35.88,36.4,35.54,36.29,24.896,5370073
2010-04-29,36.12,36.39,35.5,35.65,24.457,5164200
2010-04-30,35.66,35.79,34.6,34.69,23.7984,5017478
2010-05-03,34.69,35.36,34.56,35.34,24.2443,3671093
2010-05-04,34.99,35.37,34.69,34.87,23.9219,2977678
2010-05-05,34.62,35.8,34.62,35.78,24.5462,5171829
2010-05-06,35.74,35.79,32.36,34.42,23.6132,4634165
2010-05-07,34.51,34.51,33.245,33.79,23.181,4204985
2010-05-10,35.3,35.58,34.59,34.96,23.9836,3766388
2010-05-11,34.68,35.39,34.6288,35.03,24.0316,3041390
2010-05-12,35.04,35.35,34.77,35.35,24.2512,2705283
2010-05-13,35.18,35.41,34.64,34.66,23.7778,4936678
