date,open,high,low,close,adjusted_close,volume
2020-03-19,12.0,12.0,12.0,12.0,11.3935,100
2020-03-20,13.0,13.0,12.0,12.75,12.1056,2348
2020-03-23,12.75,12.75,11.5,11.54,10.9568,18710
2020-03-24,12.9,12.9,11.5,11.7,11.1087,96074
2020-03-25,11.8,13.45,11.8,13.45,12.7703,19242
2020-03-26,14.0,15.45,14.0,15.45,14.6692,76379
2020-03-27,15.0,16.0,14.55,14.55,13.8147,486514
2020-03-30,15.25,16.5,15.25,15.9,15.0965,209978
2020-03-31,16.39,17.25,14.56,17.25,16.3782,461468
2020-04-01,16.0,16.0,14.56,15.05,14.2894,2998918
2020-04-02,15.66,15.9,12.12,13.28,12.6089,15966330
2020-04-03,13.75,17.0,13.38,16.92,16.0649,66934312
2020-04-06,17.06,17.15,14.85,15.44,14.6597,37099400
2020-04-07,15.2,15.8,14.55,15.25,14.4793,23486010
2020-04-08,14.5,15.25,13.73,14.26,13.5393,49372738
2020-04-09,14.0,15.5,13.9,14.78,14.0331,34992602
2020-04-13,14.5,14.5,13.98,13.99,13.283,21497369
2020-04-14,14.0,14.2,13.78,13.87,13.169,22350020
2020-04-15,13.53,13.655,12.94,13.36,12.6848,14990660
2020-04-16,13.15,13.25,12.26,12.89,12.2386,21745221
2020-04-17,13.3,13.83,12.93,13.74,13.0456,21336529
2020-04-20,13.5,14.74,13.475,14.45,13.7197,20032211
2020-04-21,14.22,15.25,14.18,14.69,13.9476,16235870
2020-04-22,14.95,15.16,14.22,14.79,14.0425,12543280
2020-04-23,14.7,15.92,14.61,15.72,14.9255,12226020
2020-04-24,15.6,16.67,15.2901,16.25,15.4288,17393080
2020-04-27,16.17,16.81,15.975,16.8,15.951,12186370
2020-04-28,16.88,17.75,16.61,17.0,16.1409,12983840
2020-04-29,17.46,18.08,17.17,17.64,16.7485,12523170
2020-04-30,17.22,17.84,16.985,17.71,16.815,19094131
2020-05-01,17.33,17.35,16.62,16.77,15.9225,10727170
2020-05-04,16.15,16.52,15.69,16.4,15.5712,9700413
2020-05-05,16.68,16.76,15.8404,15.97,15.1629,16297990
2020-05-06,16.0,16.37,15.43,16.29,15.4667,10647190
2020-05-07,16.21,17.04,15.88,16.41,15.5807,12454870
2020-05-08,17.04,18.4,16.935,18.36,17.4321,18118199
2020-05-11,18.43,18.75,18.02,18.35,17.4226,9574553
2020-05-12,18.39,18.3998,17.69,17.8,16.9004,7743238
2020-05-13,17.21,17.4367,16.1,16.44,15.6092,10676330
2020-05-14,16.02,16.715,15.72,16.55,15.7136,7797202
2020-05-15,16.3,16.965,16.0,16.71,15.8655,7353876
2020-05-18,17.3,17.72,17.29,17.55,16.6631,6135186
2020-05-19,17.44,17.92,17.15,17.77,16.8719,8338088
2020-05-20,18.16,19.05,18.04,18.73,17.7834,11910000
2020-05-21,18.54,19.52,18.5,19.45,18.467,9711545
2020-05-22,19.47,19.86,18.95,19.05,18.0873,5937330
2020-05-26,19.61,20.6,19.34,19.51,18.524,7305509
2020-05-27,19.57,20.13,19.43,19.99,18.9798,8969859
2020-05-28,20.08,20.46,19.505,19.6,18.6095,8510352
2020-05-29,18.96,20.98,18.88,20.47,19.4355,32993102
2020-06-01,20.55,21.95,20.55,21.82,20.7173,7695651
2020-06-02,21.69,21.829,20.905,21.36,20.2805,8295556
2020-06-03,21.47,22.58,21.38,22.22,21.0971,9636325
2020-06-04,22.03,23.12,22.03,22.68,21.5338,6651949
2020-06-05,23.54,24.4,23.38,23.56,22.3693,7843606
2020-06-08,23.63,24.38,23.31,24.37,23.1384,8570449
2020-06-09,23.74,23.96,23.21,23.21,22.037,6850022
2020-06-10,22.31,23.15,22.04,22.2,21.0781,10262090
2020-06-11,20.16,21.8,20.0,21.06,19.9957,6834838
2020-06-12,22.0,22.31,21.02,21.54,20.4514,5212911
2020-06-15,20.72,22.54,20.63,21.97,20.8597,7736009
2020-06-16,22.96,22.98,21.925,22.07,20.9546,7289942
2020-06-17,22.17,22.3397,21.08,21.26,20.1856,5737668
2020-06-18,21.0,21.8897,21.0,21.25,20.1761,3618895
2020-06-19,21.76,21.85,21.0,21.45,20.366,14451110
2020-06-22,21.52,22.825,21.31,22.74,21.5908,5995454
2020-06-23,23.12,23.24,22.32,22.39,21.2585,5961549
