date,open,high,low,close,adjusted_close,volume
2010-01-04,57.65,59.19,57.51,58.55,40.3359,7325600
2010-01-05,58.55,59.44,58.23,59.25,40.8182,5697200
2010-01-06,59.18,59.93,59.05,59.43,40.9422,4718800
2010-01-07,59.3,59.9,58.65,59.67,41.1075,5432900
2010-01-08,59.25,60.37,59.25,60.34,41.5691,6651300
2010-01-11,60.95,64.42,60.85,64.13,44.1801,21958800
2010-01-12,63.01,63.16,61.18,62.24,42.878,13561900
2010-01-13,62.1,62.78,61.38,62.33,42.94,8398700
2010-01-14,62.1,62.84,61.75,61.98,42.6989,6224100
2010-01-15,61.45,61.67,60.01,60.12,41.7001,9397000
2010-01-19,59.76,61.2,59.35,60.93,42.2619,8056500
2010-01-20,60.17,60.43,59.31,59.76,41.4504,6953500
2010-01-21,59.5,59.9,56.7,56.85,39.432,13874900
2010-01-22,56.58,57.54,54.02,54.25,37.6286,14757600
2010-01-25,55.16,56.19,54.83,55.14,38.2459,9777300
2010-01-26,54.99,56.94,54.6,55.85,38.7384,15218300
2010-01-27,52.96,53.84,51.03,53.44,37.0668,34041000
2010-01-28,53.82,53.83,51.2,51.86,35.9708,15623100
2010-01-29,52.78,53.78,52.0,52.24,36.2344,13962000
2010-02-01,52.82,53.5,52.5,52.94,36.7199,7159100
2010-02-02,53.48,53.72,52.62,53.55,37.143,7665400
2010-02-03,53.2,54.0,53.1,53.39,37.0321,6340800
2010-02-04,52.8,52.86,51.38,51.4,35.6518,11640200
2010-02-05,51.21,51.98,50.69,51.75,35.8945,15988800
2010-02-08,51.64,52.15,50.5,50.78,35.2217,8668700
2010-02-09,52.7,54.25,52.55,53.53,37.1292,15494200
2010-02-10,53.65,54.05,52.45,53.15,36.8656,8581500
2010-02-11,53.1,56.27,52.67,56.15,38.9464,16405500
2010-02-12,55.09,56.55,54.61,56.2,38.9811,13447700
2010-02-16,56.77,57.24,56.19,57.12,39.6193,7364200
2010-02-17,58.05,58.35,57.22,57.5,39.8828,8450800
2010-02-18,57.15,58.05,56.85,57.81,40.0978,6844000
2010-02-19,57.59,58.48,57.31,58.25,40.403,8005800
2010-02-22,58.73,58.97,58.0,58.03,40.2504,6994800
2010-02-23,57.89,58.38,56.22,56.66,39.3002,10311000
2010-02-24,56.67,57.46,56.46,56.96,39.5083,5810100
2010-02-25,55.33,57.02,54.21,56.79,39.3904,9965600
2010-02-26,56.94,57.24,56.1,57.05,39.5707,6108500
2010-03-01,57.33,58.39,57.25,57.85,40.1256,8398500
2010-03-02,58.28,58.82,58.02,58.15,40.3337,6583600
2010-03-03,58.45,59.93,58.39,58.57,40.625,8833800
2010-03-04,58.79,59.0,57.81,58.45,40.5418,6195600
2010-03-05,59.41,59.58,58.9,59.23,41.0828,6626900
2010-03-08,59.47,59.49,58.57,58.91,40.8608,4755100
2010-03-09,58.46,59.72,58.4,59.18,41.0481,7692500
2010-03-10,59.11,59.5,58.43,58.78,40.7707,6529900
2010-03-11,58.79,58.98,57.92,58.9,40.8539,6166500
2010-03-12,59.53,60.49,59.35,60.36,41.8666,9688800
2010-03-15,60.04,60.25,58.38,59.47,41.2492,7906700
2010-03-16,59.65,59.68,58.84,59.45,41.2354,7281000
2010-03-17,59.65,60.5,59.49,60.22,41.7695,7925400
2010-03-18,59.61,60.39,59.34,59.77,41.4573,7204200
2010-03-19,59.37,60.31,58.95,59.37,41.1799,9425500
2010-03-22,58.7,60.27,58.66,59.95,41.5822,7512500
2010-03-23,60.1,62.51,60.01,62.41,43.2885,14315300
2010-03-24,61.96,62.54,61.42,62.06,43.0457,11447400
2010-03-25,62.68,63.71,62.05,62.14,43.1012,11361900
2010-03-26,62.4,63.18,61.99,62.44,43.3093,7887300
2010-03-29,62.76,63.6,62.76,63.48,44.0306,6986500
2010-03-30,63.38,63.63,62.81,63.16,43.8087,6183200
2010-03-31,62.76,63.5,62.63,62.85,43.5937,6660800
2010-04-01,63.29,64.2,63.29,63.99,44.3844,7829300
2010-04-05,64.36,65.0,64.2,64.99,45.078,6695600
2010-04-06,64.81,65.47,64.57,65.29,45.2861,6389000
2010-04-07,65.25,65.38,64.0,64.47,44.7173,6973000
2010-04-08,64.05,64.65,63.55,64.48,44.7243,5418000
2010-04-09,64.9,65.52,64.82,65.27,45.2722,6022900
2010-04-12,65.93,67.0,65.76,66.73,46.2849,11837000
2010-04-13,66.7,67.25,66.16,66.19,45.9103,7001400
2010-04-14,66.37,67.37,66.2,67.28,46.6664,5497400
2010-04-15,67.16,68.71,67.16,68.22,47.3184,7129500
2010-04-16,68.05,68.23,66.34,66.88,46.3889,10385300
2010-04-19,66.6,67.7,65.77,66.99,46.4652,7969400
2010-04-20,67.71,68.3,67.4,67.5,46.819,7695400
2010-04-21,67.74,67.92,66.7,67.75,46.9924,6357500
2010-04-22,66.67,67.65,65.97,67.51,47.118,8718700
2010-04-23,67.2,68.95,66.99,68.78,48.0044,9044500
2010-04-26,70.88,72.83,70.65,71.65,50.0075,20131900
2010-04-27,71.25,71.58,68.28,68.53,47.8299,14323100
2010-04-28,69.43,70.27,68.6,68.97,48.137,8232800
2010-04-29,69.96,70.76,69.62,70.75,49.3793,7916800
2010-04-30,70.99,71.36,67.82,68.09,47.5228,9428100
2010-05-03,68.37,70.16,68.09,69.94,48.814,7885900
2010-05-04,68.56,68.56,66.25,66.7,46.5527,12558100
2010-05-05,65.86,67.44,64.08,65.96,46.0362,11419500
2010-05-06,65.85,66.94,58.8,63.5,44.3193,19363500
2010-05-07,63.05,64.45,60.64,62.1,43.3421,15724700
2010-05-10,65.88,67.0,65.19,66.69,46.5457,11852100
2010-05-11,65.18,66.98,65.0,66.07,46.113,7481300
2010-05-12,66.66,68.3,66.6,68.15,47.5647,7791600
2010-05-13,68.15,68.4,66.67,66.91,46.6992,6531000
2010-05-14,65.96,66.19,63.91,64.88,45.2824,9938400
2010-05-17,65.01,65.74,61.99,63.78,44.5147,11881200
2010-05-18,64.91,65.53,62.85,63.19,44.1029,9594300
2010-05-19,62.94,63.17,59.28,61.44,42.8815,18582700
2010-05-20,59.07,60.41,58.0,58.67,40.9482,22798500
2010-05-21,57.3,60.5,57.2,60.09,41.9393,15889900
2010-05-24,60.06,61.11,59.09,59.22,41.3321,11176700
2010-05-25,56.35,59.36,55.74,59.21,41.3251,13793600
2010-05-26,59.63,61.4,59.25,59.73,41.688,11566900
2010-05-27,61.36,62.12,60.82,62.06,43.3142,9555100
2010-05-28,62.42,62.42,60.05,60.76,42.4069,7704900
2010-06-01,60.04,61.64,59.22,59.27,41.367,8340800
2010-06-02,59.9,60.9,59.28,60.86,42.4767,9453500
2010-06-03,62.29,62.36,60.42,61.11,42.6512,8982700
2010-06-04,59.49,60.2,57.36,57.76,40.3131,10279600
2010-06-07,58.01,58.28,55.8,55.83,38.9661,8904600
2010-06-08,56.01,57.18,54.89,56.61,39.5104,11604900
2010-06-09,57.49,58.85,56.59,56.81,39.65,9749300
2010-06-10,58.31,60.0,58.0,59.95,41.8416,9704700
2010-06-11,59.22,60.24,58.99,60.23,42.037,7341400
2010-06-14,61.42,62.56,60.88,61.0,42.5744,9783000
2010-06-15,61.8,63.56,61.5,63.46,44.2913,11870300
2010-06-16,62.91,64.52,62.73,64.39,44.9404,10561900
2010-06-17,64.63,64.99,63.67,64.95,45.3313,10574600
2010-06-18,65.13,65.9,64.57,65.85,45.9594,11005600
2010-06-21,67.56,68.35,65.55,66.07,46.113,11652400
2010-06-22,66.3,66.48,63.88,64.11,44.745,8659600
2010-06-23,64.06,64.87,62.64,64.33,44.8986,9037100
2010-06-24,63.81,64.45,63.05,63.37,44.2285,8658200
2010-06-25,63.54,64.71,62.92,64.71,45.1638,12068800
2010-06-28,64.45,65.3,64.01,64.4,44.9474,6836700
2010-06-29,62.74,62.86,60.25,60.85,42.4697,13057100
2010-06-30,61.02,61.94,59.91,60.07,41.9253,9630300
2010-07-01,59.67,60.7,58.06,59.97,41.8555,11598200
2010-07-02,60.3,60.66,58.62,59.18,41.3042,7878200
2010-07-06,60.6,61.65,59.21,59.81,41.7439,9357300
2010-07-07,59.85,62.27,59.67,62.18,43.398,7592900
2010-07-08,63.08,63.35,62.18,63.17,44.0889,6058800
2010-07-09,63.12,64.85,63.0,64.72,45.1707,6456900
2010-07-12,64.5,65.1,63.87,64.28,44.8637,4915400
2010-07-13,65.88,67.36,65.31,66.79,46.6155,10081500
2010-07-14,66.35,66.91,65.52,66.7,46.5527,6851200
2010-07-15,66.38,66.59,65.36,66.51,46.4201,8101700
2010-07-16,65.76,65.79,63.75,63.94,44.9235,8504100
2010-07-19,64.36,65.23,63.56,64.8,45.5278,6826400
2010-07-20,63.56,66.77,63.56,66.43,46.673,9468600
2010-07-21,66.99,68.05,66.19,66.87,46.9821,11432400
2010-07-22,67.41,68.62,66.46,68.0,47.7761,15905800
2010-07-23,67.5,69.64,67.33,69.31,48.6965,8865900
2010-07-26,69.41,70.08,69.08,69.99,49.1742,8878400
2010-07-27,70.18,70.18,68.09,69.18,48.6051,11948000
2010-07-28,68.7,69.85,68.7,69.72,48.9845,7609900
2010-07-29,69.84,70.29,68.21,69.4,48.7597,7671300
2010-07-30,68.39,70.25,68.39,69.75,49.0056,7218100
2010-08-02,70.74,71.7,70.07,71.05,49.919,6304100
2010-08-03,70.57,71.03,69.88,70.37,49.4412,5878900
2010-08-04,70.28,71.47,70.28,71.12,49.9681,6204800
