date,open,high,low,close,adjusted_close,volume
2010-06-15,32.8,33.75,32.3,32.49,25.6791,17033961
2010-06-16,32.37,32.79,31.97,32.07,25.3472,2160895
2010-06-17,32.35,32.48,31.25,31.5,24.8966,1467854
2010-06-18,31.45,31.6494,30.76,31.01,24.5094,1132140
2010-06-21,31.66,33.0,31.01,32.04,25.3234,1068969
2010-06-22,32.38,33.15,31.81,32.69,25.8372,1010727
2010-06-23,33.0,33.5,32.0,33.48,26.4616,1029329
2010-06-24,33.49,34.18,32.76,33.29,26.3114,1601433
2010-06-25,33.3,33.35,32.07,32.07,25.3472,641504
2010-06-28,32.47,33.05,31.76,32.78,25.9083,718131
2010-06-29,32.25,32.3,31.27,31.76,25.1021,622457
2010-06-30,31.99,32.65,31.65,32.55,25.7265,402499
2010-07-01,32.25,32.5,30.0,30.31,23.9561,1023132
2010-07-02,30.25,31.0,30.02,30.86,24.3908,483745
2010-07-06,31.4,31.4,29.7,29.8,23.553,805172
2010-07-07,29.8,30.43,29.17,29.23,23.1025,583698
2010-07-08,29.05,30.32,28.45,29.01,22.9286,2177717
2010-07-09,29.22,29.3299,28.66,28.97,22.897,448593
2010-07-12,28.75,28.84,26.67,26.8,21.1819,1195153
2010-07-13,27.38,27.97,26.92,27.85,22.0118,878071
2010-07-14,27.87,27.87,27.13,27.34,21.6087,370259
2010-07-15,27.2,27.25,26.1,26.5,20.9448,646355
2010-07-16,26.26,27.15,26.215,26.45,20.9053,708696
2010-07-19,26.93,26.93,26.06,26.49,20.9369,305973
2010-07-20,26.24,26.7,26.0,26.08,20.6128,490097
2010-07-21,26.11,27.08,26.11,26.61,21.0317,854389
2010-07-22,26.9,27.6,26.75,27.03,21.3637,322516
2010-07-23,26.89,27.19,26.63,27.15,21.4585,233276
2010-07-26,27.0,27.1399,26.11,26.5,20.9448,631260
2010-07-27,26.41,27.65,26.25,27.19,21.4902,537873
2010-07-28,27.05,27.22,26.57,27.15,21.4585,131264
2010-07-29,27.0,27.21,26.3,26.67,21.0792,296181
2010-07-30,26.47,27.19,26.32,26.6,21.0238,220142
2010-08-02,27.14,27.63,26.68,27.54,21.7668,356877
2010-08-03,27.34,27.63,27.15,27.25,21.5376,254056
2010-08-04,27.3,27.5,26.65,26.71,21.1108,412412
2010-08-05,26.26,26.26,24.24,24.8,19.6012,1554117
2010-08-06,24.25,24.356,23.12,23.8,18.8108,1222514
2010-08-09,24.0,24.19,23.53,23.97,18.9452,436777
2010-08-10,23.89,23.89,23.0,23.0,18.1785,396730
2010-08-11,22.86,23.17,22.38,22.95,18.139,578833
2010-08-12,22.94,23.55,22.7,23.31,18.4235,515114
2010-08-13,23.1,23.36,22.8,23.0,18.1785,321941
2010-08-16,22.79,23.22,22.73,22.79,18.0125,190651
2010-08-17,22.87,23.15,22.46,23.12,18.2733,329448
2010-08-18,22.88,23.18,22.5,23.11,18.2654,361609
2010-08-19,23.43,23.65,22.8,23.0,18.1785,654957
2010-08-20,22.91,23.01,22.63,22.87,18.0758,326774
2010-08-23,22.78,23.2,22.78,23.0,18.1785,279430
2010-08-24,22.5,22.67,21.25,21.79,17.2222,762381
2010-08-25,21.29,21.83,21.25,21.67,17.1273,242834
2010-08-26,21.76,22.28,21.25,21.28,16.8191,213874
2010-08-27,21.36,21.42,20.25,20.87,16.495,378669
2010-08-30,20.87,21.17,20.35,20.62,16.2974,273143
2010-08-31,20.51,20.98,20.41,20.91,16.5266,110268
2010-09-01,21.06,21.9899,20.95,21.62,17.1671,256964
2010-09-02,21.79,21.91,21.03,21.67,17.2068,144558
2010-09-03,21.75,22.43,21.55,22.17,17.6038,233369
2010-09-07,22.23,22.23,21.71,22.23,17.6515,188062
2010-09-08,22.22,22.58,21.81,22.05,17.5085,262922
2010-09-09,22.51,22.51,21.51,21.8,17.31,214315
2010-09-10,21.79,22.2482,21.701,21.94,17.4212,136064
2010-09-13,22.18,22.18,21.36,21.83,17.3338,237620
2010-09-14,21.57,22.66,21.52,22.17,17.6038,375050
2010-09-15,21.9,22.56,21.9,22.34,17.7388,245710
2010-09-16,22.34,22.66,22.01,22.3,17.707,327771
2010-09-17,22.3,22.85,22.25,22.46,17.8341,404711
2010-09-20,22.29,22.4,21.42,21.86,17.3577,379427
2010-09-21,21.93,21.98,21.38,21.52,17.0877,298493
2010-09-22,21.61,21.84,21.2,21.33,16.9368,256071
2010-09-23,21.06,21.22,20.58,20.58,16.3413,319646
2010-09-24,20.8,20.95,20.53,20.61,16.3651,236966
2010-09-27,20.66,21.31,20.38,21.07,16.7304,397017
2010-09-28,21.03,21.4691,20.84,21.31,16.9209,204818
2010-09-29,21.35,21.4697,20.76,20.78,16.5001,298301
2010-09-30,20.97,21.0,19.6,20.2,16.0396,1710105
2010-10-01,20.25,20.68,19.83,20.6,16.3572,481187
2010-10-04,20.57,20.69,20.02,20.39,16.1904,271375
2010-10-05,20.47,20.93,20.32,20.83,16.5398,385353
2010-10-06,20.8,21.1,20.55,20.83,16.5398,179358
2010-10-07,20.83,20.9399,20.322,20.6,16.3572,176874
2010-10-08,20.57,20.99,20.5,20.85,16.5557,168840
2010-10-11,20.9,21.43,20.57,21.06,16.7224,280472
2010-10-12,21.06,22.38,21.0001,22.23,17.6515,608528
2010-10-13,22.48,22.8,22.1,22.21,17.6356,713965
2010-10-14,22.3,22.84,22.18,22.63,17.9691,286955
2010-10-15,22.69,22.69,22.22,22.48,17.85,250406
2010-10-18,22.45,23.49,22.351,23.2,18.4217,467580
2010-10-19,23.2,23.5,23.07,23.13,18.3661,432821
2010-10-20,23.2,23.92,22.91,23.73,18.8425,394149
2010-10-21,23.88,24.06,23.42,23.91,18.9854,243663
2010-10-22,24.04,24.61,23.99,24.54,19.4857,454793
2010-10-25,24.62,24.98,24.25,24.37,19.3507,329520
2010-10-26,24.6,24.75,24.0,24.23,19.2395,161557
2010-10-27,24.0,24.21,23.9,24.17,19.1919,228400
2010-10-28,24.18,24.2399,23.56,24.0,19.0569,166381
2010-10-29,23.92,24.1906,23.92,24.01,19.0649,194934
2010-11-01,24.03,24.5,23.13,23.59,18.7314,269720
2010-11-02,23.69,24.15,23.2301,24.11,19.1443,279574
2010-11-03,24.06,24.25,23.6,24.0,19.0569,229428
2010-11-04,24.45,24.45,23.8,24.01,19.0649,456584
2010-11-05,24.09,25.0,23.98,24.654,19.5762,474145
2010-11-08,24.67,25.0,23.98,24.87,19.7477,587365
2010-11-09,25.0,25.18,24.56,24.92,19.7874,499204
2010-11-10,25.0,25.18,24.61,24.84,19.7239,159064
2010-11-11,24.6,24.93,24.35,24.71,19.6207,145808
2010-11-12,24.58,24.79,24.1,24.15,19.176,126999
2010-11-15,24.1,24.5,24.05,24.34,19.3269,136618
2010-11-16,24.12,24.94,24.08,24.6,19.5333,481983
2010-11-17,24.75,24.775,24.33,24.4,19.3745,119931
2010-11-18,24.55,24.8,24.39,24.71,19.6207,142368
2010-11-19,24.71,25.3,24.274,25.02,19.8668,327862
2010-11-22,24.9,24.95,24.59,24.8,19.6921,150939
2010-11-23,24.5,24.9,24.5,24.69,19.6048,104616
2010-11-24,24.49,24.49,23.1,23.88,18.9616,533603
2010-11-26,23.73,24.57,23.36,23.5,18.6599,95675
2010-11-29,23.5,23.85,23.22,23.63,18.7631,198627
2010-11-30,23.53,23.83,23.42,23.79,18.8902,396976
2010-12-01,23.95,24.33,23.9,23.91,19.0629,350449
2010-12-02,23.91,24.34,23.91,24.34,19.4057,177877
2010-12-03,24.07,24.45,24.01,24.4,19.4535,162124
2010-12-06,24.4,25.16,24.2,24.82,19.7884,192829
2010-12-07,25.06,25.06,24.39,24.79,19.7645,133849
2010-12-08,24.71,24.77,24.0604,24.23,19.318,231262
2010-12-09,24.35,24.4,23.3,23.53,18.7599,305236
2010-12-10,23.47,23.6499,22.9,22.97,18.3134,388530
2010-12-13,22.92,23.29,22.57,23.01,18.3453,436018
2010-12-14,22.95,23.42,22.65,22.95,18.2975,376519
2010-12-15,22.75,23.4,22.54,22.86,18.2257,411106
2010-12-16,22.92,23.16,22.0,22.035,17.568,861029
2010-12-17,21.94,22.28,21.78,22.11,17.6278,636274
2010-12-20,22.11,22.32,21.795,22.2,17.6995,429201
2010-12-21,22.25,22.295,22.02,22.2,17.6995,486224
2010-12-22,22.17,22.31,22.01,22.1,17.6198,504272
2010-12-23,22.02,22.55,22.01,22.42,17.8749,406118
2010-12-27,22.29,22.62,22.29,22.43,17.8829,237429
2010-12-28,22.25,23.2,22.25,23.04,18.3692,481393
2010-12-29,23.15,23.15,22.63,22.69,18.0902,192333
2010-12-30,22.51,22.97,22.5,22.73,18.1221,339123
2010-12-31,22.65,22.99,22.65,22.86,18.2257,269678
2011-01-03,23.02,23.85,22.88,23.75,18.9353,576333
2011-01-04,23.69,24.15,23.63,23.82,18.9911,505554
2011-01-05,23.71,23.94,23.28,23.75,18.9353,501970
2011-01-06,23.51,23.76,23.26,23.6,18.8157,310844
2011-01-07,23.6,23.8475,23.53,23.8125,18.9851,288847
2011-01-10,23.6,24.45,23.42,24.26,19.3419,343681
2011-01-11,24.41,24.46,23.9,23.98,19.1187,372248
2011-01-12,24.05,24.24,23.7101,23.94,19.0868,379303
2011-01-13,23.93,24.0,23.33,23.54,18.7679,303642
2011-01-14,23.43,23.89,23.36,23.8,18.9752,299308
2011-01-18,23.73,23.91,23.45,23.59,18.8077,204494
2011-01-19,23.53,23.67,23.12,23.2,18.4968,299541
2011-01-20,23.14,23.35,22.9,23.0,18.3373,201698
2011-01-21,23.08,23.23,22.9,23.2,18.4968,249968
2011-01-24,23.1,23.35,22.95,23.1,18.4171,157308
2011-01-25,23.0,23.035,22.8,22.94,18.2895,107214
2011-01-26,23.0,23.23,22.9617,23.19,18.4888,249831
2011-01-27,23.27,23.2934,22.87,23.15,18.4569,211634
