date,open,high,low,close,adjusted_close,volume
2010-01-04,21.44,21.57,21.24,21.57,6.5564,3156285
2010-01-05,21.58,21.98,21.3,21.72,6.6019,7785131
2010-01-06,21.76,21.98,21.65,21.69,6.5928,3300332
2010-01-07,21.69,21.69,21.38,21.46,6.5229,2707589
2010-01-08,21.35,21.46,21.08,21.18,6.4378,4019957
2010-01-11,21.14,21.21,20.77,21.13,6.4226,3335453
2010-01-12,21.0,21.29,20.89,20.98,6.377,2554852
2010-01-13,21.03,21.42,21.03,21.33,6.4834,3000341
2010-01-14,21.24,21.38,21.11,21.24,6.456,2982201
2010-01-15,21.23,21.34,21.08,21.25,6.4591,4290004
2010-01-19,21.25,21.31,21.1,21.23,6.453,3329747
2010-01-20,21.08,21.21,20.85,21.16,6.4317,3749946
2010-01-21,21.1,21.28,20.8,20.85,6.3375,4259916
2010-01-22,20.84,21.19,20.75,20.95,6.3679,4192077
2010-01-25,21.11,21.11,20.87,20.92,6.3588,2855718
2010-01-26,20.78,20.9,20.64,20.78,6.3162,2374036
2010-01-27,20.7,20.71,20.31,20.51,6.2342,3827883
2010-01-28,20.56,20.56,20.17,20.22,6.146,3842397
2010-01-29,20.19,20.6,20.15,20.19,6.1369,3679334
2010-02-01,20.34,20.47,20.2,20.46,6.219,2195113
2010-02-02,20.5,20.97,20.37,20.86,6.3405,2662099
2010-02-03,20.73,20.95,20.64,20.87,6.3436,3225439
2010-02-04,20.7,20.7,20.17,20.17,6.1308,2412554
2010-02-05,20.15,20.18,19.91,20.1,6.1095,3558605
2010-02-08,20.14,20.24,19.92,19.95,6.0639,2238159
2010-02-09,20.13,20.6,20.13,20.34,6.1825,5110444
2010-02-10,20.31,20.34,19.33,19.45,5.912,8896648
2010-02-11,19.47,19.57,19.1301,19.2,5.836,5913765
2010-02-12,19.05,19.38,18.84,19.28,5.8603,5407523
2010-02-16,19.44,19.54,19.24,19.3,5.8664,4668144
2010-02-17,19.43,19.745,19.25,19.52,5.9332,4678131
2010-02-18,19.47,19.89,19.47,19.87,6.0396,3526817
2010-02-19,19.84,19.84,19.66,19.74,6.0001,2754948
2010-02-22,19.76,19.83,19.57,19.59,5.9545,2502081
2010-02-23,19.54,19.61,19.19,19.27,5.8573,4127552
2010-02-24,19.27,19.33,18.92,19.18,5.8299,4266671
2010-02-25,25.11,26.0,24.9,25.48,7.7448,60908941
2010-02-26,25.26,25.78,25.15,25.55,7.7661,16424801
2010-03-01,25.47,25.7,25.4,25.6,7.7813,21656471
2010-03-02,25.63,26.28,25.54,26.23,7.9728,17124189
