date,open,high,low,close,adjusted_close,volume
2010-01-04,32.63,33.51,32.14,33.26,26.2291,1081100
2010-01-05,33.33,34.1,33.29,34.0,26.8127,752100
2010-01-06,34.06,34.52,33.88,34.37,27.1045,1429300
2010-01-07,34.39,34.61,33.93,34.55,27.2464,1191400
2010-01-08,34.47,34.77,34.16,34.23,26.9941,1187300
2010-01-11,34.33,34.48,33.8,34.33,27.0729,791800
2010-01-12,33.99,34.0,32.89,33.08,26.0872,827000
2010-01-13,33.08,33.38,32.26,33.18,26.1977,1492800
2010-01-14,33.17,33.29,32.45,33.07,26.1109,929300
2010-01-15,33.01,33.01,32.35,32.5,25.6608,885500
2010-01-19,32.48,33.22,32.36,33.21,26.2214,1673400
2010-01-20,32.76,33.0,32.32,32.88,25.9609,1011400
2010-01-21,32.88,33.08,32.0,32.15,25.3845,1454400
2010-01-22,32.15,32.15,31.43,31.76,25.0765,1620900
2010-01-25,32.05,32.52,31.84,31.95,25.2266,1278500
2010-01-26,31.56,32.09,31.5,32.0,25.266,1113800
2010-01-27,32.02,32.39,31.22,31.34,24.7449,1879200
2010-01-28,31.4,31.5,29.73,29.89,23.6001,2380800
2010-01-29,30.13,30.62,28.89,29.1,22.9763,1931400
2010-02-01,29.37,30.05,29.37,30.05,23.7264,915600
2010-02-02,29.83,31.74,29.83,31.39,24.7844,1905800
2010-02-03,31.11,32.11,31.11,31.33,24.737,1001500
2010-02-04,30.84,30.96,29.75,29.78,23.5132,1253300
2010-02-05,29.82,29.96,28.2,29.89,23.6001,2759300
2010-02-08,29.99,30.44,29.36,29.57,23.3474,1669800
2010-02-09,30.53,30.57,28.88,29.92,23.6237,3318900
2010-02-10,29.99,30.16,29.49,29.77,23.5053,1364800
2010-02-11,29.63,30.3,29.52,29.98,23.6711,1558800
2010-02-12,29.38,30.03,28.97,29.82,23.5448,1701100
2010-02-16,29.77,30.31,29.77,29.98,23.6711,1616600
2010-02-17,30.15,31.03,29.92,30.63,24.1843,4133100
2010-02-18,30.64,30.83,30.37,30.76,24.287,1700000
2010-02-19,30.73,31.05,30.55,31.04,24.5081,1833600
2010-02-22,31.2,31.35,30.97,31.22,24.6502,1881400
2010-02-23,31.06,31.13,30.17,30.46,24.0501,2535900
2010-02-24,30.44,31.05,30.3,30.97,24.4528,1383200
2010-02-25,30.92,31.23,30.16,31.22,24.6502,1385600
2010-02-26,31.22,31.41,30.85,31.19,24.6265,1103600
2010-03-01,31.27,32.28,31.09,32.26,25.4713,1638000
2010-03-02,32.38,33.82,32.38,32.74,25.8503,4143000
2010-03-03,32.74,32.9,32.14,32.36,25.5503,2325600
2010-03-04,32.1,32.27,30.88,31.19,24.6265,3630300
2010-03-05,31.48,32.13,31.42,32.08,25.3292,1755700
2010-03-08,32.07,32.49,31.94,32.08,25.3292,847800
2010-03-09,31.95,32.3,31.75,32.11,25.3529,981400
2010-03-10,32.07,32.6,31.9,32.33,25.5266,779400
2010-03-11,32.08,32.45,31.97,32.45,25.6213,964600
2010-03-12,32.57,33.06,32.57,32.81,25.9056,1844300
2010-03-15,34.42,34.42,32.28,32.6,25.7398,1951300
2010-03-16,32.79,32.97,32.57,32.95,26.0161,567600
2010-03-17,33.02,33.53,32.9,33.23,26.2372,1034300
2010-03-18,33.37,33.37,32.46,32.67,25.795,1153600
2010-03-19,32.73,32.73,31.45,31.54,24.9028,1296600
2010-03-22,31.33,31.95,30.69,31.87,25.1634,1009600
2010-03-23,31.89,32.18,31.64,32.01,25.2739,893100
2010-03-24,31.72,32.74,31.72,32.65,25.7793,1224700
2010-03-25,32.9,33.08,31.58,31.62,24.966,1384800
2010-03-26,31.68,32.24,31.51,31.77,25.0844,673100
2010-03-29,31.86,32.48,31.78,32.19,25.4161,892600
2010-03-30,32.32,32.85,32.29,32.43,25.6056,890400
2010-03-31,32.21,32.84,31.77,31.85,25.1476,1890100
2010-04-01,32.27,32.58,32.09,32.46,25.6292,1173500
2010-04-05,32.43,33.36,32.43,33.23,26.2372,949100
2010-04-06,33.02,33.16,32.45,33.15,26.174,1229500
2010-04-07,33.16,33.43,32.72,32.93,26.0003,970600
2010-04-08,32.68,32.97,32.35,32.89,25.9688,1017900
2010-04-09,33.06,33.6,32.73,33.46,26.4188,882000
2010-04-12,33.52,33.68,33.28,33.58,26.5136,1161900
2010-04-13,33.29,33.53,33.23,33.5,26.4819,733700
2010-04-14,33.71,34.5,33.54,34.48,27.2566,1528500
2010-04-15,34.2,34.72,33.92,34.3,27.1143,1351400
2010-04-16,34.04,34.33,33.48,33.9,26.7981,923300
2010-04-19,33.84,33.84,32.5,33.16,26.2132,1617200
2010-04-20,33.49,33.76,33.32,33.61,26.5689,704600
2010-04-21,33.69,33.76,33.05,33.17,26.2211,838300
2010-04-22,32.83,33.16,32.36,33.13,26.1894,954400
2010-04-23,33.35,34.68,33.31,34.35,27.1539,1349800
2010-04-26,34.25,35.23,34.25,34.86,27.557,1298300
2010-04-27,34.74,35.83,33.25,33.34,26.3555,3294200
2010-04-28,33.51,33.81,31.74,32.86,25.976,3649300
2010-04-29,32.99,33.85,32.6,33.63,26.5847,1314400
2010-04-30,33.7,33.76,31.95,31.99,25.2883,1496500
2010-05-03,32.13,32.55,31.69,31.88,25.2013,1393400
2010-05-04,31.36,31.37,29.5,29.65,23.4385,2588200
2010-05-05,29.4,29.48,28.53,29.03,22.9484,3934100
2010-05-06,28.95,29.27,24.99,27.48,21.7231,3201100
2010-05-07,27.19,28.1,26.51,26.77,21.1618,4042000
2010-05-10,28.65,29.09,27.69,28.44,22.482,2071300
2010-05-11,28.1,29.29,27.89,29.04,22.9563,2951800
2010-05-12,29.35,30.47,29.25,30.26,23.9207,3127000
2010-05-13,30.29,30.49,29.8,29.88,23.6203,2116100
2010-05-14,29.57,29.95,28.83,29.18,23.0669,3505200
2010-05-17,29.47,29.7,27.91,28.77,22.7428,3339200
2010-05-18,29.09,29.56,28.05,28.1,22.2132,2012900
2010-05-19,27.72,28.04,26.86,27.96,22.1025,2313700
2010-05-20,27.19,27.31,25.92,26.46,20.9168,3687700
2010-05-21,25.89,27.85,25.69,27.51,21.7468,3000000
2010-05-24,27.21,28.0,26.85,26.86,21.233,2245900
2010-05-25,25.88,27.62,25.61,27.53,21.7626,2841200
2010-05-26,27.95,28.32,27.33,27.43,21.6836,1589400
2010-05-27,28.22,29.32,28.07,29.31,23.1697,1204400
2010-05-28,29.3,29.33,28.42,28.67,22.6638,1206700
2010-06-01,28.37,28.93,27.41,27.41,21.6678,1620400
2010-06-02,27.82,28.67,27.31,28.67,22.6638,1256600
2010-06-03,28.82,29.02,27.91,28.52,22.5452,1264400
2010-06-04,27.57,28.07,27.33,27.43,21.6836,2121600
