date,open,high,low,close,adjusted_close,volume
2010-01-04,92.39,92.5,90.53,91.84,13.4241,6172000
2010-01-05,92.21,94.34,92.16,93.33,13.6418,6662500
2010-01-06,93.76,97.3,93.5,97.22,14.2104,6479000
2010-01-07,97.0,97.0,95.05,96.24,14.0672,7292000
2010-01-08,95.99,98.32,95.99,98.31,14.3698,6128500
2010-01-11,99.85,102.89,97.64,98.2,14.3537,10515500
2010-01-12,96.88,97.07,93.65,94.69,13.8406,8983000
2010-01-13,95.5,95.65,93.31,94.92,13.8742,5108000
2010-01-14,95.1,95.59,93.13,93.19,13.6214,6146500
2010-01-15,99.23,99.39,95.13,95.42,13.9473,27350500
2010-01-19,96.12,101.05,95.18,100.6,14.7045,9930000
2010-01-20,99.26,99.62,97.5,98.99,14.4692,6307500
2010-01-21,99.13,101.33,97.53,98.23,14.3581,6387500
2010-01-22,97.64,98.75,96.05,96.13,14.0511,4556000
2010-01-25,97.26,98.47,96.03,96.14,14.0526,3174500
2010-01-26,95.4,98.44,94.55,96.15,14.054,3740500
2010-01-27,96.39,97.05,95.1,96.4,14.0906,2439000
2010-01-28,95.59,96.2,93.9,95.3,13.9298,3523500
2010-01-29,96.52,97.0,92.86,92.86,13.5731,4284500
2010-02-01,93.95,95.91,93.08,95.28,13.9269,4984000
2010-02-02,95.4,96.62,94.49,96.28,14.073,2795000
2010-02-03,97.9,98.18,96.69,97.11,14.1944,2123500
2010-02-04,96.4,96.4,93.01,93.57,13.6769,4462500
2010-02-05,93.2,94.75,91.78,94.22,13.7719,4237000
2010-02-08,95.71,95.71,92.3,92.32,13.4942,2869000
2010-02-09,93.57,96.42,93.53,95.8,14.0029,4521500
2010-02-10,96.13,97.91,95.84,97.29,14.2207,3541500
2010-02-11,97.9,100.79,97.33,100.12,14.6343,5061000
2010-02-12,98.74,100.86,97.75,100.5,14.6899,7234500
2010-02-16,104.05,106.98,101.93,103.57,15.1386,11940500
2010-02-17,104.5,107.46,103.87,104.65,15.2965,11225000
2010-02-18,104.32,104.38,100.87,102.01,14.9248,11651500
2010-02-19,102.01,104.74,102.01,104.14,15.2365,7530500
2010-02-22,105.59,105.59,103.09,103.65,15.1648,5328000
2010-02-23,103.11,104.14,101.87,101.93,14.9131,4889500
2010-02-24,102.24,103.3,100.58,100.79,14.7463,7880000
2010-02-25,99.56,106.4,99.0,105.39,15.4194,10770000
2010-02-26,105.7,106.45,104.11,106.24,15.5437,3649500
2010-03-01,106.83,107.57,105.59,107.54,15.7339,3645000
2010-03-02,101.83,106.78,101.33,106.42,15.5701,33642000
2010-03-03,105.2,110.0,104.55,106.78,15.6227,16783000
2010-03-04,107.5,108.41,106.51,108.23,15.8349,7001500
2010-03-05,107.7,107.7,103.14,104.74,15.3243,16390000
2010-03-08,104.33,105.65,102.66,102.98,15.0668,8785500
2010-03-09,102.5,102.97,100.02,100.63,14.7229,12228000
2010-03-10,99.0,104.78,98.0,103.55,15.1502,19365000
2010-03-11,102.51,102.54,100.21,100.61,14.72,13735500
2010-03-12,97.08,98.15,94.86,96.73,14.1523,68882000
2010-03-15,95.3,97.26,94.91,96.38,14.1011,17520000
2010-03-16,97.29,97.42,95.1,95.62,13.9899,19119000
2010-03-17,95.9,96.55,93.82,94.5,13.8261,14038500
2010-03-18,94.09,94.5,90.6,93.12,13.6242,21590500
2010-03-19,91.4,93.7,90.82,91.4,13.3725,13077000
2010-03-22,90.28,93.08,90.28,92.55,13.5408,15089000
2010-03-23,92.55,93.59,90.62,91.7,13.4164,11861000
2010-03-24,91.39,93.55,90.66,92.41,13.5203,8616000
