date,open,high,low,close,adjusted_close,volume
2010-01-04,82.49,82.88,81.86,82.85,29.5595,4874200
2010-01-05,82.61,83.67,81.96,83.52,29.7986,5296800
2010-01-06,83.62,83.75,82.4,83.33,29.7308,7195200
2010-01-07,83.06,83.07,82.25,83.0,29.613,3752200
2010-01-08,80.21,81.66,80.1,81.51,29.0814,8150200
2010-01-11,80.64,81.33,79.51,81.15,28.953,7054200
2010-01-12,79.63,81.2,79.63,80.68,28.7853,5733800
2010-01-13,80.53,81.4,80.43,81.06,28.9209,4570600
2010-01-14,80.78,80.98,80.15,80.42,28.6925,5403800
2010-01-15,80.54,81.21,79.58,80.0,28.5427,7913200
2010-01-19,80.03,80.73,79.79,80.59,28.7532,4460400
2010-01-20,80.12,80.12,78.4,79.21,28.2608,7762000
2010-01-21,80.24,80.96,78.26,79.07,28.3685,9020200
2010-01-22,79.05,81.18,78.36,80.71,28.9568,10959000
2010-01-25,81.13,81.45,79.83,80.47,28.8707,6220000
2010-01-26,79.86,80.76,79.5,80.38,28.8385,5581400
2010-01-27,80.39,80.82,79.66,80.39,28.842,6222200
2010-01-28,80.71,81.73,79.67,79.99,28.6985,8153400
2010-01-29,80.47,80.86,79.3,80.03,28.7129,6692600
2010-02-01,80.42,80.42,79.02,79.94,28.6806,6400400
2010-02-02,79.84,81.07,79.48,81.05,29.0788,5937400
2010-02-03,80.95,81.23,80.44,80.82,28.9963,5777600
2010-02-04,80.46,80.75,79.61,79.67,28.5837,7284000
2010-02-05,79.64,80.05,78.07,79.26,28.4366,6091800
2010-02-08,79.53,79.79,78.95,79.09,28.3756,3262400
2010-02-09,79.51,80.6,79.1,80.17,28.7631,4059600
2010-02-10,80.28,80.28,79.06,79.82,28.6375,3793400
2010-02-11,79.57,80.39,79.25,80.33,28.8205,3524000
2010-02-12,80.11,80.26,79.09,79.66,28.5801,4864600
2010-02-16,79.92,80.79,79.3,80.62,28.9246,3914400
2010-02-17,80.82,81.38,80.55,81.2,29.1326,3467800
2010-02-18,81.05,82.73,81.03,82.44,29.5775,4855200
2010-02-19,82.42,82.42,81.23,81.75,29.33,4863000
2010-02-22,81.85,82.35,81.5,82.08,29.4484,4043400
2010-02-23,82.13,82.49,81.24,81.89,29.3802,4416600
2010-02-24,82.08,83.04,81.85,82.96,29.7641,4016000
2010-02-25,81.74,83.31,80.87,83.11,29.8179,5434400
2010-02-26,83.38,83.39,82.51,82.94,29.7569,3667400
2010-03-01,83.22,83.84,82.9,83.79,30.0619,3972200
2010-03-02,84.15,84.25,83.59,83.86,30.087,5687800
2010-03-03,83.76,84.26,83.6,83.86,30.087,3841400
2010-03-04,83.92,84.64,83.56,84.16,30.1946,3954800
2010-03-05,84.38,84.39,83.65,84.21,30.2126,5870000
2010-03-08,84.06,84.28,83.44,83.95,30.1193,3466000
