date,open,high,low,close,adjusted_close,volume
2010-01-04,29.95,30.62,29.68,30.5,20.4852,1438343
2010-01-05,30.41,30.73,30.21,30.61,20.5591,1336614
2010-01-06,30.57,31.49,30.43,31.29,21.0158,1573376
2010-01-07,31.15,33.43,31.13,32.99,22.1576,3495389
2010-01-08,32.97,33.38,32.29,32.57,21.8755,3025584
2010-01-11,32.62,33.01,32.18,32.22,21.6404,1516145
2010-01-12,32.58,33.25,31.95,32.55,21.8621,3531978
2010-01-13,32.87,33.55,32.13,33.16,22.2718,2622333
2010-01-14,33.51,34.59,33.51,34.13,22.9233,3264337
2010-01-15,33.99,34.0,32.54,32.86,22.0703,4025045
2010-01-19,32.64,33.05,32.29,33.04,22.1912,2047432
2010-01-20,32.84,33.89,32.55,33.57,22.5472,4429144
2010-01-21,34.35,37.32,34.35,35.82,24.0584,9916378
2010-01-22,36.05,36.15,34.6,35.62,23.924,4010003
2010-01-25,35.92,36.17,34.57,35.5,23.8434,3605183
2010-01-26,35.25,35.96,34.67,34.78,23.3599,3308128
2010-01-27,34.78,35.58,34.34,35.39,23.7696,2835722
2010-01-28,35.64,36.17,34.6,35.2,23.6419,5335030
2010-01-29,35.41,35.749,34.47,34.51,23.1785,2368614
2010-02-01,35.32,35.49,34.81,35.45,23.8099,2677259
2010-02-02,35.5,35.66,34.82,35.2,23.6419,3370147
2010-02-03,35.07,35.07,34.18,34.54,23.1987,2821078
2010-02-04,34.23,34.23,33.33,33.34,22.3927,4476962
2010-02-05,33.34,34.07,32.77,34.03,22.8561,4052531
2010-02-08,34.08,34.47,33.29,33.42,22.4464,2205259
2010-02-09,33.82,34.27,33.37,34.05,22.8696,2028237
2010-02-10,33.98,35.38,33.84,34.62,23.2524,4218224
2010-02-11,34.51,35.09,34.39,35.04,23.5345,2406106
2010-02-12,34.81,35.0,34.45,35.0,23.5076,1978225
2010-02-16,35.32,35.61,34.6,35.6,23.9106,1748416
2010-02-17,35.78,35.78,34.82,35.21,23.6487,2399496
2010-02-18,35.17,35.21,34.6,34.76,23.3464,2195332
2010-02-19,34.72,35.6,34.52,35.55,23.877,3147564
2010-02-22,35.56,36.45,35.55,36.16,24.2867,2199022
2010-02-23,35.96,36.08,35.16,35.17,23.6218,2928242
2010-02-24,35.21,36.25,35.21,36.02,24.1927,3098026
2010-02-25,35.58,35.85,35.27,35.79,24.0382,2035749
2010-02-26,35.89,36.17,35.661,36.08,24.233,2050266
2010-03-01,36.16,36.23,35.39,35.73,23.9979,2030142
2010-03-02,35.85,36.29,35.57,35.67,23.9576,1418824
2010-03-03,35.69,35.93,35.43,35.52,23.8569,1703930
2010-03-04,35.73,35.97,35.58,35.74,24.0046,1779661
2010-03-05,36.0,36.91,35.91,36.74,24.6763,2815884
2010-03-08,36.84,36.88,36.16,36.29,24.374,2025308
2010-03-09,35.55,35.9,35.25,35.7,23.9778,25067029
2010-03-10,35.8,36.55,35.77,36.49,24.5084,5169590
2010-03-11,36.48,36.6,36.0,36.59,24.6093,4019516
2010-03-12,36.75,37.35,36.715,36.86,24.7909,4237171
2010-03-15,36.7,37.3814,36.7,37.26,25.0599,4285752
2010-03-16,37.39,38.23,37.27,37.75,25.3894,5025353
2010-03-17,37.85,38.66,37.69,38.24,25.719,3610293
2010-03-18,38.24,38.44,37.65,37.98,25.5441,3057542
2010-03-19,38.1,38.36,37.64,38.14,25.6517,4053677
2010-03-22,37.8,38.23,37.36,38.11,25.6316,2471140
2010-03-23,38.11,38.26,37.49,38.11,25.6316,2327759
2010-03-24,38.0,38.62,37.95,38.43,25.8468,2384859
2010-03-25,38.79,39.36,38.08,38.22,25.7055,3700835
2010-03-26,38.29,38.74,37.275,37.56,25.2616,3592790
2010-03-29,37.76,37.96,37.3,37.88,25.4769,1776911
2010-03-30,38.01,38.09,37.21,37.86,25.4634,2136775
2010-03-31,37.71,38.44,37.58,38.04,25.5845,2870916
2010-04-01,38.26,38.44,37.66,37.97,25.5374,1827231
2010-04-05,38.1,38.94,38.03,38.94,26.1898,1609768
2010-04-06,38.72,40.82,38.72,40.57,27.2861,4528615
2010-04-07,40.809,41.11,40.23,40.79,27.434,5196109
2010-04-08,40.59,41.07,40.04,41.0,27.5753,3180585
2010-04-09,41.05,41.62,41.01,41.56,27.9519,2229827
2010-04-12,41.5,41.98,41.421,41.73,28.0663,2349477
2010-04-13,41.43,41.44,40.59,41.34,27.804,2671171
2010-04-14,41.77,42.51,41.69,42.43,28.5371,2859205
2010-04-15,42.4,43.09,41.92,42.11,28.3218,2946623
2010-04-16,41.59,41.9,39.65,40.77,27.4206,4594225
2010-04-19,40.45,41.27,39.83,40.92,27.5215,2487590
2010-04-20,41.07,42.5,40.77,42.22,28.3958,3743812
2010-04-21,44.67,45.845,42.54,43.4,29.1894,9903255
2010-04-22,43.54,45.02,43.06,44.6,29.9965,4637275
