date,open,high,low,close,adjusted_close,volume
2010-01-04,338.48,343.48,337.52,342.41,38.6604,2660430
2010-01-05,340.43,344.28,337.94,342.13,38.6288,2835315
2010-01-06,340.51,342.0,338.08,339.81,38.3668,2522795
2010-01-07,339.43,342.11,338.12,340.23,38.4142,2940105
2010-01-08,339.41,350.05,337.6975,349.32,39.4406,4471110
2010-01-11,350.12,353.029,346.21,349.25,39.4326,2242290
2010-01-12,348.79,351.3,341.34,342.17,38.6333,2432745
2010-01-13,343.44,344.49,334.51,343.23,38.753,3100535
2010-01-14,342.0,344.23,339.99,341.75,38.5858,1606185
2010-01-15,341.75,343.0099,337.0,337.24,38.0766,2306415
2010-01-19,337.05,341.11,334.65,338.19,38.1839,2520445
2010-01-20,333.7,335.99,328.21,329.99,37.2581,3049035
2010-01-21,330.67,330.67,305.85,311.02,35.1162,9080090
2010-01-22,308.16,318.0,308.15,312.13,35.2416,5768775
2010-01-25,316.43,318.06,306.56,306.99,34.6612,3679520
2010-01-26,301.3,301.62,286.04,286.2,32.3139,6832935
2010-01-27,287.59,295.5,283.61,294.33,33.2318,6648965
2010-01-28,298.48,300.0,289.2619,290.51,32.8005,5256730
2010-01-29,293.61,296.38,285.84,286.82,32.3839,3903105
2010-02-01,288.09,292.65,283.53,291.22,32.8807,3722635
2010-02-02,290.17,295.72,288.11,293.21,33.1054,3469565
2010-02-03,292.29,295.9824,290.08,292.11,32.9812,3455485
2010-02-04,286.5,286.5,265.75,269.29,30.4046,11223825
2010-02-05,271.0,282.67,271.0,280.8,31.7042,8544265
2010-02-08,285.0,293.83,280.18,280.28,31.6455,7100935
2010-02-09,284.7,287.8,280.21,283.18,31.9729,3779030
2010-02-10,281.52,281.58,275.92,276.35,31.2018,5281980
2010-02-11,280.45,286.45,278.18,285.07,32.1863,5299045
2010-02-12,282.99,291.58,281.21,291.07,32.8637,4502775
2010-02-16,295.02,298.4899,292.5,297.15,33.5502,3283055
2010-02-17,298.25,298.34,292.07,293.08,33.0907,2089060
2010-02-18,292.66,294.36,290.505,291.69,32.9337,2511835
2010-02-19,290.33,298.49,289.5,291.8,32.9462,5205675
2010-02-22,289.42,293.049,285.85,287.04,32.4087,4063130
2010-02-23,287.44,289.3199,276.04,276.57,31.2266,4706085
2010-02-24,279.27,291.28,278.19,290.57,32.8073,6629745
2010-02-25,287.05,295.7,286.82,295.44,33.3571,5393180
2010-02-26,296.95,301.692,293.86,301.69,34.0628,5461825
2010-03-01,302.02,302.99,297.5,301.03,33.9883,3461625
2010-03-02,301.75,312.68,300.0815,309.46,34.9401,4407030
2010-03-03,309.9,311.135,302.37,305.86,34.5336,3643750
2010-03-04,306.75,309.21,302.19,307.52,34.7211,3022340
2010-03-05,310.0,311.89,308.33,310.13,35.0157,2115425
2010-03-08,310.22,314.0,305.6,313.13,35.486,5004100
2010-03-09,310.71,311.0,306.22,308.14,34.9205,5859325
2010-03-10,307.54,309.11,305.14,307.9,34.8933,3362485
2010-03-11,306.95,313.28,305.92,313.28,35.503,2840825
2010-03-12,315.95,317.95,313.32,314.42,35.6322,2536235
2010-03-15,312.88,314.56,309.6008,314.15,35.6016,2473570
2010-03-16,314.67,315.99,311.98,314.33,35.622,2151575
2010-03-17,315.0,317.55,314.5,316.0,35.8113,1782885
2010-03-18,316.59,316.59,310.07,310.89,35.2322,2611795
2010-03-19,314.98,314.99,309.62,311.64,35.3172,3966180
2010-03-22,310.09,313.3,309.06,311.61,35.3138,1765100
2010-03-23,312.0,312.9,308.37,310.59,35.1982,4331850
2010-03-24,309.64,321.894,309.15,318.9,36.1399,3881265
2010-03-25,321.4,325.0,319.1,319.85,36.2476,2848025
2010-03-26,321.0,324.85,314.39,315.7,35.7773,3558375
2010-03-29,315.8,318.0,314.0,315.64,35.7705,2739230
2010-03-30,316.18,317.4,313.5,316.15,35.8283,2149495
2010-03-31,313.95,317.565,313.37,316.11,35.8238,2568005
2010-04-01,318.48,322.37,317.38,319.71,36.2317,2364775
2010-04-05,321.34,323.9,315.45,317.12,35.9382,3423860
2010-04-06,314.45,318.3,310.62,316.9,35.9133,2884880
2010-04-07,313.21,318.335,313.16,314.31,35.6198,2603415
2010-04-08,314.42,314.43,310.63,311.77,35.3319,3402875
2010-04-09,311.83,314.35,310.67,312.1,35.3693,2042815
2010-04-12,313.29,313.44,310.31,310.49,35.1869,1944000
