date,open,high,low,close,adjusted_close,volume
2010-01-04,15.67,15.86,15.61,15.79,9.8437,5875442
2010-01-05,15.89,15.89,15.64,15.74,9.8125,4288526
2010-01-06,15.74,15.84,15.66,15.69,9.7814,4671775
2010-01-07,15.72,15.72,15.33,15.49,9.6567,5909299
2010-01-08,15.42,15.58,15.295,15.55,9.6941,2398723
2010-01-11,15.69,15.79,15.54,15.75,9.8188,4536732
2010-01-12,15.69,15.77,15.56,15.66,9.7627,2906830
2010-01-13,15.68,15.86,15.56,15.78,9.8375,2072930
2010-01-14,15.77,15.95,15.7,15.8,9.8499,2644832
2010-01-15,15.78,15.79,15.49,15.69,9.7814,3998712
2010-01-19,15.69,15.91,15.65,15.9,9.9123,1860655
2010-01-20,15.84,15.88,15.56,15.86,9.8873,3240245
2010-01-21,15.92,16.02,15.54,15.54,9.6879,3018630
2010-01-22,15.6,15.6,15.2,15.22,9.4884,4304892
2010-01-25,15.37,15.465,15.19,15.38,9.5881,2741646
2010-01-26,15.45,15.65,15.29,15.54,9.6879,3243132
2010-01-27,15.52,15.52,15.23,15.39,9.5943,3060907
2010-01-28,15.42,15.48,15.23,15.3,9.5382,2980368
2010-01-29,15.3,15.48,15.13,15.17,9.4572,4142641
2010-02-01,15.23,15.28,15.08,15.25,9.5071,3140334
2010-02-02,15.31,15.52,15.13,15.51,9.6692,2445704
2010-02-03,15.46,15.53,15.28,15.36,9.5756,2443388
2010-02-04,15.16,15.21,14.89,14.89,9.3742,3015236
2010-02-05,14.86,14.91,14.57,14.81,9.3238,2723261
2010-02-08,14.83,14.85,14.57,14.59,9.1853,2720937
2010-02-09,14.78,14.86,14.61,14.65,9.2231,2576065
2010-02-10,14.59,14.64,14.4,14.57,9.1727,2397313
2010-02-11,14.53,14.94,14.47,14.89,9.3742,3992680
2010-02-12,14.81,14.88,14.71,14.83,9.3364,3394946
2010-02-16,14.99,15.13,14.86,15.12,9.519,1912154
2010-02-17,15.18,15.22,15.04,15.13,9.5253,1475537
2010-02-18,15.16,15.27,15.05,15.19,9.563,3177485
2010-02-19,15.14,15.61,15.05,15.58,9.8086,4304430
2010-02-22,15.49,15.59,15.44,15.49,9.7519,2315701
2010-02-23,15.47,15.51,15.23,15.32,9.6449,3054690
2010-02-24,15.09,15.42,14.92,15.4,9.6953,4645363
2010-02-25,15.14,15.34,15.06,15.29,9.626,3015305
2010-02-26,15.3,15.46,15.2,15.27,9.6134,2641198
2010-03-01,15.33,15.45,15.19,15.38,9.6827,5502541
2010-03-02,15.5,15.68,15.44,15.63,9.8401,5157181
2010-03-03,15.64,15.75,15.47,15.51,9.7645,5419237
2010-03-04,15.47,15.53,15.3,15.5,9.7582,4527123
2010-03-05,15.56,15.69,15.49,15.69,9.8778,2549274
2010-03-08,15.59,15.7415,15.57,15.62,9.8338,3532153
2010-03-09,15.62,15.79,15.48,15.76,9.9219,4025940
2010-03-10,15.75,15.76,15.5575,15.73,9.903,3165417
2010-03-11,15.7,15.77,15.62,15.77,9.9282,1395063
2010-03-12,15.78,15.8,15.63,15.71,9.8904,1476990
2010-03-15,15.72,15.75,15.49,15.65,9.8526,1187822
2010-03-16,15.65,15.76,15.58,15.74,9.9093,1851492
2010-03-17,15.75,15.83,15.59,15.75,9.9156,1901456
2010-03-18,15.71,15.93,15.68,15.83,9.966,2197214
2010-03-19,15.99,16.0,15.68,15.82,9.9597,2113529
2010-03-22,15.74,15.75,15.61,15.67,9.8652,2246790
2010-03-23,15.66,15.74,15.61,15.69,9.8778,2558673
2010-03-24,15.67,15.71,15.47,15.55,9.7897,2180479
2010-03-25,15.59,15.73,15.43,15.43,9.7141,2498538
2010-03-26,15.49,15.63,15.41,15.53,9.7771,3102770
2010-03-29,15.51,15.67,15.44,15.55,9.7897,2913074
2010-03-30,15.53,15.75,15.51,15.53,9.7771,2099112
2010-03-31,15.46,15.54,15.4,15.46,9.733,2990368
2010-04-01,15.52,15.65,15.49,15.62,9.8338,3093344
2010-04-05,15.68,15.85,15.59,15.84,9.9723,2037402
2010-04-06,15.8,16.0,15.75,15.98,10.0604,2007829
2010-04-07,15.88,16.04,15.85,15.94,10.0352,4070473
2010-04-08,15.87,15.94,15.685,15.78,9.9345,2121918
2010-04-09,15.77,15.91,15.65,15.9,10.01,1898787
2010-04-12,15.91,16.07,15.91,16.05,10.1045,2171688
2010-04-13,16.02,16.09,15.85,15.91,10.0163,2389313
2010-04-14,15.93,15.98,15.81,15.92,10.0226,1468729
2010-04-15,15.88,15.95,15.8,15.85,9.9786,2379135
2010-04-16,15.82,15.92,15.68,15.72,9.8967,3621889
2010-04-19,15.67,15.79,15.6,15.77,9.9282,3190865
2010-04-20,15.86,15.94,15.78,15.8,9.9471,5002261
2010-04-21,15.82,15.85,15.71,15.77,9.9282,2560758
2010-04-22,15.72,15.86,15.66,15.8,9.9471,3488035
2010-04-23,15.9,16.48,15.81,16.38,10.3122,6010218
2010-04-26,16.46,16.67,16.42,16.55,10.4193,6375284
2010-04-27,16.5,16.62,16.11,16.13,10.1548,5987658
2010-04-28,16.2,16.39,16.1,16.35,10.2933,3176272
2010-04-29,16.4,16.48,16.27,16.31,10.2682,2702061
2010-04-30,16.37,16.49,16.25,16.26,10.2367,2880916
2010-05-03,16.29,16.52,16.2,16.51,10.3941,4108480
2010-05-04,16.36,16.41,16.03,16.11,10.1422,3493407
2010-05-05,15.84,15.94,15.63,15.69,9.9707,4634974
2010-05-06,15.61,15.76,14.53,15.27,9.7038,9256797
2010-05-07,15.32,15.48,14.85,15.07,9.5767,7555116
2010-05-10,15.58,15.72,15.3,15.5,9.8499,3417199
2010-05-11,15.34,15.65,15.3,15.46,9.8245,3630672
2010-05-12,15.43,15.77,15.39,15.75,10.0088,2237717
2010-05-13,15.69,15.895,15.5929,15.68,9.9643,3130073
2010-05-14,15.57,15.74,15.445,15.56,9.8881,4057591
2010-05-17,15.57,15.67,15.3475,15.59,9.9071,2623012
