date,open,high,low,close,adjusted_close,volume
2010-01-04,21.4,21.75,21.28,21.7,5.425,1319984
2010-01-05,21.74,21.8,20.99,21.01,5.2525,1697416
2010-01-06,20.95,21.28,20.92,21.26,5.315,1086200
2010-01-07,21.26,21.85,21.16,21.79,5.4475,1520252
2010-01-08,21.63,21.63,21.29,21.57,5.3925,1196292
2010-01-11,21.58,21.62,21.28,21.4,5.35,837276
2010-01-12,21.23,21.36,21.09,21.32,5.33,887348
2010-01-13,21.39,22.09,21.34,21.7,5.425,6680824
2010-01-14,21.78,22.15,21.65,22.0,5.5,908756
2010-01-15,22.07,22.22,21.82,22.04,5.51,1542208
2010-01-19,21.53,21.61,20.76,21.0,5.25,3154840
2010-01-20,20.91,21.0,19.43,19.56,4.89,5794284
2010-01-21,19.48,20.07,19.12,19.41,4.8525,3541480
2010-01-22,19.55,20.24,19.35,19.94,4.985,19919092
2010-01-25,19.89,20.1,19.53,19.79,4.9475,3062588
2010-01-26,19.69,19.8,19.37,19.45,4.8625,3648032
2010-01-27,19.46,19.96,19.35,19.69,4.9225,2090732
2010-01-28,19.77,19.94,19.34,19.52,4.88,1953896
2010-01-29,19.51,19.69,19.24,19.25,4.8125,3508176
2010-02-01,19.35,19.47,19.25,19.28,4.82,2592912
2010-02-02,19.25,19.34,18.91,19.23,4.8075,2348140
2010-02-03,19.24,19.33,19.02,19.11,4.7775,1292852
2010-02-04,18.98,19.13,18.53,18.54,4.635,1614712
2010-02-05,18.54,18.63,17.93,18.4,4.6,1667868
2010-02-08,18.44,18.56,17.89,18.08,4.52,1420576
2010-02-09,18.19,18.47,17.6,18.3,4.575,2797708
2010-02-10,18.16,18.3,17.77,18.02,4.505,3202376
2010-02-11,17.93,18.02,17.65,17.98,4.495,2189936
2010-02-12,17.9,18.19,17.7,18.15,4.5375,1994956
2010-02-16,18.19,18.33,17.75,18.03,4.5075,1595232
2010-02-17,18.12,18.29,18.005,18.05,4.5125,1368936
2010-02-18,17.98,18.32,17.81,18.09,4.5225,1692840
2010-02-19,18.11,18.37,17.95,18.19,4.5475,2101892
