date,open,high,low,close,adjusted_close,volume
2010-01-04,38.66,39.14,38.55,39.05,31.4079,4447478
2010-01-05,39.63,40.63,39.62,40.59,32.6465,8030373
2010-01-06,40.35,40.97,40.2,40.81,32.8235,5818917
2010-01-07,40.69,43.11,40.59,42.83,34.4482,7885517
2010-01-08,42.43,43.19,42.01,42.46,34.1506,6930195
2010-01-11,42.81,42.99,41.68,41.7,33.5393,5299840
2010-01-12,41.48,42.2,41.32,41.86,33.668,6491867
2010-01-13,41.52,42.24,40.72,42.12,33.8771,6079020
2010-01-14,41.81,42.1,41.29,41.67,33.5152,4302650
2010-01-15,41.32,42.11,40.9,41.13,33.0809,7223598
2010-01-19,40.97,43.09,40.81,43.01,34.5929,7770891
2010-01-20,42.71,43.6,42.32,43.02,34.601,7280284
2010-01-21,42.86,43.54,41.45,42.7,34.3436,11787760
2010-01-22,40.79,40.88,37.31,37.53,30.1854,22022980
2010-01-25,38.32,38.35,35.65,36.11,29.0433,17533910
2010-01-26,35.96,36.7,35.15,35.21,28.3194,13504370
2010-01-27,35.31,36.86,34.65,36.55,29.3972,11448020
2010-01-28,36.51,37.23,35.76,36.74,29.55,10455060
2010-01-29,37.75,37.9,36.7,36.86,29.6465,8556387
2010-02-01,36.85,37.36,36.47,36.78,29.5822,8421854
2010-02-02,37.47,38.44,36.92,37.43,30.1049,9962254
2010-02-03,37.15,37.34,36.38,36.55,29.3972,5431422
2010-02-04,36.18,36.34,34.85,34.95,28.1103,9095429
2010-02-05,35.11,35.54,34.03,35.36,28.44,8869821
2010-02-08,35.41,35.76,34.6,34.63,27.8529,4895048
2010-02-09,35.17,36.1143,34.86,35.33,28.4159,5408975
2010-02-10,35.23,36.01,34.97,35.56,28.6413,4672455
2010-02-11,35.5,35.87,34.83,35.64,28.7057,4801024
2010-02-12,35.1,35.38,34.68,35.14,28.303,7014362
2010-02-16,36.19,36.91,35.95,36.74,29.5917,8240495
2010-02-17,36.98,37.29,36.45,36.85,29.6803,6432107
2010-02-18,36.61,37.54,36.61,37.33,30.0669,5329728
2010-02-19,37.27,37.85,36.86,37.79,30.4374,6076070
2010-02-22,37.9,38.53,37.68,38.28,30.8321,6873596
2010-02-23,38.1,38.37,36.83,37.03,29.8253,7199553
2010-02-24,37.2,37.69,36.91,37.64,30.3166,4333048
2010-02-25,37.03,37.43,36.4,37.37,30.0991,5267779
2010-02-26,37.35,37.92,37.04,37.75,30.4052,3824359
2010-03-01,37.94,38.065,37.23,37.38,30.1072,4420332
2010-03-02,37.52,38.33,37.47,37.98,30.5904,3617571
2010-03-03,38.04,38.76,37.46,37.76,30.4132,5416717
2010-03-04,37.48,37.55,36.58,36.84,29.6722,9498289
2010-03-05,36.5,38.05,36.15,37.94,30.5582,10042500
2010-03-08,38.06,38.26,37.56,37.85,30.4857,4008060
2010-03-09,37.68,39.13,37.5,38.66,31.1381,6799143
2010-03-10,38.93,39.66,38.74,39.09,31.4845,5788933
2010-03-11,38.99,39.85,38.75,39.81,32.0644,4838307
2010-03-12,39.88,40.75,39.46,39.89,32.1288,6531246
2010-03-15,39.9,40.43,38.95,39.98,32.2013,7803328
2010-03-16,40.26,40.42,39.27,40.39,32.5315,7873170
2010-03-17,40.61,40.91,39.955,40.25,32.4188,5605739
2010-03-18,40.2,40.92,40.03,40.84,32.894,5478613
2010-03-19,40.94,41.23,39.75,39.77,32.0322,7784595
2010-03-22,39.37,40.69,39.33,40.61,32.7087,6350024
2010-03-23,40.59,41.12,40.3,40.91,32.9504,4431196
2010-03-24,40.79,41.63,40.66,41.26,33.2323,5131071
2010-03-25,41.56,42.79,41.56,42.05,33.8686,6347171
2010-03-26,42.29,42.83,41.63,41.92,33.7638,4469763
2010-03-29,42.34,42.75,41.79,42.65,34.3518,4870689
