date,open,high,low,close,adjusted_close,volume
2010-01-04,38.26,38.48,37.61,37.75,9.1988,1924792
2010-01-05,37.52,38.21,37.48,38.19,9.306,1243404
2010-01-06,37.94,38.48,37.86,38.17,9.3011,1562780
2010-01-07,37.9,38.7,37.78,38.57,9.3986,1402096
2010-01-08,38.25,38.43,37.79,37.95,9.2475,943092
2010-01-11,38.0,38.15,37.7,38.0,9.2597,825108
2010-01-12,37.62,38.22,37.54,37.63,9.1695,814708
2010-01-13,37.76,38.66,37.74,38.66,9.4205,1319908
2010-01-14,38.36,38.9,38.11,38.52,9.4156,2216936
2010-01-15,38.26,38.31,37.575,37.69,9.2127,1418020
2010-01-19,37.81,38.59,37.71,38.25,9.3496,974484
2010-01-20,38.06,38.34,37.97,38.07,9.3056,923380
2010-01-21,38.26,38.26,36.51,37.04,9.0538,1995568
2010-01-22,37.02,37.29,36.53,36.67,8.9634,1741360
2010-01-25,36.82,37.06,36.1175,36.44,8.9072,2560440
2010-01-26,36.35,36.76,35.91,36.16,8.8387,1057048
2010-01-27,36.01,36.26,35.43,35.83,8.7581,1249180
2010-01-28,36.05,36.06,35.36,35.43,8.6603,915248
2010-01-29,35.67,35.8499,35.32,35.32,8.6334,1310188
2010-02-01,35.66,35.68,34.9,35.15,8.5919,2235864
2010-02-02,35.15,35.95,35.15,35.8,8.7507,2581664
2010-02-03,35.77,35.8,35.26,35.26,8.6188,801520
2010-02-04,35.1,36.59,34.85,36.45,8.9096,2707892
2010-02-05,36.42,36.49,35.8,36.17,8.8412,1863668
2010-02-08,36.26,36.73,36.06,36.2,8.8485,919076
2010-02-09,36.3,36.75,35.87,36.65,8.9585,1438804
2010-02-10,36.69,37.05,36.35,36.97,9.0367,1599964
2010-02-11,36.85,37.67,36.75,37.66,9.2054,1275380
2010-02-12,37.55,38.4,37.26,38.33,9.3692,3095604
2010-02-16,38.39,38.47,37.61,38.14,9.3227,1153844
2010-02-17,38.11,38.8,38.11,38.73,9.4669,1016648
2010-02-18,38.51,38.61,38.09,38.42,9.3912,822296
2010-02-19,38.23,38.6,38.08,38.44,9.3961,719928
2010-02-22,38.57,39.23,38.03,39.18,9.5769,1733636
2010-02-23,39.17,39.46,38.76,39.18,9.5769,2623536
2010-02-24,39.14,40.19,39.08,40.08,9.7969,1567572
2010-02-25,39.75,40.24,39.65,40.2,9.8263,1782688
2010-02-26,40.11,40.408,39.84,40.06,9.792,1679592
