date,open,high,low,close,adjusted_close,volume
2010-01-04,33.74,33.81,33.26,33.57,33.57,1000551
2010-01-05,33.6,33.79,33.35,33.76,33.76,553182
2010-01-06,33.72,33.77,32.97,33.31,33.31,1067220
2010-01-07,34.21,34.65,33.74,34.62,34.62,1077298
2010-01-08,34.22,35.08,34.13,34.39,34.39,981975
2010-01-11,34.5,35.23,34.45,34.74,34.74,686490
2010-01-12,34.5,36.1,34.25,36.0,36.0,2088930
2010-01-13,36.1,39.07,35.99,38.21,38.21,2602167
2010-01-14,38.25,38.25,37.27,37.44,37.44,1015132
2010-01-15,37.49,37.7,36.865,37.4,37.4,569046
2010-01-19,37.32,38.01,37.23,37.96,37.96,609037
2010-01-20,37.61,38.05,36.73,37.32,37.32,835324
2010-01-21,37.46,37.71,37.08,37.17,37.17,715538
2010-01-22,37.22,37.42,36.45,36.46,36.46,558907
2010-01-25,36.61,36.65,36.0,36.57,36.57,567016
2010-01-26,36.47,36.99,36.21,36.82,36.82,576462
2010-01-27,36.64,37.55,36.44,37.37,37.37,831706
2010-01-28,37.45,37.45,36.36,36.48,36.48,950451
2010-01-29,36.51,36.69,36.23,36.34,36.34,649105
2010-02-01,36.48,36.58,36.06,36.37,36.37,403980
2010-02-02,36.34,37.17,36.08,37.12,37.12,507400
2010-02-03,37.04,37.18,36.75,36.84,36.84,743693
2010-02-04,36.77,36.77,35.42,35.45,35.45,689211
2010-02-05,35.34,35.75,34.89,35.65,35.65,826588
2010-02-08,35.86,36.38,35.17,35.69,35.69,1214616
2010-02-09,35.88,37.17,35.88,36.16,36.16,1559156
2010-02-10,36.05,36.25,35.53,35.82,35.82,519077
2010-02-11,35.87,36.48,35.69,36.13,36.13,620093
2010-02-12,35.79,36.51,35.65,36.47,36.47,884501
2010-02-16,36.67,37.0,36.33,36.96,36.96,731152
2010-02-17,37.16,37.41,36.89,37.28,37.28,476720
2010-02-18,37.38,37.72,37.27,37.6,37.6,518862
2010-02-19,37.63,37.71,37.25,37.43,37.43,666919
2010-02-22,37.45,37.48,37.01,37.11,37.11,487932
2010-02-23,36.95,37.21,36.46,36.79,36.79,674340
2010-02-24,36.93,38.0,36.81,37.73,37.73,1028144
2010-02-25,37.29,37.86,37.23,37.8,37.8,567880
2010-02-26,37.75,38.09,37.61,37.92,37.92,505778
2010-03-01,37.94,38.49,37.9,38.15,38.15,512908
2010-03-02,38.14,38.52,37.84,38.49,38.49,502302
2010-03-03,39.24,39.57,38.9,39.26,39.26,1324085
2010-03-04,39.39,39.6,38.83,38.85,38.85,557196
2010-03-05,39.08,39.2,38.695,39.04,39.04,706356
2010-03-08,38.9,39.22,38.73,38.78,38.78,403105
2010-03-09,38.62,38.73,37.88,37.96,37.96,1050654
2010-03-10,37.88,38.0,37.44,37.58,37.58,975868
2010-03-11,37.57,39.06,37.41,38.97,38.97,1544931
2010-03-12,38.95,39.02,38.37,38.87,38.87,821633
2010-03-15,38.93,39.03,38.195,38.35,38.35,486087
2010-03-16,38.36,38.48,38.0,38.23,38.23,407548
2010-03-17,38.35,38.41,37.82,38.18,38.18,378097
2010-03-18,38.03,38.25,37.83,38.15,38.15,670332
2010-03-19,38.3,38.36,37.86,38.36,38.36,787049
2010-03-22,38.11,39.04,38.09,38.79,38.79,584162
2010-03-23,38.92,39.29,38.65,39.22,39.22,653875
2010-03-24,39.19,39.75,39.07,39.43,39.43,642377
2010-03-25,39.72,39.75,39.19,39.51,39.51,441139
2010-03-26,39.45,39.69,39.03,39.2,39.2,351770
2010-03-29,39.27,39.68,39.21,39.47,39.47,381829
2010-03-30,39.61,39.86,39.49,39.57,39.57,340454
2010-03-31,39.53,39.79,39.3,39.31,39.31,267871
2010-04-01,39.42,40.04,39.42,40.04,40.04,479700
2010-04-05,40.09,40.38,39.93,40.24,40.24,591210
2010-04-06,40.15,40.28,39.94,40.11,40.11,455202
2010-04-07,40.0,40.24,39.63,39.7,39.7,450965
2010-04-08,39.7,39.75,39.25,39.49,39.49,530997
2010-04-09,39.65,41.65,39.34,41.56,41.56,2907931
2010-04-12,41.39,41.45,40.05,40.15,40.15,947128
2010-04-13,40.22,40.22,39.7,40.13,40.13,456333
2010-04-14,40.31,40.61,40.15,40.52,40.52,319111
2010-04-15,40.54,41.23,40.51,40.95,40.95,386137
2010-04-16,40.87,41.04,40.1,40.52,40.52,522615
2010-04-19,40.49,40.72,39.98,40.05,40.05,621300
2010-04-20,40.25,40.58,40.09,40.47,40.47,222866
2010-04-21,40.65,40.9,40.38,40.44,40.44,446860
2010-04-22,40.13,40.26,39.67,39.81,39.81,386876
2010-04-23,39.87,40.1,39.61,39.77,39.77,441814
2010-04-26,35.87,36.1125,33.5,33.55,33.55,9982045
2010-04-27,33.55,34.43,33.37,33.74,33.74,4322661
2010-04-28,33.99,34.62,33.85,34.19,34.19,2576263
2010-04-29,34.47,34.5,33.95,34.28,34.28,1693409
2010-04-30,34.25,34.58,33.45,33.48,33.48,1318887
2010-05-03,33.59,34.17,32.88,33.16,33.16,1576053
2010-05-04,32.91,32.91,32.1,32.33,32.33,2031643
2010-05-05,32.23,32.45,31.7,32.2,32.2,1215425
2010-05-06,32.0,32.14,26.82,31.01,31.01,2213730
2010-05-07,31.04,31.6,30.36,30.44,30.44,2020773
2010-05-10,31.48,31.85,30.62,31.01,31.01,1530174
2010-05-11,30.88,31.7,30.6064,31.41,31.41,1207938
2010-05-12,32.4,33.48,32.09,32.65,32.65,2867919
2010-05-13,32.68,33.4,32.64,32.9,32.9,1425876
2010-05-14,32.6,32.75,31.81,31.9,31.9,1341749
2010-05-17,31.92,32.51,31.49,32.5,32.5,1471573
2010-05-18,32.71,32.8,32.17,32.39,32.39,1592862
2010-05-19,32.32,32.53,31.8991,32.44,32.44,1345697
2010-05-20,31.99,32.61,31.63,31.99,31.99,2561446
2010-05-21,31.6,32.3,31.45,32.3,32.3,2797204
2010-05-24,32.29,32.93,31.68,31.68,31.68,1700697
2010-05-25,31.16,31.82,30.74,31.62,31.62,2126633
2010-05-26,31.79,32.12,31.63,31.94,31.94,2713909
2010-05-27,32.29,33.38,32.17,33.32,33.32,1170036
2010-05-28,33.21,33.65,33.07,33.54,33.54,1204308
2010-06-01,33.24,34.06,33.0,33.36,33.36,1826972
2010-06-02,33.66,34.04,33.1985,33.98,33.98,1164438
2010-06-03,33.94,34.5,33.82,34.48,34.48,844606
2010-06-04,34.16,34.31,32.77,32.96,32.96,964828
2010-06-07,32.96,33.37,32.44,32.44,32.44,592235
2010-06-08,33.57,34.37,33.22,33.7,33.7,2966535
2010-06-09,33.77,35.09,33.77,35.05,35.05,2427554
2010-06-10,35.33,36.0999,34.93,35.1,35.1,3348631
2010-06-11,34.92,36.2,34.77,35.99,35.99,2106649
2010-06-14,36.06,36.25,35.49,35.81,35.81,1052089
2010-06-15,35.96,36.7,35.95,36.66,36.66,1068282
2010-06-16,36.4,36.52,35.39,35.55,35.55,1377663
2010-06-17,35.81,36.55,35.62,36.37,36.37,2910109
2010-06-18,36.3,37.06,35.97,36.85,36.85,1626392
2010-06-21,37.05,37.13,36.28,36.55,36.55,992159
2010-06-22,36.7,37.05,35.4,35.51,35.51,1236564
