date,open,high,low,close,adjusted_close,volume
2010-01-04,42.38,42.73,41.87,42.25,4.225,709760
2010-01-05,42.29,42.55,41.885,42.45,4.245,932120
2010-01-06,42.85,43.33,42.36,42.5,4.25,1231580
2010-01-07,42.59,42.59,41.64,42.42,4.242,395520
2010-01-08,42.23,42.57,42.04,42.34,4.234,414210
2010-01-11,42.46,42.47,41.92,42.36,4.236,348050
2010-01-12,42.08,42.39,41.63,41.72,4.172,519810
2010-01-13,41.83,42.18,41.26,41.52,4.152,808200
2010-01-14,41.51,42.52,41.47,42.49,4.249,751560
2010-01-15,42.64,42.69,41.19,41.42,4.142,1307770
2010-01-19,41.62,42.0,41.26,41.95,4.195,876820
2010-01-20,41.61,41.72,40.11,40.93,4.093,775660
2010-01-21,40.93,41.54,40.09,41.02,4.102,1130000
2010-01-22,41.11,41.47,40.51,40.61,4.061,1336760
2010-01-25,40.84,41.5,40.1575,41.04,4.104,1227160
2010-01-26,40.99,41.03,40.47,40.66,4.066,1087130
2010-01-27,40.34,41.2,40.28,41.0,4.1,923070
2010-01-28,40.97,41.53,40.56,40.62,4.062,895640
2010-01-29,40.69,41.339,40.36,40.38,4.038,602600
2010-02-01,40.65,40.92,39.81,40.02,4.002,2676990
2010-02-02,40.17,40.17,39.04,39.04,3.904,1962180
2010-02-03,38.77,40.0,38.47,39.05,3.905,1046150
2010-02-04,38.82,38.94,38.11,38.22,3.822,1233420
2010-02-05,38.28,38.6,37.45,38.5,3.85,827880
2010-02-08,38.59,38.63,38.1,38.45,3.845,522940
2010-02-09,38.78,39.0,38.13,38.65,3.865,541680
2010-02-10,38.46,38.92,38.18,38.77,3.877,435810
2010-02-11,38.53,39.51,38.13,39.45,3.945,715990
2010-02-12,38.98,39.28,38.725,39.02,3.902,1267550
2010-02-16,39.3,39.5,38.89,39.5,3.95,927370
2010-02-17,39.74,39.86,39.47,39.85,3.985,1231300
2010-02-18,38.45,40.36,38.45,40.06,4.006,1468060
2010-02-19,40.07,40.33,40.0,40.18,4.018,791700
2010-02-22,42.11,42.11,40.11,40.65,4.065,1340060
2010-02-23,40.46,40.92,39.7,39.83,3.983,2856990
2010-02-24,39.85,39.87,39.46,39.82,3.982,869020
2010-02-25,39.11,39.49,38.63,39.47,3.947,1925280
2010-02-26,39.51,40.22,39.21,39.35,3.935,3414360
2010-03-01,39.44,40.14,39.26,39.63,3.963,1655670
2010-03-02,39.66,40.125,39.66,39.96,3.996,1292250
2010-03-03,40.15,41.11,39.98,41.05,4.105,2697490
2010-03-04,41.0,41.38,40.68,41.11,4.111,652940
2010-03-05,41.51,42.3,41.51,41.91,4.191,1710620
2010-03-08,42.02,42.15,41.24,41.31,4.131,897720
2010-03-09,41.12,41.86,41.12,41.37,4.137,1538050
2010-03-10,41.29,41.87,41.29,41.8,4.18,1177390
2010-03-11,41.51,42.01,41.5,41.99,4.199,679750
2010-03-12,42.0,42.58,41.78,42.29,4.229,2328810
2010-03-15,42.34,43.48,42.34,42.87,4.287,2490710
2010-03-16,43.09,43.09,42.38,42.73,4.273,569530
2010-03-17,42.7,42.9,42.49,42.5,4.25,609310
2010-03-18,42.22,42.75,42.22,42.58,4.258,769960
2010-03-19,42.82,42.82,41.77,42.0,4.2,1366170
2010-03-22,41.72,42.93,41.72,42.62,4.262,421790
2010-03-23,42.57,43.25,42.43,42.97,4.297,573260
2010-03-24,42.76,43.24,42.02,42.05,4.205,687800
2010-03-25,42.19,42.54,41.55,41.56,4.156,515500
2010-03-26,41.84,41.84,40.79,41.09,4.109,749830
2010-03-29,41.1,41.43,41.04,41.31,4.131,379020
2010-03-30,41.24,42.32,41.24,42.03,4.203,1241550
2010-03-31,41.73,42.66,41.5,41.52,4.152,1600400
2010-04-01,41.53,42.4,41.08,41.78,4.178,1346110
2010-04-05,41.79,42.79,41.79,42.79,4.279,864020
