date,open,high,low,close,adjusted_close,volume
2010-01-04,48.9897,49.1796,48.2697,48.8601,4.2253,25173000
2010-01-05,48.9798,50.2497,48.8097,50.1498,4.3368,35913600
2010-01-06,50.2299,50.7096,49.8204,50.31,4.3507,29757600
2010-01-07,50.1102,50.3496,49.5999,49.9599,4.3204,23382000
2010-01-08,49.7403,52.83,49.6404,52.38,4.5297,54567000
2010-01-11,52.5996,52.6797,51.4296,51.8598,4.4847,37998900
2010-01-12,51.3396,51.3396,50.2596,50.7096,4.3852,33707700
2010-01-13,50.76,51.1902,50.1102,51.0201,4.4121,24795000
2010-01-14,51.0597,51.2802,50.0796,50.5503,4.3715,22770900
2010-01-15,50.6898,50.7096,49.5,50.04,4.3273,27154800
2010-01-19,50.3604,50.7204,49.8996,50.5098,4.368,40363200
2010-01-20,48.0897,48.1203,46.3698,47.3499,4.0947,123788700
2010-01-21,47.1798,47.6496,45.2196,45.36,3.9226,107651700
2010-01-22,45.1602,45.6399,43.9704,44.1198,3.8154,79909200
2010-01-25,44.7003,45.2403,44.0298,44.9496,3.8871,57705300
2010-01-26,44.9703,45.9099,44.3502,45.2997,3.9174,56122200
2010-01-27,45.0999,45.8397,44.91,45.54,3.9382,48447000
2010-01-28,45.7704,46.08,43.6401,43.6797,3.7773,54915300
2010-01-29,44.0802,44.1702,42.5799,42.8598,3.7064,46597500
2010-02-01,43.8399,44.1603,43.2396,43.83,3.7903,49893300
2010-02-02,44.0496,44.6103,43.8696,44.4798,3.8465,32089500
2010-02-03,44.1999,45.2799,43.9497,44.01,3.8059,42611400
2010-02-04,43.6797,43.6797,42.3099,42.3297,3.6606,54693900
2010-02-05,42.2397,43.0299,42.0498,42.9201,3.7116,66291300
2010-02-08,42.9903,43.8003,42.4098,42.5097,3.6761,41737500
2010-02-09,43.6896,43.9101,42.9597,43.0803,3.7255,60439500
2010-02-10,43.1001,43.3602,42.6402,43.0803,3.7255,31986900
2010-02-11,43.5798,45.45,43.4997,45.0603,3.8967,70298100
2010-02-12,44.4402,44.9703,44.2098,44.9001,3.8828,46888200
2010-02-16,45.5004,46.2204,45.0801,46.1097,3.9874,42340500
2010-02-17,46.5201,46.5696,45.4896,46.1097,3.9874,36320400
2010-02-18,45.9198,46.4796,45.7002,46.4004,4.0126,25281000
2010-02-19,46.4004,47.1303,46.1601,46.7703,4.0446,33928200
2010-02-22,47.0304,47.1699,46.5804,46.8198,4.0489,32790600
2010-02-23,46.6596,47.1501,46.2798,46.9998,4.0644,46153800
2010-02-24,46.9998,47.34,46.6398,47.2797,4.1096,29479500
2010-02-25,46.5903,47.6001,46.2996,47.5299,4.1314,41621400
2010-02-26,47.4804,47.8197,46.9701,47.4597,4.1253,26195400
2010-03-01,47.7504,48.3399,47.6397,48.3201,4.2001,28586700
2010-03-02,48.3903,48.8898,48.1302,48.4704,4.2131,30943800
2010-03-03,47.5803,48.6702,47.43,47.9799,4.1705,33776100
2010-03-04,47.8098,48.1797,47.6001,48.06,4.1775,25968600
2010-03-05,48.2904,49.0599,48.2904,48.9699,4.2566,28179900
2010-03-08,49.1499,49.6296,48.8097,49.0302,4.2618,20457900
2010-03-09,48.87,50.0004,48.87,49.5198,4.3044,29178900
2010-03-10,49.4199,49.9797,48.9996,49.8897,4.3365,39405600
2010-03-11,49.6296,50.9796,49.6296,50.6799,4.4052,41865300
2010-03-12,50.9103,51.1596,50.5404,50.9796,4.4312,21461400
2010-03-15,50.8203,51.2496,50.6196,51.12,4.4434,26702100
2010-03-16,51.1398,51.6204,51.0003,51.5403,4.48,22990500
2010-03-17,51.5403,51.8004,50.9499,51.2298,4.453,23272200
2010-03-18,51.3198,51.9399,51.0399,51.8499,4.5069,27639000
2010-03-19,51.5097,52.4601,51.1497,51.5097,4.4773,33425100
2010-03-22,51.0399,52.1298,51.0003,51.8004,4.5026,18254700
2010-03-23,51.9696,52.0002,50.7402,51.75,4.4982,28452600
2010-03-24,51.57,51.5898,50.7204,51.1002,4.4417,21191400
2010-03-25,51.7203,52.3296,51.1101,51.1803,4.4487,30698100
2010-03-26,51.3198,51.4503,50.4999,50.9904,4.4322,22098600
2010-03-29,51.4098,51.8004,51.0102,51.5097,4.4773,18704700
2010-03-30,51.66,51.8103,51.1299,51.3297,4.4617,31312800
2010-03-31,51.2001,51.39,50.5998,50.9004,4.4244,31056300
