date,open,high,low,close,adjusted_close,volume
2010-01-04,44.65,46.33,44.65,46.23,8.8224,4514800
2010-01-05,45.42,46.25,44.85,46.17,8.811,6313200
2010-01-06,46.25,46.46,45.77,45.97,8.7728,4633200
2010-01-07,45.77,45.77,44.61,45.56,8.6946,6752800
2010-01-08,45.23,45.48,44.51,45.46,8.6755,5024800
2010-01-11,46.3,46.34,43.55,44.29,8.4522,7786000
2010-01-12,43.49,43.56,42.9,43.14,8.2327,4062000
2010-01-13,43.36,43.94,42.53,43.86,8.3701,5404000
2010-01-14,44.0,44.45,43.36,43.81,8.3606,4032800
2010-01-15,43.75,43.89,42.77,42.99,8.2041,3718000
2010-01-19,42.88,43.88,42.88,43.84,8.3663,3827200
2010-01-20,43.0,43.5,42.34,43.26,8.2556,4386000
2010-01-21,43.45,44.24,42.75,42.99,8.2041,5875600
2010-01-22,42.85,43.12,41.83,41.95,8.0056,5751200
2010-01-25,42.44,43.14,42.16,42.32,8.0763,2984400
2010-01-26,41.66,41.96,41.16,41.31,7.8835,5162800
2010-01-27,40.78,41.15,39.11,39.75,7.5858,9936400
2010-01-28,39.98,40.23,38.35,39.0,7.4427,5558800
2010-01-29,39.39,39.95,38.01,38.27,7.3034,6362400
2010-02-01,38.87,39.95,38.86,39.94,7.6274,5766400
2010-02-02,40.09,41.15,39.28,40.98,7.826,7289200
2010-02-03,40.9,41.3,40.32,40.45,7.7248,3955600
2010-02-04,39.91,39.91,38.26,38.43,7.339,3502800
2010-02-05,38.43,38.5,37.22,38.45,7.3429,7260400
2010-02-08,38.47,38.78,37.63,37.66,7.192,5448400
2010-02-09,38.33,39.15,38.12,38.38,7.3295,6408000
2010-02-10,38.3,38.56,37.33,38.32,7.318,4379600
2010-02-11,38.26,39.12,37.99,39.04,7.4555,5689600
2010-02-12,38.34,39.6,38.11,39.5,7.5434,7223200
2010-02-16,40.12,41.04,40.12,40.83,7.7974,5854800
2010-02-17,40.94,41.08,39.85,40.39,7.7133,5468400
2010-02-18,40.29,41.0,40.06,40.94,7.8184,6501600
2010-02-19,40.87,41.69,40.61,41.32,7.8909,6856000
2010-02-22,42.25,42.89,41.0,41.13,7.8547,16485600
2010-02-23,40.86,41.15,39.65,39.72,7.5854,7316000
2010-02-24,39.89,40.59,39.85,40.16,7.6694,8075200
2010-02-25,39.4,40.64,39.0,40.43,7.721,5284000
2010-02-26,40.02,40.75,39.51,40.14,7.6656,8014800
2010-03-01,40.46,40.85,40.32,40.77,7.7859,5256000
