date,open,high,low,close,adjusted_close,volume
2010-01-04,45.64,46.8,45.64,46.8,21.3384,5765080
2010-01-05,46.82,47.65,46.27,47.33,21.58,8993324
2010-01-06,47.53,47.75,47.06,47.33,21.58,6270212
2010-01-07,47.32,47.48,45.42,45.54,20.7639,8054482
2010-01-08,45.61,46.88,45.07,46.86,21.3657,8537754
2010-01-11,47.15,47.18,45.79,46.48,21.1925,7103632
2010-01-12,47.5,48.49,46.86,47.2,21.5207,10575620
2010-01-13,47.5,48.95,47.34,48.78,22.2411,8025670
2010-01-14,48.54,48.77,47.87,48.11,21.9357,5474960
2010-01-15,47.98,48.55,47.57,47.92,21.849,6317748
2010-01-19,47.82,48.34,47.66,48.31,22.0268,5786594
2010-01-20,47.93,48.13,46.79,47.16,21.5025,6604394
2010-01-21,47.28,47.6,46.48,46.8,21.3384,8962934
2010-01-22,46.78,47.09,44.92,45.17,20.5952,11093836
2010-01-25,45.4,45.64,44.81,45.28,20.6453,7615052
2010-01-26,45.07,46.14,44.51,45.57,20.7775,7274292
2010-01-27,45.44,46.18,44.96,46.09,21.0146,6530740
2010-01-28,46.02,46.059,44.11,44.56,20.317,10325574
2010-01-29,44.84,45.59,43.58,43.66,19.9067,8996556
2010-02-01,43.8,44.69,43.67,44.69,20.3763,6345972
2010-02-02,44.64,45.27,44.08,45.17,20.5952,5989488
2010-02-03,44.66,45.3,44.53,45.17,20.5952,3605072
2010-02-04,44.75,44.83,43.12,43.12,19.6605,8287050
2010-02-05,43.0,43.7,42.08,43.66,19.9067,8956276
2010-02-08,43.32,44.3,43.29,43.74,19.9432,7368122
2010-02-09,45.23,46.66,44.89,46.49,21.197,17390812
2010-02-10,46.47,46.64,46.06,46.34,21.1286,8276970
2010-02-11,46.26,47.24,45.7905,47.16,21.5025,8110788
2010-02-12,46.5,47.335,46.09,47.16,21.5025,10075092
2010-02-16,47.35,48.34,46.81,47.43,21.6256,7406516
2010-02-17,47.62,47.62,46.99,47.19,21.5162,5900154
2010-02-18,47.23,47.43,47.01,47.3,21.5663,6124082
2010-02-19,47.21,47.75,47.04,47.51,21.6621,7719124
2010-02-22,47.78,47.78,46.94,47.33,21.58,7004232
2010-02-23,47.07,47.48,46.95,47.22,21.5299,6852884
2010-02-24,47.51,48.28,47.42,48.17,21.963,8552942
2010-02-25,47.38,48.17,47.01,48.16,21.9584,8585482
2010-02-26,48.14,48.23,47.74,48.13,21.9448,7802592
2010-03-01,48.48,50.5,48.16,50.48,23.0162,14395920
2010-03-02,50.56,51.31,50.56,51.01,23.2579,13258460
2010-03-03,51.1,51.17,49.68,49.84,22.7244,9115978
2010-03-04,49.78,50.1642,49.09,49.63,22.6287,7323198
2010-03-05,50.0,50.775,49.75,50.67,23.1029,5232516
2010-03-08,50.88,50.88,49.96,50.02,22.8065,6663746
2010-03-09,50.0,50.64,49.83,50.29,22.9296,5581486
2010-03-10,50.15,50.88,50.04,50.81,23.1667,5764880
2010-03-11,50.54,51.06,50.42,51.01,23.2579,5664738
2010-03-12,51.0951,51.0951,50.6804,50.8,23.1622,4135624
2010-03-15,50.72,50.92,50.34,50.85,23.1849,4662576
2010-03-16,50.95,51.27,50.8,51.26,23.3719,5143740
2010-03-17,51.35,52.02,51.35,51.62,23.536,4141534
2010-03-18,51.59,51.92,51.42,51.83,23.6318,3874248
2010-03-19,52.03,52.22,50.98,51.25,23.3673,10245046
2010-03-22,51.02,52.02,51.0,51.87,23.65,4240486
2010-03-23,52.1,52.63,51.66,52.52,23.9464,6509340
2010-03-24,52.4,52.68,51.89,51.92,23.6728,5459852
2010-03-25,52.16,52.32,51.4,51.46,23.4631,5899298
2010-03-26,51.42,51.7452,50.82,51.09,23.2944,4883304
2010-03-29,51.37,51.39,50.87,51.14,23.3172,3915492
2010-03-30,51.16,51.65,51.02,51.46,23.4631,3819668
2010-03-31,51.15,51.43,50.89,50.98,23.2442,4508848
2010-04-01,51.21,51.29,50.25,50.81,23.1667,5647708
2010-04-05,51.13,52.23,50.92,51.98,23.7002,7066758
2010-04-06,51.58,52.61,51.54,52.25,23.8233,4533990
2010-04-07,51.99,52.1,50.93,51.11,23.3035,6611028
2010-04-08,50.71,51.21,50.19,50.89,23.2032,4726356
2010-04-09,50.93,51.72,50.81,51.72,23.5816,4872066
2010-04-12,51.88,52.18,51.5,51.96,23.6911,5571122
2010-04-13,52.29,54.35,52.22,53.67,24.4707,14428656
2010-04-14,54.07,54.23,53.7175,53.93,24.5893,6373116
2010-04-15,53.73,53.79,53.26,53.66,24.4662,5555102
2010-04-16,53.61,53.786,52.7,52.77,24.0604,8633576
2010-04-19,52.08,52.21,51.07,52.05,23.7321,8351978
2010-04-20,52.53,53.09,52.15,53.02,24.1744,5381302
2010-04-21,52.84,52.87,52.32,52.77,24.0604,4558620
2010-04-22,52.25,53.78,51.94,53.69,24.4798,5197154
2010-04-23,53.89,53.99,52.9,53.33,24.3157,6360922
2010-04-26,53.54,53.73,53.07,53.2,24.2564,4689848
2010-04-27,52.94,53.17,51.39,51.49,23.4768,6648420
2010-04-28,51.62,51.73,50.47,50.98,23.2442,6562590
2010-04-29,51.2,52.44,51.17,52.05,23.7321,5186726
2010-04-30,51.49,52.5399,51.11,51.11,23.3035,4886290
2010-05-03,51.25,52.14,51.02,52.02,23.7184,6223498
2010-05-04,53.3,53.3,50.75,51.8,23.6181,13717158
2010-05-05,51.45,51.49,47.73,50.99,23.2488,9840920
2010-05-06,50.68,51.135,45.95,48.75,22.2275,11161594
2010-05-07,48.0,49.03,46.5,47.52,21.6666,14828240
2010-05-10,48.99,51.8,48.31,51.8,23.6181,12632634
2010-05-11,51.07,52.23,50.25,51.42,23.4448,9732394
2010-05-12,51.43,52.5,51.3,52.49,23.9327,8575260
2010-05-13,52.45,52.89,51.69,51.76,23.5999,5391438
2010-05-14,51.45,51.48,48.94,49.89,22.7472,11085336
2010-05-17,50.05,50.315,48.16,49.43,22.5375,9112384
2010-05-18,50.02,50.36,48.75,48.94,22.3141,5659166
2010-05-19,48.56,49.35,47.75,48.53,22.1271,7546490
2010-05-20,47.23,48.01,46.48,46.98,21.4204,12100166
2010-05-21,46.16,49.51,45.85,49.49,22.5649,15525868
2010-05-24,48.8,49.375,48.47,48.62,22.1682,10663632
2010-05-25,47.12,49.06,46.81,49.05,22.3642,9167982
2010-05-26,49.41,50.5,48.69,48.89,22.2913,6988126
2010-05-27,49.93,50.76,49.67,50.76,23.1439,5446024
2010-05-28,50.46,50.79,49.62,50.04,22.8156,5799154
2010-06-01,48.8,50.43,48.79,49.14,22.4053,5287798
2010-06-02,49.18,50.991,48.64,50.99,23.2488,6345956
2010-06-03,50.99,52.37,50.9,52.24,23.8187,10501136
2010-06-04,51.21,52.03,50.1,50.2425,22.908,9371744
2010-06-07,50.3,50.75,49.51,49.62,22.6241,6617480
2010-06-08,49.48,49.81,48.53,49.78,22.6971,8142726
2010-06-09,49.93,50.93,49.61,49.82,22.7153,6108160
2010-06-10,50.84,51.51,50.35,51.44,23.454,6125580
2010-06-11,50.67,51.88,50.58,51.79,23.6135,2964044
2010-06-14,52.16,53.39,52.07,52.125,23.7663,6163636
2010-06-15,52.2,53.83,52.18,53.77,24.5163,6901972
2010-06-16,53.35,54.2,53.16,53.99,24.6166,6839196
2010-06-17,54.25,54.25,53.22,53.68,24.4753,5875128
2010-06-18,53.67,54.56,53.36,53.57,24.4251,7400658
2010-06-21,54.31,54.81,53.0,53.34,24.3203,6338082
2010-06-22,53.54,53.73,52.18,52.38,23.8825,6742096
2010-06-23,52.53,52.78,51.77,52.2,23.8005,5507390
2010-06-24,51.88,52.3,51.43,51.7,23.5725,5571524
2010-06-25,52.14,53.65,51.75,52.58,23.9737,15751074
2010-06-28,52.69,53.34,52.35,52.87,24.106,8232240
2010-06-29,51.56,52.07,50.03,50.55,23.0482,7080716
2010-06-30,50.37,51.31,49.8299,50.06,22.8247,8839682
2010-07-01,49.96,50.57,49.26,50.33,22.9479,11059190
2010-07-02,50.9,50.9,49.1,49.38,22.5147,7158972
2010-07-06,49.98,50.35,48.98,49.57,22.6013,7322646
2010-07-07,49.85,51.79,49.55,51.7,23.5725,8107056
2010-07-08,52.21,53.36,52.1,52.74,24.0467,8834928
2010-07-09,52.65,53.505,52.57,53.46,24.375,4818496
2010-07-12,53.28,53.94,52.94,53.24,24.2747,5243930
2010-07-13,52.45,54.69,52.44,53.83,24.5437,12217242
2010-07-14,54.17,54.22,53.5,53.79,24.5254,6073150
2010-07-15,53.73,54.25,53.25,54.16,24.6941,6791852
2010-07-16,53.78,54.4,52.48,52.63,23.9965,7680342
2010-07-19,52.77,54.0,52.77,53.85,24.5528,4848658
2010-07-20,52.74,54.49,52.5,54.46,24.8309,6302990
2010-07-21,54.77,54.77,52.85,53.07,24.1972,6767986
2010-07-22,53.56,54.29,53.27,54.1,24.6668,6804038
2010-07-23,53.84,55.38,53.57,55.34,25.2322,8705062
2010-07-26,55.44,55.6685,54.85,55.31,25.2185,5142430
2010-07-27,55.69,56.08,54.41,54.73,24.954,5871708
2010-07-28,54.52,54.96,54.1,54.33,24.7716,3328388
2010-07-29,54.73,55.24,53.1601,53.94,24.5938,6236298
2010-07-30,53.16,54.94,53.16,54.56,24.8765,5517958
2010-08-02,55.51,55.91,54.69,55.42,25.2686,8157266
2010-08-03,61.86,63.94,59.85,60.62,27.6396,22204280
2010-08-04,60.59,61.75,60.47,61.57,28.0727,6842442
2010-08-05,60.5,61.27,60.3225,61.0,27.8128,6819924
2010-08-06,60.06,61.0,59.54,60.93,27.7809,6657838
