date,open,high,low,close,adjusted_close,volume
2010-01-04,32.43,33.055,32.38,32.98,24.2389,14676760
2010-01-05,32.93,33.03,32.66,32.85,24.1434,7512495
2010-01-06,32.45,32.98,32.36,32.56,23.9302,11319570
2010-01-07,32.6,33.87,32.56,33.76,24.8122,17940189
2010-01-08,33.67,34.41,33.51,34.0,24.9886,21856500
2010-01-11,34.18,34.18,33.74,33.93,24.9371,9829141
2010-01-12,33.86,33.97,33.43,33.56,24.6652,11744950
2010-01-13,33.37,34.1,33.22,33.97,24.9665,11407180
2010-01-14,33.79,34.05,33.64,33.95,24.9518,9664710
2010-01-15,33.95,34.14,33.62,33.91,24.9224,14319970
2010-01-19,33.83,34.06,33.69,33.95,24.9518,8592811
2010-01-20,33.83,34.035,33.52,33.85,24.9426,9541285
2010-01-21,33.8,33.97,33.12,33.24,24.4931,12078100
2010-01-22,33.07,33.82,32.7,33.24,24.4931,10972000
2010-01-25,33.45,33.45,33.0,33.04,24.3458,7404019
2010-01-26,32.94,33.19,32.76,32.81,24.1763,7440231
2010-01-27,32.68,33.04,32.24,32.47,23.9258,10626610
2010-01-28,32.58,33.26,32.29,32.33,23.8226,13972160
2010-01-29,32.45,33.0,32.33,32.37,23.8521,11500550
2010-02-01,32.57,32.95,32.43,32.92,24.2573,7311072
2010-02-02,32.99,33.61,32.62,33.38,24.5963,9421125
2010-02-03,32.7,33.03,32.34,32.42,23.8889,13361740
2010-02-04,32.42,32.42,31.13,31.15,22.9531,15838190
2010-02-05,31.13,31.5,30.36,31.07,22.8942,25372779
2010-02-08,33.92,33.92,32.36,32.72,24.11,36928391
2010-02-09,33.21,33.25,32.39,32.72,24.11,15547480
2010-02-10,32.76,32.85,32.33,32.73,24.1173,8070780
2010-02-11,32.72,33.29,32.65,33.21,24.471,10368130
2010-02-12,33.15,33.32,32.76,32.99,24.3089,10772280
2010-02-16,33.14,33.63,33.04,33.52,24.6995,7642359
2010-02-17,33.73,34.15,33.62,33.99,25.0458,9118356
2010-02-18,34.0,34.25,33.86,34.12,25.1416,8455312
2010-02-19,34.08,34.42,33.8,34.31,25.2816,7935604
2010-02-22,34.41,34.49,34.12,34.22,25.2153,6978999
2010-02-23,34.1,34.24,33.64,34.15,25.1637,10181970
2010-02-24,34.21,34.53,34.15,34.51,25.4289,7588476
2010-02-25,34.01,34.53,33.87,34.0,25.0531,13222080
2010-02-26,34.03,34.07,33.65,33.75,24.8689,12715310
2010-03-01,33.87,34.48,33.79,34.41,25.3553,11964020
2010-03-02,34.47,34.75,34.36,34.66,25.5395,9878124
2010-03-03,34.53,34.98,34.47,34.74,25.5984,8414172
2010-03-04,34.83,35.09,34.6,34.87,25.6942,10790770
2010-03-05,34.92,35.16,34.73,35.03,25.8121,6873618
2010-03-08,35.09,35.16,34.7716,34.83,25.6647,4710595
2010-03-09,34.77,35.0,34.56,34.68,25.5542,6657514
2010-03-10,34.65,35.01,34.54,34.85,25.6795,6590364
2010-03-11,34.82,34.9,34.43,34.66,25.5395,8628483
2010-03-12,34.74,34.82,34.44,34.63,25.5174,6330027
2010-03-15,34.57,34.87,34.34,34.73,25.591,5649928
2010-03-16,34.73,35.0984,34.61,34.93,25.7384,7861139
2010-03-17,34.98,35.4,34.82,35.21,25.9447,7652680
2010-03-18,35.31,35.31,34.94,35.09,25.8563,7255888
2010-03-19,35.16,35.26,34.23,34.55,25.4584,16437910
2010-03-22,34.48,35.28,34.33,35.19,25.93,13114230
2010-03-23,35.4,36.0,35.22,35.92,26.4679,11595180
2010-03-24,35.91,36.1,35.42,35.51,26.1658,10334440
2010-03-25,35.71,36.55,35.68,36.42,26.8363,15191140
2010-03-26,36.49,37.0,36.49,36.79,27.109,14978360
2010-03-29,36.81,37.14,36.51,37.07,27.3153,13183220
2010-03-30,37.07,37.32,36.89,37.03,27.2858,8150790
2010-03-31,36.91,36.97,36.48,36.56,26.9395,7802099
2010-04-01,36.12,36.51,36.06,36.23,26.6963,14386920
2010-04-05,36.26,36.3,35.86,36.01,26.5342,9694508
2010-04-06,35.88,36.01,35.71,35.85,26.4163,7201132
2010-04-07,35.83,35.85,35.54,35.66,26.2763,8613659
2010-04-08,35.61,36.72,35.57,36.47,26.8732,13671980
2010-04-09,36.35,37.26,36.35,37.23,27.4332,11278700
2010-04-12,36.92,37.2,36.85,36.98,27.249,9311744
2010-04-13,36.85,37.25,36.59,37.18,27.3963,8166053
2010-04-14,37.06,37.32,36.89,37.26,27.4553,9405220
2010-04-15,37.17,37.69,37.03,37.37,27.5364,10481840
2010-04-16,37.28,37.72,37.12,37.14,27.3669,13512140
2010-04-19,36.98,37.21,36.7,37.03,27.2858,7793934
2010-04-20,37.05,37.43,37.05,37.2,27.4111,7342854
2010-04-21,37.24,37.4,36.59,36.9,27.2541,9747679
2010-04-22,36.89,37.08,36.6,36.83,27.2024,7917137
2010-04-23,36.8,37.1,36.52,37.01,27.3354,8982557
2010-04-26,36.92,37.12,36.76,36.87,27.232,10711380
2010-04-27,36.71,37.0125,36.2,36.26,26.7814,11387770
2010-04-28,36.39,37.47,36.35,37.11,27.4092,15631230
2010-04-29,37.31,37.62,37.205,37.26,27.52,8509109
2010-04-30,37.14,37.82,36.86,36.92,27.2689,12805970
2010-05-03,36.99,37.43,36.67,37.08,27.3871,9473124
2010-05-04,36.59,37.39,36.27,36.48,26.9439,10297550
2010-05-05,36.33,36.885,35.9,36.06,26.6337,9594784
2010-05-06,36.01,36.3,33.54,35.24,26.0281,14949710
2010-05-07,35.18,35.5,33.93,34.86,25.7474,15890280
2010-05-10,35.92,36.24,35.69,36.17,26.715,9066965
2010-05-11,35.93,36.41,35.65,35.75,26.4047,8790960
2010-05-12,35.82,36.38,35.67,36.32,26.8257,6643189
