date,open,high,low,close,adjusted_close,volume
2010-01-04,78.2,79.2,78.16,79.06,44.9882,10173800
2010-01-05,79.22,79.62,78.72,79.62,45.3069,10593700
2010-01-06,79.44,80.0,79.19,79.63,45.3126,11014600
2010-01-07,79.36,79.7,78.97,79.33,45.1419,9626900
2010-01-08,79.12,79.47,78.89,79.47,45.2215,5624300
2010-01-11,80.17,81.09,80.06,80.88,46.0239,11916800
2010-01-12,79.52,80.45,79.47,80.41,45.7564,12175200
2010-01-13,80.27,80.41,79.09,79.8,45.4093,10842200
2010-01-14,79.63,79.8,79.15,79.55,45.2671,6721000
2010-01-15,79.54,79.69,78.28,79.23,45.085,13482300
2010-01-19,78.96,79.75,78.57,79.68,45.341,8722200
2010-01-20,78.71,78.93,77.65,78.15,44.4704,8703800
2010-01-21,78.15,78.18,76.06,76.24,43.3835,12573200
2010-01-22,75.98,76.59,74.43,74.59,42.4446,13825000
2010-01-25,75.15,75.27,74.09,74.55,42.4219,9129700
2010-01-26,74.08,74.88,73.7,74.15,42.1942,10558200
2010-01-27,73.94,74.36,73.13,73.7,41.9382,13373200
2010-01-28,73.97,74.18,72.32,73.24,41.6764,12828800
2010-01-29,73.53,74.07,71.75,72.12,41.0391,15265600
2010-02-01,72.7,73.74,72.14,73.58,41.8699,11828500
2010-02-02,73.74,74.58,73.0,74.45,42.365,12947600
2010-02-03,74.18,74.36,73.05,73.21,41.6594,14540300
2010-02-04,72.56,72.83,71.06,71.37,40.6123,15248400
2010-02-05,71.0,71.24,69.55,71.18,40.5042,17307000
2010-02-08,71.24,71.45,70.13,70.13,39.9067,11595600
2010-02-09,70.89,72.03,70.82,71.31,40.5782,13051900
2010-02-10,71.02,71.23,70.0,70.75,40.2595,11618700
2010-02-11,70.72,72.11,70.31,71.73,40.8172,11273800
2010-02-12,70.54,71.3,70.17,71.01,40.7942,13809100
2010-02-16,71.99,73.32,71.93,72.99,41.9317,14230800
2010-02-17,73.22,73.43,72.46,72.84,41.8455,8728000
2010-02-18,72.69,73.72,72.34,73.62,42.2936,9848000
2010-02-19,73.44,74.38,73.21,74.05,42.5406,13113200
2010-02-22,74.17,74.22,72.79,72.96,41.9144,8683400
