date,open,high,low,close,adjusted_close,volume
2010-01-04,1.3,1.3422,1.26,1.32,1.32,52162
2010-01-05,1.29,1.45,1.29,1.33,1.33,213336
2010-01-06,1.36,1.48,1.32,1.38,1.38,127554
2010-01-07,1.41,1.58,1.4,1.58,1.58,192465
2010-01-08,1.64,1.8099,1.57,1.8,1.8,194694
2010-01-11,1.85,2.0,1.69,1.85,1.85,203109
2010-01-12,1.8,1.85,1.7,1.8,1.8,80313
2010-01-13,1.8,1.8,1.73,1.79,1.79,60313
2010-01-14,1.8,1.8,1.77,1.77,1.77,16035
2010-01-15,1.75,2.02,1.74,1.92,1.92,184098
2010-01-19,1.96,2.05,1.96,1.99,1.99,88650
2010-01-20,1.99,2.05,1.9,1.96,1.96,37428
2010-01-21,2.0,2.0,1.81,1.8512,1.8512,59134
2010-01-22,1.88,1.93,1.76,1.78,1.78,34714
2010-01-25,1.77,1.92,1.7199,1.81,1.81,87392
2010-01-26,1.8,1.8,1.7542,1.8,1.8,12056
2010-01-27,1.8,1.87,1.8,1.84,1.84,8579
2010-01-28,1.81,1.9,1.6801,1.85,1.85,36348
2010-01-29,1.88,1.88,1.75,1.754,1.754,26008
2010-02-01,1.73,1.9,1.69,1.86,1.86,35218
2010-02-02,1.86,1.92,1.79,1.87,1.87,79435
2010-02-03,1.89,1.89,1.77,1.8,1.8,16527
2010-02-04,1.82,1.82,1.69,1.74,1.74,108509
2010-02-05,1.78,1.8,1.67,1.68,1.68,22691
2010-02-08,1.69,1.69,1.54,1.6501,1.6501,18963
2010-02-09,1.67,1.74,1.65,1.67,1.67,19193
2010-02-10,1.7,1.83,1.681,1.83,1.83,25090
2010-02-11,1.79,1.9,1.7501,1.87,1.87,23758
2010-02-12,1.81,1.87,1.8,1.87,1.87,11900
2010-02-16,1.85,1.8581,1.79,1.83,1.83,12072
2010-02-17,1.77,1.84,1.73,1.75,1.75,13461
2010-02-18,1.71,1.79,1.71,1.75,1.75,15454
2010-02-19,1.78,1.78,1.7381,1.78,1.78,6949
2010-02-22,1.75,1.8,1.71,1.8,1.8,12264
2010-02-23,1.7997,1.7997,1.75,1.75,1.75,4413
2010-02-24,1.75,1.83,1.72,1.8,1.8,28670
2010-02-25,1.74,1.82,1.7,1.75,1.75,15566
2010-02-26,1.77,1.83,1.73,1.74,1.74,11400
2010-03-01,1.78,1.84,1.72,1.77,1.77,22832
2010-03-02,1.8,1.8,1.71,1.77,1.77,13935
2010-03-03,1.75,1.85,1.75,1.84,1.84,22191
2010-03-04,1.8,1.84,1.79,1.79,1.79,1957
2010-03-05,1.8,1.9,1.78,1.8,1.8,39915
2010-03-08,1.81,1.96,1.81,1.93,1.93,79452
2010-03-09,1.95,1.96,1.9,1.94,1.94,51934
2010-03-10,1.9,2.0,1.9,1.98,1.98,43457
2010-03-11,1.98,1.99,1.9,1.95,1.95,16454
2010-03-12,1.91,1.99,1.81,1.87,1.87,48668
2010-03-15,2.11,2.11,1.8725,1.94,1.94,135219
2010-03-16,1.94,2.03,1.8801,2.03,2.03,30093
2010-03-17,2.03,2.1,1.9999,2.0201,2.0201,73650
2010-03-18,2.02,2.09,1.93,2.05,2.05,42623
2010-03-19,2.08,2.08,1.78,1.86,1.86,159210
2010-03-22,1.86,1.94,1.82,1.85,1.85,62443
2010-03-23,1.9,2.1,1.88,2.0603,2.0603,103584
2010-03-24,2.07,2.11,1.9925,2.11,2.11,67143
2010-03-25,2.14,2.15,1.99,2.11,2.11,34344
2010-03-26,2.1,2.1,2.0,2.04,2.04,17999
2010-03-29,2.0,2.0699,2.0,2.0,2.0,18751
2010-03-30,2.03,2.09,2.01,2.01,2.01,20100
2010-03-31,2.03,2.05,2.01,2.024,2.024,8121
2010-04-01,2.03,2.05,2.0,2.004,2.004,19694
2010-04-05,2.0,2.06,2.0,2.06,2.06,16014
2010-04-06,2.05,2.08,2.03,2.05,2.05,48071
2010-04-07,2.04,2.05,2.02,2.02,2.02,18729
2010-04-08,2.02,2.05,2.02,2.02,2.02,44650
2010-04-09,2.02,2.1,2.01,2.02,2.02,17456
2010-04-12,2.01,2.05,2.01,2.04,2.04,32686
2010-04-13,2.04,2.04,1.78,1.82,1.82,169994
2010-04-14,1.86,1.96,1.84,1.91,1.91,52621
2010-04-15,1.93,1.96,1.89,1.89,1.89,13964
2010-04-16,1.91,1.95,1.85,1.85,1.85,16908
2010-04-19,1.88,1.93,1.85,1.92,1.92,18688
2010-04-20,1.91,1.93,1.75,1.93,1.93,46489
2010-04-21,1.94,1.97,1.87,1.95,1.95,14889
2010-04-22,1.97,2.1,1.9201,2.1,2.1,152655
2010-04-23,2.06,2.1,2.0236,2.05,2.05,45164
2010-04-26,2.08,2.1,2.03,2.03,2.03,24027
2010-04-27,2.04,2.13,2.04,2.08,2.08,43278
2010-04-28,2.08,2.12,2.06,2.07,2.07,65302
2010-04-29,2.12,2.12,2.08,2.11,2.11,32219
2010-04-30,2.12,2.15,2.03,2.03,2.03,61556
2010-05-03,2.09,2.19,2.07,2.16,2.16,40886
2010-05-04,2.11,2.23,2.07,2.15,2.15,145330
2010-05-05,2.13,2.2,2.08,2.15,2.15,74683
2010-05-06,2.15,2.17,2.12,2.17,2.17,80126
2010-05-07,2.2,2.23,2.01,2.21,2.21,41833
2010-05-10,2.25,2.25,2.09,2.16,2.16,71212
2010-05-11,2.01,2.082,1.87,2.05,2.05,36128
2010-05-12,2.11,2.11,1.95,1.95,1.95,32714
2010-05-13,1.96,1.97,1.86,1.91,1.91,37894
2010-05-14,1.88,1.91,1.85,1.89,1.89,12778
2010-05-17,1.9,1.95,1.87,1.9,1.9,15391
2010-05-18,1.95,1.95,1.85,1.94,1.94,12431
2010-05-19,1.91,1.91,1.8285,1.85,1.85,14399
2010-05-20,1.78,1.93,1.78,1.8,1.8,35839
2010-05-21,1.79,1.88,1.79,1.8,1.8,11734
2010-05-24,1.77,1.89,1.76,1.82,1.82,8241
2010-05-25,1.79,1.89,1.78,1.83,1.83,14835
2010-05-26,1.9,1.9,1.8,1.89,1.89,22431
2010-05-27,1.9,1.91,1.83,1.9,1.9,37314
2010-05-28,1.9,1.9,1.83,1.86,1.86,15973
2010-06-01,1.82,1.88,1.82,1.8795,1.8795,7040
2010-06-02,1.88,1.88,1.8,1.87,1.87,17099
2010-06-03,1.85,1.9,1.85,1.9,1.9,2387
2010-06-04,1.91,1.93,1.89,1.92,1.92,15800
2010-06-07,1.95,1.95,1.8501,1.95,1.95,17177
2010-06-08,1.91,1.9181,1.78,1.78,1.78,33145
2010-06-09,1.78,1.82,1.75,1.75,1.75,25499
2010-06-10,1.73,1.9,1.6999,1.76,1.76,76343
2010-06-11,1.76,1.79,1.74,1.75,1.75,8163
2010-06-14,1.74,1.74,1.65,1.68,1.68,23499
2010-06-15,1.67,1.73,1.65,1.72,1.72,21073
2010-06-16,1.72,1.75,1.7199,1.72,1.72,6640
2010-06-17,1.72,1.75,1.42,1.48,1.48,156146
2010-06-18,1.48,1.49,1.3,1.35,1.35,203769
2010-06-21,1.35,1.46,1.35,1.38,1.38,43829
2010-06-22,1.42,1.51,1.39,1.5,1.5,29314
2010-06-23,1.52,1.52,1.5,1.52,1.52,22793
2010-06-24,1.48,1.6,1.45,1.52,1.52,30755
2010-06-25,1.52,1.59,1.51,1.51,1.51,32443
2010-06-28,1.54,1.56,1.52,1.53,1.53,84800
2010-06-29,1.59,1.6,1.47,1.49,1.49,81208
2010-06-30,1.51,1.62,1.51,1.62,1.62,72123
2010-07-01,1.6399,1.6399,1.54,1.59,1.59,38210
2010-07-02,1.6,1.62,1.6,1.61,1.61,4105
2010-07-06,1.59,1.78,1.59,1.77,1.77,41540
2010-07-07,1.73,2.02,1.58,1.75,1.75,97108
2010-07-08,1.84,1.97,1.8,1.9399,1.9399,57891
2010-07-09,1.9,1.9499,1.9,1.9,1.9,18228
