date,open,high,low,close,adjusted_close,volume
2010-01-04,11.22,11.43,10.95,11.22,9.8946,14487470
2010-01-05,11.32,12.34,11.29,12.1,10.6707,25067330
2010-01-06,11.99,12.24,11.85,12.11,10.6795,14981620
2010-01-07,12.06,12.86,12.05,12.69,11.191,19816680
2010-01-08,12.62,12.85,12.05,12.47,10.997,24589660
2010-01-11,12.34,12.89,12.13,12.79,11.2792,16222900
2010-01-12,12.67,12.91,12.31,12.54,11.0587,12905460
2010-01-13,12.53,12.96,12.41,12.85,11.3321,11763730
2010-01-14,12.72,13.31,12.69,13.17,11.6143,12026930
2010-01-15,13.18,13.33,12.59,12.74,11.2351,9128933
2010-01-19,12.8,13.29,12.79,13.03,11.4908,9838292
2010-01-20,12.97,13.49,12.69,13.41,11.8259,20133711
2010-01-21,13.5,13.69,13.15,13.44,11.8524,24672930
2010-01-22,13.31,13.73,12.91,13.29,11.7201,22280449
2010-01-25,13.38,13.6425,12.95,13.33,11.7554,19302520
2010-01-26,12.78,13.4,12.7,13.15,11.5967,16292080
2010-01-27,13.01,13.44,12.82,13.16,11.6055,24582260
2010-01-28,13.23,13.54,12.63,12.65,11.1557,17088869
2010-01-29,12.8,13.16,12.19,12.23,10.7853,19297680
2010-02-01,12.37,12.64,12.32,12.63,11.1381,9733464
2010-02-02,12.8,13.07,12.66,12.9,11.3762,12952090
2010-02-03,12.91,12.91,12.32,12.42,10.9529,9609502
2010-02-04,11.79,12.03,11.32,11.46,10.1063,17073689
2010-02-05,11.41,11.73,10.93,11.3,9.9652,20004551
2010-02-08,11.31,11.6,11.14,11.25,9.9211,9296343
2010-02-09,11.53,12.55,11.53,12.39,10.9264,23979609
2010-02-10,12.27,12.33,11.49,11.58,10.2121,19464930
2010-02-11,11.65,12.22,11.58,11.83,10.4326,14521720
2010-02-12,11.69,12.265,11.57,12.25,10.803,12769520
2010-02-16,12.33,12.62,12.3,12.48,11.0058,7986631
2010-02-17,12.33,12.8,12.33,12.73,11.2263,10321610
2010-02-18,12.61,12.82,12.41,12.55,11.0675,7200067
2010-02-19,12.48,12.74,12.48,12.69,11.191,4816924
