date,open,high,low,close,adjusted_close,volume
2010-01-04,28.2,29.19,27.8,29.18,22.8607,11897253
2010-01-05,29.0,30.53,29.0,30.48,23.8792,13197639
2010-01-06,30.98,31.66,30.78,31.02,24.3022,15435795
2010-01-07,31.01,31.3,30.67,31.04,24.3179,7254844
2010-01-08,30.76,31.34,30.4,31.15,24.4041,5432631
2010-01-11,31.64,31.64,30.48,30.76,24.0986,7205170
2010-01-12,30.4,31.09,30.19,30.86,24.1769,7219152
2010-01-13,30.83,31.17,30.14,30.75,24.0907,4414061
2010-01-14,30.54,30.84,30.34,30.53,23.9184,3733656
2010-01-15,30.54,30.54,29.75,29.99,23.4953,6774963
2010-01-19,29.72,30.72,29.72,30.68,24.0359,4273961
2010-01-20,30.56,30.57,29.81,30.36,23.7852,5998441
2010-01-21,30.27,30.4,28.63,28.67,22.4612,9931708
2010-01-22,28.48,28.91,27.74,27.76,21.7483,7956679
2010-01-25,28.19,28.67,28.1,28.41,22.2575,5777541
2010-01-26,28.11,28.75,27.9,28.09,22.0068,5329208
2010-01-27,28.12,28.3,27.51,28.24,22.1243,6918787
2010-01-28,28.41,28.46,27.04,27.37,21.4427,6652288
2010-01-29,27.7,28.42,27.09,27.09,21.2234,8916300
2010-02-01,27.52,28.66,27.4,28.63,22.4298,9631906
2010-02-02,27.91,28.38,26.74,27.5699,21.5994,19673221
2010-02-03,27.7,28.08,27.07,27.58,21.6072,9518435
2010-02-04,27.15,27.33,26.43,26.61,20.8473,10375827
2010-02-05,26.41,27.0,25.57,26.52,20.7768,15368415
2010-02-08,26.52,26.92,25.86,26.18,20.5104,10514451
2010-02-09,26.54,28.0,26.41,27.79,21.7718,14286751
2010-02-10,27.56,27.82,27.08,27.51,21.5524,7914944
2010-02-11,27.44,27.97,27.04,27.86,21.8266,6596431
2010-02-12,27.39,28.13,27.05,27.79,21.7718,7033593
2010-02-16,28.03,28.5,27.86,28.48,22.3123,6060833
2010-02-17,28.48,28.93,28.32,28.74,22.516,6035679
2010-02-18,28.74,29.62,28.63,29.54,23.1428,7224070
2010-02-19,29.31,29.6,29.0,29.23,22.8999,7147977
2010-02-22,29.4,29.61,29.01,29.36,23.0018,4995469
2010-02-23,29.17,29.4,28.6,28.88,22.6257,6042284
2010-02-24,29.02,29.25,28.64,29.0,22.7197,6359582
2010-02-25,28.22,28.43,27.88,28.32,22.187,7994128
2010-02-26,28.38,28.75,28.19,28.31,22.1792,5483500
2010-03-01,28.43,28.8,28.33,28.69,22.4768,6419163
2010-03-02,29.07,29.23,28.81,28.88,22.6257,7377027
2010-03-03,29.01,29.98,28.86,29.61,23.1976,8362997
2010-03-04,29.7099,29.97,29.36,29.56,23.1585,6447899
2010-03-05,29.73,30.34,29.7099,30.0,23.5032,6929045
2010-03-08,29.95,30.09,29.44,29.5,23.1115,4970035
2010-03-09,29.39,29.6,29.08,29.22,22.892,5957760
2010-03-10,29.2,29.55,28.9,29.06,22.7667,5914269
2010-03-11,28.94,29.4,28.61,29.4,23.0331,5343119
2010-03-12,29.6799,30.22,29.53,29.84,23.3778,6436025
2010-03-15,29.74,30.0201,29.58,30.0,23.5032,6333023
2010-03-16,30.07,30.57,29.91,30.44,23.8478,7538768
2010-03-17,30.51,30.62,30.3,30.43,23.84,6966213
2010-03-18,30.44,30.59,29.86,30.0,23.5032,7060924
2010-03-19,28.95,30.2,28.95,28.95,22.6806,11351748
2010-03-22,28.59,29.73,28.4,29.59,23.182,7668329
2010-03-23,29.62,29.98,29.25,29.97,23.4797,7832598
2010-03-24,29.69,30.64,29.6,30.36,23.7852,8795662
2010-03-25,30.41,30.76,29.82,29.88,23.4091,9574151
2010-03-26,29.85,30.52,29.66,30.06,23.5502,6369629
2010-03-29,30.03,30.21,29.27,29.52,23.2431,7286391
2010-03-30,29.5,30.08,29.39,29.76,23.432,4054678
2010-03-31,29.64,29.94,29.43,29.57,23.2825,4879258
2010-04-01,29.89,30.43,29.81,30.31,23.8651,6988556
2010-04-05,30.28,31.09,30.25,30.99,24.4005,5793350
2010-04-06,30.78,31.46,30.6601,31.16,24.5344,6906421
2010-04-07,30.97,31.22,30.58,30.79,24.2431,5705524
2010-04-08,30.52,30.87,30.3,30.73,24.1958,5040576
2010-04-09,30.72,30.9,30.56,30.78,24.2351,3993972
2010-04-12,30.7,31.08,30.58,30.74,24.2037,3940082
2010-04-13,30.56,30.7,30.24,30.6,24.0935,5061303
2010-04-14,30.73,31.2,30.6601,31.2,24.5659,5179833
2010-04-15,31.18,31.53,30.9,31.32,24.6603,5913285
2010-04-16,31.18,31.38,30.42,30.54,24.0462,7483472
2010-04-19,30.39,30.79,30.0,30.77,24.2273,5161636
2010-04-20,30.78,30.9,30.19,30.36,23.9045,8128747
2010-04-21,30.44,30.47,29.91,30.31,23.8651,5681425
2010-04-22,29.96,30.36,29.27,30.28,23.8415,7348080
2010-04-23,30.41,31.19,30.33,31.16,24.5344,7731142
2010-04-26,31.25,31.6,31.13,31.33,24.6682,5500222
2010-04-27,31.33,31.43,29.99,30.07,23.6761,8997451
2010-04-28,31.02,31.96,30.73,31.83,25.0619,11627592
2010-04-29,31.8499,32.05,31.5,31.82,25.054,8809925
