date,open,high,low,close,adjusted_close,volume
2019-09-19,40.35,41.44,36.03,37.55,37.55,22073189
2019-09-20,38.59,39.2,36.15,36.15,36.15,3330000
2019-09-23,36.58,38.15,35.75,36.11,36.11,2250000
2019-09-24,36.01,37.12,34.06,34.5,34.5,3210000
2019-09-25,34.6,35.6,34.2,35.25,35.25,3030000
2019-09-26,36.0,36.29,32.3,32.44,32.44,2660000
2019-09-27,33.0,33.51,30.47,32.27,32.27,2480000
2019-09-30,32.64,34.2,32.0,33.91,33.91,1390000
2019-10-01,34.25,34.48,31.25,32.39,32.39,1290000
2019-10-02,31.65,31.9,30.01,31.1,31.1,1880000
2019-10-03,31.18,34.8,30.5,32.89,32.89,2440000
2019-10-04,33.05,35.08,32.8,34.72,34.72,920600
2019-10-07,34.9,37.97,34.4,36.81,36.81,1990000
2019-10-08,36.5,36.7,34.92,35.45,35.45,1220000
2019-10-09,35.85,37.49,35.61,36.75,36.75,1170000
2019-10-10,36.75,37.35,35.15,35.6,35.6,1350000
2019-10-11,35.93,36.48,35.37,35.67,35.67,2170000
2019-10-14,35.65,36.25,32.95,33.09,33.09,2200000
2019-10-15,33.17,34.85,32.51,34.8,34.8,1470000
2019-10-16,33.56,33.77,31.9,32.2,32.2,1990000
2019-10-17,32.3,34.16,32.3,33.96,33.96,1490000
2019-10-18,33.84,33.88,31.46,31.57,31.57,1310000
2019-10-21,31.9,32.1,29.7,30.01,30.01,1980000
2019-10-22,30.05,30.31,28.01,28.04,28.04,1970000
2019-10-23,27.9,29.25,27.55,28.76,28.76,2780000
2019-10-24,29.16,33.46,29.15,32.5,32.5,3820000
2019-10-25,32.86,34.5,32.4,34.3,34.3,2120000
2019-10-28,35.0,35.44,33.11,33.28,33.28,1910000
2019-10-29,33.19,34.08,32.6,33.65,33.65,716800
2019-10-30,33.79,34.87,33.38,34.81,34.81,920110
2019-10-31,34.82,34.99,33.12,33.59,33.59,966130
2019-11-01,33.7,34.48,33.63,34.02,34.02,806280
2019-11-04,34.53,34.87,33.36,34.44,34.44,870610
2019-11-05,34.5,35.25,33.21,34.91,34.91,1020000
2019-11-06,34.56,34.76,32.89,33.06,33.06,1260000
2019-11-07,33.3,33.74,31.0,31.29,31.29,1020000
2019-11-08,31.11,32.83,30.26,32.81,32.81,932120
2019-11-11,32.76,34.0,32.36,33.55,33.55,1670000
2019-11-12,33.81,35.2,33.8,34.4,34.4,3260000
2019-11-13,38.82,41.92,38.25,40.19,40.19,10610000
2019-11-14,40.18,41.72,39.38,41.37,41.37,2570000
2019-11-15,41.75,42.96,40.43,40.63,40.63,2120000
2019-11-18,40.72,41.48,39.75,40.32,40.32,1150000
2019-11-19,40.45,40.88,37.53,39.15,39.15,1890000
2019-11-20,38.83,39.94,37.6,38.4,38.4,1160000
2019-11-21,38.24,40.17,38.18,40.03,40.03,1420000
2019-11-22,41.35,42.7,39.71,41.04,41.04,2670000
2019-11-25,41.5,44.09,41.47,42.81,42.81,2300000
2019-11-26,43.1,43.7,39.81,40.55,40.55,1790000
2019-11-27,40.8,42.2,39.72,41.86,41.86,1280000
2019-11-29,41.82,42.2,40.56,40.77,40.77,574800
2019-12-02,41.11,41.32,37.84,39.6,39.6,2050000
2019-12-03,37.58,38.72,37.5,37.77,37.77,2120000
2019-12-04,38.0,38.25,36.09,36.92,36.92,1660000
2019-12-05,36.83,36.83,35.81,35.86,35.86,2030000
2019-12-06,35.93,36.33,35.6,35.91,35.91,2880000
2019-12-09,34.63,36.04,34.1,35.16,35.16,3170000
2019-12-10,34.33,36.25,34.26,34.81,34.81,5370000
2019-12-11,34.81,35.68,33.06,35.55,35.55,3370000
2019-12-12,35.45,36.61,35.14,35.73,35.73,2070000
2019-12-13,36.2,39.13,36.01,38.79,38.79,4400000
2019-12-16,38.91,39.02,37.13,38.79,38.79,2940000
2019-12-17,37.86,38.24,36.02,37.18,37.18,5170000
2019-12-18,37.66,38.75,36.81,38.21,38.21,3150000
2019-12-19,37.51,38.44,37.5,38.1,38.1,1520000
2019-12-20,37.71,38.87,37.6,38.51,38.51,3420000
2019-12-23,38.85,39.64,37.41,37.8,37.8,2280000
2019-12-24,37.72,37.8,36.62,37.09,37.09,783630
2019-12-26,37.3,38.2,37.0,37.96,37.96,1380000
2019-12-27,37.9,37.95,35.61,36.11,36.11,3470000
