date,open,high,low,close,adjusted_close,volume
2010-01-04,14.87,14.88,14.5,14.61,11.2404,7553003
2010-01-05,14.8,15.16,14.65,15.1,11.6174,7766321
2010-01-06,14.85,15.04,14.85,15.0,11.5405,5550155
2010-01-07,14.95,15.18,14.85,15.09,11.6097,6492466
2010-01-08,15.11,15.15,14.9,15.03,11.5636,4458268
2010-01-11,15.14,15.17,14.75,14.84,11.4174,4381772
2010-01-12,14.72,14.97,14.68,14.91,11.4712,6586938
2010-01-13,14.95,15.09,14.67,15.01,11.5482,4991776
2010-01-14,15.05,15.14,14.83,14.97,11.5174,9027948
2010-01-15,14.92,15.09,14.56,14.76,11.3558,10835580
2010-01-19,14.66,14.87,14.64,14.86,11.4328,6135279
2010-01-20,14.79,15.0,14.58,14.82,11.402,7563511
2010-01-21,14.8,14.865,14.22,14.23,10.9481,10771520
2010-01-22,14.18,14.19,13.44,13.46,10.3557,14728790
2010-01-25,13.88,14.05,13.32,13.48,10.371,10756990
2010-01-26,13.4,13.75,13.27,13.47,10.3634,7833981
2010-01-27,13.47,13.88,13.24,13.82,10.6326,9979879
2010-01-28,13.99,13.99,13.24,13.51,10.3941,8617391
2010-01-29,13.61,13.94,13.54,13.68,10.5249,7098988
2010-02-01,13.73,13.8,13.21,13.32,10.248,8491498
2010-02-02,13.62,13.86,13.52,13.8,10.6172,6514614
2010-02-03,13.77,13.81,13.25,13.3,10.2326,5784973
2010-02-04,13.15,13.33,12.87,12.9,9.9248,7729877
2010-02-05,12.92,13.03,12.58,13.01,10.0094,6965062
2010-02-08,12.98,13.07,12.72,12.76,9.8171,7750926
2010-02-09,12.92,13.18,12.77,13.03,10.0248,4938137
2010-02-10,13.04,13.13,12.78,12.92,9.9402,5152507
2010-02-11,12.91,13.07,12.78,13.04,10.0325,5211863
2010-02-12,12.91,13.06,12.8,13.03,10.0248,5822191
2010-02-16,13.18,13.58,13.1,13.55,10.4249,8679270
2010-02-17,13.69,13.69,13.46,13.53,10.4095,4843135
2010-02-18,13.55,13.62,13.44,13.56,10.4326,2845485
2010-02-19,13.5,13.69,13.49,13.67,10.5172,4207744
2010-02-22,13.71,14.1,13.65,13.84,10.648,6748623
2010-02-23,13.77,13.82,13.46,13.47,10.3634,6324284
2010-02-24,13.48,13.69,13.45,13.63,10.4865,4646688
2010-02-25,13.44,13.48,13.21,13.46,10.3557,4652156
2010-02-26,13.46,13.66,13.4,13.65,10.5018,3699233
2010-03-01,13.7,13.72,13.54,13.61,10.4711,2834289
2010-03-02,13.62,13.97,13.62,13.9,10.6942,5153003
2010-03-03,13.93,14.15,13.78,13.78,10.6019,4299043
2010-03-04,13.76,13.85,13.67,13.77,10.5942,4542895
2010-03-05,13.9,14.29,13.83,14.17,10.9019,6882705
2010-03-08,14.15,14.19,14.05,14.12,10.8634,5674173
2010-03-09,14.0,14.51,13.83,14.44,11.1096,6310381
2010-03-10,14.51,14.59,14.24,14.38,11.0635,5158988
2010-03-11,14.34,14.94,14.26,14.92,11.4789,7206471
2010-03-12,14.84,15.22,14.84,14.97,11.5174,10397370
2010-03-15,15.01,15.26,14.91,15.2,11.6944,6135401
2010-03-16,15.32,15.48,15.06,15.3,11.7713,5657141
2010-03-17,14.78,15.78,14.73,15.24,11.7251,10960100
2010-03-18,15.19,15.545,15.17,15.52,11.9406,6226109
2010-03-19,15.41,15.66,15.15,15.24,11.7251,9845390
2010-03-22,15.13,15.46,15.04,15.35,11.8098,6830563
2010-03-23,15.41,15.46,15.3,15.4,11.8482,5736587
2010-03-24,15.35,15.42,15.23,15.4,11.8482,4399723
2010-03-25,15.5,15.78,15.35,15.39,11.8405,5903550
2010-03-26,15.41,15.55,15.08,15.39,11.8405,6204104
2010-03-29,15.46,15.51,15.23,15.35,11.8098,6303083
2010-03-30,15.31,15.42,15.03,15.12,11.648,8058712
2010-03-31,15.08,15.18,14.86,14.9,11.4785,6788727
2010-04-01,15.06,15.38,15.04,15.34,11.8175,6391903
2010-04-05,15.32,15.725,15.32,15.58,12.0024,5924251
2010-04-06,15.52,15.52,15.24,15.38,11.8483,5937663
2010-04-07,15.42,15.67,15.1,15.17,11.6865,7316768
2010-04-08,15.14,15.44,15.06,15.41,11.8714,6309108
2010-04-09,15.47,15.66,15.38,15.5,11.9407,6542264
2010-04-12,15.55,15.68,15.28,15.6,12.0178,8856823
2010-04-13,15.6,15.695,15.42,15.6,12.0178,8007018
2010-04-14,15.61,16.12,15.5,16.04,12.3567,8388324
2010-04-15,16.59,16.59,16.03,16.12,12.4184,9330446
2010-04-16,16.07,16.11,15.21,15.36,11.8329,10846250
2010-04-19,15.21,15.71,15.14,15.67,12.0717,7841969
2010-04-20,15.82,15.9,15.595,15.86,12.2181,6998104
2010-04-21,15.85,15.87,15.445,15.66,12.064,5364015
2010-04-22,15.49,15.87,15.28,15.82,12.1872,6695271
2010-04-23,15.87,16.48,15.71,16.26,12.5262,8836371
2010-04-26,16.26,16.3,15.94,16.09,12.3952,5479217
2010-04-27,15.92,16.08,15.33,15.37,11.8406,8504545
2010-04-28,15.51,15.66,15.17,15.44,11.8945,6775681
2010-04-29,15.61,16.1,15.57,16.04,12.3567,7680756
2010-04-30,15.95,16.1417,15.43,15.46,11.9099,6356861
2010-05-03,15.59,16.18,15.57,16.1,12.4029,7529330
2010-05-04,15.78,15.98,15.25,15.34,11.8175,9233779
2010-05-05,15.25,15.4,14.81,14.94,11.5093,7486559
2010-05-06,14.86,15.185,13.42,14.41,11.101,10736510
2010-05-07,14.32,14.62,13.9,14.08,10.8468,8938729
2010-05-10,14.95,15.18,14.67,14.87,11.4554,7870756
2010-05-11,14.63,15.05,14.54,14.9,11.4785,11631560
2010-05-12,14.95,15.27,14.86,15.21,11.7173,6679409
2010-05-13,15.14,15.2825,14.76,14.79,11.3938,6817710
2010-05-14,14.29,14.57,14.11,14.24,10.9701,9035647
2010-05-17,14.34,14.61,13.84,14.21,10.9469,5736888
2010-05-18,14.39,14.44,13.31,13.46,10.3692,10613220
2010-05-19,13.36,13.84,13.29,13.6,10.477,10899500
2010-05-20,13.27,13.79,13.04,13.04,10.0456,8524617
2010-05-21,12.76,13.64,12.7,13.53,10.4231,9147552
2010-05-24,13.56,13.65,13.15,13.16,10.1381,5727422
2010-05-25,12.78,13.23,12.61,13.19,10.1612,7876731
2010-05-26,13.4,13.53,13.05,13.17,10.1458,8499033
2010-05-27,13.46,13.73,13.33,13.7,10.5541,6357824
2010-05-28,13.69,13.77,13.325,13.45,10.3615,5226196
2010-06-01,13.16,13.55,13.15,13.18,10.1535,6499820
2010-06-02,13.3,13.48,13.13,13.47,10.3769,6318549
2010-06-03,13.55,13.55,13.21,13.52,10.4154,5220034
2010-06-04,13.22,13.42,12.81,12.86,9.907,7628130
2010-06-07,12.93,13.03,12.38,12.43,9.5757,8096168
2010-06-08,12.41,12.69,12.11,12.64,9.7375,7367393
2010-06-09,12.75,13.04,12.5,12.57,9.6835,8480670
2010-06-10,12.74,13.65,12.73,13.6,10.477,13955110
2010-06-11,13.41,13.71,13.38,13.66,10.5232,6078001
2010-06-14,13.9,13.9,13.4,13.4,10.323,4073251
2010-06-15,13.56,13.95,13.48,13.92,10.7235,5698866
2010-06-16,13.81,14.1,13.71,14.08,10.8468,5998926
2010-06-17,14.09,14.23,13.8325,14.04,10.816,4010358
2010-06-18,14.1,14.21,13.95,14.0,10.7852,3846387
2010-06-21,14.16,14.36,13.9,13.99,10.7775,4949700
2010-06-22,14.05,14.27,13.81,13.84,10.6619,5407062
2010-06-23,13.84,14.05,13.69,14.01,10.7929,7400835
2010-06-24,14.3,14.73,14.05,14.08,10.8468,15010370
2010-06-25,14.18,14.72,14.07,14.52,11.1858,9360385
2010-06-28,14.58,14.91,14.4,14.76,11.3707,7330036
2010-06-29,14.53,14.6,13.68,13.8,10.6311,10792650
2010-06-30,13.79,14.34,13.76,13.98,10.7698,7998031
2010-07-01,14.08,14.15,13.33,13.92,10.7235,7849720
2010-07-02,13.94,14.12,13.52,13.84,10.6773,4544844
2010-07-06,14.0,14.32,13.625,13.9,10.7235,6348557
