date,open,high,low,close,adjusted_close,volume
2010-01-04,22.55,23.4,22.4,23.08,20.9074,437154
2010-01-05,23.0,23.26,22.96,23.26,21.0704,283580
2010-01-06,23.6,23.9,23.41,23.58,21.3603,968085
2010-01-07,23.55,23.78,23.4,23.74,21.5052,360678
2010-01-08,23.64,24.15,23.32,23.87,21.623,967234
2010-01-11,23.85,24.08,23.76,24.0,21.7408,253499
2010-01-12,23.85,24.0,23.56,23.95,21.6955,517638
2010-01-13,23.95,24.3981,23.81,24.3,22.0125,596251
2010-01-14,24.18,24.2,23.925,24.2,21.9219,201411
2010-01-15,24.44,24.5,24.1,24.36,22.0669,202208
2010-01-19,24.4,24.9,24.2301,24.55,22.239,679284
2010-01-20,24.51,24.8,24.25,24.51,22.2028,589726
2010-01-21,24.53,24.718,23.9001,23.98,21.7227,203284
2010-01-22,23.99,24.04,22.77,23.34,21.1429,892624
2010-01-25,23.64,23.64,23.06,23.35,21.152,119498
2010-01-26,23.4,23.68,23.32,23.53,21.315,165002
2010-01-27,23.6,23.6,23.37,23.55,21.3331,175298
2010-01-28,23.79,24.12,23.39,23.84,21.5958,131304
2010-01-29,24.0,24.0,23.23,23.49,21.2788,337724
2010-02-01,23.68,23.68,23.13,23.37,21.1701,407403
2010-02-02,23.33,23.72,23.19,23.63,21.4056,208269
2010-02-03,23.6,23.86,23.41,23.84,21.5958,827653
2010-02-04,23.64,23.75,22.35,22.47,20.3548,713948
2010-02-05,22.41,22.57,21.3,21.71,19.6663,1137095
2010-02-08,21.88,22.63,21.7601,22.39,20.2823,208183
2010-02-09,22.49,22.76,22.27,22.56,20.4363,220631
2010-02-10,22.38,22.38,21.87,22.05,19.9743,403804
2010-02-11,21.97,22.1799,21.945,22.06,19.9834,107513
2010-02-12,21.91,22.55,21.88,22.55,20.4273,125567
2010-02-16,22.65,23.07,22.27,23.03,20.8621,247978
2010-02-17,23.04,23.39,22.59,22.76,20.6175,189717
2010-02-18,22.64,23.5,22.5,23.28,21.0885,121315
2010-02-19,23.29,23.96,23.29,23.58,21.3603,187564
2010-02-22,23.5,23.52,23.09,23.24,21.0523,155478
2010-02-23,23.2,23.73,23.1,23.64,21.4147,134203
2010-02-24,23.81,24.35,23.75,24.16,21.8857,208378
2010-02-25,23.82,24.07,23.52,23.8,21.5596,257927
2010-02-26,23.91,23.96,23.51,23.89,21.6411,264921
2010-03-01,24.01,24.57,23.88,24.09,21.8223,271493
2010-03-02,24.13,24.3,23.77,24.04,21.777,279410
2010-03-03,24.0,24.1076,23.82,23.99,21.7317,114881
2010-03-04,24.02,24.4,23.99,24.2,21.9219,149803
2010-03-05,24.25,24.74,24.18,24.52,22.2118,189835
