date,open,high,low,close,adjusted_close,volume
2010-01-04,31.03,31.11,30.02,30.07,14.487,3896774
2010-01-05,30.17,30.31,29.52,29.99,14.4484,3807414
2010-01-06,29.85,30.24,29.7,29.81,14.3617,2699106
2010-01-07,29.83,30.33,29.52,30.22,14.5592,3581198
2010-01-08,30.14,30.47,30.1001,30.42,14.6556,2786664
2010-01-11,30.56,30.85,30.44,30.76,14.8194,2342912
2010-01-12,30.52,30.75,30.02,30.24,14.5689,2863161
2010-01-13,30.3,30.58,30.095,30.47,14.6797,4215566
2010-01-14,30.33,30.47,30.03,30.38,14.6363,2708763
2010-01-15,30.32,30.47,30.15,30.35,14.6219,3508797
2010-01-19,30.3,31.34,30.29,31.29,15.0747,4075492
2010-01-20,31.11,31.11,30.43,30.72,14.8001,3133464
2010-01-21,30.77,30.9,29.75,29.81,14.3617,4237410
2010-01-22,29.76,30.19,29.24,29.35,14.1401,4549674
2010-01-25,29.71,29.71,28.93,29.36,14.1449,2830154
2010-01-26,29.13,29.15,28.41,28.48,13.7209,4212082
2010-01-27,28.49,28.74,27.99,28.72,13.8366,4607664
2010-01-28,29.01,29.01,28.27,28.57,13.7643,3912554
2010-01-29,28.7,28.88,28.16,28.35,13.6583,5066124
2010-02-01,28.5,29.11,28.48,28.93,13.9377,2872073
2010-02-02,28.97,29.69,28.68,29.6,14.2605,3862183
2010-02-03,29.5,29.54,28.99,29.23,14.0823,2691469
2010-02-04,29.04,29.05,27.75,27.77,13.3789,7473404
2010-02-05,27.92,28.24,27.2618,28.03,13.5041,7006024
2010-02-08,28.1,28.18,27.18,27.28,13.1428,4122794
2010-02-09,27.06,27.29,26.7,27.06,13.2629,4486565
2010-02-10,27.0,27.85,26.83,27.58,13.5178,4246119
2010-02-11,27.5,28.11,27.32,28.04,13.7432,3619504
2010-02-12,27.52,27.75,27.21,27.54,13.4982,4746009
2010-02-16,27.99,29.01,27.82,28.94,14.1843,4291525
2010-02-17,29.1,29.49,29.07,29.3,14.3608,3201819
2010-02-18,29.17,29.94,29.04,29.76,14.5862,3278116
2010-02-19,29.58,30.06,29.37,29.88,14.6451,3181710
2010-02-22,29.94,29.97,29.45,29.57,14.4931,3469211
2010-02-23,29.53,29.75,28.97,29.0,14.2137,4233181
2010-02-24,29.06,29.38,29.0,29.38,14.4,3265056
2010-02-25,29.07,29.12,28.74,29.01,14.2186,4348084
2010-02-26,28.97,29.14,28.78,28.78,14.1059,5123811
2010-03-01,28.95,29.17,28.78,29.04,14.2333,3198439
2010-03-02,29.16,29.38,29.035,29.25,14.3363,4889256
2010-03-03,29.27,29.38,29.0,29.24,14.3314,2530883
2010-03-04,29.36,29.66,29.21,29.59,14.5029,2505360
2010-03-05,29.8,30.44,29.53,30.4,14.8999,3417301
2010-03-08,30.37,30.81,30.25,30.54,14.9685,2538773
2010-03-09,30.34,30.8,30.305,30.57,14.9832,2667642
2010-03-10,30.66,31.18,30.42,31.1,15.243,2985350
2010-03-11,30.94,31.71,30.8,31.67,15.5224,3628823
2010-03-12,31.72,32.17,31.65,32.13,15.7478,3328117
2010-03-15,31.33,32.25,31.02,32.13,15.7478,4138754
2010-03-16,32.18,33.12,32.09,33.01,16.1792,4013422
2010-03-17,33.21,33.89,33.04,33.8,16.5664,5019133
2010-03-18,33.38,33.77,33.23,33.5,16.4193,3655740
2010-03-19,33.56,33.76,33.07,33.11,16.2282,5159349
2010-03-22,32.93,34.1,32.85,33.98,16.6546,4203053
2010-03-23,33.6,34.1,33.39,33.83,16.5811,5120028
2010-03-24,33.77,34.23,33.66,33.88,16.6056,5243990
2010-03-25,34.13,34.37,33.57,33.57,16.4536,4377462
2010-03-26,33.72,34.01,33.22,33.37,16.3556,3779348
2010-03-29,33.53,33.65,32.95,33.13,16.238,3097397
2010-03-30,33.16,33.4,33.03,33.14,16.2429,3440516
2010-03-31,33.0,33.31,32.86,33.0,16.1743,3412354
2010-04-01,33.32,33.65,32.83,32.96,16.1547,3460170
2010-04-05,33.05,33.325,32.96,33.28,16.3115,3196085
2010-04-06,33.16,33.85,33.0,33.61,16.4732,3246962
2010-04-07,33.6,33.6,32.49,32.61,15.9831,3465460
2010-04-08,32.48,32.86,32.37,32.76,16.0566,3728381
2010-04-09,32.89,33.26,32.8,33.26,16.3017,2921838
2010-04-12,33.38,33.44,32.81,32.9,16.1252,2411535
2010-04-13,32.97,33.305,32.7237,33.08,16.2135,3408984
2010-04-14,33.1606,33.26,32.53,32.6,15.9782,3607981
2010-04-15,32.53,32.59,31.62,31.67,15.5224,3495451
2010-04-16,31.59,32.03,31.17,31.17,15.2773,7032278
2010-04-19,30.99,31.63,30.75,31.45,15.4146,4180731
2010-04-20,31.69,31.9,31.14,31.89,15.6302,3470954
2010-04-21,31.94,32.45,31.72,32.22,15.792,3837672
2010-04-22,31.93,32.93,31.74,32.78,16.0664,3134179
2010-04-23,32.86,33.15,32.49,33.09,16.2184,2250979
2010-04-26,32.92,34.0,32.92,33.66,16.4977,3853617
2010-04-27,32.85,33.51,32.05,32.17,15.7674,4453446
2010-04-28,32.49,32.65,32.11,32.27,15.8165,3161674
2010-04-29,32.06,32.98,31.96,32.89,16.356,2920598
2010-04-30,32.77,33.24,32.07,32.12,15.9731,3621833
2010-05-03,32.38,33.38,32.25,33.2,16.5102,3043834
2010-05-04,32.75,32.89,31.82,32.21,16.0179,4286193
2010-05-05,31.81,32.39,31.4,31.8,15.814,2924478
2010-05-06,31.62,31.89,28.53,30.91,15.3714,7524387
2010-05-07,30.73,31.59,29.96,31.02,15.4261,6838464
2010-05-10,32.62,33.78,32.39,33.72,16.7688,6058394
2010-05-11,33.27,34.21,33.14,33.76,16.7887,3924194
2010-05-12,33.75,34.115,33.53,33.98,16.8981,3470524
2010-05-13,33.81,34.06,33.44,33.47,16.6445,2942379
2010-05-14,33.1,33.32,32.2,32.59,16.2068,4097017
2010-05-17,32.79,33.22,31.7,32.63,16.2267,3087535
2010-05-18,33.02,33.16,31.74,31.85,15.8388,4818900
2010-05-19,31.68,32.29,30.94,31.64,15.7344,3711585
2010-05-20,30.77,31.17,29.97,30.01,14.9238,6012827
