date,open,high,low,close,adjusted_close,volume
2019-03-20,52.75,53.5,49.5,49.8,38.2167,2350838
2019-03-21,49.99,50.0,48.2,48.98,37.5875,1764671
2019-03-22,48.8,49.95,48.16,48.6,37.2959,844690
2019-03-25,48.6,49.4,48.0,49.15,37.7179,440892
2019-03-26,49.0,49.75,48.18,48.85,37.4877,504734
2019-03-27,49.0,50.78,49.0,50.1,38.447,1788588
2019-03-28,50.9,51.0,49.915,50.85,39.0225,585438
2019-03-29,49.52,52.48,49.18,51.63,39.6211,1769027
2019-04-01,52.3,54.39,51.25,53.5,41.0561,19663439
2019-04-02,55.12,57.39,54.3,56.25,43.1665,17414150
2019-04-03,57.08,57.2,55.51,56.88,43.65,15066170
2019-04-04,57.2,60.52,57.1,59.71,45.8217,13311870
2019-04-05,58.39,58.98,56.27,57.24,43.9262,17000789
2019-04-08,56.5,58.39,56.27,57.15,43.8572,10764570
2019-04-09,56.8,57.2,56.08,56.27,43.1819,9179922
2019-04-10,55.99,56.41,55.1,55.71,42.7521,9081860
2019-04-11,55.7,56.21,54.83,54.89,42.1228,7346094
2019-04-12,55.93,58.33,55.93,58.3,44.7397,9281662
2019-04-15,58.57,58.85,57.29,57.78,44.3406,5727269
2019-04-16,58.71,58.99,57.84,58.5,44.8932,6681567
2019-04-17,58.95,59.05,58.2,58.32,44.755,6420663
2019-04-18,58.36,58.61,57.55,57.77,44.333,5178855
2019-04-22,57.48,58.41,57.26,57.89,44.4251,4401749
2019-04-23,57.29,57.84,57.0,57.64,44.2332,5687232
2019-04-24,57.49,57.89,55.865,55.98,42.9593,5431323
2019-04-25,55.76,55.98,54.82,55.33,42.4605,6260460
2019-04-26,55.3,55.6,54.95,55.25,42.3991,4009795
2019-04-29,55.05,55.685,54.8,55.5,42.591,5935245
2019-04-30,55.76,57.205,55.6,56.73,43.5349,6454064
2019-05-01,56.82,57.48,55.88,56.13,43.0744,7644453
2019-05-02,55.54,56.49,52.03,52.7,40.4422,13932680
2019-05-03,53.2,53.35,51.72,53.3,40.9027,7401851
2019-05-06,52.15,54.03,51.7,53.46,41.0255,6089501
2019-05-07,52.86,53.325,52.65,52.95,40.6341,7330785
2019-05-08,53.33,53.395,52.31,52.48,40.2734,5390685
2019-05-09,52.26,53.14,51.55,52.93,40.6187,4579758
2019-05-10,52.94,53.7141,52.49,53.07,40.7262,4758371
2019-05-13,52.28,52.55,50.76,50.95,39.0993,4213102
2019-05-14,51.33,53.0,50.84,52.48,40.2734,4204519
2019-05-15,51.98,53.325,51.67,52.95,40.6341,2928861
2019-05-16,53.29,53.55,52.73,52.98,40.6571,3689745
2019-05-17,52.34,52.52,50.66,50.8,38.9842,4440775
2019-05-20,50.4,50.54,49.92,50.08,38.4316,5168422
2019-05-21,50.28,51.19,50.02,50.63,38.8537,4968460
2019-05-22,50.46,50.61,49.965,50.21,38.5314,3019120
2019-05-23,49.5,49.86,48.21,48.71,37.3803,4919173
2019-05-24,49.39,49.575,48.44,49.2,37.7563,2918936
2019-05-28,49.37,49.43,48.1,48.56,37.2652,6613184
2019-05-29,48.2,49.43,48.01,48.71,37.3803,3525856
2019-05-30,48.12,48.59,48.02,48.47,37.7384,3777607
2019-05-31,47.96,48.0,46.75,46.76,36.407,3396850
2019-06-03,46.85,47.96,46.85,47.96,37.3413,5905198
2019-06-04,48.68,49.93,48.64,49.93,38.8752,7043092
2019-06-05,50.49,50.57,49.0496,50.34,39.1944,6413509
2019-06-06,50.28,51.31,50.15,51.06,39.755,6228075
2019-06-07,51.13,51.69,50.87,51.3,39.9419,5391099
2019-06-10,51.72,52.1,51.58,51.62,40.191,5434387
2019-06-11,52.0,52.17,51.56,52.04,40.518,5144357
2019-06-12,52.06,52.64,51.68,52.49,40.8684,3103878
2019-06-13,52.68,52.95,52.04,52.88,41.172,4179766
2019-06-14,52.63,52.69,51.0,51.15,39.8251,3919484
2019-06-17,50.06,50.33,49.05,49.35,38.4236,5787336
2019-06-18,49.75,50.57,49.4,49.61,38.626,5014237
2019-06-19,49.95,50.24,48.33,48.5,37.7618,5404141
2019-06-20,49.095,49.59,48.62,48.93,38.0966,4228328
2019-06-21,48.82,49.27,48.31,48.36,37.6528,9478466
2019-06-24,48.51,49.7,48.32,49.58,38.6027,4602352
2019-06-25,49.49,50.2228,49.05,49.69,38.6883,4005218
2019-06-26,49.85,51.22,49.81,50.45,39.28,5244396
2019-06-27,50.61,51.14,50.5307,50.91,39.6382,4097246
2019-06-28,51.04,51.2,49.08,49.31,38.3925,6507386
2019-07-01,50.0,50.2,49.52,50.16,39.0543,4659633
2019-07-02,50.0,50.06,48.76,49.4,38.4625,4726195
2019-07-03,49.46,49.65,49.2,49.33,38.408,2479359
2019-07-05,49.01,49.37,48.96,49.31,38.3925,2529919
2019-07-08,49.34,49.5,48.385,48.52,37.7774,5936049
2019-07-09,48.3,48.43,47.5,47.87,37.2713,4967429
2019-07-10,48.34,48.42,47.52,47.55,37.0221,3507432
2019-07-11,47.73,48.06,47.18,47.78,37.2012,4202113
2019-07-12,48.46,50.04,48.08,49.71,38.7039,4328444
2019-07-15,49.77,50.95,49.66,50.93,39.6538,4923844
2019-07-16,50.95,52.6446,50.95,52.32,40.736,6011246
2019-07-17,52.16,52.3,51.23,51.6,40.1754,4417567
2019-07-18,51.55,52.05,51.28,51.75,40.2922,3662569
2019-07-19,51.77,51.83,51.5,51.52,40.1131,3221517
2019-07-22,51.504,51.57,50.6,50.88,39.6148,2815169
2019-07-23,51.0,52.9,50.95,52.62,40.9696,4387686
2019-07-24,52.5,52.99,52.04,52.79,41.102,3516493
2019-07-25,51.64,51.99,50.3,50.77,39.5292,4254577
2019-07-26,50.27,50.3,48.92,49.11,38.2367,5066020
2019-07-29,48.52,48.88,47.98,48.05,37.4114,4219839
2019-07-30,47.78,48.44,47.78,48.4,37.6839,4194314
2019-07-31,48.49,49.43,47.95,48.44,37.7151,5188502
2019-08-01,48.15,48.6,46.78,46.85,36.4771,5803209
2019-08-02,46.69,47.5,45.37,45.6,35.5039,5346434
2019-08-05,45.06,45.13,44.07,44.77,34.8576,5147308
