date,open,high,low,close,adjusted_close,volume
2010-01-04,43.9,44.22,43.44,43.54,22.0861,1670380
2010-01-05,43.41,43.79,42.74,43.05,21.8376,2499460
2010-01-06,43.05,43.6,43.02,43.23,21.9289,1799865
2010-01-07,43.22,43.31,42.61,42.83,21.726,1421985
2010-01-08,42.69,43.23,42.45,43.16,21.8934,1114840
2010-01-11,43.43,43.78,43.04,43.77,22.2028,1445015
2010-01-12,43.59,44.0401,43.31,43.73,22.1825,2752790
2010-01-13,43.97,44.18,43.79,44.12,22.3803,1315530
2010-01-14,44.1401,44.35,43.83,44.29,22.4666,1187925
2010-01-15,44.18,44.18,43.43,43.93,22.2839,1586955
2010-01-19,44.0401,44.4201,43.9399,44.33,22.4869,1320935
2010-01-20,43.84,44.05,43.34,43.88,22.2586,1771900
2010-01-21,43.78,44.17,42.68,42.85,21.7361,2405578
2010-01-22,42.81,42.87,42.01,42.0599,21.3353,2405108
2010-01-25,42.47,42.93,41.91,42.66,21.6397,1970123
2010-01-26,42.41,43.35,42.41,43.04,21.8325,1914780
2010-01-27,42.93,42.93,42.2499,42.75,21.6854,1268530
2010-01-28,42.81,42.83,42.2499,42.4,21.5078,1263360
2010-01-29,42.6,42.77,42.03,42.04,21.3252,1533258
2010-02-01,42.23,42.61,41.82,42.61,21.6143,1231870
2010-02-02,42.56,43.05,42.08,43.03,21.8274,954100
2010-02-03,42.94,43.04,42.51,42.68,21.6499,626393
2010-02-04,42.39,42.57,41.75,41.75,21.1781,1522565
2010-02-05,41.68,41.86,41.25,41.7799,21.1933,2456925
2010-02-08,41.84,42.01,41.43,41.4999,21.0513,1477328
2010-02-09,41.9701,42.58,41.5899,42.0,21.3049,1545948
2010-02-10,42.03,42.28,41.63,41.95,21.2796,1269823
2010-02-11,41.81,42.34,41.3099,42.33,21.4723,1041403
2010-02-12,41.98,42.12,41.6001,41.95,21.2796,1303545
2010-02-16,42.31,43.07,42.23,43.07,21.8477,968435
2010-02-17,43.2901,43.3,42.75,42.88,21.7513,1098038
2010-02-18,42.7199,43.61,42.7199,43.59,22.1115,1364293
2010-02-19,43.43,44.9,43.43,44.5999,22.6238,3291528
2010-02-22,44.68,44.99,44.47,44.62,22.634,1488725
2010-02-23,44.45,44.62,43.88,43.99,22.3144,2186088
2010-02-24,44.1299,44.33,43.5701,44.26,22.4514,1455120
2010-02-25,43.86,43.99,43.1899,43.9501,22.2941,1512108
2010-02-26,43.9501,44.1,43.35,43.42,22.0253,1457000
2010-03-01,43.71,44.37,43.6599,44.31,22.4767,1552058
2010-03-02,44.53,44.78,44.46,44.65,22.6492,1133640
2010-03-03,44.82,45.23,44.55,44.59,22.6187,1657808
2010-03-04,44.76,44.82,44.3201,44.7001,22.6746,1174413
2010-03-05,44.8901,45.14,44.68,45.04,22.847,1260893
2010-03-08,44.9799,45.1,44.78,44.84,22.7456,1360768
2010-03-09,44.6101,44.99,44.5101,44.94,22.7963,1840990
2010-03-10,44.91,44.95,44.38,44.81,22.7304,1577673
2010-03-11,44.72,44.91,44.57,44.91,22.7811,769155
2010-03-12,45.09,45.14,44.52,44.87,22.7608,872673
2010-03-15,44.76,45.09,44.72,45.06,22.8571,1168773
2010-03-16,45.0699,45.63,44.97,45.61,23.1361,1089108
2010-03-17,45.74,45.93,45.43,45.8199,23.2426,1492250
2010-03-18,45.21,45.3,45.03,45.14,23.1656,1368053
2010-03-19,45.1,45.3601,44.76,45.1,23.1451,1584605
2010-03-22,44.92,45.0801,44.74,44.96,23.0732,927310
2010-03-23,44.94,45.32,44.77,45.28,23.2375,1227053
2010-03-24,45.19,45.32,44.97,45.04,23.1143,2112650
2010-03-25,45.23,45.31,44.63,44.69,22.9346,1382505
2010-03-26,44.7001,45.04,44.4099,44.7001,22.9398,1321053
2010-03-29,44.8799,45.38,44.8,45.38,23.2888,860218
2010-03-30,45.34,45.5399,45.12,45.2,23.1964,1305308
2010-03-31,45.0699,45.1,44.4201,44.5999,22.8884,1805740
2010-04-01,44.7001,45.52,44.7001,45.38,23.2888,924490
2010-04-05,45.46,45.75,45.28,45.75,23.4787,796180
2010-04-06,45.52,46.4901,45.01,46.4799,23.8532,1099918
2010-04-07,46.4799,46.56,45.87,46.12,23.6685,731438
2010-04-08,46.07,46.08,45.7,45.88,23.5454,919908
2010-04-09,45.99,46.13,45.51,46.12,23.6685,809458
2010-04-12,46.3001,46.47,46.14,46.25,23.7352,750120
2010-04-13,46.24,46.25,45.7,46.03,23.6224,633678
2010-04-14,46.04,46.04,45.58,45.99,23.6018,1187573
2010-04-15,45.99,46.35,45.62,46.12,23.6685,1334095
2010-04-16,46.05,46.21,45.2,45.6401,23.4222,1780125
2010-04-19,45.49,46.08,45.49,45.9,23.5556,1469690
2010-04-20,46.17,46.3001,45.96,46.21,23.7147,1034705
2010-04-21,46.21,46.91,46.19,46.82,24.0278,1595180
2010-04-22,46.64,47.3299,46.44,47.26,24.2536,1442665
2010-04-23,47.3,47.98,47.01,47.93,24.5974,1348548
2010-04-26,47.82,47.97,47.51,47.55,24.4024,1027420
2010-04-27,47.32,47.68,46.72,46.87,24.0534,1362648
2010-04-28,47.21,48.49,47.01,48.29,24.7822,2242135
2010-04-29,48.45,48.79,48.01,48.07,24.6692,1802920
2010-04-30,48.2,48.78,48.0,48.1699,24.7205,1798220
2010-05-03,48.31,49.05,48.14,48.91,25.1003,1518570
2010-05-04,48.35,48.63,47.93,48.14,24.7052,2038978
2010-05-05,47.94,48.24,47.41,47.64,24.4486,1615743
2010-05-06,47.47,47.67,42.9999,46.55,23.8892,2867823
2010-05-07,46.52,46.88,45.49,45.69,23.4478,3092013
2010-05-10,47.26,47.59,46.65,47.4,24.3254,1644648
2010-05-11,46.98,48.31,46.83,47.72,24.4897,1261833
2010-05-12,47.76,48.1699,47.47,47.95,24.6077,1121890
2010-05-13,47.81,48.44,47.6,47.79,24.5255,1581785
2010-05-14,47.54,47.87,47.06,47.3,24.2741,1916660
2010-05-17,47.3,47.77,46.7599,47.6,24.428,1287213
2010-05-18,48.06,48.26,47.1,47.17,24.2074,1824775
2010-05-19,46.85,47.15,46.15,46.4901,23.8584,1023425
2010-05-20,45.51,46.15,45.0,45.1,23.1451,2189730
2010-05-21,44.48,45.39,44.19,45.39,23.2939,2326265
2010-05-24,44.93,45.53,44.76,44.86,23.0219,1030710
2010-05-25,43.9399,44.77,43.2901,44.74,22.9603,2398410
2010-05-26,44.96,45.38,44.4201,44.54,22.8577,1896685
2010-05-27,45.28,45.5399,44.87,45.49,23.3452,974428
2010-05-28,45.53,46.0,45.4,45.51,23.3555,1130115
2010-06-01,45.22,45.79,44.91,44.91,23.0476,1340440
2010-06-02,45.2,45.68,44.71,45.62,23.4119,2631178
2010-06-03,45.84,46.0201,45.37,45.9,23.5556,1577085
2010-06-04,45.09,45.32,44.25,44.4201,22.7961,1807268
2010-06-07,44.44,45.01,43.99,44.45,22.8115,1913605
2010-06-08,44.57,45.1701,44.16,45.0699,23.1296,2186793
2010-06-09,45.28,45.84,44.92,45.12,23.1553,2415918
2010-06-10,45.65,46.23,45.57,46.14,23.6788,1631135
2010-06-11,45.77,46.18,45.37,46.09,23.6531,1721023
2010-06-14,46.5,46.9,46.41,46.5,23.8636,1039170
2010-06-15,47.0,47.81,46.78,47.76,24.5102,1686008
2010-06-16,47.55,48.63,47.54,48.24,24.7565,1610690
2010-06-17,47.73,48.41,47.44,48.35,25.0885,2188673
2010-06-18,48.47,48.47,48.09,48.35,25.0885,1883525
2010-06-21,48.72,48.81,47.77,48.03,24.9224,796063
2010-06-22,48.11,48.19,46.85,47.01,24.3932,1033883
2010-06-23,46.9601,47.18,46.3001,46.51,24.1337,1284745
2010-06-24,46.4,47.09,46.31,46.52,24.1389,1305660
2010-06-25,46.5,46.85,45.94,46.53,24.1441,1238920
2010-06-28,46.54,46.9601,46.19,46.79,24.279,766453
2010-06-29,46.33,46.38,45.4501,45.62,23.6719,1313650
2010-06-30,45.6401,46.25,45.3601,45.61,23.6667,2342363
2010-07-01,45.46,45.81,44.93,45.0801,23.3917,1594828
2010-07-02,45.19,45.74,45.06,45.47,23.5941,1470160
2010-07-06,45.7,46.26,45.49,45.9201,23.8276,1265240
2010-07-07,46.09,47.36,45.86,47.35,24.5696,1669323
2010-07-08,47.62,47.75,47.22,47.4,24.5955,1302135
2010-07-09,47.35,47.77,47.09,47.73,24.7668,1125533
2010-07-12,47.54,47.92,47.31,47.67,24.7356,663288
2010-07-13,48.0,48.35,47.77,48.11,24.964,1085700
2010-07-14,47.95,48.02,47.48,47.92,24.8654,1463580
2010-07-15,47.9901,48.35,47.6099,48.24,25.0314,1262655
2010-07-16,48.1,48.13,47.04,47.13,24.4554,1603640
2010-07-19,47.1399,47.82,46.87,47.68,24.7408,844003
2010-07-20,46.88,47.78,46.61,47.76,24.7823,1881058
2010-07-21,47.87,47.87,46.53,46.83,24.2998,1617388
2010-07-22,47.09,47.83,47.02,47.6999,24.7512,1198970
2010-07-23,47.72,48.09,47.34,48.06,24.938,943173
2010-07-26,48.2,48.39,47.91,48.39,25.1093,1324578
2010-07-27,48.51,49.0,48.2701,48.97,25.4102,3223965
2010-07-28,48.8,48.97,48.45,48.67,25.2545,1345375
2010-07-29,48.95,49.06,47.84,48.16,24.9899,1250435
2010-07-30,45.6,47.2401,45.6,46.16,23.9521,3980665
2010-08-02,46.59,46.94,46.0,46.52,24.1389,2372678
2010-08-03,46.3001,46.51,46.13,46.28,24.0144,1744993
