date,open,high,low,close,adjusted_close,volume
2010-01-04,17.21,17.29,16.91,16.97,27.0528,4152133
2010-01-05,17.01,17.01,16.63,16.69,26.6064,3872367
2010-01-06,16.66,16.86,16.64,16.75,26.7021,3486567
2010-01-07,16.77,16.86,16.7,16.83,26.8296,2376033
2010-01-08,16.74,16.84,16.68,16.84,26.8455,1654100
2010-01-11,16.85,17.05,16.83,17.01,27.1165,2195633
2010-01-12,16.98,17.11,16.89,17.03,27.1484,2650933
2010-01-13,17.09,17.19,16.91,17.07,27.2122,3035233
2010-01-14,17.11,17.14,16.95,17.07,27.2122,1919767
2010-01-15,16.88,17.06,16.68,16.9,26.9412,4349933
2010-01-19,16.99,17.1,16.84,17.09,27.2441,1858233
2010-01-20,17.01,17.01,16.74,16.93,26.989,2628600
2010-01-21,16.94,16.99,16.64,16.68,26.5905,3958200
2010-01-22,16.68,16.79,16.52,16.55,26.3832,3927200
2010-01-25,16.7,16.72,16.48,16.66,26.5586,2257600
2010-01-26,16.67,16.86,16.56,16.81,26.7977,2827167
2010-01-27,16.78,16.8,16.58,16.74,26.6861,2935833
2010-01-28,16.77,16.78,16.55,16.62,26.4948,2354533
2010-01-29,16.74,16.75,16.52,16.53,26.3513,3044200
2010-02-01,16.56,16.65,16.41,16.65,26.5426,1872000
2010-02-02,16.59,16.78,16.43,16.76,26.718,2775333
2010-02-03,16.77,16.77,16.58,16.64,26.5267,1572467
2010-02-04,16.61,16.67,16.37,16.37,26.0963,2519867
2010-02-05,16.4,16.45,16.13,16.32,26.0166,2997767
2010-02-08,16.35,16.55,16.25,16.32,26.0166,3194633
2010-02-09,16.42,16.86,16.35,16.56,26.3992,5056200
2010-02-10,16.36,16.47,16.15,16.22,26.2374,3547300
2010-02-11,16.16,16.29,16.02,16.21,26.2212,3105300
2010-02-12,16.16,16.27,16.04,16.15,26.1242,3110933
2010-02-16,16.27,16.43,16.21,16.25,26.2859,3638967
2010-02-17,16.33,16.35,16.1,16.18,26.1727,2367333
2010-02-18,16.15,16.33,16.12,16.33,26.4154,2296733
2010-02-19,16.3,16.63,16.21,16.61,26.8683,2960900
2010-02-22,16.65,16.65,16.4,16.43,26.5771,2671900
2010-02-23,16.43,16.49,16.33,16.35,26.4477,2054267
2010-02-24,16.35,16.49,16.24,16.45,26.6095,2645867
2010-02-25,16.34,16.39,16.2,16.38,26.4962,2568067
2010-02-26,16.35,16.47,16.3,16.35,26.4477,2503333
2010-03-01,16.41,16.52,16.34,16.49,26.6742,1792633
2010-03-02,16.61,16.61,16.4,16.44,26.5933,2048367
2010-03-03,16.44,16.56,16.36,16.4,26.5286,2228000
2010-03-04,16.38,16.46,16.23,16.33,26.4154,2274500
2010-03-05,16.34,16.46,16.3,16.46,26.6256,2139467
2010-03-08,16.49,16.54,16.42,16.53,26.7389,1036567
2010-03-09,16.49,16.52,16.43,16.47,26.6418,1229633
2010-03-10,16.46,16.53,16.4,16.47,26.6418,1694667
2010-03-11,16.47,16.5,16.39,16.48,26.658,1922700
2010-03-12,16.5,16.52,16.32,16.33,26.4154,1662567
2010-03-15,16.35,16.47,16.3,16.46,26.6256,1733367
2010-03-16,16.53,16.64,16.43,16.61,26.8683,2024833
2010-03-17,16.71,16.71,16.58,16.62,26.8845,2271800
2010-03-18,16.55,16.71,16.55,16.58,26.8197,2631400
2010-03-19,16.58,16.76,16.46,16.58,26.8197,3889233
2010-03-22,16.53,16.55,16.36,16.44,26.5933,2342400
2010-03-23,16.43,16.47,16.36,16.46,26.6256,1852967
2010-03-24,16.45,16.46,16.3,16.32,26.3992,2082067
2010-03-25,16.34,16.41,16.27,16.3,26.3668,1783367
2010-03-26,16.36,16.43,16.28,16.42,26.5609,1550000
2010-03-29,16.45,16.59,16.42,16.59,26.8359,1765700
2010-03-30,16.58,16.66,16.37,16.4,26.5286,2962267
2010-03-31,16.39,16.43,16.31,16.32,26.3992,1997867
