date,open,high,low,close,adjusted_close,volume
2010-01-04,59.12,60.05,59.09,59.92,29.96,1910240
2010-01-05,60.09,60.29,59.23,59.41,29.705,1540922
2010-01-06,59.49,59.52,58.81,59.06,29.53,1299426
2010-01-07,58.82,59.6,58.51,59.57,29.785,1526374
2010-01-08,59.79,61.21,59.59,61.0,30.5,2442410
2010-01-11,61.0,62.1,60.56,61.79,30.895,2373666
2010-01-12,61.63,62.16,60.81,61.26,30.63,1530806
2010-01-13,61.3,62.31,61.24,62.17,31.085,781944
2010-01-14,61.97,62.48,61.83,62.15,31.075,840020
2010-01-15,61.91,62.02,61.33,61.66,30.83,924016
2010-01-19,61.68,62.74,61.56,62.7,31.35,1059458
2010-01-20,62.7,63.41,62.0,62.45,31.225,1433124
2010-01-21,62.31,62.61,61.371,62.19,31.095,1931778
2010-01-22,61.81,62.52,60.55,60.73,30.365,2142122
2010-01-25,60.93,61.32,60.22,60.6,30.3,1510094
2010-01-26,60.5,60.87,60.45,60.6,30.3,1218500
2010-01-27,60.44,60.91,60.19,60.67,30.335,1336002
2010-01-28,60.97,61.21,59.77,60.1,30.05,1828692
2010-01-29,60.08,60.4,59.64,59.76,29.88,1333728
2010-02-01,60.08,60.52,59.37,60.43,30.215,1267736
2010-02-02,60.53,61.73,60.01,61.5,30.75,1549962
2010-02-03,61.01,61.26,60.63,61.04,30.52,1305394
2010-02-04,60.22,60.75,59.64,59.76,29.88,1679680
2010-02-05,59.63,60.56,59.48,60.43,30.215,2247158
2010-02-08,60.33,60.57,59.96,60.06,30.03,1416778
2010-02-09,60.47,61.5,60.36,61.2,30.6,2043314
2010-02-10,61.02,61.36,60.2301,60.82,30.41,1496052
2010-02-11,60.29,61.13,58.79,59.99,29.995,3061562
2010-02-12,59.75,60.0,58.56,58.98,29.49,2302176
2010-02-16,59.29,59.77,58.73,59.5,29.75,1622922
2010-02-17,59.87,60.92,59.7,60.35,30.175,2615798
2010-02-18,60.38,61.22,60.23,61.19,30.595,1570766
2010-02-19,60.95,61.88,60.7,61.61,30.805,1661002
2010-02-22,61.57,61.98,61.12,61.6,30.8,679344
2010-02-23,61.38,61.59,60.99,61.12,30.56,1559204
2010-02-24,61.35,61.75,60.95,61.67,30.835,2432034
2010-02-25,61.23,61.67,60.73,61.49,30.745,1984894
2010-02-26,61.66,62.04,61.33,61.61,30.805,1256836
2010-03-01,61.85,64.47,61.82,63.1,31.55,3258034
2010-03-02,62.95,63.81,62.7,63.54,31.77,1914186
2010-03-03,62.07,63.5,61.66,63.02,31.51,1741004
2010-03-04,63.23,63.56,62.95,63.52,31.76,1528096
2010-03-05,63.55,64.16,63.23,64.15,32.075,1567362
2010-03-08,64.15,64.55,62.53,62.56,31.28,3432014
2010-03-09,62.41,62.95,62.09,62.49,31.245,2356260
2010-03-10,62.4,62.65,60.76,60.9,30.45,4662536
2010-03-11,60.93,62.78,60.93,62.74,31.37,2436910
2010-03-12,62.76,62.76,62.2,62.37,31.185,1238014
2010-03-15,62.36,62.64,61.93,62.58,31.29,1130200
2010-03-16,62.56,62.76,62.02,62.67,31.335,875868
2010-03-17,62.67,63.46,62.4,63.39,31.695,1968064
2010-03-18,63.5,63.76,63.04,63.68,31.84,1151766
2010-03-19,63.73,63.85,63.23,63.37,31.685,1446562
2010-03-22,63.35,64.54,63.23,64.19,32.095,1202246
2010-03-23,64.36,64.36,63.3,63.82,31.91,1307404
2010-03-24,63.83,63.9,63.0,63.21,31.605,898572
2010-03-25,63.48,63.65,62.91,62.95,31.475,962238
2010-03-26,63.0,63.0,62.32,62.62,31.31,984432
2010-03-29,62.8,63.24,62.77,63.09,31.545,888858
2010-03-30,63.19,63.49,62.96,63.42,31.71,745846
2010-03-31,62.85,63.6,62.85,63.4,31.7,1237822
2010-04-01,63.66,64.12,63.25,63.64,31.82,993604
2010-04-05,63.87,64.2381,63.65,63.98,31.99,1224698
2010-04-06,63.59,64.16,63.59,63.97,31.985,1199792
2010-04-07,64.06,64.87,63.82,64.61,32.305,1544618
2010-04-08,64.35,64.63,63.91,64.53,32.265,1080068
2010-04-09,64.45,66.15,64.24,66.06,33.03,2613356
2010-04-12,65.94,66.81,65.5,65.67,32.835,1770316
2010-04-13,65.72,66.32,65.29,66.23,33.115,1691336
2010-04-14,66.12,66.19,64.97,65.21,32.605,1982772
2010-04-15,65.19,65.2,64.4,64.75,32.375,1257572
2010-04-16,64.66,65.11,64.06,64.5,32.25,1272908
2010-04-19,64.46,65.4,64.15,64.99,32.495,1705976
2010-04-20,65.29,65.65,64.59,65.63,32.815,1468642
2010-04-21,65.72,65.72,65.08,65.47,32.735,1227976
2010-04-22,65.16,65.3,64.19,64.65,32.325,1739932
2010-04-23,64.51,64.88,64.07,64.84,32.42,1671318
2010-04-26,65.02,65.16,64.46,64.86,32.43,1049520
2010-04-27,64.53,65.5,64.31,64.39,32.195,2221582
2010-04-28,60.99,64.02,60.95,63.54,31.77,6453656
2010-04-29,63.95,64.01,63.4603,63.96,31.98,2257758
2010-04-30,64.11,64.16,62.32,62.43,31.215,2983896
2010-05-03,62.51,63.3,62.51,63.29,31.645,2226412
2010-05-04,62.71,63.25,62.12,63.1,31.55,1848664
2010-05-05,63.02,63.91,63.02,63.61,31.805,2227950
2010-05-06,63.57,63.83,60.29,62.58,31.29,3181102
2010-05-07,62.05,62.3,60.92,61.15,30.575,3070792
2010-05-10,66.51,66.51,62.37,64.01,32.005,4441984
2010-05-11,63.39,63.86,63.23,63.66,31.83,1869748
2010-05-12,63.9,64.06,63.49,63.7,31.85,1733902
2010-05-13,63.71,64.04,63.26,63.54,31.77,1044986
2010-05-14,63.39,63.39,62.5,63.05,31.525,1344362
2010-05-17,63.29,63.93,62.74,63.73,31.865,1557074
2010-05-18,64.16,64.75,63.34,63.46,31.73,1521526
2010-05-19,63.43,63.93,63.2,63.7,31.85,1872908
2010-05-20,62.74,63.03,61.24,61.33,30.665,2469408
2010-05-21,59.8,61.32,59.35,61.28,30.64,3342260
2010-05-24,60.8,61.12,60.36,60.43,30.215,4153190
2010-05-25,59.38,60.89,58.95,60.89,30.445,3644422
2010-05-26,61.3,61.52,60.54,60.56,30.28,1927442
2010-05-27,61.39,63.215,61.39,63.17,31.585,3069626
2010-05-28,63.04,63.7,62.9,63.43,31.715,3763394
2010-06-01,62.8,64.14,62.67,63.0,31.5,3508592
2010-06-02,63.32,64.82,63.07,64.78,32.39,4008948
2010-06-03,64.96,65.65,64.85,65.38,32.69,3628070
2010-06-04,64.59,64.71,62.8,62.96,31.48,2605112
2010-06-07,63.1,63.82,62.59,62.64,31.32,2305606
2010-06-08,62.75,63.84,62.14,62.68,31.34,2878782
2010-06-09,62.99,63.27,62.14,62.33,31.165,2274754
2010-06-10,63.11,63.96,62.91,63.86,31.93,1534788
2010-06-11,63.689,64.72,63.49,64.72,32.36,1773390
2010-06-14,64.99,65.55,64.87,65.19,32.595,1886144
2010-06-15,65.33,65.74,65.24,65.6,32.8,2069480
2010-06-16,65.1,65.84,64.84,65.81,32.905,2391102
2010-06-17,65.88,66.61,65.59,66.58,33.29,1727024
2010-06-18,66.5,67.05,66.5,66.63,33.315,2698876
2010-06-21,66.78,66.96,64.61,64.92,32.46,2163116
2010-06-22,64.92,65.03,63.45,63.61,31.805,1314932
2010-06-23,63.3,63.53,62.5,63.24,31.62,1546016
2010-06-24,62.96,63.2997,62.61,62.75,31.375,1282910
2010-06-25,62.84,63.74,62.4,63.32,31.66,2309664
2010-06-28,63.59,64.02,62.77,63.73,31.865,1184816
2010-06-29,63.18,63.45,62.5,62.73,31.365,1722070
2010-06-30,62.73,63.44,62.34,62.44,31.22,2106298
2010-07-01,62.53,62.55,60.67,61.72,30.86,2075234
2010-07-02,61.77,61.8,60.69,61.1,30.55,1589714
2010-07-06,61.79,61.79,59.7,60.39,30.195,6207364
2010-07-07,60.44,60.77,59.95,60.76,30.38,3085480
2010-07-08,60.99,61.4,59.67,59.97,29.985,3631246
2010-07-09,60.02,60.3,59.69,60.13,30.065,2002226
2010-07-12,60.01,60.6437,60.0,60.5,30.25,1271914
2010-07-13,60.83,61.78,60.52,61.52,30.76,2485116
2010-07-14,61.29,61.97,60.88,61.33,30.665,1793146
2010-07-15,61.42,62.06,60.81,61.23,30.615,2759034
2010-07-16,60.82,61.18,59.9,60.0,30.0,2019242
2010-07-19,60.27,60.5,59.58,59.8,29.9,1306370
2010-07-20,59.15,60.05,59.05,60.05,30.025,1434888
2010-07-21,60.19,60.19,58.08,58.39,29.195,2580084
2010-07-22,58.91,59.3,57.76,58.01,29.005,2986928
2010-07-23,57.96,58.06,56.58,56.83,28.415,5728826
2010-07-26,57.27,61.09,57.0,60.86,30.43,4422252
2010-07-27,61.16,62.86,60.28,60.52,30.26,5370768
2010-07-28,60.41,60.62,58.9,59.27,29.635,3331724
