date,open,high,low,close,adjusted_close,volume
2010-01-04,75.31,76.79,74.85,76.57,54.4704,4226907
2010-01-05,76.72,76.74,75.88,76.65,54.5273,3711479
2010-01-06,76.58,76.7,75.5,76.42,54.3637,3225740
2010-01-07,75.91,76.11,75.06,75.97,54.0436,2836097
2010-01-08,75.41,76.24,74.74,76.12,54.1503,2496129
2010-01-11,75.7,76.0,74.36,75.08,53.4104,2811856
2010-01-12,74.06,74.48,73.44,74.19,52.7773,2567479
2010-01-13,74.28,75.35,73.35,75.07,53.4033,2131248
2010-01-14,75.13,75.29,73.525,73.97,52.6208,2867730
2010-01-15,73.51,74.04,72.2,73.03,51.9521,3400333
2010-01-19,72.62,73.63,72.3,73.57,52.3363,2198810
2010-01-20,72.35,72.35,70.78,72.04,51.2478,2905491
2010-01-21,72.18,72.86,71.32,71.43,50.8139,2963796
2010-01-22,71.5,71.72,69.1,69.3,49.2987,3269533
2010-01-25,69.91,71.5,69.69,70.97,50.4867,2756482
2010-01-26,70.01,71.28,69.03,69.76,49.6259,3628792
2010-01-27,69.76,70.34,68.08,69.35,49.3342,3633170
2010-01-28,69.75,70.69,67.75,68.52,48.7438,3760978
2010-01-29,69.21,70.14,66.46,66.91,47.5985,4751056
2010-02-01,67.7,69.9,67.57,69.76,49.6259,3074731
2010-02-02,69.79,71.48,69.35,71.32,50.7356,3556737
2010-02-03,71.12,71.48,70.06,70.49,50.1452,3298357
2010-02-04,69.68,69.89,66.72,66.86,47.5629,4551186
2010-02-05,66.73,67.2,64.66,66.73,47.4704,4666162
2010-02-08,66.63,67.61,65.81,66.14,47.0507,3112946
2010-02-09,67.11,68.46,66.5,67.3,47.8759,3853793
2010-02-10,67.09,67.3,65.07,66.41,47.2428,3950329
2010-02-11,66.0,67.74,65.91,67.11,47.7407,3357156
2010-02-12,65.97,67.3,65.76,67.08,47.7194,3367606
2010-02-16,68.68,69.22,68.24,69.1,49.1564,3011550
2010-02-17,70.51,70.9,69.24,69.79,49.6472,4839144
2010-02-18,69.62,70.56,69.6,70.21,49.946,3399061
2010-02-19,70.13,71.81,70.0,71.42,50.8068,3732971
2010-02-22,71.98,71.98,69.88,70.02,49.8109,3048741
2010-02-23,69.57,69.68,67.76,68.04,48.4023,4507946
2010-02-24,68.05,68.83,67.65,68.39,48.6513,2498506
2010-02-25,66.95,68.89,66.7,68.81,48.9501,3628485
2010-02-26,69.1,69.18,68.3625,68.86,48.9857,3728819
2010-03-01,69.36,69.81,68.85,69.38,49.3556,3318948
2010-03-02,69.61,70.5,69.59,70.16,49.9104,3125632
2010-03-03,70.26,71.07,70.12,70.44,50.1096,3195500
2010-03-04,70.64,70.86,68.9,69.55,49.4765,3651665
2010-03-05,70.19,70.24,68.435,69.95,49.7611,3879465
2010-03-08,70.02,70.02,68.85,69.69,49.5761,4064228
2010-03-09,69.28,71.16,69.11,70.85,50.4013,5451722
2010-03-10,70.98,72.39,70.65,71.85,51.1127,6098026
2010-03-11,73.6,73.61,71.75,72.04,51.3622,9993771
2010-03-12,72.59,72.6,70.14,70.53,50.2856,6106153
2010-03-15,70.04,70.11,67.95,68.73,49.0023,5538896
2010-03-16,69.38,69.38,67.3,67.79,48.3321,8495564
2010-03-17,68.15,68.64,67.02,67.17,47.8901,8180479
2010-03-18,67.06,67.44,65.01,65.39,46.621,8373281
2010-03-19,65.36,65.49,63.95,64.31,45.851,8940815
2010-03-22,63.72,64.16,62.8601,64.0,45.63,7815786
2010-03-23,64.22,65.33,63.78,64.98,46.3287,6147690
2010-03-24,64.59,66.22,64.2,65.12,46.4285,11053838
2010-03-25,65.67,65.68,62.79,62.93,44.8671,6915724
2010-03-26,63.35,63.43,62.38,63.2,45.0596,4784236
2010-03-29,63.63,64.9925,63.51,64.57,46.0363,5643916
2010-03-30,64.67,65.0,63.84,64.41,45.9223,3194745
2010-03-31,64.59,65.16,64.3,64.43,45.9365,4494797
2010-04-01,65.1,66.12,65.1,65.83,46.9347,5385319
2010-04-05,66.11,67.27,65.58,67.21,47.9186,4088146
2010-04-06,67.15,67.19,66.28,66.49,47.4052,3018505
2010-04-07,66.23,66.95,65.46,65.83,46.9347,4546293
2010-04-08,65.25,66.13,64.4,65.92,46.9989,4037866
2010-04-09,66.13,67.34,65.93,67.26,47.9542,4518448
2010-04-12,67.39,67.99,66.9,67.32,47.997,3082133
2010-04-13,66.98,66.99,65.79,66.45,47.3767,3400820
2010-04-14,66.89,67.2,65.85,67.13,47.8615,3634757
2010-04-15,66.71,67.5,66.525,66.59,47.4765,3001952
2010-04-16,66.03,66.48,64.75,65.19,46.4784,4103219
2010-04-19,64.51,65.34,64.07,65.19,46.4784,2974841
2010-04-20,65.69,67.65,65.67,67.4,48.054,4130629
2010-04-21,67.28,68.22,66.87,67.59,48.1895,3844342
2010-04-22,66.54,68.14,66.3,67.72,48.2822,5216359
2010-04-23,67.81,70.13,67.41,70.04,49.9363,5448202
2010-04-26,69.72,69.82,68.39,68.54,48.8668,4375189
2010-04-27,68.01,69.03,66.5,66.58,47.4694,4532670
2010-04-28,67.27,68.0,66.61,67.45,48.0897,4150069
2010-04-29,67.92,69.0,66.97,67.35,48.0184,4013812
2010-04-30,67.59,68.94,67.26,67.33,48.0041,5006365
2010-05-03,67.95,68.78,67.0,68.13,48.5745,3937960
2010-05-04,67.2,67.23,65.57,66.35,47.3054,4106749
2010-05-05,67.21,68.64,65.56,67.51,48.1325,8592357
2010-05-06,67.14,68.43,61.95,66.1,47.1272,7840278
2010-05-07,65.81,67.19,63.89,64.58,46.0435,6653576
2010-05-10,67.1,68.09,66.6,67.82,48.3535,5173110
2010-05-11,66.87,68.54,66.87,67.87,48.3891,4601261
2010-05-12,68.0,70.66,68.0,69.57,49.6012,5341531
2010-05-13,68.43,69.2998,67.39,67.62,48.2109,6407822
2010-05-14,66.91,67.36,64.98,66.06,47.0987,5396783
2010-05-17,66.29,66.58,64.01,65.37,46.6067,4144884
2010-05-18,66.2,66.87,64.43,64.75,46.1647,4040634
2010-05-19,65.15,65.33,62.945,64.58,46.0435,5362134
2010-05-20,62.9,63.26,61.5,61.5,43.8475,6246587
2010-05-21,60.92,63.5,60.05,63.07,44.9669,6277294
2010-05-24,63.02,63.05,60.94,60.99,43.4839,3947299
2010-05-25,59.49,60.95,58.58,60.87,43.3984,6506669
2010-05-26,61.87,61.87,60.02,60.29,42.9848,6174632
2010-05-27,61.8,63.39,61.21,63.38,45.1879,6184285
2010-05-28,63.1,64.56,62.78,63.85,45.523,5530583
2010-06-01,63.25,64.41,61.56,61.63,43.9402,5862665
2010-06-02,62.27,65.06,61.08,65.05,46.3786,8053023
2010-06-03,65.34,66.54,63.85,66.39,47.3339,7430337
